"Index" "HP.Open" "HP.High" "HP.Low" "HP.Close" "HP.Volume" "HP.Adjusted"
2013-01-02 57.619999 57.82 55.810001 57.049999 1185300 52.190797
2013-01-03 56.860001 57.860001 55.790001 56.990002 1346900 52.13591
2013-01-04 57.290001 57.830002 56.98 57.66 1409600 52.748842
2013-01-07 57.450001 57.450001 56.689999 57.049999 835700 52.190797
2013-01-08 56.869999 57.009998 56.130001 56.580002 806000 51.760832
2013-01-09 56.849998 57.900002 56.810001 57.759998 1569100 52.840323
2013-01-10 58.450001 59 58.130001 58.869999 1355400 53.85578
2013-01-11 58.869999 58.869999 57.779999 58.540001 1096200 53.553889
2013-01-14 58.639999 58.700001 57.830002 58.040001 746900 53.096476
2013-01-15 57.779999 59.189999 57.779999 59.040001 751800 54.011302
2013-01-16 58.810001 59.290001 58.59 59.16 889300 54.12108
2013-01-17 59.43 60.040001 58.900002 59.700001 1125000 54.615087
2013-01-18 60.25 61.52 59.77 61 2117900 55.804359
2013-01-22 61.02 61.599998 60.169998 61.18 1369700 55.969028
2013-01-23 61.18 61.689999 60.759998 61.279999 1093700 56.060509
2013-01-24 61.310001 62.110001 61.18 61.93 1212200 56.655147
2013-01-25 62.27 62.799999 61.610001 62.200001 855600 56.90215
2013-01-28 62.529999 62.529999 61.470001 62.25 745500 56.947891
2013-01-29 62.360001 62.740002 62.040001 62.580002 974500 57.249785
2013-01-30 62.630001 63.599998 62.25 63.330002 2044800 57.935904
2013-01-31 63.5 65.510002 63.349998 64.339996 2722600 58.859873
2013-02-01 64.589996 65.190002 63.889999 64.730003 1813300 59.216661
2013-02-04 64.160004 64.339996 62.889999 63.75 1723300 58.320129
2013-02-05 64.339996 64.510002 63.799999 64.290001 1475800 58.814136
2013-02-06 64 64.440002 63.25 64.440002 1049000 58.951361
2013-02-07 64.82 65.5 63.740002 64.309998 1873500 58.832429
2013-02-08 64.470001 64.5 63.84 64.389999 1015700 58.905617
2013-02-11 65.32 65.400002 64.410004 64.860001 1237200 59.335586
2013-02-12 65.150002 65.440002 64.519997 65.419998 962000 59.847886
2013-02-13 65.470001 65.760002 65.199997 65.68 848200 60.223831
2013-02-14 65.5 68.160004 65.480003 67.860001 1388000 62.222734
2013-02-15 68.089996 68.489998 66.940002 67.830002 2118200 62.195227
2013-02-19 68.239998 69.379997 67.800003 67.940002 2790300 62.29609
2013-02-20 67.629997 67.629997 65.57 65.610001 2105400 60.159646
2013-02-21 65.400002 65.400002 63.639999 64.269997 2274100 58.930959
2013-02-22 64.720001 65.559998 63.990002 65.540001 1536400 60.095462
2013-02-25 65.889999 66.150002 63.540001 63.540001 2125700 58.261606
2013-02-26 64.290001 64.760002 62.799999 64.559998 1457500 59.196869
2013-02-27 64.18 65.57 64.139999 65.400002 1236100 59.967092
2013-02-28 65.32 66.870003 65.120003 66.260002 1894200 60.755651
2013-03-01 65.839996 66.330002 65 66.099998 1637700 60.608939
2013-03-04 66.139999 66.160004 63.450001 64.010002 2099600 58.692563
2013-03-05 64.639999 65.330002 64.190002 64.949997 985100 59.55447
2013-03-06 65.300003 65.639999 64.580002 64.690002 846800 59.316074
2013-03-07 64.760002 65.25 64.669998 65 784200 59.60032
2013-03-08 65.239998 65.239998 63.860001 64.279999 1854300 58.94013
2013-03-11 64.150002 64.160004 63.099998 63.75 1812200 58.45416
2013-03-12 63.889999 64.370003 63.23 63.790001 1062700 58.490838
2013-03-13 63.84 64.150002 62.860001 63.299999 1457800 58.041541
2013-03-14 63.5 65.739998 63.48 65.410004 1647900 59.976263
2013-03-15 65.419998 66.610001 65.419998 66.260002 1498000 60.755651
2013-03-18 64.639999 64.720001 62.130001 62.599998 3347000 57.399691
2013-03-19 62.490002 62.880001 60.740002 61.279999 2713600 56.189346
