"Index" "HPE.Open" "HPE.High" "HPE.Low" "HPE.Close" "HPE.Volume" "HPE.Adjusted"
2015-10-19 18.5 18.5 16.48 16.549999 1581600 16.549999
2015-10-20 16.25 16.93 16.25 16.870001 709600 16.870001
2015-10-21 17.25 17.35 16.4 16.48 78600 16.48
2015-10-22 16.709999 17.049999 16.24 16.950001 110000 16.950001
2015-10-23 17.25 17.25 16.85 17 59900 17
2015-10-26 17.110001 17.110001 16.309999 16.42 514800 16.42
2015-10-27 16.559999 16.75 15.6 15.73 636000 15.73
2015-10-28 15.9 16.35 15.845 16.280001 296300 16.280001
2015-10-29 16.01 16.27 15.55 15.95 290400 15.95
2015-10-30 15.9 16.1 14.72 14.72 2449300 14.72
