"Index" "HR.Open" "HR.High" "HR.Low" "HR.Close" "HR.Volume" "HR.Adjusted"
2013-01-02 24.41 24.49 24.07 24.34 625600 21.082479
2013-01-03 24.389999 24.75 24.309999 24.68 484600 21.376976
2013-01-04 24.790001 24.950001 24.57 24.91 476400 21.576193
2013-01-07 24.809999 25.129999 24.66 24.690001 424700 21.385637
2013-01-08 24.700001 24.940001 24.639999 24.879999 230900 21.550208
2013-01-09 24.959999 25.1 24.799999 25.040001 318500 21.688796
2013-01-10 25.120001 25.120001 24.809999 24.889999 349900 21.55887
2013-01-11 24.99 25.01 24.77 24.959999 419800 21.619501
2013-01-14 24.959999 25.200001 24.9 25 256700 21.654148
2013-01-15 25.059999 25.059999 24.82 24.98 388100 21.636825
2013-01-16 25.1 25.110001 24.940001 24.959999 557100 21.619501
2013-01-17 25.08 25.08 24.92 24.93 555000 21.593517
2013-01-18 24.9 25 24.809999 25 610500 21.654148
2013-01-22 25.059999 25.25 24.99 25.200001 553200 21.827382
2013-01-23 25.120001 25.299999 25.09 25.200001 463500 21.827382
2013-01-24 25.209999 25.41 25.190001 25.299999 413200 21.913998
2013-01-25 25.389999 25.51 25.309999 25.5 311300 22.087231
2013-01-28 25.51 25.68 25.35 25.559999 705700 22.139201
2013-01-29 25.6 25.77 25.530001 25.549999 572600 22.130539
2013-01-30 25.51 25.76 25.370001 25.59 505700 22.165186
2013-01-31 25.59 25.620001 25.450001 25.48 541000 22.069908
2013-02-01 25.620001 25.9 25.469999 25.700001 433800 22.260465
2013-02-04 25.57 25.82 25.42 25.440001 813000 22.035262
2013-02-05 25.59 25.76 25.370001 25.4 513300 22.000614
2013-02-06 25.33 25.6 25.299999 25.450001 397000 22.043924
2013-02-07 25.49 25.700001 25.450001 25.610001 204600 22.18251
2013-02-08 25.639999 25.66 25.52 25.559999 335900 22.139201
2013-02-11 25.549999 25.75 25.549999 25.6 383500 22.173848
2013-02-12 25.34 25.620001 25.27 25.549999 520600 22.392956
2013-02-13 25.610001 25.809999 25.469999 25.59 793700 22.428014
2013-02-14 25.610001 25.84 25.49 25.5 350800 22.349135
2013-02-15 25.51 25.85 25.389999 25.84 1034400 22.647123
2013-02-19 25.809999 26.08 25.790001 26.08 335900 22.857468
2013-02-20 26.02 26.200001 25.620001 25.629999 540600 22.463071
2013-02-21 25.75 25.9 24.9 25.620001 680900 22.454308
2013-02-22 25.790001 26.040001 25.629999 25.940001 407100 22.734767
2013-02-25 26.1 26.200001 25.440001 25.450001 403000 22.305313
2013-02-26 25.58 25.809999 25.389999 25.77 347100 22.585773
2013-02-27 25.82 26.52 25.790001 26.35 871300 23.094106
2013-02-28 26.26 26.780001 26.25 26.6 1036900 23.313215
2013-03-01 26.43 26.809999 26.290001 26.709999 443900 23.409622
2013-03-04 26.709999 27.200001 26.690001 27 943700 23.66379
2013-03-05 27.09 27.24 27.049999 27.07 645600 23.72514
2013-03-06 27.139999 27.23 26.91 27.129999 399500 23.777726
2013-03-07 27.110001 27.27 27.07 27.17 503500 23.812784
2013-03-08 27.290001 27.299999 26.959999 27.129999 315200 23.777726
2013-03-11 27.049999 27.23 26.940001 27.23 251100 23.86537
2013-03-12 27.120001 27.24 27.07 27.17 261300 23.812784
2013-03-13 27.139999 27.299999 27.02 27.139999 303500 23.78649
2013-03-14 27.129999 27.459999 27.129999 27.290001 384100 23.917957
2013-03-15 27.139999 27.860001 27.139999 27.809999 1755600 24.373703
2013-03-18 27.52 27.780001 27.43 27.57 643300 24.163358
2013-03-19 27.57 27.73 27.219999 27.42 693200 24.031893
2013-03-20 27.49 27.75 27.42 27.75 282300 24.321117
2013-03-21 27.24 27.77 27.07 27.370001 645600 23.988072
2013-03-22 27.33 27.91 27.280001 27.85 349300 24.408761
2013-03-25 27.9 28.110001 27.74 27.84 298500 24.399996
2013-03-26 27.83 28.08 27.83 28.059999 268200 24.592812
2013-03-27 27.870001 28.23 27.870001 28.209999 309200 24.724277
2013-03-28 28.280001 28.5 28.059999 28.389999 485200 24.882036
2013-04-01 28.32 28.559999 28.17 28.5 418000 24.978445
2013-04-02 28.6 28.780001 28.4 28.450001 593900 24.934623
2013-04-03 28.5 28.65 28.24 28.379999 597000 24.873271
2013-04-04 28.379999 28.66 28.290001 28.59 430700 25.057324
2013-04-05 28.200001 28.620001 28.15 28.610001 423200 25.074853
2013-04-08 28.68 28.879999 28.51 28.879999 446100 25.31149
2013-04-09 28.860001 29.059999 28.6 28.82 537800 25.258904
2013-04-10 28.799999 29.030001 28.690001 29 601300 25.416663
2013-04-11 28.93 29.209999 28.870001 28.959999 572700 25.381605
2013-04-12 28.790001 29.07 28.75 29.02 433200 25.434192
2013-04-15 28.969999 29.120001 28.549999 28.559999 573100 25.03103
2013-04-16 28.700001 29.33 28.5 29.26 795800 25.644537
2013-04-17 28.98 29.139999 28.700001 28.91 6e+05 25.337783
2013-04-18 28.870001 29.08 28.780001 28.870001 618900 25.302727
2013-04-19 28.879999 29.639999 28.76 29.58 952500 25.924996
2013-04-22 29.549999 29.59 29.059999 29.34 502200 25.714651
2013-04-23 29.51 29.66 29.25 29.4 489600 25.767237
2013-04-24 29.389999 29.530001 29.290001 29.440001 397400 25.802295
2013-04-25 29.450001 29.540001 29.09 29.200001 468100 25.591951
2013-04-26 29.110001 29.4 29.049999 29.15 468300 25.548128
2013-04-29 29.299999 29.65 29.190001 29.549999 505300 25.898702
2013-04-30 29.57 30.02 29.52 30.02 643300 26.310629
2013-05-01 29.860001 30.18 29.6 29.620001 850000 25.960054
2013-05-02 29.620001 30.290001 29.540001 30.24 474800 26.503444
2013-05-03 30.02 30.440001 29.860001 30.27 391100 26.529738
2013-05-06 30.190001 30.469999 30.110001 30.389999 347800 26.634909
2013-05-07 30.379999 30.59 30.35 30.52 412900 26.748847
2013-05-08 30.5 30.52 30.059999 30.290001 446400 26.547267
2013-05-09 30.309999 30.370001 29.719999 29.790001 716900 26.109049
2013-05-10 29.860001 30.01 29.610001 29.719999 640500 26.047697
2013-05-13 29.77 29.860001 29.610001 29.73 466500 26.056461
2013-05-14 29.690001 29.860001 29.58 29.639999 577300 26.24239
2013-05-15 29.530001 30.059999 29.450001 30.030001 840200 26.587685
2013-05-16 29.950001 30.139999 29.950001 30.08 812400 26.631953
2013-05-17 30.200001 30.32 29.99 30.23 675100 26.764759
2013-05-20 30.15 30.469999 29.969999 30.01 703000 26.569978
2013-05-21 29.92 30.24 29.66 29.700001 3719400 26.295513
2013-05-22 29.700001 29.85 28.139999 28.549999 2239400 25.277335
2013-05-23 28.299999 28.33 27.530001 27.690001 976500 24.515918
2013-05-24 27.59 27.629999 26.82 27.23 1071800 24.108646
2013-05-28 27.41 27.620001 26.799999 27.040001 1200200 23.940427
2013-05-29 26.77 26.870001 25.82 26.309999 865400 23.294105
2013-05-30 26.32 26.84 26.25 26.620001 1047100 23.568571
2013-05-31 26.51 26.84 26.389999 26.610001 875100 23.559717
2013-06-03 26.68 27.02 26.299999 26.950001 1092500 23.860743
2013-06-04 26.99 27.07 26.540001 26.540001 613700 23.497742
2013-06-05 26.48 26.629999 26 26.17 535700 23.170154
2013-06-06 26.030001 26.709999 25.93 26.709999 499200 23.648253
2013-06-07 26.799999 26.799999 25.889999 26.219999 580800 23.214422
2013-06-10 26.32 26.32 25.700001 25.940001 512300 22.966519
2013-06-11 25.73 25.83 25.23 25.57 785600 22.638931
2013-06-12 25.709999 25.709999 25.030001 25.1 427200 22.222807
2013-06-13 25.02 25.59 24.84 25.469999 561400 22.550393
2013-06-14 25.459999 25.93 25.25 25.57 617300 22.638931
2013-06-17 25.73 25.9 25.41 25.620001 560500 22.6832
2013-06-18 25.629999 25.940001 25.32 25.75 640400 22.798298
2013-06-19 25.690001 25.799999 24.610001 24.719999 394900 21.886365
2013-06-20 24.530001 24.530001 23.559999 23.790001 709500 21.062972
2013-06-21 23.85 24.26 23.549999 24.07 1622900 21.310875
2013-06-24 23.780001 24.58 23.4 24.219999 1109600 21.44368
2013-06-25 24.389999 24.82 24.01 24.67 600700 21.842097
2013-06-26 24.790001 25.26 24.790001 25.200001 782900 22.311345
2013-06-27 25.35 25.68 25.200001 25.59 691100 22.656639
2013-06-28 25.52 25.75 25.23 25.5 1499200 22.576955
2013-07-01 25.58 25.639999 25.219999 25.4 654600 22.488418
2013-07-02 25.32 25.940001 25.32 25.690001 895400 22.745176
2013-07-03 25.540001 25.74 25.299999 25.629999 375300 22.692053
2013-07-05 25.98 25.98 24.809999 25.51 464400 22.585809
2013-07-08 25.52 25.9 25.51 25.73 492300 22.78059
2013-07-09 25.77 26.49 25.57 26.43 742300 23.40035
2013-07-10 26.34 26.43 25.93 26.4 564400 23.373789
2013-07-11 26.700001 27.370001 26.700001 27.27 770500 24.144062
2013-07-12 27.200001 27.27 26.85 27.02 401600 23.922719
2013-07-15 26.99 27.26 26.82 27.15 608500 24.037817
2013-07-16 26.9 26.959999 26.639999 26.799999 2478000 23.727937
2013-07-17 26.809999 26.950001 26.58 26.620001 653900 23.568571
2013-07-18 26.709999 26.879999 26.66 26.83 367800 23.754498
2013-07-19 26.76 26.76 26.540001 26.540001 465600 23.497742
2013-07-22 26.57 26.780001 26.49 26.75 324900 23.683669
2013-07-23 26.790001 26.93 26.540001 26.709999 412700 23.648253
2013-07-24 26.809999 27.049999 26.15 26.559999 2075200 23.515448
2013-07-25 26.5 26.83 26.059999 26.76 1679400 23.692523
2013-07-26 26.620001 27.02 26.6 26.969999 1413700 23.87845
2013-07-29 26.9 27.139999 26.629999 26.76 793200 23.692523
2013-07-30 26.77 26.84 26.15 26.389999 892400 23.364935
2013-07-31 26.360001 26.360001 25.01 25.709999 1422600 22.762882
2013-08-01 25.85 25.870001 25.26 25.57 835200 22.638931
2013-08-02 25.5 25.799999 25.059999 25.139999 662100 22.258221
2013-08-05 25.110001 25.33 24.959999 25.02 580900 22.151978
2013-08-06 24.9 24.969999 24.700001 24.799999 667300 21.957195
2013-08-07 24.67 24.809999 24.459999 24.77 410600 21.930635
2013-08-08 24.879999 24.889999 24.540001 24.75 534200 21.912927
2013-08-09 24.74 24.92 24.610001 24.66 865500 21.833244
2013-08-12 24.610001 24.629999 24.299999 24.610001 836600 21.788976
2013-08-13 24.32 24.540001 23.889999 23.98 539100 21.493197
2013-08-14 23.950001 24.07 23.82 23.870001 316100 21.394605
2013-08-15 23.57 23.58 23.129999 23.16 471700 20.758234
2013-08-16 23.049999 23.129999 22.309999 22.370001 504200 20.05016
2013-08-19 22.379999 22.43 21.82 21.83 607500 19.566159
2013-08-20 21.870001 22.27 21.870001 22.139999 799600 19.844011
2013-08-21 22.08 22.690001 21.780001 22.379999 630700 20.059122
2013-08-22 22.440001 22.48 22.09 22.309999 586800 19.996381
2013-08-23 22.309999 22.51 22.25 22.51 622000 20.175641
2013-08-26 22.58 22.719999 22.42 22.639999 539700 20.292159
2013-08-27 22.34 22.92 22.309999 22.790001 685800 20.426605
2013-08-28 22.77 22.809999 22.440001 22.58 410600 20.238382
2013-08-29 22.530001 22.67 22.389999 22.67 345300 20.319049
2013-08-30 22.66 22.889999 22.450001 22.49 532400 20.157715
2013-09-03 22.66 22.77 21.799999 22.049999 570200 19.763344
2013-09-04 22.049999 22.35 21.879999 22.34 410200 20.023271
2013-09-05 22.33 22.35 21.85 21.91 350300 19.637863
2013-09-06 22.120001 22.559999 22.030001 22.25 492200 19.942604
2013-09-09 22.4 22.799999 22.18 22.799999 277800 20.435566
2013-09-10 22.860001 22.879999 22.450001 22.620001 450000 20.274234
2013-09-11 22.940001 23.440001 22.59 22.799999 1088500 20.435566
2013-09-12 22.790001 22.969999 22.68 22.77 321000 20.408679
2013-09-13 22.77 22.92 22.66 22.799999 229300 20.435566
2013-09-16 23.16 23.370001 22.809999 22.889999 461500 20.516233
2013-09-17 22.870001 23.139999 22.65 22.870001 272400 20.498309
2013-09-18 22.85 23.559999 22.5 23.549999 604800 21.107789
2013-09-19 23.559999 23.780001 23.280001 23.280001 607300 20.86579
2013-09-20 23.370001 23.4 23.07 23.200001 1051000 20.794086
2013-09-23 23.15 23.4 23.030001 23.209999 448500 20.803048
2013-09-24 23.18 23.23 22.959999 23.120001 530500 20.722383
2013-09-25 23.08 23.33 22.959999 23.33 455000 20.910604
2013-09-26 23.309999 23.49 23.16 23.469999 440700 21.036085
2013-09-27 23.35 23.52 23.219999 23.41 432600 20.982308
2013-09-30 23.23 23.43 22.99 23.110001 493100 20.71342
2013-10-01 23.08 23.780001 23.049999 23.709999 398700 21.251196
2013-10-02 23.459999 23.59 23.18 23.52 596000 21.080901
2013-10-03 23.41 23.459999 22.66 22.76 535500 20.399715
2013-10-04 22.700001 22.9 22.48 22.73 1304600 20.372826
2013-10-07 22.639999 23.059999 22.5 23 260000 20.614826
2013-10-08 23.049999 23.08 22.469999 22.469999 514700 20.139788
2013-10-09 22.49 22.84 22.48 22.549999 521000 20.211492
2013-10-10 22.780001 23.07 22.66 23.030001 435200 20.641716
2013-10-11 22.889999 23.450001 22.719999 23.440001 609200 21.009197
2013-10-14 23.299999 23.52 23.16 23.450001 458200 21.018161
2013-10-15 23.370001 23.469999 23.209999 23.290001 423900 20.874753
2013-10-16 23.32 23.77 23.309999 23.610001 482000 21.161568
2013-10-17 23.549999 24.219999 23.48 24.219999 482600 21.708308
2013-10-18 24.309999 24.35 23.93 23.98 679500 21.493197
2013-10-21 23.959999 23.959999 23.620001 23.709999 446900 21.251196
2013-10-22 23.76 24.139999 23.58 24 430200 21.511123
2013-10-23 23.940001 24.309999 23.83 24.280001 460300 21.762087
2013-10-24 24.280001 24.459999 24.190001 24.379999 372900 21.851715
2013-10-25 24.49 24.719999 24.26 24.709999 398700 22.147493
2013-10-28 24.709999 24.77 24.26 24.540001 351200 21.995124
2013-10-29 24.549999 24.67 24.35 24.620001 385600 22.066828
2013-10-30 24.58 24.65 24.030001 24.18 628000 21.672457
2013-10-31 24.25 24.59 24.01 24.01 855700 21.520086
2013-11-01 23.950001 24.280001 23.73 24.059999 597500 21.564901
2013-11-04 24.17 24.23 23.809999 24.15 561500 21.645567
2013-11-05 24.08 24.110001 23.49 23.540001 373500 21.098827
2013-11-06 23.610001 23.790001 23.389999 23.66 352000 21.206382
2013-11-07 23.700001 23.93 23.4 23.459999 561000 21.027122
2013-11-08 23.389999 23.389999 22.629999 22.940001 509800 20.561049
2013-11-11 22.860001 23.129999 22.76 22.84 365700 20.471419
2013-11-12 22.530001 22.709999 22.1 22.379999 435200 20.326101
2013-11-13 22.309999 22.709999 22.1 22.700001 484200 20.616735
2013-11-14 22.75 22.91 22.59 22.6 350400 20.525912
2013-11-15 22.559999 22.83 22.52 22.549999 469100 20.4805
2013-11-18 22.52 22.74 22.379999 22.469999 409200 20.407842
2013-11-19 22.41 22.41 22.030001 22.15 286400 20.11721
2013-11-20 22.17 22.450001 22.01 22.09 332100 20.062717
2013-11-21 22.17 22.48 22 22.33 402800 20.280691
2013-11-22 22.299999 22.41 22.120001 22.35 339500 20.298856
2013-11-25 22.35 22.379999 22.110001 22.25 255900 20.208033
2013-11-26 22.26 22.26 21.82 21.99 965300 19.971894
2013-11-27 22.059999 22.43 21.9 22.42 611200 20.362431
2013-11-29 22.5 22.5 22.09 22.129999 216200 20.099045
2013-12-02 22.120001 22.139999 21.73 21.780001 664900 19.781167
2013-12-03 21.76 21.889999 21.6 21.74 272800 19.744837
2013-12-04 21.530001 21.91 21.360001 21.67 288000 19.681262
2013-12-05 21.59 21.82 21.4 21.73 240900 19.735755
2013-12-06 21.93 22.1 21.67 21.790001 231900 19.79025
2013-12-09 21.76 22.08 21.57 21.959999 388500 19.944646
2013-12-10 21.969999 22.209999 21.790001 21.91 392100 19.899236
2013-12-11 21.879999 21.879999 21.280001 21.309999 594700 19.3543
2013-12-12 21.23 21.309999 20.91 20.98 451100 19.054585
2013-12-13 21.049999 21.35 20.93 21.09 385000 19.154491
2013-12-16 21.110001 21.35 20.959999 21.09 426000 19.154491
2013-12-17 21.16 21.41 21.01 21.34 641500 19.381547
2013-12-18 21.309999 21.780001 20.940001 21.76 437600 19.763002
2013-12-19 21.67 21.67 21.110001 21.15 311700 19.208984
2013-12-20 21.139999 21.41 21 21.41 799000 19.445123
2013-12-23 21.5 21.549999 21.26 21.290001 307100 19.336136
2013-12-24 21.27 21.440001 21.190001 21.360001 233900 19.399712
2013-12-26 21.309999 21.559999 21.209999 21.35 487400 19.39063
2013-12-27 21.43 21.43 21.129999 21.32 216400 19.363382
2013-12-30 21.290001 21.5 21.200001 21.43 302100 19.463288
2013-12-31 21.4 21.57 21.26 21.309999 478400 19.3543
2014-01-02 21.24 21.32 20.85 21.219999 376300 19.272559
2014-01-03 21.280001 21.799999 21.280001 21.58 468700 19.599521
2014-01-06 21.690001 21.82 21.52 21.549999 406300 19.572274
2014-01-07 21.549999 21.77 21.450001 21.58 524600 19.599521
2014-01-08 21.549999 21.639999 21.23 21.5 390900 19.526863
2014-01-09 21.58 21.58 21.24 21.52 340500 19.545028
2014-01-10 21.5 21.9 21.389999 21.68 746000 19.690344
2014-01-13 21.66 21.82 21.549999 21.799999 485700 19.79933
2014-01-14 21.879999 22.030001 21.73 21.969999 268600 19.953729
2014-01-15 22.040001 22.32 21.84 22.200001 347700 20.162622
2014-01-16 21.870001 22.389999 21.799999 22.370001 447000 20.317021
2014-01-17 22.309999 22.41 22.23 22.280001 443800 20.23528
2014-01-21 22.32 22.58 22.18 22.41 728900 20.353349
2014-01-22 22.440001 22.610001 22.299999 22.469999 402000 20.407842
2014-01-23 22.379999 22.41 22.110001 22.26 826400 20.217115
2014-01-24 22.219999 22.459999 22.07 22.25 730800 20.208033
2014-01-27 22.32 22.5 22.08 22.219999 505000 20.180785
2014-01-28 22.219999 22.85 22.219999 22.799999 740500 20.707556
2014-01-29 22.73 22.780001 22.18 22.469999 496700 20.407842
2014-01-30 22.620001 22.870001 22.5 22.65 467600 20.571323
2014-01-31 22.379999 23.030001 22.35 22.92 628300 20.816544
2014-02-03 22.860001 22.860001 22.35 22.42 462500 20.362431
2014-02-04 22.450001 22.709999 22.299999 22.709999 503800 20.625816
2014-02-05 22.700001 22.75 22.26 22.34 341000 20.289773
2014-02-06 22.33 22.559999 22.290001 22.32 508000 20.271608
2014-02-07 22.33 22.469999 22.190001 22.42 420800 20.362431
2014-02-10 22.379999 22.74 22.27 22.629999 345400 20.553158
2014-02-11 22.58 22.9 22.49 22.73 252300 20.643981
2014-02-12 22.73 22.799999 22.42 22.530001 382400 20.462337
2014-02-13 22.1 22.43 22.059999 22.24 455400 20.471542
2014-02-14 22.309999 22.48 22.15 22.379999 346100 20.600409
2014-02-18 22.440001 22.559999 22.24 22.49 450500 20.701662
2014-02-19 22.450001 22.73 22.299999 22.360001 340400 20.582
2014-02-20 22.35 22.809999 22.299999 22.73 435000 20.922578
2014-02-21 22.799999 23.559999 22.629999 23 1219700 21.171109
2014-02-24 23.120001 23.76 23.110001 23.530001 738000 21.658965
2014-02-25 23.5 23.73 23.450001 23.65 395100 21.769422
2014-02-26 23.73 23.93 23.610001 23.809999 417600 21.9167
2014-02-27 23.719999 23.99 23.709999 23.9 285600 21.999543
2014-02-28 23.879999 24.07 23.709999 23.969999 655900 22.063977
2014-03-03 23.889999 24.040001 23.700001 23.91 389500 22.008748
2014-03-04 24.110001 24.639999 24.1 24.52 708900 22.570243
2014-03-05 24.49 24.66 24.32 24.469999 295500 22.524218
2014-03-06 24.450001 24.49 24.07 24.18 312500 22.257279
2014-03-07 24.17 24.17 23.77 24.059999 458400 22.14682
2014-03-10 23.940001 24.049999 23.74 23.860001 333100 21.962725
2014-03-11 23.84 24.09 23.84 24 304400 22.091592
2014-03-12 23.99 24.25 23.91 24.1 326500 22.18364
2014-03-13 24.190001 24.190001 23.73 23.870001 517500 21.97193
2014-03-14 23.76 24.07 23.76 23.93 457900 22.027158
2014-03-17 24.07 24.209999 23.809999 23.860001 259300 21.962725
2014-03-18 23.889999 23.959999 23.610001 23.92 275500 22.017953
2014-03-19 23.889999 24.040001 23.15 23.41 351500 21.548507
2014-03-20 23.290001 23.469999 23.08 23.41 428700 21.548507
2014-03-21 23.469999 23.969999 23.43 23.43 1069800 21.566917
2014-03-24 23.540001 23.68 23.280001 23.549999 401000 21.677374
2014-03-25 23.709999 23.92 23.41 23.799999 335500 21.907495
2014-03-26 23.92 23.92 23.52 23.709999 464600 21.824651
2014-03-27 23.66 24.040001 23.559999 23.98 389100 22.073182
2014-03-28 23.969999 24.24 23.969999 24.040001 274500 22.128412
2014-03-31 24.17 24.389999 23.860001 24.15 531900 22.229664
2014-04-01 24.299999 24.370001 23.879999 24.360001 572400 22.422966
2014-04-02 24.32 24.32 23.950001 24.09 432600 22.174435
2014-04-03 24.18 24.24 23.959999 24.110001 336200 22.192846
2014-04-04 24.24 24.42 24.01 24.190001 473700 22.266484
2014-04-07 24.15 24.51 24.15 24.32 581100 22.386146
2014-04-08 24.33 24.639999 24.280001 24.540001 518800 22.588653
2014-04-09 24.57 24.709999 24.33 24.66 406100 22.69911
2014-04-10 24.610001 24.879999 24.41 24.530001 538500 22.579448
2014-04-11 24.379999 24.73 24.26 24.43 447500 22.4874
2014-04-14 24.639999 24.719999 24.33 24.610001 437700 22.653087
2014-04-15 24.610001 25.049999 24.540001 24.91 759300 22.929231
2014-04-16 24.969999 24.969999 24.700001 24.85 300600 22.874003
2014-04-17 24.75 24.93 24.57 24.91 639400 22.929231
2014-04-21 24.75 24.940001 24.65 24.93 368200 22.947641
2014-04-22 24.9 24.92 24.610001 24.83 302300 22.855593
2014-04-23 24.76 24.790001 24.530001 24.719999 599000 22.754339
2014-04-24 24.84 24.99 24.68 24.98 378400 22.993665
2014-04-25 24.9 25.110001 24.790001 24.92 452100 22.938436
2014-04-28 25.02 25.290001 24.950001 25.200001 476600 23.196172
2014-04-29 25.26 25.41 25.01 25.139999 345500 23.140942
2014-04-30 25.129999 25.17 24.969999 25.15 447200 23.150147
2014-05-01 25.09 25.16 24.370001 24.75 1304000 22.781954
2014-05-02 24.719999 24.99 24.620001 24.969999 614200 22.98446
2014-05-05 24.809999 25.07 24.709999 25.049999 340800 23.058098
2014-05-06 24.92 25.110001 24.790001 25.02 564400 23.030485
2014-05-07 24.98 25.34 24.950001 25.219999 548000 23.21458
2014-05-08 25.25 25.389999 24.860001 25.09 497800 23.094918
2014-05-09 24.98 25.24 24.98 25.23 444000 23.223785
2014-05-12 25.280001 25.32 24.969999 25.030001 516900 23.03969
