"Index" "HY.Open" "HY.High" "HY.Low" "HY.Close" "HY.Volume" "HY.Adjusted"
2013-01-02 49.75 50.57 49.59 50.32 70800 48.287583
2013-01-03 50.57 51.599998 50.32 51.099998 38200 49.036078
2013-01-04 51.48 52.139999 50.77 51.290001 44100 49.218406
2013-01-07 50.209999 50.209999 48.549999 49.59 63000 47.587068
2013-01-08 49.73 51.16 49.16 50.939999 53200 48.88254
2013-01-09 51.200001 51.98 50.709999 51.200001 24800 49.132041
2013-01-10 51.259998 51.299999 49.259998 50.360001 27200 48.325968
2013-01-11 50.549999 50.549999 48.610001 49.470001 16400 47.471916
2013-01-14 49.110001 49.709999 48.43 49.259998 42800 47.270395
2013-01-15 49.080002 50.169998 49.080002 49.810001 23300 47.798184
2013-01-16 49.669998 50.23 49.5 50.009998 26400 47.990103
2013-01-17 50.07 51 50 50.369999 31500 48.335563
2013-01-18 50.209999 50.299999 49.900002 50.189999 24900 48.162833
2013-01-22 50.27 50.5 50.009998 50.299999 29100 48.268391
2013-01-23 50.419998 50.459999 49.779999 49.919998 49700 47.903738
2013-01-24 49.900002 50.130001 49.75 50.099998 35200 48.076468
2013-01-25 50.439999 50.439999 49.810001 50.189999 39400 48.162833
2013-01-28 50.529999 50.529999 49.630001 50.279999 61500 48.249198
2013-01-29 50.279999 50.52 49.759998 50.52 38500 48.479506
2013-01-30 50.560001 51.259998 49.77 50.110001 41300 48.086066
2013-01-31 50.150002 50.75 49.709999 50.18 25700 48.153238
2013-02-01 50.689999 51.200001 50.490002 51.099998 36900 49.036078
2013-02-04 51 51.990002 49.880001 50.18 40000 48.153238
2013-02-05 50.599998 50.799999 49.189999 49.810001 34000 47.798184
2013-02-06 49.59 49.880001 48.639999 49 55000 47.020898
2013-02-07 48.810001 48.810001 47.110001 48.619999 66000 46.656245
2013-02-08 48.669998 50.220001 48.25 50.029999 54000 48.009295
2013-02-11 50.049999 50.580002 49.810001 50.299999 25600 48.268391
2013-02-12 50.43 51.950001 49.82 51.310001 36500 49.237599
2013-02-13 51.509998 52.299999 49.5 50.48 54900 48.441121
2013-02-14 50.52 51.080002 49.610001 49.889999 49100 47.874951
2013-02-15 50.299999 50.619999 48 49.790001 62400 47.778991
2013-02-19 49.43 49.759998 48.720001 49.18 154100 47.193628
2013-02-20 49.990002 51.549999 49.400002 49.43 93300 47.433531
2013-02-21 49.380001 49.540001 48.630001 49.18 55900 47.193628
2013-02-22 49.349998 50.740002 49.330002 50.59 67300 48.546678
2013-02-25 50.16 50.68 49.5 49.709999 52300 47.70222
2013-02-26 50.25 50.490002 49.380001 50 274700 47.980508
2013-02-27 49.669998 49.990002 49.380001 49.959999 20200 48.18304
2013-02-28 49.75 51.889999 49.5 51.23 63000 49.407869
2013-03-01 50.880001 51.790001 50.349998 51.52 26000 49.687556
2013-03-04 51.66 52.099998 50.759998 51.93 19900 50.082973
2013-03-05 51.93 52.580002 51.32 52.349998 15100 50.488033
2013-03-06 52.650002 52.650002 50.27 50.650002 37300 48.8485
2013-03-07 50.52 52.68 50.52 52.490002 24000 50.623056
2013-03-08 53.040001 53.91 51.84 53.389999 57700 51.491043
2013-03-11 53.419998 53.91 52.009998 52.529999 34100 50.661631
2013-03-12 52.580002 52.990002 52.040001 52.689999 18900 50.81594
2013-03-13 52.810001 55.169998 52.380001 54.689999 43400 52.744804
2013-03-14 54.490002 55.290001 54.27 54.959999 28800 53.005202
2013-03-15 55.07 55.07 54.57 54.939999 132200 52.985912
2013-03-18 54.450001 55.669998 54.450001 55.349998 41700 53.38133
2013-03-19 55.799999 56.650002 54.25 54.639999 27400 52.696583
2013-03-20 55.240002 55.959999 54.720001 55.790001 14800 53.805682
2013-03-21 55.419998 55.779999 55.16 55.5 21500 53.525996
2013-03-22 55.509998 56.470001 54.610001 54.950001 20500 52.995559
2013-03-25 55.25 55.82 53.849998 54.57 19600 52.629074
2013-03-26 54.91 56.169998 54.5 55.860001 36500 53.873192
2013-03-27 55.75 57.75 55.630001 57.240002 38700 55.20411
2013-03-28 57.549999 57.700001 56.669998 57.09 47000 55.059444
2013-04-01 56.75 57.57 56.27 56.880001 67600 54.856914
2013-04-02 57.130001 57.130001 55.560001 55.59 34800 53.612795
2013-04-03 55.5 55.830002 53.540001 53.630001 31900 51.722508
2013-04-04 53.779999 54.23 53.779999 54.02 21300 52.098636
2013-04-05 53.040001 53.790001 52.400002 53.259998 35200 51.365666
2013-04-08 53.57 53.740002 52.959999 53.119999 31100 51.230646
2013-04-09 53.049999 54.16 52.830002 52.98 26700 51.095626
2013-04-10 53.290001 55.630001 53 55.25 39100 53.284888
2013-04-11 55.369999 55.830002 54.900002 55.439999 25900 53.468129
2013-04-12 55.380001 55.52 54.91 55.330002 43200 53.362044
2013-04-15 54.880001 54.880001 52.5 52.509998 71600 50.642342
2013-04-16 52.68 53.59 52.560001 53.169998 31800 51.278867
2013-04-17 52.919998 53.619999 50 50.200001 61600 48.414505
2013-04-18 50.599998 52 50 51.650002 50600 49.812933
2013-04-19 51.860001 51.860001 50.25 51.220001 39300 49.398227
2013-04-22 50.919998 51.25 49.669998 50.959999 21600 49.147472
2013-04-23 51.200001 52.990002 50.950001 52.84 24200 50.960606
2013-04-24 52.98 54.560001 52.669998 54.299999 18200 52.368676
2013-04-25 54.59 55.299999 52.349998 52.48 19900 50.61341
2013-04-26 52.490002 52.849998 51.369999 51.880001 38500 50.034752
2013-04-29 52.23 53.990002 51.689999 52.779999 23700 50.902739
2013-04-30 53.200001 53.5 52.07 52.189999 26900 50.333723
2013-05-01 51.869999 52.459999 50.900002 51.029999 51700 49.214982
2013-05-02 52.110001 53 51.419998 52.389999 20400 50.526611
2013-05-03 53.169998 56.93 53 56.639999 44200 54.625448
2013-05-06 57.040001 57.669998 56.259998 56.540001 29500 54.529006
2013-05-07 56.77 57.59 55.720001 57.59 29800 55.54166
2013-05-08 57.66 57.669998 56.18 56.5 28300 54.490428
