"Index" "IN.Open" "IN.High" "IN.Low" "IN.Close" "IN.Volume" "IN.Adjusted"
2013-01-01 0.015 0.015 0.015 0.015 0 0.015
2013-01-02 0.015 0.015 0.015 0.015 0 0.015
2013-01-03 0.015 0.015 0.015 0.015 0 0.015
2013-01-04 0.015 0.015 0.015 0.015 0 0.015
2013-01-07 0.015 0.015 0.015 0.015 0 0.015
2013-01-08 0.015 0.015 0.015 0.015 1000 0.015
2013-01-09 0.015 0.015 0.015 0.015 0 0.015
2013-01-10 0.015 0.015 0.015 0.015 0 0.015
2013-01-11 0.015 0.015 0.015 0.015 0 0.015
2013-01-14 0.015 0.015 0.015 0.015 0 0.015
2013-01-15 0.015 0.015 0.015 0.015 0 0.015
2013-01-16 0.02 0.02 0.02 0.02 7000 0.02
2013-01-17 0.02 0.02 0.02 0.02 0 0.02
2013-01-18 0.02 0.02 0.02 0.02 0 0.02
2013-01-21 0.02 0.02 0.02 0.02 0 0.02
2013-01-22 0.02 0.02 0.02 0.02 0 0.02
2013-01-23 0.015 0.015 0.015 0.015 10600 0.015
2013-01-24 0.015 0.015 0.015 0.015 0 0.015
2013-01-25 0.015 0.015 0.015 0.015 0 0.015
2013-01-28 0.015 0.015 0.015 0.015 0 0.015
2013-01-29 0.015 0.015 0.015 0.015 0 0.015
2013-01-30 0.015 0.015 0.015 0.015 0 0.015
2013-01-31 0.015 0.015 0.015 0.015 1500 0.015
2013-02-01 0.015 0.015 0.015 0.015 0 0.015
2013-02-04 0.015 0.015 0.015 0.015 0 0.015
2013-02-05 0.015 0.015 0.015 0.015 2000 0.015
2013-02-06 0.02 0.02 0.02 0.02 3500 0.02
2013-02-07 0.02 0.02 0.02 0.02 0 0.02
2013-02-08 0.02 0.02 0.02 0.02 0 0.02
2013-02-11 0.02 0.02 0.02 0.02 0 0.02
2013-02-12 0.02 0.02 0.02 0.02 0 0.02
2013-02-13 0.02 0.02 0.02 0.02 0 0.02
2013-02-14 0.02 0.02 0.02 0.02 0 0.02
2013-02-15 0.02 0.02 0.02 0.02 0 0.02
2013-02-18 0.02 0.02 0.02 0.02 0 0.02
2013-02-19 0.02 0.02 0.02 0.02 0 0.02
2013-02-20 0.02 0.02 0.02 0.02 0 0.02
2013-02-21 0.02 0.02 0.02 0.02 0 0.02
2013-02-22 0.02 0.02 0.02 0.02 0 0.02
2013-02-25 0.02 0.02 0.02 0.02 0 0.02
2013-02-26 0.02 0.02 0.02 0.02 0 0.02
2013-02-27 0.02 0.02 0.02 0.02 0 0.02
2013-02-28 0.015 0.015 0.015 0.015 1500 0.015
2013-03-01 0.015 0.015 0.015 0.015 0 0.015
2013-03-04 0.015 0.015 0.015 0.015 0 0.015
2013-03-05 0.015 0.015 0.015 0.015 12700 0.015
2013-03-06 0.015 0.015 0.015 0.015 0 0.015
2013-03-07 0.015 0.015 0.015 0.015 0 0.015
2013-03-08 0.015 0.015 0.015 0.015 0 0.015
2013-03-11 0.015 0.015 0.015 0.015 0 0.015
2013-03-12 0.015 0.015 0.015 0.015 0 0.015
2013-03-13 0.015 0.015 0.015 0.015 0 0.015
2013-03-14 0.015 0.015 0.015 0.015 0 0.015
2013-03-15 0.015 0.015 0.015 0.015 0 0.015
2013-03-18 0.015 0.015 0.015 0.015 0 0.015
2013-03-19 0.015 0.015 0.015 0.015 0 0.015
2013-03-20 0.015 0.015 0.015 0.015 0 0.015
2013-03-21 0.015 0.015 0.015 0.015 0 0.015
2013-03-22 0.015 0.015 0.015 0.015 0 0.015
2013-03-25 0.015 0.015 0.015 0.015 0 0.015
2013-03-26 0.015 0.015 0.015 0.015 6500 0.015
2013-03-27 0.015 0.015 0.015 0.015 0 0.015
2013-03-28 0.015 0.015 0.015 0.015 0 0.015
2013-03-29 0.015 0.015 0.015 0.015 0 0.015
2013-04-01 0.015 0.015 0.015 0.015 0 0.015
2013-04-02 0.015 0.015 0.015 0.015 0 0.015
2013-04-03 0.015 0.015 0.015 0.015 0 0.015
2013-04-04 0.015 0.015 0.015 0.015 0 0.015
2013-04-05 0.015 0.015 0.01 0.01 9700 0.01
2013-04-08 0.01 0.01 0.01 0.01 0 0.01
2013-04-09 0.01 0.01 0.01 0.01 0 0.01
2013-04-10 0.01 0.01 0.01 0.01 0 0.01
2013-04-11 0.01 0.01 0.01 0.01 0 0.01
2013-04-12 0.01 0.01 0.01 0.01 0 0.01
2013-04-15 0.01 0.01 0.01 0.01 0 0.01
2013-04-16 0.01 0.01 0.01 0.01 0 0.01
2013-04-17 0.01 0.01 0.01 0.01 0 0.01
2013-04-18 0.01 0.01 0.01 0.01 0 0.01
2013-04-19 0.01 0.01 0.01 0.01 0 0.01
2013-04-22 0.01 0.01 0.01 0.01 0 0.01
2013-04-23 0.01 0.01 0.01 0.01 0 0.01
2013-04-24 0.01 0.01 0.01 0.01 0 0.01
2013-04-25 0.005 0.005 0.005 0.005 15000 0.005
2013-04-26 0.005 0.005 0.005 0.005 0 0.005
2013-04-29 0.005 0.005 0.005 0.005 0 0.005
2013-04-30 0.005 0.005 0.005 0.005 0 0.005
2013-05-01 0.005 0.005 0.005 0.005 0 0.005
2013-05-02 0.005 0.005 0.005 0.005 0 0.005
2013-05-03 0.005 0.005 0.005 0.005 0 0.005
2013-05-06 0.005 0.005 0.005 0.005 0 0.005
2013-05-07 0.01 0.02 0.01 0.02 20900 0.02
2013-05-08 0.01 0.015 0.01 0.015 10100 0.015
2013-05-09 0.01 0.01 0.01 0.01 5500 0.01
2013-05-10 0.01 0.01 0.01 0.01 3400 0.01
2013-05-13 0.01 0.01 0.01 0.01 0 0.01
2013-05-14 0.01 0.01 0.01 0.01 0 0.01
2013-05-15 0.015 0.015 0.015 0.015 7000 0.015
2013-05-16 0.02 0.02 0.02 0.02 5000 0.02
2013-05-17 0.02 0.02 0.02 0.02 0 0.02
2013-05-20 0.02 0.02 0.02 0.02 0 0.02
2013-05-21 0.01 0.01 0.01 0.01 2000 0.01
2013-05-22 0.01 0.01 0.01 0.01 5000 0.01
2013-05-23 0.01 0.01 0.01 0.01 0 0.01
2013-05-24 0.01 0.01 0.01 0.01 0 0.01
2013-05-27 0.01 0.01 0.01 0.01 0 0.01
2013-05-28 0.01 0.01 0.01 0.01 0 0.01
2013-05-29 0.01 0.01 0.01 0.01 0 0.01
2013-05-30 0.01 0.01 0.01 0.01 0 0.01
