"Index" "IR.Open" "IR.High" "IR.Low" "IR.Close" "IR.Volume" "IR.Adjusted"
2013-01-02 49.489996 49.900001 48.940001 49.469999 4113500 37.799566
2013-01-03 49.279995 49.529995 48.760003 48.959998 2629900 37.409879
2013-01-04 49.059993 49.849996 48.969999 49.770003 2614600 38.028796
2013-01-07 48.989996 49.120004 48.059999 48.989996 2038100 37.4328
2013-01-08 48.779995 49.239996 48.569999 49.230005 2005500 37.616189
2013-01-09 49.400002 49.569998 48.910003 49.209998 1729800 37.600902
2013-01-10 49.499997 49.700006 48.959998 49.620003 2105900 37.914183
2013-01-11 49.660002 49.679999 49.290001 49.599997 1015100 37.898896
2013-01-14 49.579999 49.749996 49.109998 49.749996 1249200 38.01351
2013-01-15 49.410002 49.900001 49.410002 49.79 1312000 38.044076
2013-01-16 49.520003 49.650001 49.279995 49.469999 1044400 37.799566
2013-01-17 49.660002 51.030003 49.469999 50.95 2467400 38.930421
2013-01-18 51.170002 51.240004 50.130004 50.630003 2801400 38.685915
2013-01-22 50.529994 50.759996 50.34 50.689999 1648700 38.731757
2013-01-23 50.689999 50.999995 50.619998 50.839999 1827900 38.846371
2013-01-24 50.880003 51.520001 50.880003 51.089999 2812400 39.037393
2013-01-25 51.170002 51.479998 50.990004 51.469997 2003000 39.327746
2013-01-28 51.659996 51.689994 50.859996 51.149995 1309500 39.083235
2013-01-29 51.210006 51.520001 50.920002 51.469997 1853800 39.327746
2013-01-30 51.479998 51.729997 51.100005 51.619997 2094900 39.442359
2013-01-31 51.490003 51.750004 51.140004 51.390003 2223800 39.266624
2013-02-01 51.989998 52.699998 50.920002 52.360004 4010200 40.007792
2013-02-04 52.189993 53.239997 51.739998 51.799994 3004600 39.579894
2013-02-05 52.089998 53.359999 51.780002 53.150003 2991700 40.611423
2013-02-06 52.860004 52.949998 52.189993 52.769995 2489700 40.321063
2013-02-07 52.760004 52.769995 51.729997 52.009995 3014100 39.740354
2013-02-08 52.129997 53.449993 52.070001 53.430001 2849300 40.825367
2013-02-11 53.209999 53.370004 52.869995 52.949998 2245900 40.458601
2013-02-12 53.080006 53.269995 52.769995 53.049993 2131600 40.535006
2013-02-13 53.140002 53.499998 52.979996 53.190007 1926900 40.641989
2013-02-14 53.229991 53.57 53.019995 53.030001 2895200 40.519731
2013-02-15 53.220005 53.419995 52.869995 53.030001 2654800 40.519731
