"Index" "JP.Open" "JP.High" "JP.Low" "JP.Close" "JP.Volume" "JP.Adjusted"
2015-07-16 10.41 11.55 10.41 11.08 2562400 11.08
2015-07-17 11.47 11.48 9.27 10.02 1402500 10.02
2015-07-20 9.71 10.5 9.38 9.75 348700 9.75
2015-07-21 9.74 10.1 9.7 9.98 29000 9.98
2015-07-22 10 10.38 9.51 9.66 131800 9.66
2015-07-23 9.75 10.05 9.732 9.76 14100 9.76
2015-07-24 9.81 10.39 9.8 9.97 138200 9.97
2015-07-27 9.78 10.02 9.5 9.7 77700 9.7
2015-07-28 9.62 10 9.5 9.98 46600 9.98
2015-07-29 9.93 10.09 9.93 10.016 2600 10.016
2015-07-30 10.29 10.5 9.8 9.88 70100 9.88
2015-07-31 9.95 10.26 9.87 10.23 11400 10.23
2015-08-03 10.07 10.15 10.03 10.102 18200 10.102
2015-08-04 10.01 10.1 10.01 10.01 17000 10.01
2015-08-05 10.05 10.05 10 10 12400 10
2015-08-06 10 10.04 9.9 9.9 91900 9.9
2015-08-07 10.04 10.15 9.9 9.92 14200 9.92
2015-08-10 9.9 10.23 9.9 10.14 47000 10.14
2015-08-11 10.02 10.05 9.9 9.91 14400 9.91
2015-08-12 9.9 10.05 9.9 9.92 20800 9.92
2015-08-13 10.04 10.23 9.99 10.14 16600 10.14
2015-08-14 10.22 10.23 10 10.06 18700 10.06
2015-08-17 10.021 10.27 9.9 9.93 37600 9.93
2015-08-18 10 10 9.92 9.92 500 9.92
2015-08-19 10 10.14 10 10.01 10100 10.01
2015-08-20 10 10.19 10 10 6600 10
2015-08-21 10.01 10.01 9.5 9.5 26200 9.5
2015-08-24 8.96 9.3 7.72 7.72 187400 7.72
2015-08-25 8.2 9.9 8.2 8.7 57800 8.7
2015-08-26 8.54 8.698 8.19 8.38 14900 8.38
2015-08-27 8.8 10.5 8.8 10.28 100300 10.28
2015-08-28 9.99 10.045 9.87 9.91 65600 9.91
2015-08-31 10.09 10.1 9.15 9.73 72000 9.73
2015-09-01 9.58 9.92 8.91 9.5 66400 9.5
2015-09-02 9.66 10 9.08 9.5 66400 9.5
2015-09-03 9.45 9.99 9.15 9.5 69200 9.5
2015-09-04 9.45 10.1 9.29 9.29 145400 9.29
2015-09-08 9.05 10 9 10 60500 10
2015-09-09 10 10 9.34 9.34 22300 9.34
2015-09-10 9.29 9.43 8.5 8.5 104600 8.5
2015-09-11 8.74 9.02 8.53 8.71 30000 8.71
2015-09-14 8.68 8.68 8.19 8.33 33400 8.33
2015-09-15 8.42 8.7 8.42 8.57 6000 8.57
2015-09-16 8.748 9.05 8.7 8.87 5700 8.87
2015-09-17 8.87 8.93 8.61 8.61 8000 8.61
2015-09-18 8.62 8.62 8.19 8.2 4600 8.2
2015-09-21 8.44 8.45 8.084 8.35 22400 8.35
2015-09-22 8.312 8.45 8.312 8.44 7200 8.44
2015-09-23 8.44 8.44 8.44 8.44 0 8.44
2015-09-24 8.45 8.81 8.44 8.7 3000 8.7
2015-09-25 8.59 8.59 8.59 8.59 200 8.59
2015-09-28 8.463 8.49 8.28 8.29 3800 8.29
2015-09-29 8.47 8.528 8.23 8.23 7400 8.23
2015-09-30 8.5 9.8 8.16 9 110000 9
2015-10-01 9.34 9.34 9.25 9.26 1700 9.26
2015-10-02 9.1 9.1 8.93 8.93 3000 8.93
2015-10-05 9.05 9.21 8.71 9 14600 9
2015-10-06 8.95 9.49 8.88 9.44 7200 9.44
2015-10-07 9.5 9.62 9.14 9.54 9300 9.54
2015-10-08 9.73 9.8 9.73 9.8 2000 9.8
2015-10-09 9.59 9.595 9.45 9.45 2600 9.45
2015-10-12 9.36 9.36 9.01 9.12 2500 9.12
2015-10-13 8.99 8.99 8.99 8.99 200 8.99
2015-10-14 9.04 9.13 9.03 9.13 500 9.13
2015-10-15 9.27 9.6 9.27 9.39 4000 9.39
2015-10-16 9.2 9.416 9.2 9.416 1200 9.416
2015-10-19 9.163 9.3 9.163 9.2 3800 9.2
2015-10-20 9.39 9.45 9.1 9.13 6100 9.13
2015-10-21 9.1 9.1 9.1 9.1 300 9.1
2015-10-22 9.14 9.2 9.14 9.2 200 9.2
2015-10-23 9 9.05 8.912 9.02 88200 9.02
2015-10-26 9.05 9.05 8.86 9.02 27300 9.02
2015-10-27 8.91 9.05 8.91 9.01 3400 9.01
2015-10-28 8.932 9 8.85 8.86 10700 8.86
2015-10-29 9.04 9.04 8.905 8.94 1100 8.94
2015-10-30 9 9 8.782 8.83 600 8.83
