"Index" "KA.Open" "KA.High" "KA.Low" "KA.Close" "KA.Volume" "KA.Adjusted"
2013-01-01 990 990 990 990 0 990
2013-01-02 990 990 990 990 0 990
2013-01-03 990 990 990 990 0 990
2013-01-04 990 990 990 990 0 990
2013-01-07 990 990 990 990 0 990
2013-01-08 990 990 990 990 0 990
2013-01-09 990 990 990 990 0 990
2013-01-10 990 990 990 990 0 990
2013-01-11 990 990 990 990 0 990
2013-01-14 990 990 990 990 0 990
2013-01-15 990 990 990 990 0 990
2013-01-16 990 990 990 990 0 990
2013-01-17 990 990 990 990 0 990
2013-01-18 990 990 990 990 0 990
2013-01-21 990 990 990 990 0 990
2013-01-22 990 990 990 990 0 990
2013-01-23 990 990 990 990 0 990
2013-01-24 990 990 990 990 0 990
2013-01-28 990 990 990 990 0 990
2013-01-29 990 990 990 990 0 990
2013-01-30 990 990 990 990 0 990
2013-01-31 990 990 990 990 0 990
2013-02-01 990 990 990 990 0 990
2013-02-04 990 990 990 990 0 990
2013-02-05 990 990 990 990 0 990
2013-02-06 990 990 990 990 0 990
2013-02-07 990 990 990 990 0 990
2013-02-08 990 990 990 990 0 990
2013-02-11 990 990 990 990 0 990
2013-02-12 990 990 990 990 0 990
2013-02-13 990 990 990 990 0 990
2013-02-14 990 990 990 990 0 990
2013-02-15 990 990 990 990 0 990
2013-02-18 990 990 990 990 0 990
2013-02-19 990 990 990 990 0 990
2013-02-20 990 990 990 990 0 990
2013-02-21 990 990 990 990 0 990
2013-02-22 990 990 990 990 0 990
2013-02-25 990 990 990 990 0 990
2013-02-26 990 990 990 990 0 990
2013-02-27 990 990 990 990 0 990
2013-02-28 990 990 990 990 0 990
2013-03-01 990 990 990 990 0 990
2013-03-04 990 990 990 990 0 990
2013-03-05 990 990 990 990 0 990
2013-03-06 990 990 990 990 0 990
2013-03-07 990 990 990 990 0 990
2013-03-08 990 990 990 990 0 990
2013-03-11 990 990 990 990 0 990
2013-03-12 990 990 990 990 0 990
2013-03-13 990 990 990 990 0 990
2013-03-14 990 990 990 990 0 990
2013-03-15 990 990 990 990 0 990
2013-03-18 990 990 990 990 0 990
2013-03-19 990 990 990 990 0 990
2013-03-20 990 990 990 990 0 990
2013-03-21 990 990 990 990 0 990
2013-03-22 990 990 990 990 0 990
2013-03-25 990 990 990 990 0 990
2013-03-26 990 990 990 990 0 990
2013-03-27 990 990 990 990 0 990
2013-03-28 990 990 990 990 0 990
2013-03-29 990 990 990 990 0 990
2013-04-01 990 990 990 990 0 990
2013-04-02 990 990 990 990 0 990
2013-04-03 990 990 990 990 0 990
2013-04-04 990 990 990 990 0 990
2013-04-05 990 990 990 990 0 990
2013-04-08 990 990 990 990 0 990
2013-04-09 990 990 990 990 0 990
2013-04-10 990 990 990 990 0 990
2013-04-11 990 990 990 990 0 990
2013-04-12 990 990 990 990 0 990
2013-04-15 990 990 990 990 0 990
2013-04-16 990 990 990 990 0 990
2013-04-17 990 990 990 990 0 990
2013-04-18 990 990 990 990 0 990
2013-04-19 990 990 990 990 0 990
2013-04-22 990 990 990 990 0 990
2013-04-23 990 990 990 990 0 990
2013-04-24 990 990 990 990 0 990
2013-04-25 990 990 990 990 0 990
2013-04-26 990 990 990 990 0 990
2013-04-29 990 990 990 990 0 990
2013-04-30 990 990 990 990 0 990
2013-05-01 990 990 990 990 0 990
2013-05-02 990 990 990 990 0 990
2013-05-03 990 990 990 990 0 990
2013-05-06 990 990 990 990 0 990
2013-05-07 990 990 990 990 0 990
2013-05-08 990 990 990 990 0 990
2013-05-09 990 990 990 990 0 990
2013-05-10 990 990 990 990 0 990
2013-05-13 990 990 990 990 0 990
2013-05-14 990 990 990 990 0 990
2013-05-15 990 990 990 990 0 990
2013-05-16 990 990 990 990 0 990
2013-05-17 990 990 990 990 0 990
2013-05-20 990 990 990 990 0 990
2013-05-21 990 990 990 990 0 990
2013-05-22 990 990 990 990 0 990
2013-05-23 990 990 990 990 0 990
2013-05-24 990 990 990 990 0 990
2013-05-27 990 990 990 990 0 990
2013-05-28 990 990 990 990 0 990
2013-05-29 990 990 990 990 0 990
2013-05-30 990 990 990 990 0 990
2013-05-31 990 990 990 990 0 990
2013-06-03 990 990 990 990 0 990
2013-06-04 990 990 990 990 0 990
2013-06-05 990 990 990 990 0 990
2013-06-06 990 990 990 990 0 990
2013-06-07 990 990 990 990 0 990
2013-06-10 990 990 990 990 0 990
2013-06-11 990 990 990 990 0 990
2013-06-12 990 990 990 990 0 990
2013-06-13 990 990 990 990 0 990
2013-06-14 990 990 990 990 0 990
2013-06-17 990 990 990 990 0 990
2013-06-18 990 990 990 990 0 990
2013-06-19 990 990 990 990 0 990
2013-06-20 990 990 990 990 0 990
2013-06-21 990 990 990 990 0 990
2013-06-24 990 990 990 990 0 990
2013-06-25 990 990 990 990 0 990
2013-06-26 990 990 990 990 0 990
2013-06-27 990 990 990 990 0 990
2013-06-28 990 990 990 990 0 990
2013-07-01 990 990 990 990 0 990
2013-07-02 990 990 990 990 0 990
2013-07-03 990 990 990 990 0 990
2013-07-04 990 990 990 990 0 990
2013-07-05 990 990 990 990 0 990
2013-07-08 990 990 990 990 0 990
2013-07-09 990 990 990 990 0 990
2013-07-10 990 990 990 990 0 990
2013-07-11 990 990 990 990 0 990
2013-07-12 990 990 990 990 0 990
2013-07-15 990 990 990 990 0 990
2013-07-16 990 990 990 990 0 990
2013-07-17 990 990 990 990 0 990
2013-07-18 990 990 990 990 0 990
2013-07-19 990 990 990 990 0 990
2013-07-22 990 990 990 990 0 990
2013-07-23 990 990 990 990 0 990
2013-07-24 990 990 990 990 0 990
2013-07-25 990 990 990 990 0 990
2013-07-26 990 990 990 990 0 990
2013-07-29 990 990 990 990 0 990
2013-07-30 990 990 990 990 0 990
2013-07-31 990 990 990 990 0 990
2013-08-01 990 990 990 990 0 990
2013-08-02 990 990 990 990 0 990
2013-08-05 990 990 990 990 0 990
2013-08-06 990 990 990 990 0 990
2013-08-07 990 990 990 990 0 990
2013-08-08 990 990 990 990 0 990
2013-08-09 990 990 990 990 0 990
2013-08-12 990 990 990 990 0 990
2013-08-13 990 990 990 990 0 990
2013-08-14 990 990 990 990 0 990
2013-08-15 990 990 990 990 0 990
2013-08-16 990 990 990 990 0 990
2013-08-19 990 990 990 990 0 990
2013-08-20 990 990 990 990 0 990
2013-08-21 990 990 990 990 0 990
2013-08-22 990 990 990 990 0 990
2013-08-23 990 990 990 990 0 990
2013-08-26 990 990 990 990 0 990
2013-08-27 990 990 990 990 0 990
2013-08-28 990 990 990 990 0 990
2013-08-29 990 990 990 990 0 990
2013-08-30 990 990 990 990 0 990
2013-09-02 990 990 990 990 0 990
2013-09-03 990 990 990 990 0 990
2013-09-04 990 990 990 990 0 990
2013-09-05 990 990 990 990 0 990
2013-09-06 990 990 990 990 0 990
2013-09-09 990 990 990 990 0 990
2013-09-10 990 990 990 990 0 990
2013-09-11 990 990 990 990 0 990
2013-09-12 990 990 990 990 0 990
2013-09-13 990 990 990 990 0 990
2013-09-16 990 990 990 990 0 990
2013-09-17 990 990 990 990 0 990
2013-09-18 990 990 990 990 0 990
2013-09-19 990 990 990 990 0 990
2013-09-20 990 990 990 990 0 990
2013-09-23 990 990 990 990 0 990
2013-09-24 990 990 990 990 0 990
2013-09-25 990 990 990 990 0 990
2013-09-26 990 990 990 990 0 990
2013-09-27 990 990 990 990 0 990
2013-09-30 990 990 990 990 0 990
2013-10-01 990 990 990 990 0 990
2013-10-02 990 990 990 990 0 990
2013-10-03 990 990 990 990 0 990
2013-10-04 990 990 990 990 0 990
2013-10-07 990 990 990 990 0 990
2013-10-08 990 990 990 990 0 990
2013-10-09 990 990 990 990 0 990
2013-10-10 990 990 990 990 0 990
2013-10-11 990 990 990 990 0 990
2013-10-14 990 990 990 990 0 990
2013-10-15 990 990 990 990 0 990
2013-10-16 990 990 990 990 0 990
2013-10-17 990 990 990 990 0 990
2013-10-18 990 990 990 990 0 990
2013-10-21 990 990 990 990 0 990
2013-10-22 990 990 990 990 0 990
2013-10-23 990 990 990 990 0 990
2013-10-24 990 990 990 990 0 990
2013-10-25 990 990 990 990 0 990
2013-10-28 990 990 990 990 0 990
2013-10-29 990 990 990 990 0 990
2013-10-30 990 990 990 990 0 990
2013-10-31 990 990 990 990 0 990
2013-11-01 990 990 990 990 0 990
2013-11-04 990 990 990 990 0 990
2013-11-05 990 990 990 990 0 990
2013-11-06 990 990 990 990 0 990
2013-11-07 990 990 990 990 0 990
2013-11-08 990 990 990 990 0 990
2013-11-11 990 990 990 990 0 990
2013-11-12 990 990 990 990 0 990
2013-11-13 990 990 990 990 0 990
2013-11-14 990 990 990 990 0 990
2013-11-15 990 990 990 990 0 990
2013-11-18 990 990 990 990 0 990
2013-11-19 990 990 990 990 0 990
2013-11-20 990 990 990 990 0 990
2013-11-21 990 990 990 990 0 990
2013-11-22 990 990 990 990 0 990
2013-11-25 990 990 990 990 0 990
2013-11-26 990 990 990 990 0 990
2013-11-27 990 990 990 990 0 990
2013-11-28 990 990 990 990 0 990
2013-11-29 990 990 990 990 0 990
2013-12-02 990 990 990 990 0 990
2013-12-03 990 990 990 990 0 990
2013-12-04 990 990 990 990 0 990
2013-12-05 990 990 990 990 0 990
2013-12-06 990 990 990 990 0 990
2013-12-09 990 990 990 990 0 990
2013-12-10 990 990 990 990 0 990
2013-12-11 990 990 990 990 0 990
2013-12-12 990 990 990 990 0 990
2013-12-13 990 990 990 990 0 990
2013-12-16 990 990 990 990 0 990
2013-12-17 990 990 990 990 0 990
2013-12-18 990 990 990 990 0 990
2013-12-19 990 990 990 990 0 990
2013-12-20 990 990 990 990 0 990
2013-12-23 990 990 990 990 0 990
2013-12-24 990 990 990 990 0 990
2013-12-25 990 990 990 990 0 990
2013-12-26 990 990 990 990 0 990
2013-12-27 990 990 990 990 0 990
2013-12-30 990 990 990 990 0 990
2013-12-31 990 990 990 990 0 990
2014-01-01 990 990 990 990 0 990
2014-01-02 990 990 990 990 0 990
2014-01-03 990 990 990 990 0 990
2014-01-06 990 990 990 990 0 990
2014-01-07 990 990 990 990 0 990
2014-01-08 990 990 990 990 0 990
2014-01-09 990 990 990 990 0 990
2014-01-10 990 990 990 990 0 990
2014-01-13 990 990 990 990 0 990
2014-01-14 990 990 990 990 0 990
2014-01-15 990 990 990 990 0 990
2014-01-16 990 990 990 990 0 990
2014-01-17 990 990 990 990 0 990
2014-01-20 990 990 990 990 0 990
2014-01-21 990 990 990 990 0 990
2014-01-22 990 990 990 990 0 990
2014-01-23 990 990 990 990 0 990
2014-01-24 990 990 990 990 0 990
2014-01-27 990 990 990 990 0 990
2014-01-28 990 990 990 990 0 990
2014-01-29 990 990 990 990 0 990
2014-01-30 990 990 990 990 0 990
2014-01-31 990 990 990 990 0 990
2014-02-03 990 990 990 990 0 990
2014-02-04 990 990 990 990 0 990
2014-02-05 990 990 990 990 0 990
2014-02-06 990 990 990 990 0 990
2014-02-07 990 990 990 990 0 990
2014-02-10 990 990 990 990 0 990
2014-02-11 990 990 990 990 0 990
2014-02-12 990 990 990 990 0 990
2014-02-13 990 990 990 990 0 990
2014-02-14 990 990 990 990 0 990
2014-02-17 990 990 990 990 0 990
2014-02-18 990 990 990 990 0 990
2014-02-19 990 990 990 990 0 990
2014-02-20 990 990 990 990 0 990
2014-02-21 990 990 990 990 0 990
2014-02-24 990 990 990 990 0 990
2014-02-25 990 990 990 990 0 990
2014-02-26 990 990 990 990 0 990
