"Index" "KB.Open" "KB.High" "KB.Low" "KB.Close" "KB.Volume" "KB.Adjusted"
2013-01-02 36.509998 36.93 36.509998 36.830002 215500 36.830002
2013-01-03 36.91 36.959999 36.709999 36.790001 127100 36.790001
2013-01-04 36.669998 36.799999 36.450001 36.700001 127100 36.700001
2013-01-07 37.049999 37.279999 36.970001 37.130001 150100 37.130001
2013-01-08 36.400002 36.439999 36.130001 36.279999 137000 36.279999
2013-01-09 36.18 36.330002 36.07 36.18 141700 36.18
2013-01-10 36.049999 36.419998 36.049999 36.380001 101600 36.380001
2013-01-11 35.950001 36.299999 35.82 36.299999 701000 36.299999
2013-01-14 36.66 36.779999 36.599998 36.700001 106000 36.700001
2013-01-15 36.139999 36.419998 36.139999 36.419998 144900 36.419998
2013-01-16 36.369999 36.650002 36.349998 36.599998 367400 36.599998
2013-01-17 36.939999 37.119999 36.860001 36.970001 149300 36.970001
2013-01-18 37.169998 37.279999 37.130001 37.25 94900 37.25
2013-01-22 37.52 37.549999 37.259998 37.450001 151600 37.450001
2013-01-23 36.950001 36.959999 36.799999 36.939999 197800 36.939999
2013-01-24 36.82 36.98 36.639999 36.880001 229100 36.880001
2013-01-25 36.75 36.75 36.470001 36.68 212000 36.68
2013-01-28 37.18 37.400002 37.119999 37.25 189800 37.25
2013-01-29 36.610001 36.73 36.470001 36.540001 259400 36.540001
2013-01-30 36.459999 36.459999 36.110001 36.169998 174600 36.169998
2013-01-31 35.5 35.5 35.23 35.32 221300 35.32
2013-02-01 35.560001 35.75 35.400002 35.68 357500 35.68
2013-02-04 35.389999 35.389999 35.080002 35.150002 127900 35.150002
2013-02-05 35.009998 35.310001 34.939999 35.169998 202200 35.169998
2013-02-06 34.459999 34.68 34.41 34.650002 591500 34.650002
2013-02-07 34.25 34.400002 34.099998 34.240002 149500 34.240002
2013-02-08 34.669998 34.669998 34.41 34.610001 81300 34.610001
2013-02-11 34.610001 34.619999 34.400002 34.509998 106000 34.509998
2013-02-12 34.630001 34.91 34.599998 34.720001 96800 34.720001
2013-02-13 35.169998 35.200001 34.869999 34.919998 143800 34.919998
2013-02-14 34.66 34.790001 34.599998 34.759998 201000 34.759998
2013-02-15 34.459999 34.52 34.279999 34.439999 232000 34.439999
2013-02-19 34.830002 34.919998 34.759998 34.799999 76600 34.799999
2013-02-20 35.779999 35.830002 35.130001 35.130001 146300 35.130001
2013-02-21 35.32 35.349998 34.580002 34.790001 174600 34.790001
2013-02-22 35.630001 35.799999 35.389999 35.5 125800 35.5
2013-02-25 35.939999 35.939999 34.880001 34.919998 153900 34.919998
2013-02-26 35.400002 35.470001 35.099998 35.349998 236500 35.349998
2013-02-27 35.57 35.860001 35.5 35.84 155900 35.84
2013-02-28 36.189999 36.34 35.41 35.43 229500 35.43
2013-03-01 35.41 35.849998 35.360001 35.799999 186900 35.799999
2013-03-04 35.700001 35.82 35.549999 35.759998 127400 35.759998
2013-03-05 35.700001 35.889999 35.639999 35.779999 169200 35.779999
2013-03-06 36.099998 36.189999 35.970001 36.119999 127700 36.119999
2013-03-07 35.810001 35.959999 35.709999 35.889999 129700 35.889999
2013-03-08 35.619999 35.720001 35.23 35.400002 431700 35.400002
2013-03-11 35.279999 35.279999 35.07 35.189999 228400 35.189999
2013-03-12 34.98 35.009998 34.560001 34.580002 207600 34.580002
2013-03-13 34.389999 34.389999 34.130001 34.220001 151100 34.220001
2013-03-14 34.209999 34.310001 34.110001 34.209999 116100 34.209999
2013-03-15 34.02 34.080002 33.68 33.720001 187900 33.720001
2013-03-18 33.599998 33.700001 33.549999 33.560001 169300 33.560001
2013-03-19 33.669998 33.669998 33 33.119999 250500 33.119999
2013-03-20 32.98 33.009998 32.720001 32.830002 106800 32.830002
2013-03-21 32.490002 32.490002 32.16 32.16 203500 32.16
2013-03-22 32.400002 32.540001 32.380001 32.5 144000 32.5
2013-03-25 32.799999 33.099998 32.650002 32.759998 146200 32.759998
2013-03-26 32.990002 33.169998 32.790001 32.91 201500 32.91
2013-03-27 32.91 33 32.830002 32.970001 126800 32.970001
2013-03-28 33.150002 33.240002 32.970001 33.040001 104500 33.040001
2013-04-01 33.259998 33.389999 33.060001 33.189999 186400 33.189999
2013-04-02 33.259998 33.34 33.02 33.150002 161200 33.150002
2013-04-03 33.150002 33.380001 32.68 32.759998 164700 32.759998
2013-04-04 32.700001 32.73 32.279999 32.41 132300 32.41
2013-04-05 31.65 31.65 31.33 31.6 182300 31.6
2013-04-08 31.559999 31.559999 31.209999 31.469999 173000 31.469999
2013-04-09 31.48 31.709999 31.32 31.540001 74000 31.540001
2013-04-10 32.18 32.48 32.169998 32.400002 249100 32.400002
2013-04-11 32.52 32.720001 32.459999 32.68 118800 32.68
2013-04-12 31.870001 31.940001 31.57 31.66 297200 31.66
2013-04-15 31.610001 31.719999 31.120001 31.120001 286300 31.120001
2013-04-16 31.91 32.139999 31.82 32.130001 144100 32.130001
2013-04-17 31.27 31.27 30.85 31.08 90600 31.08
2013-04-18 31.059999 31.059999 30.65 30.73 73000 30.73
2013-04-19 31.139999 31.18 31 31.049999 158900 31.049999
2013-04-22 31.35 31.879999 31.35 31.860001 137400 31.860001
2013-04-23 31.889999 32.27 31.879999 32.259998 326800 32.259998
2013-04-24 32.18 32.43 32.119999 32.23 98200 32.23
2013-04-25 32.029999 32.189999 31.950001 32.080002 102200 32.080002
2013-04-26 31.9 31.9 31.73 31.73 75300 31.73
2013-04-29 31.719999 32.07 31.719999 31.959999 110000 31.959999
2013-04-30 32.099998 32.849998 32.099998 32.799999 156500 32.799999
2013-05-01 32.700001 32.790001 32.439999 32.509998 93500 32.509998
2013-05-02 32.02 32.040001 31.75 32.009998 92300 32.009998
2013-05-03 31.6 32.040001 31.6 32.009998 208700 32.009998
2013-05-06 32.09 32.259998 32.02 32.240002 175300 32.240002
2013-05-07 32.48 32.73 32.389999 32.669998 140000 32.669998
2013-05-08 32.799999 32.82 32.490002 32.799999 200900 32.799999
2013-05-09 33.119999 33.32 32.990002 33.099998 159300 33.099998
2013-05-10 32.82 32.860001 32.419998 32.700001 97100 32.700001
2013-05-13 32.34 32.389999 32.189999 32.27 90900 32.27
2013-05-14 32.459999 32.669998 32.439999 32.560001 89400 32.560001
2013-05-15 32.619999 32.830002 32.619999 32.799999 97000 32.799999
2013-05-16 32.869999 33.200001 32.860001 32.919998 107700 32.919998
2013-05-17 33.139999 33.139999 32.889999 32.970001 93600 32.970001
2013-05-20 33.290001 33.48 33.25 33.459999 37600 33.459999
2013-05-21 33.27 33.34 32.970001 33.150002 179200 33.150002
2013-05-22 33.52 33.860001 33.18 33.259998 375100 33.259998
2013-05-23 32.630001 32.84 32.529999 32.84 116400 32.84
2013-05-24 32.959999 33.040001 32.860001 32.990002 113900 32.990002
2013-05-28 33.259998 33.369999 33.200001 33.200001 368800 33.200001
2013-05-29 33.029999 33.119999 32.939999 33.099998 67300 33.099998
2013-05-30 33.119999 33.279999 33.119999 33.200001 114500 33.200001
2013-05-31 32.639999 32.779999 32.509998 32.650002 243100 32.650002
2013-06-03 32.970001 33.259998 32.91 33.259998 110900 33.259998
2013-06-04 32.919998 32.990002 32.700001 32.849998 238000 32.849998
2013-06-05 32.689999 32.689999 32.060001 32.150002 145000 32.150002
2013-06-06 32.220001 32.259998 31.950001 32.23 92700 32.23
2013-06-07 32.380001 32.529999 32.150002 32.470001 58300 32.470001
2013-06-10 32.459999 32.459999 32.130001 32.209999 123300 32.209999
2013-06-11 31.639999 32.099998 31.639999 31.92 119000 31.92
2013-06-12 32.200001 32.200001 31.58 31.629999 74100 31.629999
2013-06-13 31.389999 31.84 31.33 31.790001 93400 31.790001
2013-06-14 31.67 31.67 31.200001 31.290001 160900 31.290001
2013-06-17 31.73 31.73 31.34 31.440001 90500 31.440001
2013-06-18 31.4 31.48 31.209999 31.33 62900 31.33
2013-06-19 31.35 31.41 30.629999 30.65 98700 30.65
2013-06-20 30.110001 30.110001 29.52 29.719999 141700 29.719999
2013-06-21 29.879999 29.879999 29.43 29.65 265300 29.65
2013-06-24 29.030001 29.4 28.74 29.17 221400 29.17
2013-06-25 29.66 29.790001 29.110001 29.440001 202000 29.440001
2013-06-26 29.52 29.52 29.1 29.41 139500 29.41
2013-06-27 29.629999 29.629999 29.370001 29.58 104900 29.58
2013-06-28 29.52 29.709999 29.370001 29.629999 139700 29.629999
2013-07-01 29.74 30.120001 29.74 29.959999 83900 29.959999
2013-07-02 29.799999 29.889999 29.41 29.59 122300 29.59
2013-07-03 29.09 29.09 28.59 28.92 97100 28.92
2013-07-05 28.98 29.08 28.49 28.85 121000 28.85
2013-07-08 29.610001 29.75 29.32 29.34 133700 29.34
2013-07-09 29.549999 29.73 29.41 29.719999 107100 29.719999
2013-07-10 29.889999 30.1 29.75 30.02 175900 30.02
2013-07-11 30.940001 31.450001 30.940001 31.440001 108200 31.440001
2013-07-12 31.549999 31.76 31.34 31.76 126100 31.76
2013-07-15 31.48 31.73 31.440001 31.68 68900 31.68
2013-07-16 31.549999 31.549999 31.17 31.25 71100 31.25
2013-07-17 31.02 31.02 30.799999 30.93 66700 30.93
2013-07-18 30.6 30.84 30.370001 30.59 255000 30.59
2013-07-19 30.84 31.07 30.780001 31.07 75600 31.07
2013-07-22 31.07 31.91 31.040001 31.690001 400500 31.690001
2013-07-23 32.139999 32.240002 32.080002 32.119999 83400 32.119999
2013-07-24 32.389999 32.400002 31.950001 32.139999 51400 32.139999
2013-07-25 32.09 32.110001 31.879999 32.110001 69900 32.110001
2013-07-26 31.889999 32.150002 31.76 31.870001 55700 31.870001
2013-07-29 31.790001 31.940001 31.66 31.700001 94200 31.700001
2013-07-30 31.889999 31.940001 31.66 31.83 126600 31.83
2013-07-31 31.66 31.77 31.49 31.620001 259300 31.620001
2013-08-01 32.450001 32.450001 32.150002 32.34 182700 32.34
2013-08-02 32.41 32.91 32.400002 32.849998 136700 32.849998
2013-08-05 32.709999 32.849998 32.610001 32.790001 69500 32.790001
2013-08-06 32.66 32.66 32.299999 32.400002 132100 32.400002
2013-08-07 32.150002 32.150002 31.99 32.130001 46200 32.130001
2013-08-08 32.450001 32.700001 32.400002 32.689999 65600 32.689999
2013-08-09 32.689999 32.73 32.610001 32.650002 82500 32.650002
2013-08-12 32.400002 32.619999 32.279999 32.509998 78000 32.509998
2013-08-13 32.470001 32.650002 32.34 32.490002 82600 32.490002
2013-08-14 32.860001 32.860001 32.23 32.419998 58200 32.419998
2013-08-15 31.940001 32.209999 31.610001 32.119999 59400 32.119999
2013-08-16 32.240002 32.369999 32.009998 32.049999 81300 32.049999
2013-08-19 31.889999 32.040001 31.790001 31.85 100300 31.85
2013-08-20 31.85 31.950001 31.790001 31.860001 36500 31.860001
2013-08-21 31.58 31.67 31.26 31.299999 111600 31.299999
2013-08-22 31.299999 31.389999 31.190001 31.32 64900 31.32
2013-08-23 31.469999 31.639999 31.219999 31.6 87400 31.6
2013-08-26 31.49 31.49 31.1 31.15 81300 31.15
2013-08-27 30.68 30.77 30.5 30.5 80800 30.5
2013-08-28 30.58 30.860001 30.540001 30.690001 54200 30.690001
2013-08-29 31.67 31.76 31.4 31.5 140400 31.5
2013-08-30 31.91 32.049999 31.469999 31.610001 104900 31.610001
2013-09-03 32.580002 32.759998 32.439999 32.540001 132000 32.540001
2013-09-04 32.799999 32.889999 32.669998 32.830002 103100 32.830002
2013-09-05 32.830002 33.189999 32.77 33.150002 243800 33.150002
2013-09-06 33.029999 33.369999 32.799999 33.25 192600 33.25
2013-09-09 33.59 33.950001 33.59 33.93 122100 33.93
2013-09-10 34.009998 34.189999 33.830002 33.990002 281400 33.990002
2013-09-11 34.009998 34.34 34.009998 34.200001 94800 34.200001
2013-09-12 33.990002 34.080002 33.709999 33.849998 123600 33.849998
2013-09-13 34.080002 34.150002 33.52 34.02 154400 34.02
2013-09-16 34.599998 34.919998 34.34 34.369999 145500 34.369999
2013-09-17 34.779999 34.939999 34.32 34.59 321400 34.59
2013-09-18 34.639999 35.700001 34.529999 35.689999 152800 35.689999
2013-09-19 35.740002 35.740002 35.259998 35.549999 65200 35.549999
2013-09-20 35.490002 35.490002 35.02 35.040001 176300 35.040001
2013-09-23 35.810001 35.860001 35.459999 35.720001 177900 35.720001
2013-09-24 35.900002 36 35.470001 35.509998 139400 35.509998
2013-09-25 35.290001 35.290001 34.919998 34.959999 87400 34.959999
2013-09-26 35.52 35.639999 35 35.619999 119200 35.619999
2013-09-27 34.91 35.610001 34.91 35.439999 178300 35.439999
