"Index" "KE.Open" "KE.High" "KE.Low" "KE.Close" "KE.Volume" "KE.Adjusted"
2014-11-03 5.19 9.29 5.19 7.22 142500 7.22
2014-11-04 7.5 13.77 7.34 8.75 552700 8.75
2014-11-05 9.5 11.39 9.4 10.06 316100 10.06
2014-11-06 10.49 10.61 10.17 10.46 144800 10.46
2014-11-07 10.8 10.818 9.74 9.96 219500 9.96
2014-11-10 10.02 10.5 9.86 10.14 134600 10.14
2014-11-11 10.3 10.49 10.12 10.16 131500 10.16
2014-11-12 10.2 10.25 9.85 10.03 126800 10.03
2014-11-13 9.98 10.2 9.91 10 85000 10
2014-11-14 10.3 10.34 9.96 10.04 113600 10.04
2014-11-17 10 10.45 9.975 10.32 185400 10.32
2014-11-18 10.4 10.75 10.4 10.64 135600 10.64
2014-11-19 10.35 11 10.35 10.8 168100 10.8
2014-11-20 10.72 10.95 10.58 10.7 76800 10.7
2014-11-21 10.91 10.91 10.51 10.74 238300 10.74
2014-11-24 10.82 10.99 10.38 10.93 172600 10.93
2014-11-25 11 11 10.52 10.76 164500 10.76
2014-11-26 10.65 11.03 10.65 11 285200 11
2014-11-28 11.06 11.14 11 11 25500 11
2014-12-01 11 11.04 10.501 10.59 188200 10.59
2014-12-02 10.64 10.9 10 10.21 105500 10.21
2014-12-03 9.93 10.47 9.26 9.65 176700 9.65
2014-12-04 9.75 10.16 9.515 9.79 173400 9.79
2014-12-05 9.72 9.92 9.65 9.92 147700 9.92
2014-12-08 9.86 11.15 9.78 11.1 209100 11.1
2014-12-09 10.95 11.14 10.95 11.06 121800 11.06
2014-12-10 11 11.12 11 11 94800 11
2014-12-11 11 11.08 11 11.04 132400 11.04
2014-12-12 10.84 11.12 10.84 11.03 142600 11.03
2014-12-15 11 11.122 11 11.03 80500 11.03
2014-12-16 10.95 11.14 10.78 11.02 168300 11.02
2014-12-17 11 11.74 10.84 11.68 181500 11.68
2014-12-18 11.75 12.021 11.29 11.88 84200 11.88
2014-12-19 11.84 11.97 11.36 11.82 184200 11.82
2014-12-22 11.9 11.9 11.205 11.42 46400 11.42
2014-12-23 11.4 11.4 11.14 11.4 55500 11.4
2014-12-24 11.19 11.47 11.175 11.46 28500 11.46
2014-12-26 11.46 12.02 11.46 12 23600 12
2014-12-29 11.93 12.16 11.48 12.01 44100 12.01
2014-12-30 11.91 12.41 11.75 12.3 50300 12.3
2014-12-31 12.25 12.25 11.75 12.02 34600 12.02
2015-01-02 12.14 12.14 11.31 11.37 21900 11.37
2015-01-05 11.37 11.37 11 11.15 39600 11.15
2015-01-06 11.12 11.18 10.81 11.08 57600 11.08
2015-01-07 11.02 11.1 10.895 11.08 72900 11.08
2015-01-08 11.1 11.36 10.93 11.21 49400 11.21
2015-01-09 11.19 11.19 10.85 11.13 26700 11.13
2015-01-12 11.09 11.09 10.45 10.88 67200 10.88
2015-01-13 11 11.1 10.73 11.02 51700 11.02
2015-01-14 10.91 10.92 10.54 10.81 17000 10.81
2015-01-15 10.76 11.01 10.76 10.94 55800 10.94
2015-01-16 10.89 11.57 10.89 11.5 39500 11.5
2015-01-20 11.56 11.56 10.84 10.99 45400 10.99
2015-01-21 10.9 10.91 10.64 10.87 71800 10.87
2015-01-22 10.96 11.16 10.68 11.1 44300 11.1
2015-01-23 11.06 11.1 10.76 10.97 42700 10.97
2015-01-26 10.85 11.14 10.85 11.08 44300 11.08
2015-01-27 11 11.06 10.96 11.01 43200 11.01
2015-01-28 10.91 11.1 10.73 10.98 71200 10.98
2015-01-29 10.94 11.07 10.75 10.88 43700 10.88
2015-01-30 10.77 11.01 10.07 10.18 77000 10.18
2015-02-02 10.5 10.7 10.11 10.64 59200 10.64
2015-02-03 10.56 11.29 10.5 11.14 93700 11.14
2015-02-04 11.12 11.12 10.91 11.05 93100 11.05
2015-02-05 11.11 11.29 11.05 11.22 49000 11.22
2015-02-06 11.18 11.21 11 11.05 74800 11.05
2015-02-09 11.02 11.12 10.85 10.95 46700 10.95
2015-02-10 10.91 11.28 10.91 11.14 56700 11.14
2015-02-11 11.09 11.09 10.8 11.03 168700 11.03
2015-02-12 11.13 11.87 11.04 11.81 133600 11.81
