"Index" "KEP.Open" "KEP.High" "KEP.Low" "KEP.Close" "KEP.Volume" "KEP.Adjusted"
2013-01-02 14.69 14.76 14.68 14.74 3066800 14.74
2013-01-03 14.74 14.81 14.66 14.69 1746000 14.69
2013-01-04 14.64 14.71 14.6 14.71 2239800 14.71
2013-01-07 14.42 14.45 14.32 14.35 638300 14.35
2013-01-08 14.35 14.41 14.27 14.34 956800 14.34
2013-01-09 14.81 14.98 14.77 14.86 1320300 14.86
2013-01-10 15.36 15.43 15.28 15.4 1323500 15.4
2013-01-11 15.77 15.81 15.69 15.81 1108600 15.81
2013-01-14 16.35 16.389999 16.280001 16.35 1104200 16.35
2013-01-15 15.79 15.87 15.68 15.79 764600 15.79
2013-01-16 15.88 15.97 15.84 15.94 633700 15.94
2013-01-17 15.93 15.98 15.9 15.9 729100 15.9
2013-01-18 16.040001 16.110001 16.02 16.09 648500 16.09
2013-01-22 16.040001 16.129999 15.98 16.049999 979700 16.049999
2013-01-23 15.75 15.85 15.7 15.85 485800 15.85
2013-01-24 15.96 16.059999 15.95 16.01 500400 16.01
2013-01-25 16.09 16.120001 15.99 16.09 369500 16.09
2013-01-28 15.95 16.040001 15.91 16.040001 389100 16.040001
2013-01-29 15.51 15.66 15.48 15.63 530300 15.63
2013-01-30 14.78 14.93 14.77 14.87 1291200 14.87
2013-01-31 14.94 15.02 14.93 15.01 769500 15.01
2013-02-01 15.26 15.33 15.21 15.29 564700 15.29
2013-02-04 15.37 15.44 15.32 15.35 444800 15.35
2013-02-05 15.08 15.12 15.03 15.06 598100 15.06
2013-02-06 15.04 15.1 15.04 15.08 273700 15.08
2013-02-07 14.66 14.68 14.57 14.62 465300 14.62
2013-02-08 14.44 14.48 14.4 14.47 290400 14.47
2013-02-11 14.46 14.48 14.36 14.44 238100 14.44
2013-02-12 14.06 14.19 13.98 14.14 658300 14.14
2013-02-13 14.41 14.5 14.38 14.46 804700 14.46
2013-02-14 14.14 14.25 14.11 14.21 932900 14.21
2013-02-15 14.26 14.35 14.26 14.33 847200 14.33
2013-02-19 14.48 14.6 14.46 14.55 1002400 14.55
2013-02-20 14.67 14.74 14.58 14.6 707400 14.6
2013-02-21 14.46 14.49 14.3 14.36 834000 14.36
2013-02-22 14.74 14.79 14.68 14.73 757700 14.73
2013-02-25 14.66 14.66 14.28 14.3 1052300 14.3
2013-02-26 14.19 14.27 14.1 14.27 413000 14.27
2013-02-27 14.9 15.04 14.88 15.02 431000 15.02
2013-02-28 15.03 15.06 14.94 14.96 484200 14.96
2013-03-01 14.84 14.94 14.81 14.94 200100 14.94
2013-03-04 14.82 14.97 14.81 14.95 334700 14.95
2013-03-05 15.2 15.26 15.18 15.19 362100 15.19
2013-03-06 15.24 15.24 15.15 15.16 332400 15.16
2013-03-07 14.95 15.04 14.92 15.03 304700 15.03
2013-03-08 14.86 14.88 14.79 14.83 225700 14.83
2013-03-11 14.72 14.8 14.72 14.77 284000 14.77
2013-03-12 14.66 14.68 14.58 14.62 234100 14.62
