"Index" "KMF.Open" "KMF.High" "KMF.Low" "KMF.Close" "KMF.Volume" "KMF.Adjusted"
2013-01-02 29.280001 29.73 29.08 29.52 87300 24.000866
2013-01-03 29.43 29.43 28.959999 29.1 117300 23.65939
2013-01-04 28.950001 29.389999 28.9 29.17 83900 23.716303
2013-01-07 29.440001 29.67 29.309999 29.549999 94900 24.025256
2013-01-08 29.52 29.92 29.52 29.889999 80400 24.301689
2013-01-09 30.129999 30.690001 30.030001 30.65 104700 24.919598
2013-01-10 30.799999 31 30.52 30.9 94400 25.122857
2013-01-11 30.91 32.16 30.91 31.16 142300 25.334247
2013-01-14 31.280001 31.469999 31.16 31.389999 72100 25.521245
2013-01-15 31.379999 31.440001 31.129999 31.299999 91000 25.448072
2013-01-16 31.299999 31.540001 30.68 30.93 136600 25.147249
2013-01-17 31.030001 31.32 31.030001 31.18 60900 25.350508
2013-01-18 31.370001 31.459999 31.299999 31.41 79200 25.537506
2013-01-22 31.66 32.110001 31.370001 32 125300 26.017199
2013-01-23 32 32.220001 31.690001 31.940001 94700 25.968417
2013-01-24 31.860001 32.119999 31.809999 31.98 61700 26.000937
2013-01-25 32.099998 32.220001 32.02 32.139999 82200 26.131023
2013-01-28 32.400002 32.48 31.549999 32.099998 109800 26.098501
2013-01-29 31.940001 32.27 31.68 31.85 101400 25.895243
2013-01-30 31.85 32.169998 31.75 31.84 137400 25.887113
2013-01-31 31.85 32.200001 31.85 32.099998 131000 26.098501
2013-02-01 32.299999 32.389999 31.959999 32.040001 108600 26.049721
2013-02-04 31.790001 32.09 31.52 32.09 88500 26.090372
2013-02-05 32.389999 32.41 32.02 32.220001 68700 26.196068
2013-02-06 32.220001 32.419998 31.860001 32.080002 97100 26.082243
2013-02-07 32 32.200001 31.76 31.85 58300 25.895243
2013-02-08 31.76 32.029999 31.719999 31.84 56800 25.887113
2013-02-11 31.98 32.110001 31.85 32.060001 78200 26.065982
2013-02-12 32.119999 32.57 32.040001 32.549999 163600 26.464369
2013-02-13 32.77 34.080002 32.48 33.599998 218100 27.318057
2013-02-14 33.790001 33.790001 33 33.580002 112500 27.301799
2013-02-15 33.490002 33.75 33.040001 33.41 108200 27.163581
2013-02-19 33.459999 33.740002 33.32 33.529999 79000 27.261145
2013-02-20 33.700001 33.860001 32.720001 32.889999 102000 26.740801
2013-02-21 32.759998 32.860001 31.780001 32.27 117200 26.236719
2013-02-22 32.349998 32.5 32.099998 32.380001 67700 26.326154
2013-02-25 32.380001 32.470001 31.51 31.51 108600 25.61881
2013-02-26 31.59 31.84 31.299999 31.74 85600 25.805809
2013-02-27 31.84 32.18 31.58 32.18 70900 26.163546
2013-02-28 32.07 32.459999 32.07 32.349998 58900 26.30176
2013-03-01 32.419998 32.619999 32.200001 32.349998 68200 26.30176
2013-03-04 32.099998 32.330002 31.940001 32.099998 80000 26.098501
2013-03-05 32.43 32.450001 32.009998 32.200001 54500 26.179807
2013-03-06 32.23 32.389999 31.73 32.189999 63100 26.171675
2013-03-07 32.25 32.27 31.91 31.98 47400 26.000937
2013-03-08 32.299999 32.299999 32.02 32.169998 63200 26.155413
2013-03-11 32.130001 32.150002 31.75 31.870001 53000 25.911504
2013-03-12 32.049999 32.080002 31.620001 31.84 64400 25.887113
2013-03-13 32 32.220001 31.700001 32.139999 74300 26.131023
2013-03-14 32.279999 32.400002 31.75 32.029999 75900 26.041589
2013-03-15 31.879999 32.119999 31.59 31.709999 49000 25.781417
2013-03-18 31.559999 31.92 31.469999 31.610001 76400 25.700114
2013-03-19 31.82 32.02 31.629999 31.790001 68900 25.846461
2013-03-20 31.82 32.310001 31.82 32.110001 53600 26.106633
2013-03-21 32.200001 32.880001 32.049999 32.380001 90400 26.326154
2013-03-22 32.439999 32.5 32.16 32.349998 73900 26.30176
2013-03-25 32.220001 32.580002 32.139999 32.459999 95600 26.391195
2013-03-26 32.689999 32.77 32.400002 32.77 38100 26.643238
2013-03-27 32.779999 32.939999 32.610001 32.84 78900 26.70015
2013-03-28 33.07 33.200001 32.720001 33.200001 49800 26.992844
2013-04-01 33.560001 33.610001 33.139999 33.459999 39700 27.204233
2013-04-02 33.740002 33.84 33.259998 33.529999 77900 27.261145
2013-04-03 33.130001 33.369999 32.580002 32.860001 80800 26.716411
2013-04-04 33.080002 33.389999 32.82 33.029999 58900 26.854626
2013-04-05 33.02 33.380001 32.84 33.380001 49800 27.139191
2013-04-08 33.73 33.919998 33.490002 33.779999 52800 27.464404
2013-04-09 33.939999 34.150002 33.700001 34.07 55500 27.700186
2013-04-10 34.18 34.200001 33.950001 34.130001 45800 27.748969
2013-04-11 34.200001 34.490002 34.099998 34.439999 48300 28.001009
2013-04-12 34.75 34.77 34.290001 34.650002 67800 28.171749
2013-04-15 34.580002 34.580002 33.84 33.880001 54300 27.54571
2013-04-16 34.23 34.619999 34.110001 34.619999 67700 28.147356
2013-04-17 34.049999 34.68 34.049999 34.490002 24800 28.410957
2013-04-18 34.75 34.889999 34.509998 34.740002 43300 28.616893
2013-04-19 34.900002 35.240002 34.700001 34.939999 57100 28.781639
2013-04-22 35 35.200001 34.490002 34.73 67800 28.608654
