"Index" "KOL.Open" "KOL.High" "KOL.Low" "KOL.Close" "KOL.Volume" "KOL.Adjusted"
2013-01-02 26 26.059999 25.540001 25.709999 269400 24.521539
2013-01-03 25.610001 26.24 25.58 26.01 508600 24.807672
2013-01-04 26.01 26.33 25.91 26.27 253500 25.055654
2013-01-07 26.209999 26.379999 26 26.33 696800 25.11288
2013-01-08 26.1 26.17 25.809999 25.91 244100 24.712294
2013-01-09 25.940001 26.07 25.809999 25.84 198700 24.64553
2013-01-10 25.99 26.09 25.879999 26.059999 173900 24.85536
2013-01-11 25.629999 25.790001 25.389999 25.469999 337900 24.292633
2013-01-14 25.549999 25.74 25.35 25.41 239900 24.235407
2013-01-15 25.309999 25.469999 25.25 25.43 201300 24.254483
2013-01-16 25.32 25.43 25.200001 25.379999 167000 24.206793
2013-01-17 25.41 25.620001 25.370001 25.52 370400 24.340323
2013-01-18 25.66 25.73 25.450001 25.68 300300 24.492927
2013-01-22 25.530001 25.889999 25.51 25.85 338600 24.655068
2013-01-23 25.83 25.84 25.559999 25.559999 118500 24.378473
2013-01-24 25.450001 25.690001 25.200001 25.25 649200 24.082803
2013-01-25 25.370001 25.43 25.08 25.16 152700 23.996964
2013-01-28 25.26 25.26 24.870001 24.93 174700 23.777596
2013-01-29 25 25.549999 24.950001 25.35 860300 24.178181
2013-01-30 25.280001 25.469999 24.91 24.98 392600 23.825284
2013-01-31 25.1 25.190001 24.950001 25.110001 298500 23.949276
2013-02-01 25.17 25.35 25.139999 25.27 242800 24.101879
2013-02-04 24.950001 25 24.73 24.780001 319200 23.63453
2013-02-05 24.65 24.82 24.51 24.620001 237700 23.481926
2013-02-06 24.5 24.65 24.23 24.65 242100 23.510538
2013-02-07 24.5 24.52 24.15 24.32 501000 23.195793
2013-02-08 24.280001 24.49 24.280001 24.440001 161500 23.310247
2013-02-11 24.4 24.549999 24.309999 24.5 127500 23.367473
2013-02-12 24.48 24.780001 24.48 24.65 98200 23.510538
2013-02-13 24.59 24.940001 24.59 24.889999 191000 23.739444
2013-02-14 24.98 25.450001 24.98 25.360001 2e+05 24.187719
2013-02-15 25.389999 25.389999 25.02 25.120001 201300 23.958814
2013-02-19 25.110001 25.219999 24.93 25.16 201600 23.996964
2013-02-20 25.01 25.030001 24.309999 24.379999 240900 23.253019
2013-02-21 24.1 24.18 23.82 23.99 363700 22.881047
2013-02-22 24.08 24.08 23.85 23.98 80100 22.871509
