"Index" "KRA.Open" "KRA.High" "KRA.Low" "KRA.Close" "KRA.Volume" "KRA.Adjusted"
2013-01-02 24.780001 25.540001 24.65 25.469999 330000 25.469999
2013-01-03 25.52 26.24 25.379999 25.76 342700 25.76
2013-01-04 25.84 26.6 25.67 26.32 293500 26.32
2013-01-07 26.01 26.559999 25.49 25.629999 294300 25.629999
2013-01-08 25.639999 25.75 24.860001 25.120001 259200 25.120001
2013-01-09 25.219999 25.23 25.040001 25.129999 220400 25.129999
2013-01-10 25.35 25.530001 25.07 25.450001 189800 25.450001
2013-01-11 25.5 25.969999 25.33 25.540001 184400 25.540001
2013-01-14 25.41 25.49 24.82 25.059999 143800 25.059999
2013-01-15 24.879999 25.469999 24.82 25.42 165000 25.42
2013-01-16 25.25 25.469999 25.09 25.26 154300 25.26
2013-01-17 25.43 26 25.43 25.879999 156300 25.879999
2013-01-18 25.84 26.24 25.790001 26.24 104800 26.24
2013-01-22 26.209999 26.26 26.01 26.129999 122600 26.129999
2013-01-23 26.120001 26.15 25.879999 25.93 168600 25.93
2013-01-24 25.950001 26.26 25.780001 26.18 223800 26.18
2013-01-25 26.309999 26.49 26 26.469999 114800 26.469999
2013-01-28 26.49 26.49 26.1 26.450001 158800 26.450001
2013-01-29 26.370001 26.870001 26.1 26.719999 271400 26.719999
2013-01-30 26.700001 26.74 25.950001 26.1 199900 26.1
2013-01-31 25.940001 26.35 25.92 26.25 270700 26.25
2013-02-01 26.4 27.48 26.309999 27.120001 262000 27.120001
2013-02-04 26.790001 26.93 26.360001 26.389999 158500 26.389999
2013-02-05 26.559999 26.98 26.280001 26.299999 78000 26.299999
2013-02-06 26.09 26.42 25.9 26.41 86300 26.41
2013-02-07 26.41 26.51 25.889999 26.48 69000 26.48
2013-02-08 26.530001 26.9 26.469999 26.65 54700 26.65
2013-02-11 26.690001 26.690001 26.15 26.379999 118000 26.379999
2013-02-12 26.360001 26.82 26.26 26.75 64800 26.75
2013-02-13 26.84 27.450001 26.84 27.040001 105100 27.040001
2013-02-14 26.950001 27.379999 26.82 27.299999 74300 27.299999
2013-02-15 27.389999 27.469999 26.17 26.32 138600 26.32
2013-02-19 26.25 26.790001 26.190001 26.360001 202300 26.360001
2013-02-20 26.389999 26.77 25.85 26 169800 26
2013-02-21 25.940001 26.209999 25.24 25.969999 282600 25.969999
2013-02-22 26.219999 28.26 26.219999 27 412400 27
2013-02-25 27.18 27.18 25.370001 25.6 350600 25.6
2013-02-26 25.790001 25.950001 24.860001 25.43 284800 25.43
2013-02-27 25.4 26.389999 25.35 25.68 304400 25.68
2013-02-28 25 25.620001 23.82 24.040001 376300 24.040001
2013-03-01 23.719999 24.42 23.25 24.08 711200 24.08
2013-03-04 23.950001 24.190001 23.360001 23.92 318300 23.92
2013-03-05 24.1 24.639999 24.040001 24.469999 150500 24.469999
2013-03-06 24.620001 25.450001 24.42 25.309999 132600 25.309999
2013-03-07 25.309999 25.700001 25.17 25.610001 123400 25.610001
2013-03-08 25.959999 26.280001 25.77 25.99 128500 25.99
2013-03-11 25.809999 26.08 25.360001 25.889999 203800 25.889999
2013-03-12 25.870001 26.200001 25.66 25.809999 99900 25.809999
2013-03-13 25.84 25.84 25.459999 25.65 162700 25.65
2013-03-14 25.84 26.879999 25.84 26.809999 177200 26.809999
2013-03-15 26.85 26.93 26.290001 26.450001 189600 26.450001
