"Index" "KRK.Open" "KRK.High" "KRK.Low" "KRK.Close" "KRK.Volume" "KRK.Adjusted"
2013-01-01 220 220 220 220 0 212.98529
2013-01-02 207.60001 207.60001 207.60001 207.60001 4100 200.98067
2013-01-03 212.60001 212.60001 212.60001 212.60001 3800 205.82125
2013-01-04 230 230 220.7 220.7 3000 213.66297
2013-01-07 224.39999 224.39999 224.39999 224.39999 2200 217.24499
2013-01-08 230 230.5 230 230.5 6800 223.1505
2013-01-09 227 227 227 227 3000 219.7621
2013-01-10 227 227 227 227 0 219.7621
2013-01-11 230.10001 230.10001 230.10001 230.10001 0 222.76326
2013-01-14 230.10001 230.10001 230.10001 230.10001 0 222.76326
2013-01-15 230.10001 230.10001 230.10001 230.10001 0 222.76326
2013-01-16 230.10001 230.10001 230.10001 230.10001 0 222.76326
2013-01-17 230.10001 230.10001 230.10001 230.10001 0 222.76326
2013-01-18 230.10001 230.10001 230.10001 230.10001 0 222.76326
2013-01-21 230.10001 230.10001 230.10001 230.10001 0 222.76326
2013-01-22 230.10001 230.10001 230.10001 230.10001 0 222.76326
2013-01-23 230.10001 230.10001 230.10001 230.10001 0 222.76326
2013-01-24 230.10001 230.10001 230.10001 230.10001 0 222.76326
2013-01-25 230.10001 230.10001 230.10001 230.10001 0 222.76326
2013-01-28 230.10001 230.10001 230.10001 230.10001 0 222.76326
2013-01-29 230.10001 230.10001 230.10001 230.10001 12200 222.76326
2013-01-30 230.10001 230.10001 230.10001 230.10001 0 222.76326
2013-02-01 230.10001 230.10001 230.10001 230.10001 0 222.76326
2013-02-04 226.5 228 226.5 226.5 0 219.27804
2013-02-05 226.5 226.5 226.5 226.5 0 219.27804
2013-02-06 222.3 222.3 222.3 222.3 800 215.21196
2013-02-07 222.3 222.3 222.3 222.3 0 215.21196
2013-02-08 222.3 222.3 222.3 222.3 0 215.21196
2013-02-11 222.3 222.3 222.3 222.3 0 215.21196
2013-02-12 222.3 222.3 222.3 222.3 0 215.21196
2013-02-13 222.3 222.3 222.3 222.3 0 215.21196
2013-02-14 222.3 222.3 222.3 222.3 0 215.21196
2013-02-15 222.3 222.3 222.3 222.3 0 215.21196
2013-02-18 222.3 222.3 222.3 222.3 0 215.21196
2013-02-19 222.3 222.3 222.3 222.3 0 215.21196
2013-02-20 222.3 222.3 222.3 222.3 0 215.21196
2013-02-21 222.3 222.3 222.3 222.3 0 215.21196
2013-02-22 222.3 222.3 222.3 222.3 0 215.21196
2013-02-25 222.3 222.3 222.3 222.3 0 215.21196
2013-02-26 222.3 222.3 222.3 222.3 0 215.21196
2013-02-27 222.3 222.3 222.3 222.3 0 215.21196
2013-02-28 222.3 222.3 222.3 222.3 0 215.21196
2013-03-01 222.3 222.3 222.3 222.3 0 215.21196
2013-03-04 222.3 222.3 222.3 222.3 0 215.21196
2013-03-05 222.3 222.3 222.3 222.3 0 215.21196
2013-03-06 222.3 222.3 222.3 222.3 0 215.21196
2013-03-07 222.3 222.3 222.3 222.3 0 215.21196
