"Index" "KRZ.Open" "KRZ.High" "KRZ.Low" "KRZ.Close" "KRZ.Volume" "KRZ.Adjusted"
2013-01-01 39.825 39.825 39.825 39.825 0 38.9034
2013-01-02 40.2 40.6645 40.2 40.33 79800 39.3967
2013-01-03 40.5 40.5 39.935 40.22 133900 39.2892
2013-01-04 40.245 40.4 39.995 40.4 85400 39.4651
2013-01-07 40.13 40.35 39.42 39.43 224100 38.5175
2013-01-08 39.53 39.9 39.4 39.795 478100 38.8741
2013-01-09 39.305 39.71 38.53 38.61 547700 37.7165
2013-01-10 38.6 38.795 38.145 38.15 235200 37.2671
2013-01-11 38.435 38.75 38 38.75 337900 37.8532
2013-01-14 39 39 38.155 38.175 99200 37.2915
2013-01-15 38.12 38.355 38.07 38.355 497300 37.4674
2013-01-16 38.21 39.045 38.21 38.3 249900 37.4136
2013-01-17 38.35 39.39 38.21 38.6 252000 37.7067
2013-01-18 38.6 38.9 38.26 38.26 168000 37.3746
2013-01-21 38.4 38.4 38.065 38.145 279100 37.2622
2013-01-22 38.335 38.335 37.975 38.05 309200 37.1694
2013-01-23 37.96 38.22 37.92 38.08 598300 37.1987
2013-01-24 38.05 38.325 37.7 37.7 382500 36.8275
2013-01-25 38 38.175 37.23 38.1 628100 37.2183
2013-01-28 38 38.42 38 38.155 135800 37.272
2013-01-29 38.05 38.28 37.7 38.21 212500 37.3257
2013-01-30 38.18 38.7 38.18 38.62 386300 37.7262
2013-01-31 38.51 39 38.51 38.65 471800 37.7556
2013-02-01 38.6 39.27 38.6 39.025 388600 38.1219
2013-02-04 38.37 39.755 38.37 39.35 212600 38.4393
2013-02-05 39 39.41 38.755 39.015 202700 38.1121
2013-02-06 39.005 39.185 38.585 38.7 398900 37.8044
2013-02-07 38.89 39.28 38.89 39.15 355200 38.244
2013-02-08 39.75 39.75 38.6 39.4 274500 38.4882
2013-02-11 39.6 39.86 39.375 39.6 234900 38.6836
2013-02-12 39.83 40.23 39.65 40.1 225800 39.172
2013-02-13 40.14 40.455 40.055 40.36 325400 39.426
2013-02-14 40.08 40.415 40.05 40.3 133600 39.3674
2013-02-15 40.5 40.5 39.925 40.11 681600 39.1818
2013-02-18 40 40.3 40 40.25 326700 39.3185
2013-02-19 40 41.3 40 41 555800 40.0512
2013-02-20 40.74 41.25 40.5 40.735 358500 39.7923
2013-02-21 41 41 40.4 40.995 200500 40.0463
2013-02-22 40.5 41.36 40.5 41.345 332500 40.3882
2013-02-25 41.1 41.51 41 41.19 323500 40.2368
2013-02-26 40.75 42.505 40.6 42.4 389300 41.4188
2013-02-27 42.4 42.4 41.985 42.1 298400 41.1257
2013-02-28 42.2 42.96 42.2 42.96 541700 41.9658
2013-03-01 42.91 43.425 42.6515 42.92 123800 41.9267
2013-03-04 42.4 43 42.4 42.84 149700 41.8486
2013-03-05 43.01 43.5 42.76 43.5 429000 42.4933
2013-03-06 43.55 43.895 42.9 42.985 334500 41.9902
2013-03-07 43.05 43.2 42.95 43 255300 42.0049
2013-03-08 42.955 43.305 42.54 42.54 159800 41.5555
2013-03-11 42.54 43.055 42.54 42.735 199900 41.746
2013-03-12 43 43.655 42.765 43.61 260000 42.6008
2013-03-13 43.55 43.55 43.065 43.335 157500 42.3321
2013-03-14 43.15 43.75 43.15 43.75 144300 42.7375
2013-03-15 43.795 43.95 42.91 42.91 534900 41.917
2013-03-18 42.755 43.5 42.6 43.5 154800 42.4933
2013-03-19 43.46 43.8 43.2 43.8 319400 42.7864
2013-03-20 43.8 44.37 43.735 44.25 445400 43.226
2013-03-21 44.4 44.4 43.225 44.355 208200 43.3285
2013-03-22 44.25 44.76 43.875 44.76 157800 43.7241
2013-03-25 44.975 45.24 44.815 44.815 138400 43.7779
