"Index" "KS.Open" "KS.High" "KS.Low" "KS.Close" "KS.Volume" "KS.Adjusted"
2013-01-02 22.610001 22.83 22.299999 22.780001 923600 11.20535
2013-01-03 22.790001 22.870001 22.450001 22.549999 424200 11.092214
2013-01-04 22.690001 22.879999 22.48 22.700001 298200 11.165998
2013-01-07 22.51 22.950001 22.5 22.84 293600 11.234863
2013-01-08 22.82 23.08 22.709999 23.030001 739400 11.328323
2013-01-09 23.030001 23.25 22.9 23.040001 458400 11.333242
2013-01-10 23.18 23.18 22.75 22.860001 417600 11.244701
2013-01-11 22.93 23.120001 22.549999 23.1 580600 11.362756
2013-01-14 23.1 23.540001 23.049999 23.530001 354400 11.574271
2013-01-15 23.360001 23.559999 23.23 23.450001 421000 11.534919
2013-01-16 23.33 23.52 23.219999 23.49 291200 11.554594
2013-01-17 23.639999 23.85 23.59 23.700001 369400 11.657893
2013-01-18 23.65 24.01 23.65 24.01 228800 11.81038
2013-01-22 23.940001 24.09 23.780001 24 461800 11.80546
2013-01-23 24.040001 24.23 23.860001 24.15 415600 11.879244
2013-01-24 24.15 24.92 24.15 24.809999 833800 12.203894
2013-01-25 24.92 25.25 24.82 24.93 609800 12.262922
2013-01-28 25.01 25.01 24.48 24.5 597800 12.051408
2013-01-29 24.379999 24.73 24.17 24.5 592400 12.051408
2013-01-30 24.4 24.49 23.43 23.639999 1012200 11.628378
2013-01-31 23.719999 24.07 23.66 24 1060000 11.80546
2013-02-01 24.200001 24.58 23.889999 24.51 490400 12.056327
2013-02-04 24.34 24.440001 24.030001 24.27 380000 11.938272
2013-02-05 24.360001 24.59 24.26 24.42 417600 12.012056
2013-02-06 24.290001 24.57 24.25 24.530001 494000 12.066165
2013-02-07 24.469999 24.51 24.129999 24.16 261400 11.884163
2013-02-08 24.23 24.76 24.23 24.73 154800 12.164543
2013-02-11 24.780001 24.780001 24.440001 24.530001 199800 12.066165
2013-02-12 24.530001 24.66 24.34 24.66 434600 12.130111
