"Index" "LPE.Open" "LPE.High" "LPE.Low" "LPE.Close" "LPE.Volume" "LPE.Adjusted"
2013-01-01 68.34 68.34 68.34 68.34 0 68.34
2013-01-02 69.65 69.65 69.65 69.65 0 69.65
2013-01-03 70.06 70.06 70.06 70.06 0 70.06
2013-01-04 70.35 70.35 70.35 70.35 0 70.35
2013-01-07 70.25 70.25 70.25 70.25 0 70.25
2013-01-08 70.15 70.15 70.15 70.15 0 70.15
2013-01-09 70.19 70.19 70.19 70.19 0 70.19
2013-01-10 69.93 69.93 69.93 69.93 0 69.93
2013-01-11 69.46 69.46 69.46 69.46 0 69.46
2013-01-14 68.48 68.48 68.48 68.48 0 68.48
2013-01-15 68.55 68.55 68.55 68.55 0 68.55
2013-01-16 68.25 68.25 68.25 68.25 0 68.25
2013-01-17 68.31 68.31 68.31 68.31 0 68.31
2013-01-18 68.56 68.56 68.56 68.56 0 68.56
2013-01-21 68.26 68.26 68.26 68.26 0 68.26
2013-01-22 67.95 67.95 67.95 67.95 0 67.95
2013-01-23 67.45 67.45 67.45 67.45 0 67.45
2013-01-24 67.69 67.69 67.69 67.69 0 67.69
2013-01-25 67.85 67.85 67.85 67.85 0 67.85
2013-01-28 67.66 67.66 67.66 67.66 0 67.66
2013-01-29 67.26 67.26 67.26 67.26 0 67.26
2013-01-30 67.96 67.96 67.96 67.96 0 67.96
2013-01-31 68.65 68.65 68.65 68.65 0 68.65
2013-02-01 68.36 68.36 68.36 68.36 0 68.36
2013-02-04 68.35 68.35 68.35 68.35 0 68.35
2013-02-05 68.05 68.05 68.05 68.05 0 68.05
2013-02-06 68.05 68.05 68.05 68.05 0 68.05
2013-02-07 67.75 67.75 67.75 67.75 0 67.75
2013-02-08 68.3 68.3 68.3 68.3 0 68.3
2013-02-11 68.26 68.26 68.26 68.26 0 68.26
2013-02-12 67.95 67.95 67.95 67.95 0 67.95
2013-02-13 67.95 67.95 67.95 67.95 0 67.95
2013-02-14 68.25 68.25 68.25 68.25 0 68.25
2013-02-15 68.25 68.25 68.25 68.25 0 68.25
2013-02-18 66.55 66.55 66.55 66.55 0 66.55
2013-02-19 66.06 66.06 66.06 66.06 0 66.06
