"Index" "LPS.Open" "LPS.High" "LPS.Low" "LPS.Close" "LPS.Volume" "LPS.Adjusted"
2013-01-01 24.62 24.62 24.62 24.62 0 24.2279
2013-01-02 25.16 25.57 25.14 25.57 309200 25.1628
2013-01-03 25.55 26.005 25.44 25.88 758100 25.4678
2013-01-04 25.9 26.0399 25.45 25.49 471600 25.084
2013-01-07 25.29 25.3 23.9 24.54 950800 24.1492
2013-01-08 24.54 24.58 24.37 24.52 726500 24.1295
2013-01-09 24.5 24.67 23.59 23.89 994900 23.5095
2013-01-10 24.11 24.11 23.43 23.58 753500 23.2044
2013-01-11 23.62 23.705 23.51 23.6 635300 23.2241
2013-01-14 23.6 23.67 23.46 23.52 581700 23.1454
2013-01-15 23.45 23.61 23.32 23.34 678600 22.9683
2013-01-16 23.38 23.419 23.1 23.38 811400 23.0076
2013-01-17 23.39 23.58 23.11 23.21 637600 22.8403
2013-01-18 23.2 23.2 22.94 22.99 465200 22.6238
2013-01-21 22.99 22.99 22.99 22.99 0 22.6238
2013-01-22 22.96 23.1 22.8119 23.02 625800 22.6534
2013-01-23 23 23.4 22.83 23.33 673500 22.9584
2013-01-24 23.36 23.525 22.505 22.53 1151600 22.1712
2013-01-25 22.64 23.19 22.5 22.87 1002100 22.5058
2013-01-28 22.79 22.86 21.23 22.18 2130800 21.8267
2013-01-29 22.01 22.65 21.955 22.41 1614400 22.0531
2013-01-30 22.37 22.55 21.95 22.4 1374800 22.0432
2013-01-31 22.7 24.31 22.61 24.04 1488700 23.6571
2013-02-01 24.24 24.24 23.95 24.16 1004100 23.7752
2013-02-04 24.07 24.4 23.9501 24.13 593200 23.7457
2013-02-05 24.29 24.68 24.13 24.52 634300 24.1295
2013-02-06 24.49 24.76 24.42 24.61 497300 24.218
2013-02-07 24.57 24.89 24.24 24.66 1150900 24.2672
2013-02-08 24.82 25.84 24.15 25.4 1567400 24.9955
2013-02-11 25.33 25.47 25.09 25.37 785400 24.9659
2013-02-12 25.33 25.62 24.86 24.95 780200 24.5526
2013-02-13 24.95 25.29 24.69 25.22 831900 24.8183
