"Index" "M6J.Open" "M6J.High" "M6J.Low" "M6J.Close" "M6J.Volume" "M6J.Adjusted"
2013-01-01 0.08 0.08 0.08 0.08 0 0.08
2013-01-02 0.084 0.084 0.084 0.084 0 0.084
2013-01-03 0.085 0.085 0.085 0.085 0 0.085
2013-01-04 0.082 0.082 0.082 0.082 0 0.082
2013-01-07 0.084 0.084 0.084 0.084 0 0.084
2013-01-08 0.091 0.091 0.091 0.091 0 0.091
2013-01-09 0.093 0.105 0.093 0.105 29000 0.105
2013-01-10 0.109 0.109 0.109 0.109 0 0.109
2013-01-11 0.099 0.122 0.099 0.122 25000 0.122
2013-01-14 0.114 0.114 0.114 0.114 0 0.114
2013-01-15 0.116 0.116 0.116 0.116 0 0.116
2013-01-16 0.102 0.102 0.102 0.102 0 0.102
2013-01-17 0.122 0.122 0.122 0.122 0 0.122
2013-01-18 0.124 0.124 0.124 0.124 0 0.124
2013-01-21 0.121 0.121 0.121 0.121 0 0.121
2013-01-22 0.13 0.13 0.13 0.13 61000 0.13
2013-01-23 0.105 0.105 0.105 0.105 0 0.105
2013-01-24 0.12 0.12 0.12 0.12 0 0.12
2013-01-25 0.119 0.119 0.119 0.119 0 0.119
2013-01-28 0.111 0.111 0.111 0.111 0 0.111
2013-01-29 0.111 0.111 0.111 0.111 0 0.111
2013-01-30 0.109 0.109 0.109 0.109 0 0.109
2013-01-31 0.112 0.112 0.112 0.112 0 0.112
2013-02-01 0.103 0.103 0.103 0.103 0 0.103
2013-02-04 0.114 0.114 0.114 0.114 0 0.114
2013-02-05 0.104 0.104 0.104 0.104 0 0.104
2013-02-06 0.107 0.107 0.107 0.107 0 0.107
2013-02-07 0.102 0.102 0.102 0.102 0 0.102
2013-02-08 0.085 0.085 0.085 0.085 0 0.085
2013-02-11 0.097 0.097 0.097 0.097 0 0.097
2013-02-12 0.089 0.089 0.089 0.089 0 0.089
2013-02-13 0.093 0.093 0.093 0.093 0 0.093
2013-02-14 0.085 0.085 0.085 0.085 0 0.085
2013-02-15 0.09 0.09 0.09 0.09 0 0.09
2013-02-18 0.085 0.086 0.085 0.086 300 0.086
