"Index" "MAE.Open" "MAE.High" "MAE.Low" "MAE.Close" "MAE.Volume" "MAE.Adjusted"
2013-01-01 0.205 0.205 0.205 0.205 0 205
2013-01-02 0.205 0.205 0.205 0.205 0 205
2013-01-03 0.205 0.205 0.205 0.205 0 205
2013-01-04 0.25 0.3 0.25 0.3 7000 300
2013-01-07 0.3 0.3 0.3 0.3 0 300
2013-01-08 0.29 0.295 0.24 0.24 13000 240
2013-01-09 0.24 0.24 0.24 0.24 0 240
2013-01-10 0.23 0.24 0.23 0.24 15000 240
2013-01-11 0.24 0.24 0.24 0.24 10000 240
2013-01-14 0.24 0.24 0.24 0.24 0 240
2013-01-15 0.24 0.24 0.24 0.24 0 240
2013-01-16 0.24 0.24 0.24 0.24 0 240
2013-01-17 0.24 0.24 0.24 0.24 0 240
2013-01-18 0.2 0.2 0.2 0.2 5000 200
2013-01-21 0.2 0.2 0.2 0.2 0 200
2013-01-22 0.2 0.2 0.2 0.2 0 200
2013-01-23 0.27 0.27 0.27 0.27 1500 270
2013-01-24 0.24 0.3 0.24 0.3 480300 300
2013-01-25 0.3 0.3 0.3 0.3 0 300
2013-01-28 0.3 0.3 0.3 0.3 0 300
2013-01-29 0.24 0.24 0.24 0.24 27500 240
2013-01-30 0.24 0.24 0.24 0.24 0 240
2013-01-31 0.24 0.24 0.24 0.24 0 240
2013-02-01 0.25 0.25 0.25 0.25 20000 250
2013-02-04 0.25 0.25 0.25 0.25 0 250
2013-02-05 0.25 0.25 0.25 0.25 0 250
2013-02-06 0.25 0.25 0.25 0.25 30000 250
2013-02-07 0.25 0.25 0.25 0.25 0 250
2013-02-08 0.25 0.25 0.25 0.25 0 250
2013-02-11 0.25 0.25 0.25 0.25 0 250
2013-02-12 0.25 0.25 0.25 0.25 0 250
2013-02-13 0.25 0.25 0.25 0.25 0 250
2013-02-14 0.25 0.25 0.25 0.25 5000 250
2013-02-15 0.25 0.25 0.25 0.25 0 250
2013-02-18 0.25 0.25 0.25 0.25 0 250
2013-02-19 0.25 0.25 0.25 0.25 0 250
2013-02-20 0.25 0.25 0.25 0.25 11500 250
2013-02-21 0.25 0.25 0.25 0.25 0 250
2013-02-22 0.25 0.25 0.25 0.25 0 250
2013-02-25 0.25 0.25 0.25 0.25 3800 250
2013-02-26 0.25 0.25 0.25 0.25 12500 250
2013-02-27 0.25 0.25 0.25 0.25 0 250
2013-02-28 0.25 0.25 0.25 0.25 500 250
2013-03-01 0.25 0.25 0.25 0.25 0 250
2013-03-04 0.25 0.25 0.25 0.25 0 250
2013-03-05 0.25 0.25 0.25 0.25 0 250
2013-03-06 0.24 0.24 0.24 0.24 43000 240
2013-03-07 0.24 0.24 0.24 0.24 0 240
2013-03-08 0.24 0.24 0.24 0.24 0 240
2013-03-11 0.24 0.24 0.24 0.24 0 240
2013-03-12 0.24 0.24 0.24 0.24 0 240
2013-03-13 0.24 0.24 0.24 0.24 0 240
2013-03-14 0.24 0.24 0.24 0.24 0 240
2013-03-15 0.24 0.24 0.24 0.24 0 240
2013-03-18 0.24 0.24 0.24 0.24 0 240
2013-03-19 0.24 0.24 0.24 0.24 0 240
2013-03-20 0.24 0.24 0.24 0.24 5000 240
2013-03-21 0.24 0.24 0.24 0.24 0 240
2013-03-22 0.24 0.24 0.24 0.24 0 240
2013-03-25 0.24 0.24 0.24 0.24 0 240
2013-03-26 0.24 0.24 0.24 0.24 0 240
2013-03-27 0.24 0.24 0.24 0.24 0 240
2013-03-28 0.25 0.25 0.25 0.25 5e+05 250
2013-03-29 0.25 0.25 0.25 0.25 0 250
2013-04-01 0.25 0.25 0.25 0.25 0 250
2013-04-02 0.25 0.25 0.25 0.25 0 250
2013-04-03 0.25 0.25 0.25 0.25 55500 250
2013-04-04 0.275 0.275 0.275 0.275 5000 275
2013-04-05 0.275 0.275 0.275 0.275 0 275
2013-04-08 0.275 0.275 0.275 0.275 0 275
2013-04-09 0.275 0.275 0.275 0.275 0 275
2013-04-10 0.275 0.275 0.275 0.275 0 275
2013-04-11 0.275 0.275 0.275 0.275 0 275
2013-04-12 0.26 0.26 0.26 0.26 5000 260
2013-04-15 0.26 0.26 0.26 0.26 0 260
2013-04-16 0.26 0.26 0.26 0.26 0 260
2013-04-17 0.26 0.26 0.26 0.26 0 260
2013-04-18 0.26 0.26 0.26 0.26 0 260
2013-04-19 0.26 0.26 0.26 0.26 0 260
2013-04-22 0.26 0.26 0.26 0.26 0 260
2013-04-23 0.26 0.26 0.26 0.26 0 260
2013-04-24 0.26 0.26 0.26 0.26 0 260
2013-04-25 0.26 0.26 0.26 0.26 0 260
2013-04-26 0.23 0.23 0.23 0.23 3500 230
2013-04-29 0.23 0.23 0.23 0.23 11500 230
2013-04-30 0.23 0.23 0.23 0.23 52500 230
2013-05-01 0.23 0.23 0.23 0.23 0 230
2013-05-02 0.23 0.23 0.23 0.23 0 230
2013-05-03 0.23 0.23 0.23 0.23 0 230
2013-05-06 0.23 0.23 0.23 0.23 0 230
2013-05-07 0.23 0.23 0.23 0.23 0 230
2013-05-08 0.23 0.23 0.23 0.23 15000 230
2013-05-09 0.23 0.23 0.23 0.23 10000 230
2013-05-10 0.23 0.23 0.23 0.23 10000 230
2013-05-13 0.23 0.23 0.23 0.23 0 230
2013-05-14 0.23 0.23 0.23 0.23 0 230
2013-05-15 0.23 0.23 0.23 0.23 0 230
2013-05-16 0.295 0.295 0.295 0.295 7500 295
2013-05-17 0.3 0.335 0.295 0.3 37000 300
2013-05-20 0.3 0.3 0.3 0.3 0 300
2013-05-21 0.32 0.35 0.32 0.34 25000 340
2013-05-22 0.33 0.33 0.33 0.33 24000 330
2013-05-23 0.3 0.3 0.3 0.3 1000 300
2013-05-24 0.3 0.3 0.3 0.3 0 300
2013-05-27 0.3 0.3 0.3 0.3 0 300
2013-05-28 0.32 0.34 0.32 0.34 65500 340
2013-05-29 0.34 0.38 0.34 0.38 9000 380
2013-05-30 0.38 0.39 0.38 0.39 6000 390
2013-05-31 0.4 0.43 0.4 0.43 44500 430
2013-06-03 0.435 0.44 0.435 0.44 8500 440
2013-06-04 0.435 0.435 0.4 0.4 7000 400
2013-06-05 0.36 0.4 0.36 0.4 26500 400
2013-06-06 0.4 0.4 0.38 0.4 32000 400
2013-06-07 0.4 0.43 0.4 0.4 20000 400
2013-06-10 0.4 0.4 0.39 0.39 35000 390
2013-06-11 0.39 0.39 0.39 0.39 10000 390
2013-06-12 0.35 0.35 0.335 0.35 14000 350
2013-06-13 0.35 0.35 0.35 0.35 0 350
2013-06-14 0.35 0.35 0.35 0.35 0 350
2013-06-17 0.35 0.35 0.35 0.35 0 350
2013-06-18 0.35 0.35 0.3 0.3 47500 300
2013-06-19 0.32 0.32 0.3 0.3 20000 300
2013-06-20 0.31 0.31 0.3 0.3 20000 300
2013-06-21 0.3 0.3 0.3 0.3 0 300
2013-06-24 0.3 0.3 0.3 0.3 0 300
2013-06-25 0.3 0.3 0.3 0.3 0 300
2013-06-26 0.3 0.3 0.3 0.3 2500 300
2013-06-27 0.3 0.3 0.3 0.3 0 300
2013-06-28 0.3 0.3 0.3 0.3 0 300
2013-07-01 0.3 0.3 0.3 0.3 0 300
2013-07-02 0.35 0.385 0.35 0.385 21000 385
2013-07-03 0.305 0.305 0.28 0.28 9500 280
2013-07-04 0.28 0.28 0.28 0.28 0 280
2013-07-05 0.28 0.28 0.28 0.28 5000 280
2013-07-08 0.29 0.29 0.29 0.29 31500 290
2013-07-09 0.285 0.285 0.285 0.285 5000 285
2013-07-10 0.28 0.28 0.28 0.28 4500 280
2013-07-11 0.28 0.3 0.28 0.3 10500 300
2013-07-12 0.3 0.3 0.3 0.3 0 300
2013-07-15 0.3 0.3 0.3 0.3 0 300
2013-07-16 0.3 0.3 0.3 0.3 0 300
2013-07-17 0.3 0.3 0.3 0.3 0 300
2013-07-18 0.28 0.28 0.28 0.28 11000 280
2013-07-19 0.3 0.3 0.28 0.28 24500 280
2013-07-22 0.28 0.28 0.28 0.28 16000 280
2013-07-23 0.3 0.3 0.3 0.3 20000 300
2013-07-24 0.3 0.3 0.3 0.3 0 300
2013-07-25 0.3 0.3 0.29 0.29 15000 290
2013-07-26 0.29 0.29 0.29 0.29 0 290
2013-07-29 0.3 0.3 0.3 0.3 10000 300
2013-07-30 0.3 0.3 0.29 0.29 7500 290
2013-07-31 0.29 0.3 0.29 0.3 7500 300
2013-08-01 0.28 0.28 0.28 0.28 29000 280
2013-08-02 0.28 0.28 0.28 0.28 0 280
2013-08-05 0.28 0.28 0.28 0.28 0 280
2013-08-06 0.28 0.28 0.28 0.28 0 280
2013-08-07 0.33 0.33 0.3 0.3 7500 300
2013-08-08 0.3 0.3 0.3 0.3 0 300
2013-08-09 0.3 0.3 0.3 0.3 0 300
2013-08-12 0.3 0.3 0.3 0.3 0 300
2013-08-13 0.3 0.3 0.3 0.3 0 300
2013-08-14 0.35 0.35 0.35 0.35 33500 350
2013-08-15 0.325 0.35 0.32 0.32 41500 320
2013-08-16 0.32 0.32 0.32 0.32 15500 320
2013-08-19 0.3 0.3 0.3 0.3 8000 300
2013-08-20 0.285 0.3 0.285 0.3 7500 300
2013-08-21 0.33 0.33 0.33 0.33 5000 330
2013-08-22 0.3 0.31 0.3 0.3 18500 300
2013-08-23 0.3 0.3 0.3 0.3 49000 300
2013-08-26 0.285 0.3 0.285 0.3 101000 300
2013-08-27 0.3 0.3 0.3 0.3 0 300
