"Index" "MAS.Open" "MAS.High" "MAS.Low" "MAS.Close" "MAS.Volume" "MAS.Adjusted"
2013-01-02 17.040001 17.600001 16.98 17.07 8073900 14.401992
2013-01-03 17.11 17.49 16.91 17.3 3786700 14.596043
2013-01-04 17.350001 17.559999 17.3 17.469999 4026400 14.739472
2013-01-07 17.3 17.459999 17.120001 17.250001 3351800 14.553859
2013-01-08 17.190001 17.379999 17.120001 17.23 3487400 14.536984
2013-01-09 17.290001 17.76 17.280001 17.43 3381300 14.705724
2013-01-10 17.58 17.590001 17.280001 17.469999 3638500 14.739472
2013-01-11 18.100001 18.14 17.64 17.690001 5058900 14.925088
2013-01-14 17.67 17.709999 17.43 17.500001 3276600 14.764784
2013-01-15 17.42 17.620001 17.379999 17.459999 4118000 14.731035
2013-01-16 17.379999 17.500001 17.200001 17.370001 4707100 14.655103
2013-01-17 17.48 17.590001 17.41 17.500001 5541400 14.764784
2013-01-18 17.719999 17.899999 17.590001 17.780001 5103900 15.001021
2013-01-22 17.750001 17.840001 17.500001 17.61 4367200 14.857591
2013-01-23 17.55 17.690001 17.43 17.61 4461300 14.857591
2013-01-24 17.61 17.850001 17.590001 17.73 3935900 14.958835
2013-01-25 17.809999 18.409999 17.750001 18.36 7621600 15.490367
2013-01-28 18.39 18.49 18.000001 18.129999 4976100 15.296315
2013-01-29 18.120001 18.340001 18.08 18.28 3207600 15.422871
2013-01-30 18.319999 18.639999 18.16 18.219999 4474600 15.372248
2013-01-31 18.11 18.420001 17.91 18.39 4908200 15.515678
2013-02-01 18.629999 18.819999 18.450001 18.549998 5035000 15.650669
2013-02-04 18.36 18.549998 18.16 18.27 4648500 15.414434
2013-02-05 18.420001 18.430001 18.200001 18.37 3348600 15.498804
2013-02-06 18.240001 18.38 18.17 18.28 3797300 15.422871
2013-02-07 18.26 18.27 17.780001 17.86 4609500 15.068516
2013-02-08 17.879999 17.940001 17.66 17.790001 3169800 15.009458
2013-02-11 17.790001 17.950001 17.66 17.790001 5082600 15.009458
2013-02-12 19.299999 20.440001 19.040001 20.010001 26807300 16.882476
2013-02-13 20.100002 20.700002 20.08 20.36 10027300 17.177771
2013-02-14 20.450001 20.450001 20.08 20.110001 6408500 16.966847
2013-02-15 20.219999 20.250001 19.940001 19.999999 5238300 16.874038
2013-02-19 20.040001 20.129999 19.750001 19.98 7288700 16.857164
2013-02-20 19.88 19.89 18.639999 18.729999 9229000 15.802536
