"Index" "MBE.Open" "MBE.High" "MBE.Low" "MBE.Close" "MBE.Volume" "MBE.Adjusted"
2013-05-09 25.889 25.889 25.889 25.889 0 25.205
2013-05-10 26.696 26.696 26.696 26.696 0 25.99
2013-05-13 27.399 27.399 27.399 27.399 0 26.675
2013-05-14 27.162 27.162 27.162 27.162 0 26.444
2013-05-15 28.117 28.117 28.117 28.117 0 27.374
2013-05-16 28.26 28.26 28.26 28.26 0 27.513
2013-05-17 28.25 28.25 28.25 28.25 0 27.503
2013-05-20 27.972 27.972 27.972 27.972 0 27.233
2013-05-21 27.485 27.485 27.485 27.485 0 26.758
2013-05-22 26.682 26.682 26.682 26.682 0 25.977
2013-05-23 26.433 26.433 26.433 26.433 0 25.734
2013-05-24 26.486 26.486 26.486 26.486 0 25.786
2013-05-27 26.643 26.643 26.643 26.643 0 25.939
2013-05-28 26.66 26.66 26.66 26.66 0 25.955
2013-05-29 27.3 27.3 27.3 27.3 0 26.578
2013-05-30 26.389 26.389 26.389 26.389 0 25.691
2013-05-31 26.214 26.214 26.214 26.214 0 25.521
2013-06-03 25.609 25.609 25.609 25.609 0 24.932
2013-06-04 25.764 25.764 25.764 25.764 0 25.083
2013-06-05 25.738 25.738 25.738 25.738 0 25.058
2013-06-06 25.872 25.872 25.872 25.872 0 25.188
2013-06-07 25.272 25.272 25.272 25.272 0 24.604
2013-06-10 25.464 25.464 25.464 25.464 0 24.791
2013-06-11 25.428 25.428 25.428 25.428 0 24.756
2013-06-12 24.995 24.995 24.995 24.995 0 24.334
2013-06-13 24.555 24.555 24.555 24.555 0 23.906
2013-06-14 24.755 24.755 24.755 24.755 0 24.101
2013-06-17 24.714 24.714 24.714 24.714 0 24.061
2013-06-18 25.12 25.12 25.12 25.12 0 24.456
2013-06-19 25.348 25.348 25.348 25.348 0 24.678
2013-06-20 24.731 24.731 24.731 24.731 0 24.077
2013-06-21 23.905 23.905 23.905 23.905 0 23.273
2013-06-24 23.618 23.618 23.618 23.618 0 22.994
2013-06-25 23.549 23.549 23.549 23.549 0 22.926
2013-06-26 23.846 23.846 23.846 23.846 0 23.216
2013-06-27 24.381 24.381 24.381 24.381 0 23.736
2013-06-28 25.307 25.307 25.307 25.307 0 24.638
2013-07-01 25.203 25.203 25.203 25.203 0 24.537
2013-07-02 25.473 25.473 25.473 25.473 0 24.8
2013-07-03 25.249 25.249 25.249 25.249 0 24.582
2013-07-04 25.358 25.358 25.358 25.358 0 24.688
2013-07-05 25.857 25.857 25.857 25.857 0 25.173
2013-07-08 25.883 25.883 25.883 25.883 0 25.199
2013-07-09 25.898 25.898 25.898 25.898 0 25.213
2013-07-10 25.643 25.643 25.643 25.643 0 24.965
2013-07-11 24.994 24.994 24.994 24.994 0 24.333
2013-07-12 24.83 24.83 24.83 24.83 0 24.174
2013-07-15 24.993 24.993 24.993 24.993 0 24.332
2013-07-16 25.095 25.095 25.095 25.095 0 24.432
2013-07-17 25.221 25.221 25.221 25.221 0 24.554
2013-07-18 25.298 25.298 25.298 25.298 0 24.629
2013-07-19 25.586 25.586 25.586 25.586 0 24.91
2013-07-22 25.851 25.851 25.851 25.851 0 25.168
2013-07-23 26.153 26.153 26.153 26.153 0 25.462
2013-07-24 25.993 25.993 25.993 25.993 0 25.306
2013-07-25 26.14 26.14 26.14 26.14 0 25.449
2013-07-26 26.504 26.504 26.504 26.504 0 25.803
2013-07-29 26.146 26.146 26.146 26.146 0 25.455
2013-07-30 25.477 25.477 25.477 25.477 0 24.803
2013-07-31 25.401 25.401 25.401 25.401 0 24.729
2013-08-01 25.955 25.955 25.955 25.955 0 25.269
2013-08-02 26.557 26.557 26.557 26.557 0 25.855
2013-08-05 26.028 26.028 26.028 26.028 0 25.34
2013-08-06 26.283 26.283 26.283 26.283 0 25.588
2013-08-07 25.516 25.516 25.516 25.516 0 24.841
2013-08-08 25.36 25.36 25.36 25.36 0 24.69
