"Index" "MCC.Open" "MCC.High" "MCC.Low" "MCC.Close" "MCC.Volume" "MCC.Adjusted"
2013-01-02 15.01 15.12 14.65 14.66 763200 10.699893
2013-01-03 14.76 14.83 14.67 14.77 396300 10.780179
2013-01-04 14.75 14.85 14.72 14.82 296600 10.816672
2013-01-07 14.69 14.71 14.1 14.59 520200 10.648802
2013-01-08 14.53 14.54 14.34 14.46 321200 10.553919
2013-01-09 14.55 14.77 14.44 14.76 298700 10.77288
2013-01-10 14.81 14.84 14.7 14.72 185500 10.743685
2013-01-11 14.69 14.77 14.39 14.61 342900 10.663399
2013-01-14 14.62 14.65 14.48 14.55 320200 10.619607
2013-01-15 14.44 14.63 14.43 14.62 199900 10.670698
2013-01-16 14.59 14.64 14.4 14.48 263500 10.568516
2013-01-17 14.53 14.9 14.53 14.8 424400 10.802075
2013-01-18 14.83 14.94 14.79 14.9 288200 10.875061
2013-01-22 14.95 15.25 14.9 15 408400 10.948049
2013-01-23 15.01 15.1 14.95 14.98 229600 10.933451
2013-01-24 15.03 15.2 15 15.06 226100 10.991841
2013-01-25 15.08 15.13 14.87 14.97 259600 10.926153
2013-01-28 15.05 15.27 14.98 15.19 267200 11.086724
2013-01-29 15.21 15.26 15.14 15.2 207900 11.094022
2013-01-30 15.2 15.33 15.15 15.16 194900 11.064828
2013-01-31 15.09 15.27 15.01 15.2 325000 11.094022
2013-02-01 15.29 15.39 15.06 15.12 286300 11.035633
2013-02-04 15.13 15.21 15.01 15.14 223300 11.050231
2013-02-05 15.28 15.28 14.97 15.19 403900 11.086724
2013-02-06 15.16 15.23 14.98 15.14 288000 11.050231
2013-02-07 15.19 15.33 14.96 15 414900 10.948049
2013-02-08 15.09 15.49 15.05 15.43 383900 11.261893
2013-02-11 15.46 15.48 15.35 15.39 281800 11.232698
2013-02-12 15.44 15.55 15.41 15.49 234600 11.305685
2013-02-13 15.54 15.81 15.52 15.75 505700 11.495451
2013-02-14 15.76 15.82 15.61 15.61 395000 11.393269
2013-02-15 15.69 15.69 15.26 15.29 460100 11.159711
2013-02-19 15.35 15.66 15.35 15.6 627000 11.385971
2013-02-20 15.62 15.68 15.35 15.38 478800 11.225399
2013-02-21 15.36 15.46 14.75 14.99 697800 10.94075
2013-02-22 15.12 15.5 15.12 15.44 453400 11.269191
2013-02-25 15.14 15.18 14.67 14.71 533200 10.992693
2013-02-26 14.76 14.9 14.44 14.73 493900 11.007639
2013-02-27 14.73 15.05 14.73 14.99 257900 11.201935
2013-02-28 14.99 15.06 14.86 14.98 205400 11.194462
2013-03-01 14.91 15.19 14.76 15.14 322500 11.31403
2013-03-04 15.18 15.23 15.08 15.13 234600 11.306557
2013-03-05 15.22 15.37 15.16 15.31 271200 11.44107
2013-03-06 15.32 15.44 15.28 15.35 230000 11.470961
2013-03-07 15.4 15.4 15.15 15.19 227700 11.351394
2013-03-08 15.29 15.5 15.2 15.49 413800 11.575582
2013-03-11 15.49 15.69 15.45 15.64 286600 11.687677
2013-03-12 15.66 15.83 15.65 15.8 291200 11.807244
2013-03-13 15.81 16.02 15.7 15.96 274300 11.926811
2013-03-14 16.02 16.17 16 16.15 266200 12.068796
2013-03-15 16.219999 16.25 16.120001 16.15 342800 12.068796
2013-03-18 16.01 16.07 15.97 16.049999 290100 11.994066
2013-03-19 16.110001 16.23 15.84 15.93 453800 11.904392
2013-03-20 16.02 16.02 15.69 15.9 283100 11.881973
2013-03-21 15.9 15.94 15.8 15.85 261300 11.844608
2013-03-22 15.85 16 15.84 16 216400 11.956702
2013-03-25 16.040001 16.16 15.95 15.97 312600 11.934284
2013-03-26 15.78 15.87 15.5 15.55 495900 11.62042
2013-03-27 15.5 15.89 15.5 15.61 900400 11.665257
2013-03-28 15.64 15.9 15.63 15.85 427800 11.844608
2013-04-01 15.87 15.93 15.3 15.36 662600 11.478434
2013-04-02 15.36 15.56 15.3 15.47 365500 11.560637
2013-04-03 15.5 15.5 14.83 14.96 495100 11.179517
2013-04-04 14.96 15.05 14.88 14.91 286700 11.142152
2013-04-05 14.76 14.98 14.23 14.96 509900 11.179517
2013-04-08 14.96 15.19 14.86 15.08 245700 11.269192
2013-04-09 14.63 14.74 14.6 14.7 6221800 10.98522
2013-04-10 14.75 14.9 14.71 14.9 819500 11.134679
2013-04-11 14.93 14.95 14.76 14.8 357800 11.05995
2013-04-12 14.79 14.89 14.7 14.76 334500 11.030058
2013-04-15 14.75 14.78 14.23 14.34 567000 10.716194
2013-04-16 14.46 14.55 14.38 14.48 364800 10.820815
2013-04-17 14.46 14.48 14.06 14.21 474400 10.619046
2013-04-18 14.29 14.6 14.22 14.49 620200 10.828288
2013-04-19 14.58 14.6 14.37 14.57 353400 10.888072
2013-04-22 14.64 14.8 14.42 14.72 326600 11.000166
2013-04-23 14.77 14.97 14.71 14.96 421100 11.179517
2013-04-24 15 15.18 14.96 15.08 340100 11.269192
2013-04-25 15.15 15.24 15.11 15.14 292500 11.31403
2013-04-26 15.15 15.42 15.05 15.36 402300 11.478434
2013-04-29 15.48 15.57 15.44 15.49 341100 11.575582
2013-04-30 15.5 15.7 15.39 15.58 757700 11.642839
2013-05-01 15.56 15.59 14.9 14.93 703900 11.157098
2013-05-02 15.03 15.4 15.01 15.38 450300 11.49338
2013-05-03 15.67 15.85 15.19 15.22 618800 11.373813
2013-05-06 15.26 15.59 15.26 15.58 505500 11.642839
2013-05-07 15.66 15.68 15.34 15.5 339900 11.583055
2013-05-08 15.5 15.64 15.35 15.37 491300 11.485907
2013-05-09 15.42 15.46 15.21 15.26 350300 11.403705
2013-05-10 15.34 15.35 15.2 15.29 280900 11.426124
2013-05-13 15.32 15.46 15.2 15.3 494200 11.433597
2013-05-14 15.3 15.59 15.28 15.5 600500 11.583055
2013-05-15 15.53 15.57 15.26 15.31 390200 11.44107
2013-05-16 15.32 15.4 15.29 15.32 344300 11.448542
2013-05-17 15.43 15.49 15.29 15.41 394400 11.515799
