"Index" "MDB.Open" "MDB.High" "MDB.Low" "MDB.Close" "MDB.Volume" "MDB.Adjusted"
2013-01-01 124 124 124 124 0 124
2013-01-02 122 122 122 122 0 122
2013-01-03 122 122 122 122 0 122
2013-01-07 124 124 124 124 100 124
2013-01-08 124 124 124 124 100 124
2013-01-09 124 124 124 124 100 124
2013-01-10 124 124 124 124 100 124
2013-01-14 124 124 124 124 0 124
2013-01-15 126 126 124 126 0 126
2013-01-16 130 130 128 130 0 130
2013-01-17 137 137 132 137 700 137
2013-01-21 139 139 135 139 100 139
2013-01-22 141 141 137 141 700 141
2013-01-23 141 141 137 141 700 141
2013-01-24 135 135 135 135 100 135
2013-01-28 133 133 133 133 0 133
2013-01-29 133 133 133 133 0 133
2013-01-30 133 133 133 133 0 133
2013-01-31 133 133 133 133 0 133
2013-02-04 135 135 135 135 0 135
2013-02-05 133 133 133 133 0 133
2013-02-06 133 133 133 133 0 133
2013-02-07 133 133 133 133 0 133
2013-02-11 133 133 133 133 0 133
2013-02-12 130 130 129 130 3100 130
2013-02-13 136 136 132 136 100 136
2013-02-14 135 135 135 135 0 135
2013-02-18 135 135 135 135 0 135
2013-02-19 135 135 135 135 0 135
2013-02-20 137 137 135 137 0 137
2013-02-21 137 137 135 137 0 137
2013-02-25 137 137 135 137 0 137
2013-02-26 137 137 135 137 0 137
2013-02-27 135 135 135 135 300 135
2013-02-28 137 137 137 137 0 137
2013-03-04 137 137 137 137 200 137
2013-03-05 140 140 138 140 200 140
2013-03-06 140 140 138 140 200 140
2013-03-07 136 136 136 136 0 136
2013-03-11 136 136 134 136 2000 136
2013-03-12 136 136 136 136 0 136
2013-03-13 136 136 134 136 2000 136
2013-03-14 136 136 134 136 2000 136
2013-03-18 142 142 140 142 600 142
2013-03-19 142 142 140 142 600 142
2013-03-20 139 139 139 139 500 139
2013-03-21 140 140 140 140 0 140
2013-03-25 140 140 140 140 0 140
2013-03-26 140 140 140 140 0 140
2013-03-27 140 140 140 140 0 140
2013-03-28 139 139 139 139 900 139
2013-04-01 135 135 135 135 200 135
2013-04-02 131 131 131 131 0 131
2013-04-03 130 130 130 130 0 130
2013-04-04 130 130 130 130 0 130
2013-04-08 129 129 129 129 0 129
2013-04-09 128 128 128 128 100 128
2013-04-10 128 128 128 128 0 128
2013-04-11 128 128 128 128 100 128
2013-04-15 126 126 122 126 100 126
2013-04-16 126 126 124 126 200 126
2013-04-17 127 127 127 127 0 127
2013-04-18 127 127 127 127 0 127
2013-04-22 125 125 125 125 2100 125
2013-04-23 129 129 127 129 100 129
2013-04-24 129 129 129 129 0 129
2013-04-25 127 127 127 127 100 127
2013-04-29 127 127 127 127 100 127
2013-04-30 129 129 129 129 0 129
2013-05-01 129 129 129 129 0 129
2013-05-02 130 130 129 130 500 130
2013-05-06 132 132 132 132 100 132
2013-05-07 132 132 130 132 200 132
2013-05-08 133 133 132 133 300 133
2013-05-09 133 133 132 133 300 133
2013-05-13 130 130 130 130 500 130
2013-05-14 129 129 129 129 0 129
2013-05-15 131 131 131 131 0 131
2013-05-16 131 131 131 131 0 131
2013-05-20 140 140 133 140 1100 140
2013-05-21 138 138 138 138 500 138
2013-05-22 138 138 138 138 500 138
2013-05-23 134 134 134 134 1000 134
2013-05-27 136 136 134 136 0 136
2013-05-28 135 135 135 135 300 135
2013-05-29 135 135 135 135 0 135
2013-05-30 135 135 135 135 300 135
2013-06-03 139 139 137 139 100 139
2013-06-04 138 138 138 138 0 138
2013-06-05 140 140 138 140 100 140
2013-06-06 140 140 140 140 0 140
2013-06-10 142 142 142 142 0 142
2013-06-11 139 139 139 139 100 139
2013-06-12 141 141 140 141 700 141
2013-06-13 142 142 138 142 300 142
2013-06-17 139 139 139 139 0 139
2013-06-18 138 138 137 138 100 138
2013-06-19 138 138 137 138 100 138
2013-06-20 145 145 136 145 2400 145
2013-06-24 139 139 139 139 0 139
2013-06-25 137 137 136 137 200 137
2013-06-26 138 138 138 138 200 138
2013-06-27 140 140 140 140 100 140
2013-07-01 141 141 139 141 1300 141
2013-07-02 141 141 139 141 1300 141
2013-07-03 138 138 138 138 1400 138
2013-07-04 139 139 136 139 500 139
2013-07-08 138 138 138 138 200 138
2013-07-09 138 138 138 138 200 138
2013-07-10 138 138 138 138 200 138
2013-07-11 138 138 138 138 200 138
2013-07-15 137 137 137 137 0 137
2013-07-16 138 138 138 138 200 138
2013-07-17 138 138 138 138 0 138
2013-07-18 142 142 140 142 300 142
2013-07-22 144 144 144 144 200 144
2013-07-23 144 144 144 144 200 144
2013-07-24 144 144 144 144 200 144
2013-07-25 143 143 143 143 100 143
2013-07-29 150 150 149 150 2300 150
2013-07-30 150 150 149 150 2300 150
2013-07-31 150 150 149 150 2300 150
2013-08-01 153 153 153 153 0 153
2013-08-05 150 150 150 150 0 150
2013-08-06 150 150 150 150 0 150
2013-08-07 147 147 147 147 100 147
2013-08-08 149 149 149 149 200 149
2013-08-12 157 157 153 157 300 157
2013-08-13 157 157 154 157 400 157
2013-08-14 166 166 160 166 300 166
2013-08-15 168 168 163 168 300 168
2013-08-19 194 194 184 194 3300 194
2013-08-20 204 204 197 204 200 204
2013-08-21 204 204 204 204 0 204
2013-08-22 204 204 204 204 0 204
2013-08-26 196 196 196 196 300 196
2013-08-27 191 191 188 191 1400 191
2013-08-28 191 191 191 191 0 191
2013-08-29 191 191 191 191 300 191
2013-09-02 189 189 189 189 0 189
2013-09-03 192 192 192 192 0 192
2013-09-04 195 195 195 195 0 195
2013-09-05 197 197 195 197 1300 197
2013-09-09 194 194 194 194 200 194
2013-09-10 188 188 185 188 200 188
2013-09-11 191 191 191 191 0 191
2013-09-12 193 193 190 193 1000 193
2013-09-16 193 193 190 193 200 193
2013-09-17 193 193 190 193 200 193
2013-09-18 193 193 190 193 200 193
2013-09-19 185 185 185 185 1100 185
2013-09-23 177 177 177 177 300 177
2013-09-24 180 180 180 180 0 180
2013-09-25 181 181 178 181 0 181
