"Index" "ME.Open" "ME.High" "ME.Low" "ME.Close" "ME.Volume" "ME.Adjusted"
2013-01-01 43705.801 43705.801 43705.801 43705.801 0 43705.801
2013-01-02 44304.199 44304.199 44304.199 44304.199 0 44304.199
2013-01-03 44370.602 44370.602 44370.602 44370.602 0 44370.602
2013-01-04 44562.301 44562.301 44562.301 44562.301 0 44562.301
2013-01-07 44625.898 44625.898 44625.898 44625.898 0 44625.898
2013-01-08 44571.199 44571.199 44571.199 44571.199 0 44571.199
2013-01-09 44862.5 44862.5 44862.5 44862.5 0 44862.5
2013-01-10 44859.801 44859.801 44859.801 44859.801 0 44859.801
2013-01-11 44888.102 44888.102 44888.102 44888.102 0 44888.102
2013-01-14 44862.898 44862.898 44862.898 44862.898 0 44862.898
2013-01-15 44748.102 44748.102 44748.102 44748.102 0 44748.102
2013-01-16 44865.301 44865.301 44865.301 44865.301 0 44865.301
2013-01-17 44943.301 44943.301 44943.301 44943.301 0 44943.301
2013-01-18 45212.5 45212.5 45212.5 45212.5 0 45212.5
2013-01-21 45223.898 45223.898 45223.898 45223.898 0 45223.898
2013-01-22 45320.301 45320.301 45320.301 45320.301 0 45320.301
2013-01-23 45443 45443 45443 45443 0 45443
2013-01-24 45428.699 45428.699 45428.699 45428.699 0 45428.699
2013-01-25 45575.898 45575.898 45575.898 45575.898 0 45575.898
2013-01-28 45912.5 45912.5 45912.5 45912.5 0 45912.5
2013-01-29 45908 45908 45908 45908 0 45908
2013-01-30 45753.199 45753.199 45753.199 45753.199 0 45753.199
2013-01-31 45278.102 45278.102 45278.102 45278.102 0 45278.102
2013-02-01 45768.5 45768.5 45768.5 45768.5 0 45768.5
2013-02-04 45768.5 45768.5 45768.5 45768.5 0 45768.5
2013-02-05 45688.102 45688.102 45688.102 45688.102 0 45688.102
2013-02-06 45570.699 45570.699 45570.699 45570.699 0 45570.699
2013-02-07 45019.199 45019.199 45019.199 45019.199 0 45019.199
2013-02-08 45089.398 45089.398 45089.398 45089.398 0 45089.398
2013-02-11 45063.898 45063.898 45063.898 45063.898 0 45063.898
2013-02-12 44873.398 44873.398 44873.398 44873.398 0 44873.398
2013-02-13 44096.301 44096.301 44096.301 44096.301 0 44096.301
2013-02-14 43878.301 43878.301 43878.301 43878.301 0 43878.301
2013-02-15 44153 44153 44153 44153 0 44153
2013-02-18 44141.898 44141.898 44141.898 44141.898 0 44141.898
2013-02-19 44639.801 44639.801 44639.801 44639.801 0 44639.801
2013-02-20 44299.602 44299.602 44299.602 44299.602 0 44299.602
2013-02-21 44136.602 44136.602 44136.602 44136.602 0 44136.602
2013-02-22 43875.699 43875.699 43875.699 43875.699 0 43875.699
2013-02-25 43497.199 43497.199 43497.199 43497.199 0 43497.199
2013-02-26 43489.199 43489.199 43489.199 43489.199 0 43489.199
2013-02-27 43772.898 43772.898 43772.898 43772.898 0 43772.898
2013-02-28 44121 44121 44121 44121 0 44121
2013-03-01 43995.699 43995.699 43995.699 43995.699 0 43995.699
2013-03-04 43871.301 43871.301 43871.301 43871.301 0 43871.301
2013-03-05 44017.102 44017.102 44017.102 44017.102 0 44017.102
2013-03-06 44159.602 44159.602 44159.602 44159.602 0 44159.602
2013-03-07 43968.602 43968.602 43968.602 43968.602 0 43968.602
2013-03-08 44322.5 44322.5 44322.5 44322.5 0 44322.5
2013-03-11 44013.301 44013.301 44013.301 44013.301 0 44013.301
2013-03-12 43965.398 43965.398 43965.398 43965.398 0 43965.398
2013-03-13 43278.102 43278.102 43278.102 43278.102 0 43278.102
2013-03-14 43348.5 43348.5 43348.5 43348.5 0 43348.5
2013-03-15 42605.102 42605.102 42605.102 42605.102 0 42605.102
2013-03-18 42605.102 42605.102 42605.102 42605.102 0 42605.102
2013-03-19 42060.602 42060.602 42060.602 42060.602 0 42060.602
2013-03-20 42498 42498 42498 42498 0 42498
2013-03-21 42531.102 42531.102 42531.102 42531.102 0 42531.102
2013-03-22 42686.699 42686.699 42686.699 42686.699 0 42686.699
2013-03-25 42900.801 42900.801 42900.801 42900.801 0 42900.801
2013-03-26 43664.699 43664.699 43664.699 43664.699 0 43664.699
2013-03-27 44077.102 44077.102 44077.102 44077.102 0 44077.102
2013-03-28 44077.102 44077.102 44077.102 44077.102 0 44077.102
2013-03-29 44077.102 44077.102 44077.102 44077.102 0 44077.102
2013-04-01 43932.5 43932.5 43932.5 43932.5 0 43932.5
2013-04-02 44113.5 44113.5 44113.5 44113.5 0 44113.5
2013-04-03 43717.602 43717.602 43717.602 43717.602 0 43717.602
2013-04-04 43566.699 43566.699 43566.699 43566.699 0 43566.699
2013-04-05 43244.199 43244.199 43244.199 43244.199 0 43244.199
2013-04-08 43431 43431 43431 43431 0 43431
2013-04-09 43973.199 43973.199 43973.199 43973.199 0 43973.199
2013-04-10 44380.801 44380.801 44380.801 44380.801 0 44380.801
2013-04-11 44408.398 44408.398 44408.398 44408.398 0 44408.398
2013-04-12 44004.301 44004.301 44004.301 44004.301 0 44004.301
2013-04-15 42984.398 42984.398 42984.398 42984.398 0 42984.398
2013-04-16 43223.699 43223.699 43223.699 43223.699 0 43223.699
2013-04-17 42610.898 42610.898 42610.898 42610.898 0 42610.898
2013-04-18 42460.199 42460.199 42460.199 42460.199 0 42460.199
2013-04-19 42808.199 42808.199 42808.199 42808.199 0 42808.199
2013-04-22 42914.199 42914.199 42914.199 42914.199 0 42914.199
2013-04-23 43113.602 43113.602 43113.602 43113.602 0 43113.602
2013-04-24 42294.898 42294.898 42294.898 42294.898 0 42294.898
2013-04-25 42547.5 42547.5 42547.5 42547.5 0 42547.5
2013-04-26 41897 41897 41897 41897 0 41897
2013-04-29 41910.5 41910.5 41910.5 41910.5 0 41910.5
2013-04-30 42263.5 42263.5 42263.5 42263.5 0 42263.5
2013-05-01 42263.5 42263.5 42263.5 42263.5 0 42263.5
2013-05-02 42090 42090 42090 42090 0 42090
2013-05-03 42602.102 42602.102 42602.102 42602.102 0 42602.102
2013-05-06 42198 42198 42198 42198 0 42198
2013-05-07 42406.699 42406.699 42406.699 42406.699 0 42406.699
2013-05-08 42102.102 42102.102 42102.102 42102.102 0 42102.102
2013-05-09 41682.602 41682.602 41682.602 41682.602 0 41682.602
2013-05-10 41741.5 41741.5 41741.5 41741.5 0 41741.5
2013-05-13 41766.898 41766.898 41766.898 41766.898 0 41766.898
2013-05-14 41925.102 41925.102 41925.102 41925.102 0 41925.102
2013-05-15 41905.199 41905.199 41905.199 41905.199 0 41905.199
2013-05-16 41761.102 41761.102 41761.102 41761.102 0 41761.102
2013-05-17 41806.699 41806.699 41806.699 41806.699 0 41806.699
2013-05-20 41080.398 41080.398 41080.398 41080.398 0 41080.398
2013-05-21 40548.398 40548.398 40548.398 40548.398 0 40548.398
2013-05-22 40119 40119 40119 40119 0 40119
2013-05-23 40505.301 40505.301 40505.301 40505.301 0 40505.301
2013-05-24 40521.301 40521.301 40521.301 40521.301 0 40521.301
2013-05-27 40144.602 40144.602 40144.602 40144.602 0 40144.602
2013-05-28 40764 40764 40764 40764 0 40764
2013-05-29 40639 40639 40639 40639 0 40639
2013-05-30 40984.5 40984.5 40984.5 40984.5 0 40984.5
2013-05-31 41588.301 41588.301 41588.301 41588.301 0 41588.301
2013-06-03 41094.801 41094.801 41094.801 41094.801 0 41094.801
2013-06-04 40750.398 40750.398 40750.398 40750.398 0 40750.398
2013-06-05 40226.301 40226.301 40226.301 40226.301 0 40226.301
2013-06-06 40579.102 40579.102 40579.102 40579.102 0 40579.102
2013-06-07 40232.699 40232.699 40232.699 40232.699 0 40232.699
2013-06-10 40721.398 40721.398 40721.398 40721.398 0 40721.398
2013-06-11 39890.199 39890.199 39890.199 39890.199 0 39890.199
2013-06-12 39480.398 39480.398 39480.398 39480.398 0 39480.398
2013-06-13 39481.5 39481.5 39481.5 39481.5 0 39481.5
2013-06-14 39269.301 39269.301 39269.301 39269.301 0 39269.301
2013-06-17 39549.5 39549.5 39549.5 39549.5 0 39549.5
