"Index" "MF.Open" "MF.High" "MF.Low" "MF.Close" "MF.Volume" "MF.Adjusted"
2013-01-01 0.0681 0.0681 0.0681 0.0681 0 0.0681
2013-01-02 0.0706 0.0706 0.0682 0.0682 91800 0.0682
2013-01-03 0.0686 0.071 0.0686 0.0695 107000 0.0695
2013-01-04 0.071 0.0727 0.0685 0.0705 351400 0.0705
2013-01-07 0.0722 0.0746 0.0695 0.0722 646900 0.0722
2013-01-08 0.0722 0.076 0.0709 0.0726 101100 0.0726
2013-01-09 0.0717 0.078 0.0717 0.0763 642000 0.0763
2013-01-10 0.0744 0.0913 0.0744 0.0886 1613700 0.0886
2013-01-11 0.09 0.097 0.086 0.09 3371500 0.09
2013-01-14 0.0866 0.0929 0.0866 0.089 989300 0.089
2013-01-15 0.0887 0.0903 0.0885 0.089 161200 0.089
2013-01-16 0.0862 0.0897 0.0856 0.0879 336200 0.0879
2013-01-17 0.0903 0.0921 0.0875 0.0915 453400 0.0915
2013-01-18 0.0877 0.0915 0.0877 0.0901 293900 0.0901
2013-01-21 0.102 0.1059 0.1 0.1059 379600 0.1059
2013-01-22 0.1051 0.1097 0.0978 0.1028 3842300 0.1028
2013-01-23 0.11 0.112 0.0972 0.1008 2034700 0.1008
2013-01-24 0.104 0.104 0.0951 0.0987 1469500 0.0987
2013-01-25 0.098 0.1019 0.0972 0.1 186900 0.1
2013-01-28 0.0951 0.102 0.0951 0.1 477900 0.1
2013-01-29 0.0963 0.1049 0.0963 0.1049 548200 0.1049
2013-01-30 0.105 0.105 0.1 0.1007 259800 0.1007
2013-01-31 0.0972 0.1059 0.0972 0.1025 347600 0.1025
2013-02-01 0.1 0.1038 0.1 0.1008 113000 0.1008
2013-02-04 0.1008 0.1037 0.095 0.0996 212900 0.0996
2013-02-05 0.0921 0.1 0.0921 0.1 78400 0.1
2013-02-06 0.0978 0.1 0.0934 0.0955 371200 0.0955
2013-02-07 0.0952 0.102 0.095 0.0988 250600 0.0988
2013-02-08 0.0952 0.1005 0.0952 0.1005 85500 0.1005
2013-02-11 0.1005 0.1019 0.0962 0.1017 274100 0.1017
2013-02-12 0.098 0.1016 0.098 0.1014 91200 0.1014
2013-02-13 0.0975 0.1039 0.0975 0.1006 245700 0.1006
2013-02-14 0.102 0.102 0.0979 0.102 205300 0.102
2013-02-15 0.102 0.107 0.0985 0.1016 819100 0.1016
2013-02-18 0.102 0.103 0.099 0.1005 270100 0.1005
2013-02-19 0.0992 0.1019 0.099 0.1 47600 0.1
2013-02-20 0.0992 0.1002 0.098 0.1 266100 0.1
2013-02-21 0.098 0.1019 0.0966 0.0979 138300 0.0979
2013-02-22 0.093 0.0999 0.093 0.0996 209300 0.0996
2013-02-25 0.0966 0.099 0.0961 0.098 94200 0.098
2013-02-26 0.0934 0.1004 0.0934 0.0971 157500 0.0971
2013-02-27 0.0926 0.098 0.0926 0.0975 185500 0.0975
2013-02-28 0.095 0.0977 0.0932 0.0955 90900 0.0955
2013-03-01 0.0931 0.0945 0.0903 0.0929 240600 0.0929
2013-03-04 0.0906 0.096 0.0902 0.0941 71800 0.0941
2013-03-05 0.0936 0.0937 0.0906 0.0934 67000 0.0934
2013-03-06 0.0932 0.0934 0.0906 0.0906 26200 0.0906
2013-03-07 0.0903 0.0929 0.088 0.091 161600 0.091
2013-03-08 0.0925 0.0925 0.09 0.0923 33500 0.0923
2013-03-11 0.09 0.0924 0.0881 0.09 13400 0.09
2013-03-12 0.0882 0.0924 0.0882 0.0919 54000 0.0919
2013-03-13 0.0883 0.0924 0.0862 0.0899 33000 0.0899
2013-03-14 0.0909 0.0909 0.0874 0.0908 84500 0.0908
2013-03-15 0.0924 0.0924 0.0866 0.0904 14000 0.0904
2013-03-18 0.0902 0.0919 0.085 0.0875 115600 0.0875
2013-03-19 0.0897 0.0897 0.0845 0.0877 90000 0.0877
2013-03-20 0.0845 0.0879 0.0835 0.0876 31600 0.0876
2013-03-21 0.0878 0.0878 0.0824 0.0843 325400 0.0843
2013-03-22 0.0869 0.0896 0.083 0.088 184900 0.088
2013-03-25 0.0878 0.0883 0.0838 0.0878 85000 0.0878
2013-03-26 0.0867 0.0869 0.084 0.0867 13500 0.0867
2013-03-27 0.0867 0.0878 0.0836 0.0859 12100 0.0859
2013-03-28 0.0826 0.0858 0.0823 0.0848 40000 0.0848
2013-03-29 0.0848 0.0848 0.0848 0.0848 0 0.0848
2013-04-01 0.0848 0.0848 0.0848 0.0848 0 0.0848
2013-04-02 0.0822 0.0846 0.0802 0.0846 62400 0.0846
2013-04-03 0.083 0.083 0.0803 0.0812 19100 0.0812
2013-04-04 0.0828 0.0833 0.079 0.0809 141700 0.0809
2013-04-05 0.0838 0.0838 0.0778 0.0778 38400 0.0778
2013-04-08 0.0838 0.0864 0.076 0.08 332700 0.08
2013-04-09 0.0839 0.0849 0.0799 0.0823 12200 0.0823
2013-04-10 0.081 0.0834 0.0792 0.081 203400 0.081
2013-04-11 0.0815 0.0827 0.0792 0.0818 116700 0.0818
2013-04-12 0.0797 0.0817 0.0783 0.0817 86700 0.0817
2013-04-15 0.081 0.0816 0.079 0.079 61500 0.079
2013-04-16 0.08 0.082 0.078 0.0813 269900 0.0813
2013-04-17 0.0808 0.0819 0.079 0.08 137800 0.08
2013-04-18 0.08 0.0822 0.0721 0.0721 617700 0.0721
2013-04-19 0.0793 0.0793 0.0665 0.068 1289000 0.068
2013-04-22 0.068 0.0724 0.067 0.0714 1472000 0.0714
2013-04-23 0.0728 0.074 0.0701 0.0713 390900 0.0713
2013-04-24 0.0712 0.0746 0.068 0.072 156500 0.072
2013-04-25 0.075 0.0752 0.0705 0.075 424200 0.075
2013-04-26 0.077 0.078 0.072 0.0745 487500 0.0745
2013-04-29 0.0749 0.0785 0.0749 0.0761 311000 0.0761
2013-04-30 0.0715 0.0798 0.0715 0.0798 274200 0.0798
2013-05-01 0.0798 0.0798 0.0798 0.0798 0 0.0798
2013-05-02 0.08 0.0838 0.077 0.0838 196100 0.0838
2013-05-03 0.0799 0.0836 0.0799 0.0829 122300 0.0829
2013-05-06 0.0791 0.083 0.0791 0.0826 221200 0.0826
2013-05-07 0.0801 0.0843 0.0796 0.0797 801800 0.0797
2013-05-08 0.0834 0.0834 0.08 0.0817 179800 0.0817
2013-05-09 0.0837 0.085 0.0801 0.0837 201500 0.0837
2013-05-10 0.0837 0.087 0.0808 0.0848 1109100 0.0848
2013-05-13 0.0848 0.0877 0.0821 0.0843 39000 0.0843
2013-05-14 0.0844 0.0845 0.0811 0.082 217500 0.082
2013-05-15 0.0812 0.0825 0.0811 0.0812 65000 0.0812
2013-05-16 0.0812 0.0842 0.0814 0.0834 203800 0.0834
2013-05-17 0.0832 0.0833 0.0814 0.0833 213900 0.0833
2013-05-20 0.0784 0.0876 0.0784 0.085 400100 0.085
2013-05-21 0.0831 0.087 0.082 0.0831 112700 0.0831
2013-05-22 0.0831 0.0855 0.0824 0.0825 108800 0.0825
2013-05-23 0.082 0.0856 0.0805 0.0843 132700 0.0843
2013-05-24 0.0843 0.0848 0.0805 0.0848 56200 0.0848
2013-05-27 0.0848 0.0848 0.0812 0.0823 93700 0.0823
2013-05-28 0.0825 0.084 0.0825 0.0836 143900 0.0836
2013-05-29 0.0825 0.083 0.0823 0.0823 51600 0.0823
2013-05-30 0.0839 0.0839 0.0806 0.0834 87500 0.0834
2013-05-31 0.0832 0.0838 0.0808 0.0812 66000 0.0812
2013-06-03 0.0843 0.0855 0.0813 0.0813 428500 0.0813
2013-06-04 0.0818 0.083 0.0808 0.0808 52500 0.0808
