"Index" "MFB.Open" "MFB.High" "MFB.Low" "MFB.Close" "MFB.Volume" "MFB.Adjusted"
2013-01-01 19.49 19.49 19.49 19.49 0 19.49
2013-01-02 19.84 20.03 19.46 19.71 95800 19.71
2013-01-03 19.75 20.02 19.63 19.78 42100 19.78
2013-01-04 19.9 20.35 19.83 20.24 52500 20.24
2013-01-07 20.1 20.2082 19.64 19.68 66900 19.68
2013-01-08 19.62 19.84 19.51 19.77 68700 19.77
2013-01-09 19.87 20 19.76 19.96 42900 19.96
2013-01-10 19.98 19.98 19.5601 19.81 63400 19.81
2013-01-11 19.87 19.87 19.52 19.64 59400 19.64
2013-01-14 19.63 19.8 19.49 19.77 42900 19.77
2013-01-15 19.6 19.63 19.41 19.53 53100 19.53
2013-01-16 19.45 19.72 19.4 19.63 39300 19.63
2013-01-17 19.74 19.74 19.3701 19.65 40600 19.65
2013-01-18 19.6 19.8 19.45 19.57 177300 19.57
2013-01-21 19.57 19.57 19.57 19.57 0 19.57
2013-01-22 19.51 19.73 19.41 19.44 76000 19.44
2013-01-23 19.36 19.43 19.14 19.23 119200 19.23
2013-01-24 19.2 19.27 18.95 19.1 111000 19.1
2013-01-25 19.1 19.67 19.08 19.64 132000 19.64
2013-01-28 19.61 19.61 18.88 19.27 124100 19.27
2013-01-29 19.24 19.73 19.235 19.7 70200 19.7
2013-01-30 19.65 19.65 19.06 19.19 45900 19.19
2013-01-31 19.11 19.47 18.96 19.41 63400 19.41
2013-02-01 19.55 19.76 19.36 19.59 53400 19.59
2013-02-04 19.53 19.62 19.09 19.14 49400 19.14
2013-02-05 19.18 19.415 19.18 19.31 30000 19.31
2013-02-06 19.35 19.97 19.35 19.93 46400 19.93
2013-02-07 19.91 19.96 19.6801 19.78 19600 19.78
2013-02-08 19.79 20.07 19.7 19.77 40200 19.77
2013-02-11 19.82 19.96 19.68 19.79 16600 19.79
2013-02-12 19.87 20.05 19.8001 19.93 29900 19.93
2013-02-13 19.97 20.12 19.83 20.04 22000 20.04
2013-02-14 20.03 20.03 19.66 19.68 27300 19.68
2013-02-15 19.78 19.84 19.6 19.65 44800 19.65
2013-02-18 19.65 19.65 19.65 19.65 0 19.65
2013-02-19 19.72 20.51 19.72 20.5 43900 20.5
2013-02-20 20.46 20.54 20.09 20.1 49400 20.1
2013-02-21 20.06 20.16 19.77 19.85 18500 19.85
2013-02-22 19.95 19.95 19.5 19.7 27800 19.7
2013-02-25 19.74 19.76 18.68 18.69 66600 18.69
2013-02-26 18.73 19.46 18.73 19.37 23600 19.37
2013-02-27 19.31 19.55 19.31 19.38 26900 19.38
2013-02-28 19.41 19.59 19.15 19.19 55400 19.19
2013-03-01 19.17 19.44 18.95 19.33 33400 19.33
2013-03-04 19.25 19.33 18.78 18.87 60900 18.87
2013-03-05 18.87 18.98 18.52 18.63 87700 18.63
2013-03-06 17 17.03 16.5 16.96 325300 16.96
2013-03-07 17 17.109 16.74 16.82 136500 16.82
2013-03-08 16.97 17.01 16.79 16.92 73800 16.92
2013-03-11 16.83 16.9 16.53 16.68 120000 16.68
2013-03-12 16.7 16.98 16.56 16.75 69600 16.75
2013-03-13 16.8 16.82 16.66 16.71 64900 16.71
2013-03-14 16.78 17.26 16.65 17.12 92700 17.12
2013-03-15 17.16 17.74 17.16 17.73 134800 17.73
2013-03-18 17.57 17.74 17.48 17.59 45000 17.59
2013-03-19 17.57 17.61 17.27 17.42 49600 17.42
2013-03-20 17.55 17.69 17.4203 17.57 66000 17.57
2013-03-21 17.5 18.01 17.5 17.59 50700 17.59
2013-03-22 17.62 17.739 17.3401 17.53 59100 17.53
2013-03-25 17.52 17.83 17.52 17.74 55800 17.74
2013-03-26 17.79 17.8215 17.35 17.66 53400 17.66
2013-03-27 17.54 17.74 17.45 17.59 30600 17.59
2013-03-28 17.64 17.78 17.461 17.53 43800 17.53
2013-03-29 17.53 17.53 17.53 17.53 0 17.53
2013-04-01 17.56 17.66 17.43 17.61 90800 17.61
2013-04-02 17.42 17.72 17.09 17.19 127300 17.19
2013-04-03 17.27 17.62 17.03 17.19 124900 17.19
2013-04-04 17.25 17.66 17.25 17.49 48200 17.49
