"Index" "MFD.Open" "MFD.High" "MFD.Low" "MFD.Close" "MFD.Volume" "MFD.Adjusted"
2013-01-02 15.35 15.39 15.19 15.23 75900 12.039517
2013-01-03 15.17 15.26 15.08 15.18 63400 11.999992
2013-01-04 15.1 15.37 15.1 15.35 59300 12.134379
2013-01-07 15.37 15.43 15.22 15.43 64800 12.19762
2013-01-08 15.41 15.41 15.25 15.36 22800 12.142284
2013-01-09 15.42 15.47 15.35 15.44 54000 12.205525
2013-01-10 15.55 15.68 15.55 15.68 41100 12.395248
2013-01-11 15.72 15.76 15.62 15.76 24800 12.458489
2013-01-14 15.79 15.79 15.7 15.78 24700 12.474299
2013-01-15 15.67 15.8 15.67 15.77 33700 12.466395
2013-01-16 15.77 15.85 15.67 15.85 28000 12.529636
2013-01-17 15.94 15.97 15.8 15.89 23400 12.561256
2013-01-18 15.9 15.98 15.85 15.98 16500 12.632402
2013-01-22 16.059999 16.1 15.8 15.96 43100 12.616592
2013-01-23 15.99 16.200001 15.9 16.18 47600 12.790505
2013-01-24 16.200001 16.25 16.1 16.25 29200 12.845841
2013-01-25 16.27 16.309999 16.049999 16.200001 53900 12.806316
2013-01-28 16.24 16.25 16.030001 16.18 32000 12.790505
2013-01-29 16.16 16.17 16.09 16.129999 15100 12.750978
2013-01-30 16.129999 16.290001 16.129999 16.280001 28800 12.869557
2013-01-31 16.299999 16.299999 16.07 16.139999 17700 12.758884
2013-02-01 16.27 16.290001 16.01 16.049999 40500 12.687737
2013-02-04 16.040001 16.040001 15.77 15.78 50300 12.474299
2013-02-05 15.84 16.02 15.8 16.02 29600 12.664023
2013-02-06 16.030001 16.030001 15.96 16.02 19500 12.664023
2013-02-07 16.190001 16.190001 15.89 15.94 35800 12.600781
2013-02-08 16 16.049999 15.94 15.98 23900 12.632402
2013-02-11 16.02 16.049999 15.98 15.99 24800 12.640307
2013-02-12 16.030001 16.1 15.99 16.1 18600 12.727264
2013-02-13 16.16 16.16 16.040001 16.1 22400 12.727264
2013-02-14 16.120001 16.120001 15.98 16.049999 29100 12.687737
2013-02-15 16.09 16.280001 15.97 16.280001 38000 12.869557
2013-02-19 16.27 16.280001 16.08 16.26 59300 12.853746
2013-02-20 16.030001 16.030001 15.65 15.71 38800 12.692164
2013-02-21 16.040001 16.040001 15.72 15.85 18000 12.805271
2013-02-22 15.96 16.09 15.77 15.98 26500 12.910298
2013-02-25 16 16.049999 15.84 15.97 17200 12.90222
2013-02-26 15.93 16.110001 15.84 16.030001 32500 12.950694
2013-02-27 15.97 15.98 15.65 15.74 41500 12.716401
2013-02-28 15.87 16.120001 15.84 15.85 38300 12.805271
2013-03-01 15.72 16.049999 15.66 16.049999 36800 12.966851
2013-03-04 15.93 16.01 15.85 15.92 20900 12.861824
2013-03-05 16.040001 16.16 15.75 16.049999 41700 12.966851
2013-03-06 16.120001 16.23 15.96 16.17 18500 13.0638
2013-03-07 16.219999 16.25 15.95 16.110001 37800 13.015326
2013-03-08 16.219999 16.24 16.1 16.23 33900 13.112274
2013-03-11 16.23 16.23 15.99 16.139999 38400 13.039562
2013-03-12 16.139999 16.15 16 16.07 13000 12.983009
2013-03-13 16.139999 16.139999 15.93 16.02 23300 12.942615
2013-03-14 16.110001 16.110001 16 16.08 15100 12.991089
