"Index" "MG.Open" "MG.High" "MG.Low" "MG.Close" "MG.Volume" "MG.Adjusted"
2013-01-02 24.809999 25.35 24.530001 25.040001 168400 25.040001
2013-01-03 25.129999 25.129999 24.32 24.4 59600 24.4
2013-01-04 24.549999 24.65 24.309999 24.41 32700 24.41
2013-01-07 24.209999 24.5 23.99 24.02 100700 24.02
2013-01-08 24.09 24.1 23.6 23.719999 92800 23.719999
2013-01-09 23.23 23.23 19.969999 21.110001 1013700 21.110001
2013-01-10 21.299999 21.549999 20.809999 21.190001 655600 21.190001
2013-01-11 21.08 21.26 20.82 21.16 137400 21.16
2013-01-14 21.139999 21.809999 21.139999 21.73 219500 21.73
2013-01-15 21.639999 22.049999 21.629999 22.040001 129000 22.040001
2013-01-16 22.040001 22.040001 21.5 21.6 89500 21.6
2013-01-17 21.620001 21.879999 21.51 21.76 63800 21.76
2013-01-18 21.75 22.200001 21.73 22.190001 120500 22.190001
2013-01-22 22.129999 22.27 22.1 22.27 107800 22.27
2013-01-23 22.32 22.32 22.049999 22.200001 59800 22.200001
2013-01-24 22.299999 22.75 22.27 22.5 46600 22.5
2013-01-25 22.48 22.59 22.110001 22.32 127500 22.32
2013-01-28 22.33 22.75 22.299999 22.75 152300 22.75
2013-01-29 22.719999 22.950001 22.66 22.93 72400 22.93
2013-01-30 22.84 22.860001 22 22.059999 155500 22.059999
2013-01-31 22.02 22.16 21.639999 22.02 165700 22.02
2013-02-01 22.17 22.27 22.030001 22.18 71100 22.18
2013-02-04 22.030001 22.209999 21.719999 21.75 51000 21.75
2013-02-05 21.82 21.99 21.57 21.610001 71800 21.610001
2013-02-06 21.49 21.719999 21.280001 21.559999 51800 21.559999
2013-02-07 21.610001 21.700001 21.389999 21.6 133000 21.6
2013-02-08 21.629999 21.940001 21.629999 21.76 63500 21.76
2013-02-11 21.719999 21.719999 21.4 21.4 33900 21.4
2013-02-12 21.42 21.48 21.25 21.25 32400 21.25
2013-02-13 21.309999 21.6 21.110001 21.52 51700 21.52
2013-02-14 21.52 21.59 21 21.059999 45700 21.059999
2013-02-15 21.16 21.49 20.66 21.42 104900 21.42
2013-02-19 21.389999 21.58 21.32 21.49 50700 21.49
2013-02-20 21.530001 21.6 21.1 21.200001 56600 21.200001
2013-02-21 21.17 21.23 20.57 20.82 28700 20.82
2013-02-22 20.959999 20.959999 20.34 20.6 69700 20.6
2013-02-25 20.709999 20.870001 20.25 20.27 90400 20.27
2013-02-26 20.35 20.74 20.129999 20.530001 81000 20.530001
2013-02-27 20.58 20.84 20.49 20.530001 56500 20.530001
2013-02-28 20.530001 20.700001 20.34 20.450001 146400 20.450001
2013-03-01 20.459999 21.110001 20.459999 20.719999 157700 20.719999
2013-03-04 20.74 20.76 20.42 20.66 96200 20.66
2013-03-05 20.700001 20.719999 20.49 20.639999 179800 20.639999
2013-03-06 20.690001 21.450001 20.629999 21.34 111900 21.34
2013-03-07 21.4 21.690001 21.17 21.629999 49200 21.629999
2013-03-08 21.889999 22.35 21.85 22.32 78400 22.32
2013-03-11 22.309999 22.83 22.17 22.68 72700 22.68
2013-03-12 22.77 22.790001 22.290001 22.4 82200 22.4
2013-03-13 22.48 23.09 22.43 23.040001 57600 23.040001
2013-03-14 23.09 23.17 22.940001 23.120001 46600 23.120001
