"Index" "MGN.Open" "MGN.High" "MGN.Low" "MGN.Close" "MGN.Volume" "MGN.Adjusted"
2013-01-02 1.09 1.12 1.05 1.09 48700 1.09
2013-01-03 1.02 1.1 1.02 1.05 11500 1.05
2013-01-04 1.07 1.07 1.02 1.05 55500 1.05
2013-01-07 1.06 1.07 1.04 1.06 13100 1.06
2013-01-08 1.04 1.1 1.04 1.06 48100 1.06
2013-01-09 1.08 1.1 1.06 1.09 82400 1.09
2013-01-10 1.11 1.15 1.09 1.14 54700 1.14
2013-01-11 1.13 1.15 1.13 1.15 5900 1.15
2013-01-14 1.15 1.17 1.12 1.13 28800 1.13
2013-01-15 1.16 1.19 1.14 1.17 34500 1.17
2013-01-16 1.15 1.24 1.15 1.21 35500 1.21
2013-01-17 1.18 1.25 1.171 1.2 38500 1.2
2013-01-18 1.22 1.25 1.17 1.19 44100 1.19
2013-01-22 1.2 1.25 1.2 1.25 23400 1.25
2013-01-23 1.25 1.27 1.17 1.19 43900 1.19
2013-01-24 1.16 1.23 1.16 1.22 71100 1.22
2013-01-25 1.22 1.23 1.15 1.16 36000 1.16
2013-01-28 1.16 1.2 1.041 1.13 59200 1.13
2013-01-29 1.15 1.19 1.15 1.179 11000 1.179
2013-01-30 1.18 1.22 1.15 1.17 41000 1.17
2013-01-31 1.17 1.17 1.14 1.17 14800 1.17
2013-02-01 1.23 1.23 1.14 1.19 32700 1.19
2013-02-04 1.17 1.19 1.16 1.16 6900 1.16
2013-02-05 1.17 1.17 1.04 1.11 51900 1.11
2013-02-06 1.1 1.12 1.04 1.04 38100 1.04
2013-02-07 1.07 1.09 1.04 1.07 37600 1.07
2013-02-08 1.07 1.12 1.05 1.12 50400 1.12
2013-02-11 1.09 1.09 1.05 1.09 34600 1.09
2013-02-12 1.06 1.12 1.04 1.09 8000 1.09
2013-02-13 1.11 1.11 1.05 1.08 11600 1.08
2013-02-14 1.06 1.11 1.02 1.04 26100 1.04
2013-02-15 1.02 1.04 0.987 1.04 65000 1.04
2013-02-19 1.07 1.08 1 1.05 38200 1.05
2013-02-20 1.08 1.08 1.01 1.02 54300 1.02
2013-02-21 1.02 1.22 1 1.02 59000 1.02
2013-02-22 1.03 1.06 1.03 1.03 6700 1.03
2013-02-25 1.09 1.23 1.08 1.14 158500 1.14
2013-02-26 1.17 1.17 1.126 1.15 16300 1.15
2013-02-27 1.18 1.2 1.14 1.18 33900 1.18
2013-02-28 1.19 1.2 1.07 1.12 52100 1.12
2013-03-01 1.09 1.11 1.03 1.07 67900 1.07
2013-03-04 1.04 1.04 1 1.01 104500 1.01
2013-03-05 1.01 1.06 1.01 1.055 16400 1.055
2013-03-06 1.05 1.05 1.01 1.05 20000 1.05
2013-03-07 1.03 1.1 1.03 1.07 6900 1.07
2013-03-08 1.05 1.1 1.05 1.08 31100 1.08
2013-03-11 1.08 1.12 1.06 1.1 23100 1.1
2013-03-12 1.1 1.11 1.06 1.1 16800 1.1
2013-03-13 1.1 1.1 1.06 1.06 10300 1.06
2013-03-14 1.06 1.09 1.06 1.06 10900 1.06
2013-03-15 1.07 1.11 1.063 1.07 22200 1.07
2013-03-18 1.07 1.11 1.06 1.06 9000 1.06
2013-03-19 1.06 1.11 1.02 1.05 51000 1.05
2013-03-20 1.15 1.15 1.04 1.07 11800 1.07
2013-03-21 1.07 1.08 1.02 1.08 32900 1.08
2013-03-22 1.08 1.08 1.03 1.07 21500 1.07
2013-03-25 1.07 1.08 1 1.03 80400 1.03
2013-03-26 1.03 1.08 0.99 0.99 32900 0.99
2013-03-27 1 1.08 0.95 0.988 110500 0.988
2013-03-28 1.002 1.02 0.94 0.951 116300 0.951
2013-04-01 0.94 0.955 0.899 0.95 38700 0.95
2013-04-02 0.93 0.95 0.89 0.91 61000 0.91
2013-04-03 0.881 0.91 0.83 0.85 62900 0.85
2013-04-04 0.82 0.9 0.8 0.86 33100 0.86
2013-04-05 0.86 0.9 0.85 0.86 27600 0.86
2013-04-08 0.87 0.95 0.87 0.95 84400 0.95
2013-04-09 0.95 0.99 0.92 0.94 30400 0.94
2013-04-10 0.946 0.99 0.929 0.96 39300 0.96
2013-04-11 0.96 0.97 0.869 0.95 54000 0.95
2013-04-12 0.93 0.959 0.802 0.87 70100 0.87
2013-04-15 0.83 0.85 0.77 0.805 132000 0.805
2013-04-16 0.805 0.82 0.792 0.82 87800 0.82
2013-04-17 0.82 0.889 0.75 0.79 93400 0.79
2013-04-18 0.74 0.84 0.74 0.82 43500 0.82
2013-04-19 0.81 0.82 0.762 0.777 4900 0.777
2013-04-22 0.78 0.82 0.75 0.79 37800 0.79
2013-04-23 0.73 0.81 0.73 0.763 23700 0.763
2013-04-24 0.76 0.79 0.755 0.79 26600 0.79
2013-04-25 0.81 0.81 0.77 0.81 35800 0.81
2013-04-26 0.81 0.83 0.8 0.81 60900 0.81
2013-04-29 0.816 0.84 0.78 0.8 13400 0.8
2013-04-30 0.77 0.79 0.761 0.79 11300 0.79
2013-05-01 0.79 0.8 0.78 0.8 7700 0.8
2013-05-02 0.8 0.84 0.8 0.84 49100 0.84
2013-05-03 0.83 0.85 0.83 0.84 17100 0.84
2013-05-06 0.7 0.833 0.7 0.83 24800 0.83
2013-05-07 0.835 0.835 0.81 0.83 14600 0.83
2013-05-08 0.83 0.83 0.79 0.82 23300 0.82
2013-05-09 0.83 0.83 0.79 0.81 12700 0.81
2013-05-10 0.791 0.8 0.78 0.78 5900 0.78
2013-05-13 0.77 0.8 0.77 0.79 17700 0.79
2013-05-14 0.77 0.8 0.76 0.8 16900 0.8
2013-05-15 0.79 0.8 0.722 0.778 37000 0.778
2013-05-16 0.55 0.8 0.5 0.67 135700 0.67
2013-05-17 0.57 0.65 0.57 0.61 118600 0.61
2013-05-20 0.58 0.65 0.57 0.634 47700 0.634
2013-05-21 0.63 0.63 0.61 0.622 13200 0.622
2013-05-22 0.622 0.638 0.61 0.61 4000 0.61
2013-05-23 0.6 0.629 0.58 0.59 27200 0.59
2013-05-24 0.609 0.66 0.58 0.6 45900 0.6
2013-05-28 0.62 0.64 0.58 0.62 24000 0.62
