"Index" "MIR.Open" "MIR.High" "MIR.Low" "MIR.Close" "MIR.Volume" "MIR.Adjusted"
2013-01-01 0.105 0.105 0.105 0.105 0 5.25
2013-01-02 0.111 0.111 0.105 0.105 0 5.25
2013-01-03 0.105 0.105 0.102 0.102 0 5.1
2013-01-04 0.106 0.106 0.105 0.105 0 5.25
2013-01-07 0.102 0.106 0.102 0.102 0 5.1
2013-01-08 0.101 0.101 0.1 0.1 0 5
2013-01-09 0.098 0.098 0.097 0.097 0 4.85
2013-01-10 0.094 0.098 0.094 0.095 0 4.75
2013-01-11 0.089 0.095 0.089 0.095 0 4.75
2013-01-14 0.096 0.096 0.096 0.096 0 4.8
2013-01-15 0.096 0.096 0.095 0.095 0 4.75
2013-01-16 0.081 0.097 0.081 0.097 0 4.85
2013-01-17 0.085 0.087 0.085 0.085 0 4.25
2013-01-18 0.054 0.054 0.054 0.054 0 2.7
2013-01-21 0.05 0.05 0.05 0.05 0 2.5
2013-01-22 0.042 0.042 0.042 0.042 0 2.1
2013-01-23 0.039 0.05 0.039 0.047 0 2.35
2013-01-24 0.038 0.038 0.038 0.038 0 1.9
2013-01-25 0.042 0.049 0.042 0.049 0 2.45
2013-01-28 0.041 0.041 0.041 0.041 0 2.05
2013-01-29 0.041 0.041 0.041 0.041 0 2.05
2013-01-30 0.034 0.034 0.034 0.034 0 1.7
2013-01-31 0.036 0.038 0.036 0.038 0 1.9
2013-02-01 0.038 0.042 0.038 0.042 0 2.1
2013-02-04 0.034 0.038 0.034 0.038 0 1.9
2013-02-05 0.034 0.034 0.034 0.034 0 1.7
2013-02-06 0.03 0.03 0.03 0.03 0 1.5
2013-02-07 0.026 0.026 0.026 0.026 0 1.3
2013-02-08 0.034 0.034 0.034 0.034 0 1.7
2013-02-11 0.056 0.061 0.056 0.057 0 2.85
2013-02-12 0.053 0.057 0.053 0.057 0 2.85
2013-02-13 0.049 0.057 0.049 0.053 0 2.65
2013-02-14 0.056 0.057 0.054 0.054 0 2.7
2013-02-15 0.057 0.061 0.057 0.061 0 3.05
2013-02-18 0.056 0.056 0.056 0.056 0 2.8
2013-02-19 0.058 0.062 0.058 0.062 0 3.1
2013-02-20 0.059 0.06 0.056 0.056 0 2.8
2013-02-21 0.045 0.05 0.045 0.05 0 2.5
2013-02-22 0.049 0.049 0.049 0.049 0 2.45
2013-02-25 0.039 0.043 0.039 0.043 0 2.15
2013-02-26 0.042 0.042 0.042 0.042 0 2.1
2013-02-27 0.035 0.042 0.035 0.042 0 2.1
2013-02-28 0.03 0.03 0.03 0.03 0 1.5
2013-03-01 0.042 0.046 0.042 0.046 0 2.3
2013-03-04 0.043 0.045 0.043 0.045 0 2.25
2013-03-05 0.035 0.038 0.035 0.038 0 1.9
2013-03-06 0.03 0.03 0.03 0.03 0 1.5
2013-03-07 0.024 0.024 0.024 0.024 0 1.2
2013-03-08 0.028 0.028 0.028 0.028 0 1.4
2013-03-11 0.032 0.034 0.03 0.034 0 1.7
2013-03-12 0.028 0.028 0.026 0.026 0 1.3
2013-03-13 0.028 0.031 0.028 0.031 0 1.55
2013-03-14 0.024 0.026 0.024 0.026 0 1.3
2013-03-15 0.024 0.024 0.022 0.023 0 1.15
2013-03-18 0.021 0.021 0.019 0.019 0 0.95
2013-03-19 0.021 0.023 0.021 0.023 0 1.15
2013-03-20 0.021 0.021 0.021 0.021 0 1.05
2013-03-21 0.031 0.039 0.031 0.039 0 1.95
2013-03-22 0.043 0.043 0.035 0.035 0 1.75
2013-03-25 0.036 0.039 0.036 0.039 0 1.95
2013-03-26 0.032 0.032 0.031 0.031 0 1.55
2013-03-27 0.029 0.029 0.027 0.027 0 1.35
2013-03-28 0.025 0.031 0.025 0.031 0 1.55
2013-03-29 0.031 0.031 0.031 0.031 0 1.55
2013-04-01 0.031 0.031 0.031 0.031 0 1.55
2013-04-02 0.029 0.032 0.029 0.031 0 1.55
2013-04-03 0.025 0.031 0.025 0.031 0 1.55
2013-04-04 0.029 0.031 0.029 0.031 0 1.55
2013-04-05 0.025 0.029 0.025 0.029 0 1.45
2013-04-08 0.032 0.038 0.032 0.038 0 1.9
2013-04-09 0.036 0.038 0.036 0.038 0 1.9
2013-04-10 0.029 0.029 0.029 0.029 0 1.45
2013-04-11 0.043 0.05 0.043 0.05 0 2.5
2013-04-12 0.047 0.047 0.047 0.047 0 2.35
2013-04-15 0.047 0.051 0.047 0.051 0 2.55
2013-04-16 0.047 0.047 0.047 0.047 0 2.35
2013-04-17 0.046 0.047 0.045 0.045 0 2.25
2013-04-18 0.043 0.045 0.043 0.045 0 2.25
2013-04-19 0.043 0.045 0.043 0.045 0 2.25
2013-04-22 0.046 0.049 0.046 0.049 0 2.45
2013-04-23 0.043 0.049 0.043 0.049 0 2.45
2013-04-24 0.043 0.047 0.043 0.047 0 2.35
2013-04-25 0.043 0.046 0.043 0.046 0 2.3
2013-04-26 0.047 0.05 0.047 0.05 0 2.5
2013-04-29 0.047 0.05 0.047 0.05 0 2.5
2013-04-30 0.047 0.05 0.047 0.05 0 2.5
2013-05-01 0.05 0.05 0.05 0.05 0 2.5
2013-05-02 0.043 0.044 0.043 0.044 0 2.2
2013-05-03 0.043 0.044 0.043 0.044 0 2.2
2013-05-06 0.046 0.05 0.046 0.05 0 2.5
2013-05-07 0.044 0.048 0.044 0.048 0 2.4
2013-05-08 0.047 0.054 0.046 0.054 0 2.7
2013-05-09 0.044 0.052 0.044 0.052 0 2.6
2013-05-10 0.042 0.044 0.042 0.044 0 2.2
2013-05-13 0.044 0.045 0.044 0.045 0 2.25
2013-05-14 0.036 0.039 0.036 0.039 0 1.95
2013-05-15 0.032 0.036 0.032 0.036 0 1.8
2013-05-16 0.033 0.039 0.033 0.039 0 1.95
2013-05-17 0.032 0.037 0.032 0.037 0 1.85
2013-05-20 0.032 0.034 0.032 0.034 0 1.7
2013-05-21 0.032 0.038 0.032 0.038 0 1.9
2013-05-22 0.035 0.035 0.034 0.034 0 1.7
2013-05-23 0.021 0.021 0.021 0.021 0 1.05
2013-05-24 0.02 0.02 0.02 0.02 0 1
2013-05-27 0.02 0.02 0.02 0.02 0 1
2013-05-28 0.02 0.023 0.02 0.023 0 1.15
2013-05-29 0.02 0.023 0.02 0.023 0 1.15
2013-05-30 0.02 0.027 0.02 0.027 0 1.35
2013-05-31 0.023 0.027 0.023 0.027 0 1.35
2013-06-03 0.02 0.02 0.02 0.02 0 1
2013-06-04 0.02 0.02 0.02 0.02 0 1
2013-06-05 0.02 0.023 0.02 0.023 0 1.15
2013-06-06 0.016 0.016 0.016 0.016 0 0.8
2013-06-07 0.013 0.023 0.013 0.023 0 1.15
2013-06-10 0.02 0.023 0.02 0.023 0 1.15
2013-06-11 0.021 0.023 0.021 0.023 0 1.15
2013-06-12 0.02 0.02 0.02 0.02 0 1
2013-06-13 0.023 0.026 0.023 0.026 0 1.3
2013-06-14 0.024 0.026 0.024 0.026 0 1.3
2013-06-17 0.028 0.028 0.026 0.026 0 1.3
2013-06-18 0.019 0.021 0.019 0.021 0 1.05
2013-06-19 0.021 0.022 0.021 0.022 0 1.1
2013-06-20 0.024 0.024 0.023 0.023 0 1.15
2013-06-21 0.023 0.023 0.023 0.023 0 1.15
2013-06-24 0.021 0.021 0.017 0.017 0 0.85
2013-06-25 0.017 0.017 0.017 0.017 0 0.85
2013-06-26 0.016 0.017 0.016 0.017 0 0.85
2013-06-27 0.017 0.021 0.017 0.021 0 1.05
2013-06-28 0.021 0.021 0.017 0.017 0 0.85
2013-07-01 0.016 0.016 0.016 0.016 0 0.8
2013-07-02 0.018 0.018 0.018 0.018 0 0.9
2013-07-03 0.018 0.018 0.017 0.018 0 0.9
2013-07-04 0.018 0.018 0.018 0.018 0 0.9
2013-07-05 0.018 0.018 0.017 0.017 0 0.85
2013-07-08 0.018 0.018 0.017 0.017 0 0.85
2013-07-09 0.018 0.018 0.018 0.018 0 0.9
2013-07-10 0.018 0.018 0.018 0.018 0 0.9
2013-07-11 0.018 0.018 0.018 0.018 0 0.9
2013-07-12 0.018 0.018 0.018 0.018 0 0.9
2013-07-15 0.019 0.019 0.019 0.019 0 0.95
2013-07-16 0.019 0.019 0.019 0.019 0 0.95
2013-07-17 0.018 0.022 0.018 0.022 0 1.1
2013-07-18 0.022 0.022 0.021 0.021 0 1.05
2013-07-19 0.022 0.022 0.022 0.022 0 1.1
2013-07-22 0.022 0.022 0.022 0.022 0 1.1
2013-07-23 0.022 0.022 0.022 0.022 0 1.1
2013-07-24 0.022 0.024 0.022 0.024 0 1.2
2013-07-25 0.024 0.024 0.024 0.024 0 1.2
2013-07-26 0.024 0.024 0.024 0.024 0 1.2
2013-07-29 0.024 0.024 0.024 0.024 0 1.2
2013-07-30 0.024 0.024 0.024 0.024 0 1.2
2013-07-31 0.024 0.024 0.024 0.024 0 1.2
2013-08-01 0.024 0.024 0.024 0.024 0 1.2
2013-08-02 0.024 0.024 0.024 0.024 0 1.2
2013-08-05 0.024 0.024 0.024 0.024 0 1.2
2013-08-06 0.024 0.024 0.024 0.024 0 1.2
2013-08-07 0.024 0.024 0.024 0.024 0 1.2
2013-08-08 0.024 0.024 0.024 0.024 0 1.2
2013-08-09 0.024 0.024 0.024 0.024 0 1.2
2013-08-12 0.024 0.024 0.024 0.024 0 1.2
2013-08-13 0.024 0.024 0.024 0.024 0 1.2
2013-08-14 0.024 0.024 0.024 0.024 0 1.2
2013-08-15 0.024 0.024 0.024 0.024 0 1.2
2013-08-16 0.024 0.024 0.024 0.024 0 1.2
2013-08-19 0.024 0.024 0.024 0.024 0 1.2
2013-08-20 0.022 0.022 0.022 0.022 0 1.1
2013-08-21 0.022 0.022 0.022 0.022 0 1.1
2013-08-22 0.022 0.022 0.022 0.022 0 1.1
2013-08-23 0.016 0.016 0.016 0.016 0 0.8
2013-08-26 0.016 0.016 0.016 0.016 0 0.8
2013-08-27 0.016 0.016 0.016 0.016 0 0.8
2013-08-28 0.016 0.016 0.016 0.016 0 0.8
2013-08-29 0.016 0.021 0.016 0.021 0 1.05
2013-08-30 0.021 0.021 0.021 0.021 0 1.05
2013-09-02 0.021 0.021 0.021 0.021 0 1.05
2013-09-03 0.021 0.021 0.021 0.021 0 1.05
2013-09-04 0.021 0.021 0.021 0.021 120000 1.05
2013-09-05 0.018 0.018 0.015 0.015 0 0.75
2013-09-06 0.015 0.015 0.015 0.015 0 0.75
2013-09-09 0.018 0.018 0.018 0.018 0 0.9
2013-09-10 0.018 0.018 0.018 0.018 0 0.9
2013-09-11 0.018 0.018 0.018 0.018 0 0.9
2013-09-12 0.01 0.01 0.01 0.01 0 0.5
2013-09-13 0.008 0.008 0.008 0.008 0 0.4
2013-09-16 0.009 0.009 0.009 0.009 0 0.45
2013-09-17 0.011 0.011 0.011 0.011 0 0.55
2013-09-18 0.011 0.011 0.011 0.011 0 0.55
2013-09-19 0.011 0.011 0.011 0.011 0 0.55
2013-09-20 0.008 0.011 0.008 0.011 0 0.55
2013-09-23 0.011 0.011 0.011 0.011 0 0.55
2013-09-24 0.011 0.011 0.011 0.011 0 0.55
2013-09-25 0.011 0.011 0.011 0.011 0 0.55
2013-09-26 0.011 0.011 0.011 0.011 0 0.55
2013-09-27 0.011 0.011 0.011 0.011 0 0.55
2013-09-30 0.011 0.016 0.011 0.016 0 0.8
2013-10-01 0.018 0.018 0.018 0.018 0 0.9
2013-10-02 0.013 0.013 0.013 0.013 0 0.65
2013-10-03 0.015 0.015 0.015 0.015 0 0.75
2013-10-04 0.015 0.015 0.015 0.015 0 0.75
2013-10-07 0.015 0.015 0.015 0.015 0 0.75
2013-10-08 0.015 0.015 0.015 0.015 0 0.75
2013-10-09 0.015 0.015 0.015 0.015 0 0.75
2013-10-10 0.011 0.011 0.011 0.011 0 0.55
2013-10-11 0.011 0.011 0.011 0.011 0 0.55
2013-10-14 0.011 0.011 0.011 0.011 0 0.55
2013-10-15 0.013 0.015 0.013 0.015 0 0.75
2013-10-16 0.011 0.011 0.011 0.011 0 0.55
2013-10-17 0.011 0.011 0.011 0.011 0 0.55
2013-10-18 0.011 0.011 0.011 0.011 0 0.55
2013-10-21 0.011 0.011 0.011 0.011 0 0.55
2013-10-22 0.011 0.013 0.011 0.013 0 0.65
2013-10-23 0.011 0.011 0.011 0.011 0 0.55
2013-10-24 0.011 0.011 0.011 0.011 0 0.55
2013-10-25 0.011 0.011 0.011 0.011 0 0.55
2013-10-28 0.011 0.011 0.011 0.011 0 0.55
2013-10-29 0.011 0.011 0.011 0.011 0 0.55
2013-10-30 0.011 0.011 0.011 0.011 0 0.55
2013-10-31 0.011 0.011 0.011 0.011 0 0.55
2013-11-01 0.011 0.011 0.011 0.011 0 0.55
2013-11-04 0.011 0.013 0.011 0.013 0 0.65
2013-11-05 0.008 0.008 0.008 0.008 0 0.4
2013-11-06 0.008 0.008 0.008 0.008 0 0.4
2013-11-07 0.008 0.008 0.008 0.008 0 0.4
2013-11-08 0.008 0.008 0.008 0.008 0 0.4
2013-11-11 0.008 0.008 0.008 0.008 0 0.4
2013-11-12 0.008 0.008 0.008 0.008 0 0.4
2013-11-13 0.008 0.008 0.006 0.006 0 0.3
2013-11-14 0.008 0.008 0.008 0.008 0 0.4
2013-11-15 0.004 0.004 0.004 0.004 0 0.2
2013-11-18 0.004 0.004 0.004 0.004 0 0.2
2013-11-19 0.004 0.004 0.004 0.004 0 0.2
2013-11-20 0.004 0.007 0.004 0.007 0 0.35
2013-11-21 0.007 0.007 0.007 0.007 0 0.35
2013-11-22 0.008 0.008 0.008 0.008 0 0.4
2013-11-25 0.007 0.007 0.007 0.007 0 0.35
2013-11-26 0.008 0.008 0.008 0.008 0 0.4
2013-11-27 0.007 0.007 0.007 0.007 0 0.35
2013-11-28 0.005 0.005 0.005 0.005 0 0.25
2013-11-29 0.005 0.005 0.005 0.005 0 0.25
2013-12-02 0.005 0.005 0.005 0.005 0 0.25
2013-12-03 0.008 0.008 0.008 0.008 0 0.4
2013-12-04 0.006 0.006 0.006 0.006 0 0.3
2013-12-05 0.006 0.006 0.006 0.006 0 0.3
2013-12-06 0.005 0.005 0.005 0.005 0 0.25
2013-12-09 0.005 0.005 0.005 0.005 0 0.25
2013-12-10 0.002 0.002 0.002 0.002 0 0.1
2013-12-11 0.003 0.003 0.003 0.003 0 0.15
2013-12-12 0.004 0.004 0.004 0.004 0 0.2
2013-12-13 0.003 0.003 0.003 0.003 0 0.15
2013-12-16 0.003 0.003 0.003 0.003 0 0.15
2013-12-17 0.003 0.003 0.003 0.003 0 0.15
2013-12-18 0.004 0.004 0.004 0.004 0 0.2
2013-12-19 0.004 0.004 0.004 0.004 0 0.2
2013-12-20 0.003 0.003 0.003 0.003 0 0.15
2013-12-23 0.003 0.003 0.003 0.003 0 0.15
2013-12-24 0.003 0.003 0.003 0.003 0 0.15
2013-12-25 0.003 0.003 0.003 0.003 0 0.15
2013-12-26 0.003 0.003 0.003 0.003 0 0.15
2013-12-27 0.003 0.003 0.003 0.003 0 0.15
2013-12-30 0.003 0.003 0.003 0.003 0 0.15
2013-12-31 0.003 0.003 0.003 0.003 0 0.15
2014-01-01 0.003 0.003 0.003 0.003 0 0.15
2014-01-02 0.003 0.003 0.003 0.003 0 0.15
2014-01-03 0.003 0.003 0.003 0.003 0 0.15
2014-01-06 0.003 0.003 0.003 0.003 0 0.15
2014-01-07 0.007 0.007 0.004 0.004 0 0.2
2014-01-08 0.004 0.004 0.004 0.004 0 0.2
2014-01-09 0.004 0.004 0.004 0.004 0 0.2
2014-01-10 0.007 0.007 0.007 0.007 0 0.35
2014-01-13 0.003 0.003 0.003 0.003 0 0.15
2014-01-14 0.003 0.003 0.003 0.003 0 0.15
2014-01-15 0.003 0.003 0.003 0.003 0 0.15
2014-01-16 0.003 0.003 0.003 0.003 0 0.15
2014-01-17 0.003 0.003 0.003 0.003 0 0.15
2014-01-20 0.019 0.019 0.019 0.019 0 0.95
2014-01-21 0.01 0.01 0.01 0.01 0 0.5
2014-01-22 0.011 0.011 0.011 0.011 0 0.55
2014-01-23 0.012 0.012 0.012 0.012 0 0.6
2014-01-24 0.01 0.01 0.01 0.01 0 0.5
2014-01-27 0.01 0.01 0.01 0.01 0 0.5
2014-01-28 0.01 0.01 0.01 0.01 0 0.5
2014-01-29 0.01 0.01 0.008 0.008 0 0.4
2014-01-30 0.009 0.009 0.009 0.009 0 0.45
2014-01-31 0.009 0.009 0.009 0.009 0 0.45
2014-02-03 0.009 0.009 0.009 0.009 0 0.45
2014-02-04 0.009 0.01 0.009 0.01 0 0.5
2014-02-05 0.01 0.01 0.01 0.01 0 0.5
2014-02-06 0.007 0.007 0.007 0.007 0 0.35
2014-02-07 0.007 0.007 0.007 0.007 0 0.35
2014-02-10 0.007 0.007 0.007 0.007 0 0.35
2014-02-11 0.007 0.007 0.007 0.007 0 0.35
2014-02-12 0.007 0.007 0.007 0.007 0 0.35
2014-02-13 0.007 0.007 0.007 0.007 0 0.35
2014-02-14 0.007 0.007 0.007 0.007 0 0.35
