"Index" "MJC.Open" "MJC.High" "MJC.Low" "MJC.Close" "MJC.Volume" "MJC.Adjusted"
2013-01-01 2.73999 2.73999 2.73999 2.73999 0 2.25312
2013-01-02 2.73999 2.8 2.73999 2.8 694100 2.30246
2013-01-03 2.8 2.83999 2.77 2.83 791100 2.32713
2013-01-04 2.78999 2.85 2.78999 2.85 981700 2.34357
2013-01-07 2.88 2.9 2.78999 2.78999 368400 2.29423
2013-01-08 2.83 2.83 2.78 2.8 434200 2.30246
2013-01-09 2.65 2.75 2.65 2.75 281800 2.26134
2013-01-10 2.78999 2.78999 2.68999 2.73 289900 2.2449
2013-01-11 2.68999 2.75 2.65 2.67 180100 2.19556
2013-01-14 2.62 2.73999 2.62 2.65 21900 2.17911
2013-01-15 2.73 2.88999 2.7 2.76 1283200 2.26957
2013-01-16 2.7 2.77 2.7 2.77 99300 2.27779
2013-01-17 2.76 2.77 2.7 2.76 145500 2.26957
2013-01-18 2.93 3.03999 2.77 2.77 4594500 2.27779
2013-01-21 2.82 2.91 2.8 2.9 1588100 2.38469
2013-01-22 2.91 2.91 2.8 2.88 445800 2.36825
2013-01-23 2.85 2.87 2.85 2.87 477000 2.36002
2013-01-24 2.87 2.93999 2.87 2.88 972500 2.36825
2013-01-25 2.86 2.9 2.85 2.86 1658500 2.3518
2013-01-28 2.85 2.86 2.81 2.83 374200 2.32713
2013-01-29 2.82 2.82 2.8 2.82 503500 2.31891
2013-01-30 2.76 2.8 2.75 2.8 92400 2.30246
2013-01-31 2.88999 2.88999 2.78 2.8 311800 2.30246
2013-02-01 2.76 2.8 2.76 2.8 437700 2.30246
2013-02-04 2.78 2.78 2.77 2.77 46200 2.27779
2013-02-05 2.76 2.78 2.71 2.75 474700 2.26134
2013-02-06 2.75 2.78 2.75 2.75 713700 2.26134
2013-02-07 2.76 2.76 2.76 2.76 17300 2.26957
2013-02-08 2.75 2.76 2.75 2.75 287500 2.26134
2013-02-11 2.73 2.76 2.72 2.73 209000 2.2449
2013-02-12 2.72 2.72 2.7 2.7 410000 2.22023
2013-02-13 2.68 2.75 2.66 2.75 267900 2.26134
2013-02-14 2.75 2.75 2.7 2.7 183600 2.22023
2013-02-15 2.68999 2.82 2.68999 2.77 748400 2.27779
2013-02-18 2.82 2.82 2.8 2.82 629400 2.31891
2013-02-19 2.8 2.96 2.8 2.91 3068800 2.39291
2013-02-20 2.85 2.88999 2.85 2.88999 1070600 2.37646
2013-02-21 2.9 2.92 2.85 2.9 1849100 2.38469
2013-02-22 2.85 2.88 2.75 2.8 544000 2.30246
2013-02-25 2.76 2.77 2.76 2.77 128200 2.27779
2013-02-26 2.88 2.88 2.85 2.85 370700 2.34357
2013-02-27 2.76 2.83999 2.76 2.82 144300 2.31891
2013-02-28 2.78 2.82 2.78 2.82 32300 2.31891
2013-03-01 2.76 2.76 2.68 2.68999 810800 2.212
2013-03-04 2.76 2.76 2.68 2.68 213600 2.20379
2013-03-05 2.66 2.66 2.62 2.62 84300 2.15445
2013-03-06 2.68999 2.68999 2.68999 2.68999 25400 2.212
2013-03-07 2.68999 2.68999 2.68999 2.68999 0 2.212
2013-03-08 2.64 2.75 2.6 2.6 189400 2.138
2013-03-11 2.6 2.6 2.52 2.6 450400 2.138
2013-03-12 2.78 2.78 2.51 2.51 567100 2.06399
2013-03-13 2.6 2.6 2.55 2.55 18400 2.09688
2013-03-14 2.55 2.56 2.55 2.56 306000 2.10511
2013-03-15 2.55 2.6 2.52 2.52 191700 2.07222
2013-03-18 2.53 2.55 2.45 2.45 462000 2.01465
2013-03-19 2.48 2.48 2.4 2.46 162800 2.02288
2013-03-20 2.4 2.4 2.39 2.39 6900 1.96531
2013-03-21 2.39 2.39 2.39 2.39 16100 1.96531
2013-03-22 2.43 2.44 2.39 2.44 114300 2.00643
2013-03-25 2.5 2.5 2.38 2.38 303700 1.9571
2013-03-26 2.32 2.38 2.32 2.36 259800 1.94065
2013-03-27 2.4 2.4 2.36 2.4 184800 1.97354
2013-03-28 2.4 2.4 2.4 2.4 0 1.97354
2013-03-29 2.4 2.4 2.4 2.4 0 1.97354
2013-04-01 2.44 2.55 2.4 2.4 173200 1.97354
2013-04-02 2.36 2.49 2.35 2.4 203200 1.97354
2013-04-03 2.49 2.49 2.45 2.45 3400 2.01465
2013-04-04 2.48 2.48 2.48 2.48 1100 2.03933
2013-04-05 2.47 2.47 2.47 2.47 10300 2.0311
2013-04-08 2.4 2.7 2.4 2.55 430800 2.09688
