"Index" "MKC.Open" "MKC.High" "MKC.Low" "MKC.Close" "MKC.Volume" "MKC.Adjusted"
2013-01-02 64.309998 65.230003 64.129997 65.230003 554300 61.644495
2013-01-03 65.059998 65.129997 64.709999 65.010002 515500 61.436587
2013-01-04 64.849998 65.25 64.849998 65.25 358500 61.663392
2013-01-07 65.419998 65.419998 64.559998 65.080002 347000 61.502739
2013-01-08 64.970001 65.129997 64.629997 65.040001 495000 61.464936
2013-01-09 65.010002 65.470001 64.629997 65.470001 597800 61.871301
2013-01-10 65.519997 65.519997 64.400002 64.68 1051500 61.124724
2013-01-11 64.849998 65.07 64.389999 65.07 588300 61.493286
2013-01-14 65.080002 65.580002 64.949997 65.300003 504800 61.710647
2013-01-15 64.989998 65.510002 64.989998 65.370003 490300 61.776799
2013-01-16 65.18 65.529999 65.129997 65.440002 380300 61.842951
2013-01-17 65.629997 66.5 65.559998 66.290001 477300 62.646227
2013-01-18 66.349998 66.650002 65.970001 66.650002 646600 62.98644
2013-01-22 66.529999 66.949997 66.07 66.5 490100 62.844684
2013-01-23 66.580002 66.639999 66.07 66.589996 636800 62.929733
2013-01-24 62.959999 63.099998 60.82 62.369999 3963800 58.941697
2013-01-25 62.32 62.549999 61.639999 61.869999 1538800 58.46918
2013-01-28 61.700001 61.75 60.82 61.23 1280700 57.86436
2013-01-29 61 61.970001 60.880001 61.869999 1304900 58.46918
2013-01-30 61.779999 62.470001 61.619999 62.34 1249700 58.913347
2013-01-31 62.369999 62.610001 62.099998 62.349998 1219200 58.922796
2013-02-01 62.970001 63.41 62.720001 63.380001 931700 59.896182
2013-02-04 62.970001 63.369999 62.73 62.779999 717000 59.32916
2013-02-05 63.32 63.509998 62.98 63.380001 551200 59.896182
2013-02-06 63.130001 63.139999 62.540001 62.75 841800 59.30081
2013-02-07 63.380001 63.790001 63.080002 63.369999 1076500 59.88673
2013-02-08 63.66 63.84 63.330002 63.630001 514300 60.13244
2013-02-11 63.689999 64 63.52 63.939999 453900 60.425398
2013-02-12 64.089996 64.199997 63.669998 64.089996 517300 60.567151
2013-02-13 64.5 64.5 63.84 64.089996 362200 60.567151
2013-02-14 64.25 64.919998 64.230003 64.389999 1003400 60.850664
2013-02-15 64.440002 65.080002 64.43 64.690002 527100 61.134176
2013-02-19 64.879997 65.309998 64.660004 65.010002 777900 61.436587
2013-02-20 64.879997 65.559998 64.760002 65.290001 651900 61.701195
2013-02-21 65.080002 65.779999 64.970001 65.349998 997000 61.757894
2013-02-22 65.57 66.199997 65.410004 66.199997 482000 62.561171
2013-02-25 66.32 66.379997 65.419998 65.419998 659200 61.824046
2013-02-26 65.639999 66.809998 65.639999 66.610001 991000 62.948638
