"Index" "MM.Open" "MM.High" "MM.Low" "MM.Close" "MM.Volume" "MM.Adjusted"
2013-01-02 12.88 13.16 12.64 13.04 803000 13.04
2013-01-03 12.99 13.06 12.31 12.55 746500 12.55
2013-01-04 12.56 12.8 12 12.03 1108400 12.03
2013-01-07 11.99 12.13 11.65 11.75 799200 11.75
2013-01-08 11.78 12.41 11.77 12.3 583600 12.3
2013-01-09 12.3 12.75 12.29 12.34 497000 12.34
2013-01-10 12.44 12.77 12.38 12.39 694300 12.39
2013-01-11 12.48 12.57 11.85 11.94 885600 11.94
2013-01-14 12.02 12.37 11.81 11.84 628100 11.84
2013-01-15 11.75 12.07 11.58 12 916500 12
2013-01-16 12.15 12.42 11.86 11.97 777800 11.97
2013-01-17 12.03 12.41 11.83 12.27 791800 12.27
2013-01-18 12.25 12.4 12.06 12.37 460700 12.37
2013-01-22 12.3 12.44 12 12.02 773400 12.02
2013-01-23 12.04 12.18 12 12.01 528900 12.01
2013-01-24 12.01 12.06 11.78 11.91 731700 11.91
2013-01-25 11.93 12.4 11.86 12.25 1108100 12.25
2013-01-28 12.25 12.25 12.03 12.16 628500 12.16
2013-01-29 12.32 12.32 11.82 11.87 717200 11.87
2013-01-30 11.87 12.01 11.72 11.77 584500 11.77
2013-01-31 11.66 11.72 11.33 11.54 1126500 11.54
2013-02-01 11.61 11.69 11.39 11.43 594300 11.43
2013-02-04 11.38 11.4 10.92 10.94 1000700 10.94
2013-02-05 11.06 11.16 10.79 11.1 628300 11.1
2013-02-06 11.06 11.65 11 11.61 684300 11.61
2013-02-07 11.57 11.82 11.47 11.64 587500 11.64
2013-02-08 11.64 11.81 11.55 11.65 455700 11.65
2013-02-11 11.61 11.67 11.4 11.59 510100 11.59
2013-02-12 11.63 11.92 11.57 11.78 586500 11.78
2013-02-13 11.96 12.84 11.96 12.52 1787500 12.52
2013-02-14 12.55 12.8 12.34 12.46 934800 12.46
2013-02-15 12.93 14.37 12.77 14.2 3033900 14.2
2013-02-19 14.5 14.66 14.25 14.33 3890900 14.33
2013-02-20 9.81 9.95 8.78 8.95 16676100 8.95
2013-02-21 9.1 9.4 8.95 9.32 4857800 9.32
2013-02-22 9.47 9.78 9.31 9.55 4338800 9.55
2013-02-25 9.67 9.67 8.99 9.08 2237100 9.08
2013-02-26 9.05 9.18 9.02 9.11 920200 9.11
2013-02-27 9.08 9.26 9.02 9.15 1109100 9.15
2013-02-28 9.15 9.41 9.12 9.37 1305500 9.37
2013-03-01 9.3 9.32 9.05 9.08 988200 9.08
