"Index" "MNC.Open" "MNC.High" "MNC.Low" "MNC.Close" "MNC.Volume" "MNC.Adjusted"
2013-01-01 22.66 22.66 22.66 22.66 0 20.632
2013-01-02 22.89 22.89 22.52 22.6 9700 20.577
2013-01-03 22.55 22.56 22 22 12900 20.031
2013-01-04 22 22 21.21 21.45 20500 19.53
2013-01-07 21.12 21.12 20.8 20.95 7100 19.075
2013-01-08 20.9 21.12 20.26 20.95 16000 19.075
2013-01-09 21.13 21.13 20.61 20.95 5200 19.075
2013-01-10 21 21.1 20.85 20.87 11200 19.002
2013-01-11 20.9 21 20.76 20.8 16800 18.938
2013-01-14 20.8 20.8 20.66 20.67 6700 18.82
2013-01-15 20.7 21.04 20.66 20.99 8300 19.111
2013-01-16 21.12 22.5 21 22 55100 20.031
2013-01-17 22.3 22.39 22.16 22.32 44300 20.322
2013-01-18 22.34 22.2 22.49 22.2 1000 20.213
2013-01-21 22.1 22.89 22.1 22.4 4500 20.395
2013-01-22 22.3 22.47 22.1 22.1 42200 20.122
2013-01-23 22.11 22.2 21.42 21.78 24200 19.831
2013-01-24 21.62 22.5 21.6 21.9 16300 19.94
2013-01-25 22 22.35 21.9 21.9 81100 19.94
2013-01-28 22 22 21.91 21.91 100 19.949
2013-01-29 21.89 21.65 21.9 21.9 7500 19.94
2013-01-30 21.9 22 21.8 21.96 51400 19.995
2013-01-31 21.8 21.5 21.95 21.8 600 19.849
2013-02-01 21.8 21.9 21.41 21.41 6200 19.494
2013-02-04 22.68 22.68 21.15 21.15 5300 19.257
2013-02-05 21.16 21.95 21.16 21.4 12100 19.485
2013-02-06 21.4 21.68 20.6 20.69 8800 18.838
2013-02-07 20.69 20.69 20.69 20.69 0 18.838
2013-02-08 20.69 20.69 20.69 20.69 0 18.838
2013-02-11 21.23 21.23 20.73 20.79 5700 18.929
2013-02-12 20.8 21.08 20.8 20.82 7300 18.957
2013-02-13 20.81 20.98 20.55 20.95 14400 19.075
2013-02-14 20.95 21.35 20.79 21.35 78800 19.439
2013-02-15 21.32 21.32 20.86 21.12 21900 19.23
2013-02-18 21.12 21.32 21.01 21.01 900 19.13
2013-02-19 21.28 21.29 21 21.1 3000 19.212
2013-02-20 20.7 21.2 20.7 21.05 42100 19.166
2013-02-21 21.04 21.04 21 21 5300 19.121
2013-02-22 21 21.08 20.85 21.08 12100 19.193
2013-02-25 21.08 21.08 21.08 21.08 0 19.193
2013-02-26 21.07 21.11 20.9 21 9400 19.121
2013-02-27 21 21.15 20.95 21.14 1200 19.248
2013-02-28 23 23 21.95 22.31 117100 20.313
2013-03-01 22.31 22.35 22 22.35 5500 20.35
2013-03-04 22.25 22.5 22.02 22.5 5500 20.486
2013-03-05 22.11 22.31 22.11 22.15 7000 20.168
2013-03-06 22.35 22.8 22 22 3600 20.031
2013-03-07 21.99 21.99 20.88 20.88 43500 19.011
2013-03-08 21.26 21.34 20.94 20.94 8400 19.066
2013-03-11 21 21 20.7 20.7 5300 18.847
2013-03-12 20.81 21.3 20.81 21.15 5100 19.257
2013-03-13 21 20.85 21.1 21.1 1600 19.212
2013-03-14 20.91 21.9 20.91 21.32 10100 19.412
2013-03-15 21.5 21.5 21.3 21.48 8000 19.558
2013-03-18 21.12 21.12 20.82 20.95 3300 19.075
2013-03-19 21.44 21.44 20.9 20.9 3300 19.03
2013-03-20 20.86 21 20.86 20.88 1200 19.011
2013-03-21 20.86 21 20.6 20.6 1500 18.756
2013-03-22 20.13 20.13 19.15 19.7 14300 17.937
2013-03-25 19.98 20.39 19.98 20.34 10400 18.52
2013-03-26 20.11 21.3 20 21.1 47800 19.212
2013-03-27 21.09 21.65 20.8 21.65 6500 19.712
2013-03-28 21.55 21.59 21.4 21.5 27700 19.576
2013-03-29 21.5 21.5 21.5 21.5 0 19.576
2013-04-01 21.5 21.5 21.5 21.5 0 19.576
2013-04-02 21.25 21.25 20.82 20.97 800 19.093
2013-04-03 21 21.01 20.75 20.75 2000 18.893
2013-04-04 20.76 20.85 20.6 20.75 1100 18.893
2013-04-05 20.75 20.75 20.2 20.5 15100 18.665
2013-04-08 20.5 20.5 20 20.18 6800 18.374
2013-04-09 20.18 20.2 20 20.2 12700 18.392
2013-04-10 20.01 20.57 20.01 20.57 200 18.729
2013-04-11 20.43 20.5 20.06 20.5 2600 18.665
2013-04-12 20.5 20.5 20.1 20.48 1100 18.647
2013-04-15 20.48 20.48 20 20 4800 18.21
2013-04-16 20 20 20 20 0 18.21
2013-04-17 19.53 19.68 18.5 18.5 74100 16.844
2013-04-18 18.5 18.5 17.01 17.9 52600 16.298
2013-04-19 17.9 18 17.5 17.53 1400 15.961
2013-04-22 17 17.4 16.51 16.7 6900 15.205
2013-04-23 16.52 16.52 15.27 16.07 10700 14.632
2013-04-24 16.6 16.6 16.2 16.3 800 14.841
2013-04-25 16.4 16.59 16.4 16.55 11700 15.069
2013-04-26 16.79 16.8 16 16.21 27300 14.759
2013-04-29 16.59 16.59 16.25 16.58 13300 15.096
2013-04-30 16.3 16.89 16.3 16.85 1600 15.342
2013-05-01 16.58 16.58 16.58 16.58 0 15.096
2013-05-02 17.39 17.99 17 17.99 3600 16.38
