"Index" "MNH.Open" "MNH.High" "MNH.Low" "MNH.Close" "MNH.Volume" "MNH.Adjusted"
2013-01-01 0.02 0.02 0.02 0.02 0 0.02
2013-01-02 0.025 0.025 0.025 0.025 173000 0.025
2013-01-03 0.025 0.03 0.025 0.03 1e+05 0.03
2013-01-04 0.03 0.035 0.025 0.035 311100 0.035
2013-01-07 0.025 0.03 0.025 0.025 606900 0.025
2013-01-08 0.03 0.04 0.03 0.03 664000 0.03
2013-01-09 0.035 0.04 0.035 0.04 295000 0.04
2013-01-10 0.04 0.05 0.04 0.045 1215800 0.045
2013-01-11 0.045 0.05 0.045 0.05 860000 0.05
2013-01-14 0.05 0.05 0.045 0.05 665500 0.05
2013-01-15 0.055 0.07 0.055 0.055 3422500 0.055
2013-01-16 0.06 0.06 0.05 0.05 425100 0.05
2013-01-17 0.05 0.05 0.04 0.04 619500 0.04
2013-01-18 0.04 0.04 0.035 0.035 192200 0.035
2013-01-21 0.035 0.035 0.035 0.035 0 0.035
2013-01-22 0.035 0.035 0.035 0.035 27000 0.035
2013-01-23 0.035 0.035 0.035 0.035 188000 0.035
2013-01-24 0.03 0.03 0.03 0.03 409000 0.03
2013-01-25 0.025 0.03 0.025 0.03 80000 0.03
2013-01-28 0.03 0.03 0.03 0.03 0 0.03
2013-01-29 0.03 0.035 0.03 0.035 137000 0.035
2013-01-30 0.03 0.03 0.03 0.03 375900 0.03
2013-01-31 0.025 0.03 0.02 0.03 3120000 0.03
2013-02-01 0.03 0.03 0.025 0.025 564500 0.025
2013-02-04 0.02 0.025 0.02 0.02 1384500 0.02
2013-02-05 0.02 0.02 0.02 0.02 1009900 0.02
2013-02-06 0.02 0.035 0.02 0.035 5681700 0.035
2013-02-07 0.03 0.03 0.025 0.03 4537100 0.03
2013-02-08 0.03 0.03 0.02 0.025 1121800 0.025
2013-02-11 0.025 0.025 0.02 0.02 393700 0.02
2013-02-12 0.02 0.02 0.015 0.02 2294500 0.02
2013-02-13 0.02 0.02 0.015 0.02 556000 0.02
2013-02-14 0.02 0.025 0.02 0.025 745000 0.025
2013-02-15 0.025 0.025 0.02 0.025 405500 0.025
2013-02-18 0.025 0.025 0.025 0.025 0 0.025
2013-02-19 0.025 0.025 0.02 0.02 1020000 0.02
2013-02-20 0.02 0.025 0.02 0.02 880000 0.02
2013-02-21 0.02 0.02 0.02 0.02 403000 0.02
2013-02-22 0.025 0.025 0.02 0.02 2e+05 0.02
2013-02-25 0.02 0.02 0.015 0.02 880700 0.02
2013-02-26 0.02 0.02 0.02 0.02 177500 0.02
2013-02-27 0.02 0.02 0.02 0.02 284000 0.02
2013-02-28 0.015 0.02 0.015 0.02 60800 0.02
2013-03-01 0.02 0.025 0.02 0.025 312000 0.025
2013-03-04 0.02 0.02 0.015 0.015 1361000 0.015
2013-03-05 0.02 0.02 0.02 0.02 363700 0.02
2013-03-06 0.02 0.02 0.015 0.02 310000 0.02
2013-03-07 0.02 0.02 0.02 0.02 265800 0.02
2013-03-08 0.02 0.02 0.015 0.02 177500 0.02
2013-03-11 0.02 0.02 0.02 0.02 78000 0.02
2013-03-12 0.02 0.02 0.02 0.02 0 0.02
2013-03-13 0.02 0.02 0.02 0.02 9000 0.02
2013-03-14 0.02 0.02 0.015 0.02 30000 0.02
2013-03-15 0.02 0.02 0.02 0.02 126000 0.02
2013-03-18 0.025 0.025 0.025 0.025 122000 0.025
2013-03-19 0.025 0.025 0.025 0.025 0 0.025
2013-03-20 0.02 0.02 0.02 0.02 15000 0.02
2013-03-21 0.02 0.02 0.02 0.02 27000 0.02
2013-03-22 0.02 0.02 0.02 0.02 30000 0.02
2013-03-25 0.02 0.02 0.02 0.02 144500 0.02
2013-03-26 0.02 0.02 0.02 0.02 95000 0.02
2013-03-27 0.02 0.02 0.02 0.02 54000 0.02
2013-03-28 0.02 0.02 0.02 0.02 60000 0.02
2013-03-29 0.02 0.02 0.02 0.02 0 0.02
2013-04-01 0.02 0.02 0.02 0.02 0 0.02
2013-04-02 0.02 0.025 0.02 0.025 1e+05 0.025
2013-04-03 0.02 0.02 0.02 0.02 150000 0.02
2013-04-04 0.02 0.02 0.02 0.02 0 0.02
2013-04-05 0.015 0.02 0.015 0.02 578500 0.02
2013-04-08 0.015 0.015 0.015 0.015 382400 0.015
2013-04-09 0.015 0.015 0.015 0.015 0 0.015
2013-04-10 0.015 0.015 0.015 0.015 0 0.015
2013-04-11 0.015 0.015 0.015 0.015 2000 0.015
2013-04-12 0.02 0.02 0.02 0.02 10200 0.02
2013-04-15 0.015 0.015 0.01 0.015 612100 0.015
2013-04-16 0.015 0.015 0.015 0.015 143000 0.015
2013-04-17 0.015 0.02 0.01 0.015 48200 0.015
2013-04-18 0.015 0.015 0.015 0.015 6500 0.015
2013-04-19 0.015 0.015 0.015 0.015 17000 0.015
2013-04-22 0.01 0.015 0.01 0.015 190000 0.015
2013-04-23 0.015 0.015 0.01 0.01 82000 0.01
2013-04-24 0.015 0.015 0.015 0.015 157000 0.015
2013-04-25 0.015 0.015 0.015 0.015 0 0.015
2013-04-26 0.015 0.015 0.015 0.015 0 0.015
2013-04-29 0.01 0.01 0.01 0.01 14000 0.01
2013-04-30 0.01 0.01 0.01 0.01 14000 0.01
2013-05-01 0.015 0.015 0.015 0.015 85000 0.015
2013-05-02 0.015 0.015 0.015 0.015 0 0.015
2013-05-03 0.015 0.015 0.015 0.015 0 0.015
2013-05-06 0.015 0.015 0.015 0.015 0 0.015
2013-05-07 0.015 0.015 0.015 0.015 1e+05 0.015
2013-05-08 0.015 0.015 0.01 0.01 12000 0.01
2013-05-09 0.01 0.01 0.01 0.01 2000 0.01
2013-05-10 0.01 0.01 0.01 0.01 0 0.01
2013-05-13 0.01 0.01 0.01 0.01 135500 0.01
2013-05-14 0.01 0.01 0.01 0.01 0 0.01
2013-05-15 0.01 0.01 0.01 0.01 0 0.01
2013-05-16 0.01 0.01 0.01 0.01 20000 0.01
2013-05-17 0.01 0.01 0.01 0.01 4200 0.01
2013-05-20 0.01 0.01 0.01 0.01 0 0.01
2013-05-21 0.01 0.01 0.01 0.01 75000 0.01
2013-05-22 0.01 0.01 0.01 0.01 429100 0.01
2013-05-23 0.01 0.01 0.01 0.01 894000 0.01
2013-05-24 0.01 0.01 0.01 0.01 82100 0.01
2013-05-27 0.01 0.01 0.01 0.01 0 0.01
2013-05-28 0.01 0.01 0.01 0.01 372900 0.01
2013-05-29 0.01 0.01 0.01 0.01 0 0.01
2013-05-30 0.005 0.01 0.005 0.005 78700 0.005
2013-05-31 0.005 0.005 0.005 0.005 0 0.005
2013-06-03 0.01 0.01 0.01 0.01 33000 0.01
2013-06-04 0.01 0.01 0.01 0.01 0 0.01
2013-06-05 0.01 0.01 0.01 0.01 0 0.01
2013-06-06 0.01 0.01 0.01 0.01 0 0.01
2013-06-07 0.01 0.01 0.01 0.01 0 0.01
2013-06-10 0.01 0.01 0.01 0.01 0 0.01
2013-06-11 0.005 0.005 0.005 0.005 113500 0.005
2013-06-12 0.005 0.005 0.005 0.005 50000 0.005
2013-06-13 0.01 0.01 0.005 0.005 238100 0.005
2013-06-14 0.005 0.005 0.005 0.005 250000 0.005
2013-06-17 0.005 0.005 0.005 0.005 1100 0.005
2013-06-18 0.005 0.005 0.005 0.005 0 0.005
2013-06-19 0.005 0.005 0.005 0.005 10000 0.005
2013-06-20 0.005 0.005 0.005 0.005 0 0.005
2013-06-21 0.005 0.005 0.005 0.005 0 0.005
2013-06-24 0.005 0.005 0.005 0.005 0 0.005
2013-06-25 0.005 0.005 0.005 0.005 0 0.005
2013-06-26 0.01 0.01 0.005 0.005 56700 0.005
2013-06-27 0.005 0.005 0.005 0.005 403000 0.005
2013-06-28 0.005 0.005 0.005 0.005 5000 0.005
2013-07-01 0.005 0.005 0.005 0.005 0 0.005
2013-07-02 0.005 0.005 0.005 0.005 2278600 0.005
2013-07-03 0.005 0.005 0.005 0.005 155000 0.005
2013-07-04 0.005 0.005 0.005 0.005 20000 0.005
2013-07-05 0.005 0.005 0.005 0.005 0 0.005
2013-07-08 0.005 0.005 0.005 0.005 1500 0.005
2013-07-09 0.005 0.005 0.005 0.005 0 0.005
2013-07-10 0.005 0.005 0.005 0.005 10000 0.005
2013-07-11 0.005 0.005 0.005 0.005 0 0.005
2013-07-12 0.005 0.005 0.005 0.005 0 0.005
2013-07-15 0.005 0.005 0.005 0.005 0 0.005
2013-07-16 0.005 0.005 0.005 0.005 0 0.005
2013-07-17 0.005 0.005 0.005 0.005 0 0.005
2013-07-18 0.005 0.005 0.005 0.005 0 0.005
2013-07-19 0.005 0.005 0.005 0.005 50000 0.005
2013-07-22 0.005 0.005 0.005 0.005 1019400 0.005
2013-07-23 0.005 0.005 0.005 0.005 51200 0.005
2013-07-24 0.005 0.005 0.005 0.005 0 0.005
2013-07-25 0.005 0.005 0.005 0.005 15700 0.005
2013-07-26 0.01 0.015 0.01 0.01 2301500 0.01
2013-07-29 0.01 0.01 0.01 0.01 438000 0.01
2013-07-30 0.01 0.01 0.01 0.01 146100 0.01
2013-07-31 0.005 0.01 0.005 0.01 12500 0.01
2013-08-01 0.01 0.01 0.01 0.01 45000 0.01
2013-08-02 0.01 0.01 0.01 0.01 1300 0.01
2013-08-05 0.01 0.01 0.01 0.01 0 0.01
2013-08-06 0.01 0.01 0.01 0.01 0 0.01
2013-08-07 0.01 0.01 0.01 0.01 0 0.01
2013-08-08 0.005 0.01 0.005 0.005 450000 0.005
2013-08-09 0.005 0.005 0.005 0.005 0 0.005
2013-08-12 0.005 0.005 0.005 0.005 0 0.005
2013-08-13 0.005 0.005 0.005 0.005 0 0.005
2013-08-14 0.005 0.005 0.005 0.005 250000 0.005
2013-08-15 0.005 0.005 0.005 0.005 0 0.005
2013-08-16 0.005 0.005 0.005 0.005 0 0.005
2013-08-19 0.005 0.005 0.005 0.005 0 0.005
2013-08-20 0.005 0.005 0.005 0.005 0 0.005
2013-08-21 0.005 0.01 0.005 0.01 239200 0.01
2013-08-22 0.01 0.01 0.01 0.01 0 0.01
2013-08-23 0.005 0.005 0.005 0.005 24000 0.005
2013-08-26 0.005 0.005 0.005 0.005 0 0.005
2013-08-27 0.005 0.01 0.005 0.01 148200 0.01
2013-08-28 0.005 0.005 0.005 0.005 182000 0.005
2013-08-29 0.005 0.005 0.005 0.005 23000 0.005
2013-08-30 0.005 0.005 0.005 0.005 115000 0.005
2013-09-02 0.005 0.005 0.005 0.005 0 0.005
2013-09-03 0.005 0.005 0.005 0.005 0 0.005
2013-09-04 0.005 0.005 0.005 0.005 181000 0.005
2013-09-05 0.005 0.005 0.005 0.005 140000 0.005
2013-09-06 0.005 0.005 0.005 0.005 59200 0.005
2013-09-09 0.005 0.005 0.005 0.005 7000 0.005
2013-09-10 0.005 0.005 0.005 0.005 117500 0.005
2013-09-11 0.005 0.005 0.005 0.005 36300 0.005
2013-09-12 0.005 0.005 0.005 0.005 85100 0.005
2013-09-13 0.005 0.005 0.005 0.005 50000 0.005
2013-09-16 0.005 0.005 0.005 0.005 0 0.005
2013-09-17 0.005 0.005 0.005 0.005 22400 0.005
2013-09-18 0.005 0.005 0.005 0.005 76000 0.005
2013-09-19 0.005 0.005 0.005 0.005 285800 0.005
2013-09-20 0.005 0.005 0.005 0.005 0 0.005
2013-09-23 0.005 0.005 0.005 0.005 0 0.005
2013-09-24 0.005 0.005 0.005 0.005 0 0.005
2013-09-25 0.005 0.005 0.005 0.005 290000 0.005
2013-09-26 0.005 0.005 0.005 0.005 0 0.005
2013-09-27 0.005 0.005 0.005 0.005 3000 0.005
2013-09-30 0.005 0.005 0.005 0.005 0 0.005
2013-10-01 0.005 0.005 0.005 0.005 150000 0.005
2013-10-02 0.005 0.005 0.005 0.005 20000 0.005
2013-10-03 0.005 0.005 0.005 0.005 0 0.005
2013-10-04 0.005 0.005 0.005 0.005 198000 0.005
2013-10-07 0.005 0.005 0.005 0.005 118000 0.005
2013-10-08 0.005 0.005 0.005 0.005 0 0.005
2013-10-09 0.005 0.005 0.005 0.005 0 0.005
2013-10-10 0.005 0.005 0.005 0.005 0 0.005
2013-10-11 0.005 0.005 0.005 0.005 0 0.005
2013-10-14 0.005 0.005 0.005 0.005 0 0.005
2013-10-15 0.005 0.005 0.005 0.005 65600 0.005
2013-10-16 0.005 0.005 0.005 0.005 40000 0.005
2013-10-17 0.005 0.005 0.005 0.005 0 0.005
2013-10-18 0.005 0.005 0.005 0.005 0 0.005
2013-10-21 0.005 0.005 0.005 0.005 1e+05 0.005
2013-10-22 0.005 0.005 0.005 0.005 90000 0.005
2013-10-23 0.005 0.005 0.005 0.005 0 0.005
2013-10-24 0.005 0.005 0.005 0.005 0 0.005
2013-10-25 0.005 0.005 0.005 0.005 173600 0.005
2013-10-28 0.005 0.005 0.005 0.005 0 0.005
2013-10-29 0.005 0.005 0.005 0.005 53100 0.005
2013-10-30 0.005 0.005 0.005 0.005 63000 0.005
2013-10-31 0.005 0.005 0.005 0.005 7000 0.005
2013-11-01 0.005 0.005 0.005 0.005 0 0.005
2013-11-04 0.005 0.005 0.005 0.005 0 0.005
2013-11-05 0.005 0.005 0.005 0.005 0 0.005
2013-11-06 0.005 0.005 0.005 0.005 0 0.005
2013-11-07 0.005 0.005 0.005 0.005 0 0.005
2013-11-08 0.005 0.005 0.005 0.005 0 0.005
2013-11-11 0.005 0.005 0.005 0.005 0 0.005
2013-11-12 0.005 0.005 0.005 0.005 65000 0.005
2013-11-13 0.005 0.005 0.005 0.005 0 0.005
2013-11-14 0.005 0.005 0.005 0.005 0 0.005
2013-11-15 0.005 0.005 0.005 0.005 0 0.005
2013-11-18 0.005 0.005 0.005 0.005 0 0.005
2013-11-19 0.005 0.005 0.005 0.005 50000 0.005
2013-11-20 0.005 0.005 0.005 0.005 0 0.005
2013-11-21 0.005 0.005 0.005 0.005 0 0.005
2013-11-22 0.005 0.005 0.005 0.005 0 0.005
2013-11-25 0.005 0.005 0.005 0.005 0 0.005
2013-11-26 0.005 0.005 0.005 0.005 0 0.005
2013-11-27 0.005 0.005 0.005 0.005 0 0.005
2013-11-28 0.005 0.005 0.005 0.005 0 0.005
2013-11-29 0.005 0.005 0.005 0.005 0 0.005
2013-12-02 0.005 0.005 0.005 0.005 0 0.005
2013-12-03 0.005 0.005 0.005 0.005 0 0.005
2013-12-04 0.005 0.005 0.005 0.005 10000 0.005
2013-12-05 0.005 0.005 0.005 0.005 0 0.005
2013-12-06 0.005 0.005 0.005 0.005 10000 0.005
2013-12-09 0.005 0.005 0.005 0.005 40000 0.005
2013-12-10 0.005 0.005 0.005 0.005 0 0.005
2013-12-11 0.005 0.005 0.005 0.005 0 0.005
2013-12-12 0.005 0.005 0.005 0.005 0 0.005
2013-12-13 0.005 0.005 0.005 0.005 0 0.005
2013-12-16 0.005 0.005 0.005 0.005 0 0.005
2013-12-17 0.005 0.005 0.005 0.005 0 0.005
2013-12-18 0.005 0.005 0.005 0.005 0 0.005
2013-12-19 0.005 0.005 0.005 0.005 0 0.005
2013-12-20 0.005 0.005 0.005 0.005 0 0.005
2013-12-23 0.005 0.005 0.005 0.005 0 0.005
2013-12-24 0.005 0.005 0.005 0.005 0 0.005
2013-12-25 0.005 0.005 0.005 0.005 0 0.005
2013-12-26 0.005 0.005 0.005 0.005 0 0.005
2013-12-27 0.005 0.005 0.005 0.005 0 0.005
2013-12-30 0.005 0.005 0.005 0.005 0 0.005
2013-12-31 0.005 0.005 0.005 0.005 0 0.005
2014-01-01 0.005 0.005 0.005 0.005 0 0.005
2014-01-02 0.005 0.005 0.005 0.005 0 0.005
2014-01-03 0.005 0.005 0.005 0.005 0 0.005
2014-01-06 0.005 0.005 0.005 0.005 0 0.005
2014-01-07 0.005 0.005 0.005 0.005 0 0.005
2014-01-08 0.005 0.005 0.005 0.005 0 0.005
2014-01-09 0.005 0.005 0.005 0.005 0 0.005
2014-01-10 0.005 0.005 0.005 0.005 0 0.005
2014-01-13 0.005 0.005 0.005 0.005 0 0.005
2014-01-14 0.005 0.005 0.005 0.005 0 0.005
2014-01-15 0.005 0.005 0.005 0.005 0 0.005
2014-01-16 0.005 0.005 0.005 0.005 0 0.005
2014-01-17 0.005 0.005 0.005 0.005 534600 0.005
2014-01-20 0.005 0.005 0.005 0.005 70300 0.005
2014-01-21 0.005 0.005 0.005 0.005 0 0.005
2014-01-22 0.005 0.005 0.005 0.005 155000 0.005
2014-01-23 0.005 0.005 0.005 0.005 0 0.005
2014-01-24 0.005 0.005 0.005 0.005 222000 0.005
2014-01-27 0.005 0.005 0.005 0.005 10000 0.005
2014-01-28 0.005 0.005 0.005 0.005 50200 0.005
2014-01-29 0.005 0.01 0.005 0.01 998500 0.01
2014-01-30 0.01 0.015 0.01 0.015 213500 0.015
2014-01-31 0.015 0.015 0.015 0.015 0 0.015
2014-02-03 0.005 0.01 0.005 0.01 597000 0.01
2014-02-04 0.01 0.01 0.01 0.01 10100 0.01
2014-02-05 0.01 0.01 0.01 0.01 0 0.01
2014-02-06 0.01 0.01 0.01 0.01 0 0.01
2014-02-07 0.01 0.01 0.01 0.01 0 0.01
2014-02-10 0.005 0.005 0.005 0.005 150000 0.005
2014-02-11 0.005 0.005 0.005 0.005 201000 0.005
2014-02-12 0.005 0.005 0.005 0.005 685800 0.005
2014-02-13 0.005 0.005 0.005 0.005 0 0.005
2014-02-14 0.005 0.005 0.005 0.005 0 0.005
2014-02-17 0.005 0.005 0.005 0.005 0 0.005
2014-02-18 0.005 0.005 0.005 0.005 69000 0.005
2014-02-19 0.005 0.005 0.005 0.005 0 0.005
2014-02-20 0.005 0.005 0.005 0.005 11500 0.005
2014-02-21 0.005 0.005 0.005 0.005 30000 0.005
2014-02-24 0.005 0.005 0.005 0.005 0 0.005
2014-02-25 0.005 0.005 0.005 0.005 0 0.005
2014-02-26 0.005 0.005 0.005 0.005 213000 0.005
2014-02-27 0.005 0.005 0.005 0.005 3000 0.005
2014-02-28 0.005 0.005 0.005 0.005 65000 0.005
2014-03-03 0.005 0.005 0.005 0.005 0 0.005
2014-03-04 0.01 0.01 0.005 0.005 528000 0.005
2014-03-05 0.005 0.005 0.005 0.005 456000 0.005
2014-03-06 0.005 0.005 0.005 0.005 180000 0.005
2014-03-07 0.005 0.005 0.005 0.005 113500 0.005
2014-03-10 0.005 0.005 0.005 0.005 50000 0.005
2014-03-11 0.005 0.005 0.005 0.005 208300 0.005
2014-03-12 0.005 0.005 0.005 0.005 450000 0.005
