"Index" "MP.Open" "MP.High" "MP.Low" "MP.Close" "MP.Volume" "MP.Adjusted"
2013-01-01 0.1 0.1 0.1 0.1 0 0.1
2013-01-02 0.1 0.1 0.1 0.1 0 0.1
2013-01-03 0.1 0.1 0.1 0.1 0 0.1
2013-01-04 0.1 0.1 0.1 0.1 0 0.1
2013-01-07 0.1 0.1 0.1 0.1 4500 0.1
2013-01-08 0.09 0.09 0.08 0.085 19000 0.085
2013-01-09 0.085 0.085 0.085 0.085 0 0.085
2013-01-10 0.095 0.095 0.095 0.095 30000 0.095
2013-01-11 0.1 0.1 0.1 0.1 64000 0.1
2013-01-14 0.1 0.1 0.1 0.1 0 0.1
2013-01-15 0.1 0.1 0.1 0.1 0 0.1
2013-01-16 0.1 0.1 0.1 0.1 0 0.1
2013-01-17 0.1 0.1 0.1 0.1 0 0.1
2013-01-18 0.1 0.1 0.1 0.1 32000 0.1
2013-01-21 0.1 0.1 0.1 0.1 0 0.1
2013-01-22 0.105 0.105 0.105 0.105 2500 0.105
2013-01-23 0.105 0.105 0.105 0.105 28600 0.105
2013-01-24 0.105 0.105 0.105 0.105 5000 0.105
2013-01-25 0.105 0.105 0.105 0.105 0 0.105
2013-01-28 0.105 0.105 0.105 0.105 0 0.105
2013-01-29 0.1 0.1 0.1 0.1 106000 0.1
2013-01-30 0.1 0.105 0.09 0.09 91500 0.09
2013-01-31 0.09 0.09 0.09 0.09 0 0.09
2013-02-01 0.09 0.09 0.09 0.09 0 0.09
2013-02-04 0.09 0.09 0.09 0.09 0 0.09
2013-02-05 0.09 0.09 0.09 0.09 0 0.09
2013-02-06 0.09 0.09 0.09 0.09 0 0.09
2013-02-07 0.1 0.1 0.09 0.09 21000 0.09
2013-02-08 0.095 0.095 0.095 0.095 44000 0.095
2013-02-11 0.095 0.095 0.095 0.095 0 0.095
2013-02-12 0.095 0.095 0.095 0.095 0 0.095
2013-02-13 0.095 0.095 0.095 0.095 0 0.095
2013-02-14 0.095 0.095 0.095 0.095 0 0.095
2013-02-15 0.095 0.095 0.095 0.095 0 0.095
2013-02-18 0.095 0.095 0.095 0.095 0 0.095
2013-02-19 0.07 0.08 0.07 0.08 2000 0.08
2013-02-20 0.09 0.09 0.09 0.09 6500 0.09
2013-02-21 0.09 0.09 0.09 0.09 0 0.09
2013-02-22 0.09 0.09 0.09 0.09 0 0.09
2013-02-25 0.075 0.08 0.06 0.07 55600 0.07
2013-02-26 0.07 0.07 0.07 0.07 0 0.07
2013-02-27 0.07 0.07 0.07 0.07 0 0.07
2013-02-28 0.07 0.07 0.07 0.07 0 0.07
2013-03-01 0.075 0.075 0.075 0.075 3000 0.075
2013-03-04 0.075 0.075 0.075 0.075 0 0.075
2013-03-05 0.075 0.075 0.075 0.075 0 0.075
2013-03-06 0.065 0.065 0.06 0.065 16000 0.065
2013-03-07 0.065 0.065 0.065 0.065 5300 0.065
2013-03-08 0.065 0.065 0.065 0.065 0 0.065
2013-03-11 0.06 0.065 0.06 0.065 8000 0.065
2013-03-12 0.065 0.065 0.055 0.06 50000 0.06
2013-03-13 0.06 0.06 0.06 0.06 16000 0.06
2013-03-14 0.06 0.06 0.06 0.06 12000 0.06
2013-03-15 0.06 0.06 0.06 0.06 3000 0.06
2013-03-18 0.06 0.06 0.06 0.06 6000 0.06
2013-03-19 0.06 0.06 0.06 0.06 0 0.06
2013-03-20 0.06 0.075 0.06 0.075 42500 0.075
2013-03-21 0.075 0.075 0.075 0.075 0 0.075
2013-03-22 0.075 0.075 0.075 0.075 0 0.075
2013-03-25 0.075 0.075 0.075 0.075 0 0.075
2013-03-26 0.075 0.075 0.075 0.075 0 0.075
2013-03-27 0.075 0.075 0.075 0.075 20000 0.075
2013-03-28 0.075 0.075 0.075 0.075 10000 0.075
2013-03-29 0.075 0.075 0.075 0.075 0 0.075
2013-04-01 0.075 0.075 0.075 0.075 0 0.075
2013-04-02 0.075 0.075 0.075 0.075 0 0.075
2013-04-03 0.06 0.06 0.06 0.06 2000 0.06
2013-04-04 0.07 0.07 0.07 0.07 15000 0.07
2013-04-05 0.07 0.07 0.07 0.07 0 0.07
2013-04-08 0.07 0.07 0.07 0.07 6000 0.07
2013-04-09 0.07 0.07 0.07 0.07 0 0.07
2013-04-10 0.07 0.07 0.07 0.07 0 0.07
2013-04-11 0.07 0.07 0.07 0.07 0 0.07
2013-04-12 0.07 0.07 0.07 0.07 0 0.07
2013-04-15 0.07 0.07 0.07 0.07 0 0.07
2013-04-16 0.06 0.06 0.06 0.06 13300 0.06
2013-04-17 0.06 0.06 0.06 0.06 0 0.06
2013-04-18 0.06 0.06 0.06 0.06 0 0.06
2013-04-19 0.06 0.06 0.06 0.06 0 0.06
2013-04-22 0.06 0.06 0.06 0.06 10000 0.06
