"Index" "MPP.Open" "MPP.High" "MPP.Low" "MPP.Close" "MPP.Volume" "MPP.Adjusted"
2013-01-15 0.201 0.201 0.201 0.201 300 0.201
2013-01-29 0.161 0.161 0.161 0.161 0 0.161
2013-02-06 0.129 0.129 0.129 0.129 0 0.129
2013-02-21 0.104 0.104 0.104 0.104 0 0.104
2013-02-26 0.084 0.084 0.084 0.084 1200 0.084
2013-03-12 0.069 0.069 0.069 0.069 3200 0.069
2013-03-26 0.056 0.056 0.056 0.056 1000 0.056
2013-05-16 0.045 0.045 0.045 0.045 100 0.045
2013-05-21 0.045 0.045 0.045 0.045 0 0.045
2013-06-05 0.036 0.036 0.036 0.036 200 0.036
2013-06-12 0.029 0.029 0.029 0.029 0 0.029
2013-08-02 0.024 0.024 0.024 0.024 0 0.024
2013-08-05 0.024 0.024 0.024 0.024 0 0.024
2013-09-18 0.024 0.028 0.024 0.026 2900 0.026
2013-10-21 0.021 0.021 0.021 0.021 0 0.021
2013-10-29 0.017 0.017 0.017 0.017 0 0.017
2013-11-26 0.014 0.014 0.014 0.014 500 0.014
2013-12-13 0.014 0.014 0.014 0.014 100 0.014
2013-12-20 0.012 0.012 0.012 0.012 500 0.012
2014-02-13 0.012 0.012 0.012 0.012 0 0.012
2014-02-24 0.012 0.012 0.012 0.012 300 0.012
2014-02-25 0.012 0.012 0.012 0.012 500 0.012
2014-03-10 0.012 0.012 0.012 0.012 2100 0.012
2014-03-13 0.01 0.01 0.01 0.01 100 0.01
2014-03-20 0.01 0.01 0.01 0.01 0 0.01
2014-03-24 0.01 0.01 0.01 0.01 0 0.01
2014-06-10 0.008 0.008 0.008 0.008 200 0.008
2014-07-21 0.007 0.007 0.007 0.007 100 0.007
2014-08-25 0.006 0.006 0.006 0.006 0 0.006
2014-09-03 0.005 0.005 0.005 0.005 0 0.005
2014-10-22 0.006 0.006 0.006 0.006 500 0.006
2015-02-25 0.006 0.007 0.006 0.006 21000 0.006
2015-02-26 0.005 0.005 0.005 0.005 0 0.005
2015-03-24 0.006 0.006 0.006 0.006 100 0.006
