"Index" "MPX.Open" "MPX.High" "MPX.Low" "MPX.Close" "MPX.Volume" "MPX.Adjusted"
2013-01-02 5.85 5.9 5.72 5.89 38300 5.506254
2013-01-03 5.88 5.98 5.84 5.95 12000 5.562345
2013-01-04 5.97 6.07 5.92 6.06 128700 5.665179
2013-01-07 6.04 6.06 5.98 5.99 58200 5.599739
2013-01-08 6.01 6.02 5.98 5.99 35400 5.599739
2013-01-09 6.02 6.03 5.98 6.02 7500 5.627785
2013-01-10 6.03 6.06 5.99 6.03 9400 5.637133
2013-01-11 6.05 6.05 5.89 5.9 29900 5.515603
2013-01-14 6.05 6.16 6.05 6.13 37100 5.730618
2013-01-15 6.1 6.1 6.05 6.08 64800 5.683875
2013-01-16 6.05 6.05 5.97 6 31400 5.609088
2013-01-17 6 6.03 5.96 6.02 31000 5.627785
2013-01-18 6.03 6.06 5.96 6.06 64700 5.665179
2013-01-22 6.1 6.4 6.06 6.4 70500 5.983027
2013-01-23 6.37 6.5 6.33 6.39 28900 5.973678
2013-01-24 6.41 6.49 6.38 6.39 38800 5.973678
2013-01-25 6.4 6.4 6.31 6.35 48600 5.936284
2013-01-28 6.37 6.41 6.33 6.35 16500 5.936284
2013-01-29 6.35 6.35 6.26 6.29 24500 5.880194
2013-01-30 6.32 6.35 6.28 6.3 26400 5.889542
2013-01-31 6.31 6.32 6.27 6.31 25600 5.898891
2013-02-01 6.36 6.42 6.28 6.29 18100 5.880194
2013-02-04 6.32 6.45 6.25 6.26 40200 5.852148
2013-02-05 6.27 6.5 6.19 6.49 72500 6.067163
2013-02-06 6.42 6.5 6.39 6.5 5200 6.104731
2013-02-07 6.47 6.5 6.42 6.48 6200 6.085947
2013-02-08 6.45 6.48 6.4 6.43 8500 6.038988
2013-02-11 6.48 6.55 6.48 6.52 9300 6.123515
2013-02-12 6.5 6.69 6.5 6.68 7100 6.273785
2013-02-13 6.69 6.78 6.69 6.77 5700 6.358312
2013-02-14 6.69 6.89 6.69 6.86 11600 6.442839
2013-02-15 6.9 7.01 6.9 7.01 19100 6.583718
2013-02-19 7.03 7.22 7.03 7.18 19800 6.74338
2013-02-20 7.16 7.16 6.78 6.78 41200 6.367704
2013-02-21 6.8 6.92 6.8 6.91 12500 6.489798
2013-02-22 6.88 7.02 6.8 7.02 10000 6.593109
2013-02-25 7.05 7.1 6.67 6.68 126700 6.273785
2013-02-26 6.72 6.78 6.72 6.72 4400 6.311352
2013-02-27 6.69 6.95 6.69 6.85 9400 6.433447
2013-02-28 6.86 6.88 6.68 6.72 5300 6.311352
2013-03-01 6.66 6.78 6.66 6.69 8600 6.283177
2013-03-04 6.66 6.72 6.66 6.71 8400 6.301961
2013-03-05 6.77 6.81 6.71 6.81 8000 6.39588
2013-03-06 6.8 6.8 6.69 6.71 5200 6.301961
2013-03-07 6.77 6.97 6.72 6.9 24400 6.480407
2013-03-08 6.98 7.02 6.86 6.93 6500 6.508582
2013-03-11 6.87 6.92 6.75 6.87 16700 6.452231
2013-03-12 6.83 6.92 6.75 6.78 10100 6.367704
2013-03-13 6.84 6.91 6.82 6.91 5800 6.489798
2013-03-14 6.94 6.98 6.88 6.98 4700 6.555542
2013-03-15 6.99 7.04 6.87 7.02 32500 6.593109
2013-03-18 6.94 7.05 6.94 7.03 8400 6.602501
2013-03-19 6.96 7.02 6.82 6.9 7200 6.480407
2013-03-20 6.9 6.95 6.89 6.95 4100 6.527366
2013-03-21 6.88 6.94 6.85 6.91 7300 6.489798
2013-03-22 6.95 7.04 6.95 7.04 8500 6.611893
2013-03-25 7.03 7.1 7.03 7.09 12100 6.658853
2013-03-26 7.1 7.28 7.1 7.28 14900 6.837299
2013-03-27 7.27 7.27 7.19 7.22 2800 6.780947
2013-03-28 7.29 7.43 7.26 7.36 6200 6.912434
2013-04-01 7.35 7.5 7.3 7.34 40000 6.89365
2013-04-02 7.4 7.41 7.29 7.29 30200 6.846691
2013-04-03 7.31 7.31 7.1 7.1 20800 6.668244
2013-04-04 7.12 7.16 7.01 7.06 34800 6.630677
2013-04-05 6.9 7.12 6.9 7.09 16900 6.658853
2013-04-08 7.13 7.13 7.02 7.04 9300 6.611893
2013-04-09 7.03 7.21 7.03 7.14 9300 6.705812
2013-04-10 7.14 7.49 7.14 7.49 9100 7.034528
2013-04-11 7.46 7.5 7.43 7.46 8300 7.006353
2013-04-12 7.41 7.46 7.35 7.35 3900 6.903042
2013-04-15 7.31 7.31 6.63 6.97 25200 6.54615
2013-04-16 7 7.08 6.95 7.06 38600 6.630677
2013-04-17 6.96 7 6.75 6.86 17800 6.442839
2013-04-18 6.89 7.02 6.89 6.95 9600 6.527366
2013-04-19 6.94 7.11 6.94 7.09 13500 6.658853
2013-04-22 7.08 7.08 6.94 7.02 5900 6.593109
2013-04-23 7.15 7.15 6.96 7.02 11200 6.593109
2013-04-24 7.15 7.2 7.05 7.1 88800 6.668244
2013-04-25 7.11 7.15 7.08 7.13 65900 6.69642
2013-04-26 7.15 7.16 6.99 7.08 55200 6.649461
2013-04-29 7.09 7.09 7.07 7.08 4100 6.649461
2013-04-30 7.14 7.25 7.14 7.23 8200 6.790339
2013-05-01 7.24 7.24 6.85 7 39000 6.574326
2013-05-02 7.05 7.37 7.05 7.17 14700 6.733988
2013-05-03 7.26 7.3 7.08 7.17 9600 6.733988
2013-05-06 7.22 7.28 7.16 7.26 3200 6.818515
2013-05-07 7.26 7.55 7.26 7.53 22900 7.072096
2013-05-08 7.5 7.6 7.5 7.6 47800 7.166391
2013-05-09 7.61 7.67 7.58 7.64 23100 7.204108
2013-05-10 7.68 7.68 7.51 7.54 8400 7.109814
2013-05-13 7.55 7.55 7.4 7.45 6500 7.024949
2013-05-14 7.47 7.59 7.46 7.59 6300 7.156961
2013-05-15 7.64 7.7 7.54 7.57 5900 7.138102
2013-05-16 7.57 7.69 7.52 7.59 4700 7.156961
2013-05-17 7.6 7.6 7.46 7.52 12700 7.090955
2013-05-20 7.57 7.64 7.48 7.62 10600 7.185249
2013-05-21 7.65 7.69 7.59 7.68 3000 7.241826
2013-05-22 7.66 7.7 7.5 7.5 19300 7.072096
2013-05-23 7.5 7.51 7.35 7.42 13200 6.99666
2013-05-24 7.4 7.45 7.3 7.4 5500 6.977801
2013-05-28 7.52 7.58 7.42 7.48 12500 7.053237
2013-05-29 7.43 7.43 7.2 7.27 6700 6.855218
2013-05-30 7.32 7.46 7.32 7.46 5000 7.034378
2013-05-31 7.4 7.47 7.36 7.37 7100 6.949513
2013-06-03 7.37 7.91 7.37 7.82 28400 7.373839
2013-06-04 7.87 7.9 7.62 7.85 54500 7.402127
2013-06-05 7.82 7.82 7.61 7.62 7700 7.185249
2013-06-06 7.67 7.67 7.47 7.61 9100 7.17582
2013-06-07 7.67 7.67 7.37 7.48 12800 7.053237
2013-06-10 7.43 7.53 7.43 7.47 4000 7.043807
2013-06-11 7.41 7.42 7.32 7.32 2700 6.902366
2013-06-12 7.3 7.35 6.99 7 10000 6.600623
2013-06-13 7.03 7.17 6.93 7.14 6700 6.732635
2013-06-14 7.15 7.15 7.05 7.1 5800 6.694917
2013-06-17 7.15 7.15 7.01 7.12 8600 6.713776
2013-06-18 7.17 7.2 6.99 7.2 11500 6.789212
2013-06-19 7.2 7.22 6.93 7.02 14700 6.619482
2013-06-20 6.94 6.97 6.89 6.89 11400 6.496899
2013-06-21 6.94 7.21 6.9 7.19 49100 6.779783
2013-06-24 7.13 7.23 7.04 7.19 14600 6.779783
2013-06-25 7.24 7.36 7.17 7.34 12800 6.921225
2013-06-26 7.38 7.41 7.26 7.34 5400 6.921225
2013-06-27 7.39 8.15 7.39 7.81 34200 7.364409
2013-06-28 7.82 8.06 7.78 8.02 157600 7.562428
2013-07-01 7.96 8.09 7.96 8.08 23500 7.619005
2013-07-02 8.13 8.2 8.05 8.07 7800 7.609575
2013-07-03 8.12 8.15 8.07 8.08 3100 7.619005
2013-07-05 8.25 8.65 8.15 8.65 12300 8.156484
2013-07-08 8.66 8.71 8.6 8.63 20400 8.137625
2013-07-09 8.59 8.7 8.5 8.65 12600 8.156484
2013-07-10 8.62 8.82 8.57 8.8 14100 8.297926
2013-07-11 9 9 8.8 8.86 20700 8.354502
2013-07-12 8.8 8.95 8.8 8.94 6400 8.429938
2013-07-15 9 9.05 8.98 9 17600 8.486515
2013-07-16 9.03 9.09 9 9.08 13700 8.561951
2013-07-17 9.1 9.16 9.1 9.14 17100 8.618528
2013-07-18 9.15 9.39 9.15 9.34 31600 8.807117
2013-07-19 9.3 9.35 9.13 9.22 27900 8.693964
2013-07-22 9.25 9.41 9.19 9.4 11200 8.863693
2013-07-23 9.47 9.47 8.75 9.09 22600 8.571381
2013-07-24 9 9 8.82 8.89 18900 8.382791
2013-07-25 9 9.25 8.93 9.24 12800 8.712822
2013-07-26 9.09 9.09 8.91 9.06 3200 8.543092
2013-07-29 9.07 9.1 9.01 9.05 3000 8.533663
2013-07-30 9.14 9.14 8.9 9.02 7600 8.505375
2013-07-31 8.94 9.07 8.92 9.04 11200 8.524233
2013-08-01 9.13 9.23 9.06 9.19 5500 8.665675
2013-08-02 9.12 9.23 9.04 9.09 8800 8.571381
2013-08-05 9.04 9.1 9.04 9.1 4500 8.58081
2013-08-06 9.04 9.15 9.04 9.05 5700 8.533663
2013-08-07 9.01 9.11 8.91 8.93 8700 8.448515
2013-08-08 9.03 9.13 8.95 9.06 28000 8.571506
2013-08-09 9.05 9.11 9 9.06 5200 8.571506
2013-08-12 9.01 9.17 8.95 9.02 23600 8.533663
2013-08-13 9.06 9.14 9.06 9.12 1600 8.62827
2013-08-14 9.15 9.16 8.96 9.02 3600 8.533663
2013-08-15 8.87 8.91 8.46 8.48 10400 8.022777
2013-08-16 8.42 8.51 8.17 8.33 11400 7.880865
2013-08-19 8.51 8.51 8.28 8.28 5300 7.833561
2013-08-20 8.42 8.81 8.42 8.63 9400 8.16469
2013-08-21 8.34 8.54 8.32 8.35 4900 7.899788
2013-08-22 8.45 8.57 8.44 8.57 3100 8.107925
2013-08-23 8.65 9.07 8.65 9.02 8000 8.533663
2013-08-26 9.01 9.13 8.97 9.04 11700 8.552584
2013-08-27 8.93 8.93 8.7 8.78 17100 8.306602
2013-08-28 8.8 8.83 8.78 8.79 3900 8.316063
2013-08-29 8.78 8.9 8.78 8.88 3700 8.401211
2013-08-30 8.85 8.87 8.67 8.71 14300 8.240377
2013-09-03 8.73 8.89 8.6 8.68 8400 8.211995
2013-09-04 8.72 8.72 8.57 8.6 9900 8.136308
2013-09-05 8.64 8.97 8.5 8.93 14300 8.448515
2013-09-06 9.01 9.01 8.59 8.91 3400 8.429593
2013-09-09 8.93 9.18 8.89 9.16 29200 8.666114
2013-09-10 9.22 9.24 9.12 9.15 11500 8.656653
2013-09-11 8.99 8.99 8.92 8.98 9700 8.495819
2013-09-12 8.96 9.18 8.92 8.94 15900 8.457975
2013-09-13 9 9 8.91 8.95 6500 8.467436
2013-09-16 9 9 8.92 8.93 3900 8.448515
2013-09-17 8.93 9.02 8.56 8.84 36100 8.363368
2013-09-18 8.82 8.99 8.73 8.97 7000 8.486358
2013-09-19 9.01 9.03 8.93 9 36000 8.514741
2013-09-20 9.06 9.06 8.95 9.04 26900 8.552584
2013-09-23 8.82 9 8.82 8.99 9500 8.50528
2013-09-24 8.82 9 8.82 8.97 10900 8.486358
2013-09-25 8.64 8.98 8.62 8.97 11900 8.486358
2013-09-26 8.97 9 8.93 9 9100 8.514741
2013-09-27 8.9 8.98 8.65 8.98 5500 8.495819
2013-09-30 8.8 9.08 8.8 9.08 24400 8.590427
2013-10-01 9.08 9.1 9.02 9.1 6600 8.609349
2013-10-02 9.06 9.06 8.89 9.02 13300 8.533663
2013-10-03 8.87 8.97 8.61 8.71 10100 8.240377
2013-10-04 8.67 8.69 8.59 8.62 2800 8.155229
2013-10-07 8.52 8.69 8.52 8.59 19400 8.126847
2013-10-08 8.61 8.94 8.61 8.84 7600 8.363368
