"Index" "MSF.Open" "MSF.High" "MSF.Low" "MSF.Close" "MSF.Volume" "MSF.Adjusted"
2013-01-02 15.76 16.27 15.76 15.97 128000 15.746469
2013-01-03 15.93 16.190001 15.82 15.95 64700 15.726748
2013-01-04 15.9 16.02 15.87 15.93 14100 15.707029
2013-01-07 15.91 15.92 15.73 15.82 9100 15.598568
2013-01-08 15.79 15.85 15.74 15.78 19400 15.559128
2013-01-09 15.83 15.97 15.78 15.83 18200 15.608428
2013-01-10 15.87 16.16 15.87 16.09 43800 15.864789
2013-01-11 16.02 16.09 15.84 15.94 28000 15.716888
2013-01-14 15.98 16.120001 15.98 16.110001 25400 15.88451
2013-01-15 16 16.110001 15.95 16.09 47800 15.864789
2013-01-16 15.99 16.07 15.98 16.01 2700 15.785909
2013-01-17 16.040001 16.15 16.040001 16.059999 8400 15.835208
2013-01-18 16.01 16.139999 16.01 16.129999 8300 15.904228
2013-01-22 16.15 16.370001 16.040001 16.200001 71900 15.97325
2013-01-23 16.15 16.23 16.059999 16.059999 20800 15.835208
2013-01-24 16.15 16.25 16.110001 16.16 17100 15.933809
2013-01-25 16.15 16.15 16 16 3600 15.776049
2013-01-28 15.96 16.1 15.93 16 34700 15.776049
2013-01-29 16.049999 16.17 16 16.16 17700 15.933809
2013-01-30 16.059999 16.129999 16.01 16.110001 2800 15.88451
2013-01-31 16.120001 16.120001 16.040001 16.07 14400 15.845069
2013-02-01 16.15 16.190001 16.15 16.18 29600 15.95353
2013-02-04 16.110001 16.15 16.02 16.040001 39500 15.81549
2013-02-05 16.09 16.139999 16.02 16.129999 19200 15.904228
2013-02-06 16.08 16.110001 16.01 16.07 63500 15.845069
2013-02-07 15.99 16.02 15.92 15.98 7600 15.756328
2013-02-08 16.02 16.049999 15.99 16 12600 15.776049
2013-02-11 16.01 16.01 15.93 15.96 6600 15.736609
2013-02-12 15.96 16.059999 15.96 15.99 14800 15.766188
2013-02-13 16.01 16.040001 15.97 16.040001 11900 15.81549
2013-02-14 16 16.040001 15.94 16.01 33200 15.785909
2013-02-15 15.96 15.98 15.89 15.92 11200 15.697168
2013-02-19 15.92 15.98 15.85 15.86 7400 15.638008
2013-02-20 15.94 15.96 15.71 15.71 20900 15.490108
2013-02-21 15.65 15.65 15.53 15.57 30700 15.352067
2013-02-22 15.59 15.59 15.47 15.55 73200 15.332347
2013-02-25 15.63 15.7 15.49 15.49 29700 15.273187
2013-02-26 15.48 15.5 15.4 15.5 3100 15.283047
2013-02-27 15.52 15.75 15.52 15.7 10900 15.480248
2013-02-28 15.64 15.75 15.59 15.59 11300 15.371788
2013-03-01 15.58 15.67 15.54 15.67 11700 15.450668
2013-03-04 15.57 15.57 15.48 15.53 43100 15.312627
2013-03-05 15.64 15.83 15.64 15.79 24600 15.568988
2013-03-06 15.75 15.83 15.66 15.74 28900 15.519688
2013-03-07 15.67 15.82 15.67 15.82 7600 15.598568
2013-03-08 15.87 15.93 15.85 15.93 9100 15.707029
2013-03-11 15.82 15.87 15.81 15.87 1400 15.647868
2013-03-12 15.76 15.79 15.71 15.71 29000 15.490108
2013-03-13 15.62 15.74 15.58 15.67 42500 15.450668
2013-03-14 15.76 15.76 15.69 15.72 9100 15.499968
2013-03-15 15.64 15.67 15.6 15.65 9500 15.430947
2013-03-18 15.62 15.63 15.54 15.54 15300 15.322487
2013-03-19 15.5 15.55 15.32 15.38 17500 15.164727
2013-03-20 15.42 15.49 15.38 15.39 19300 15.174587
2013-03-21 15.37 15.44 15.3 15.35 20100 15.135147
2013-03-22 15.28 15.34 15.26 15.3 10300 15.085847
2013-03-25 15.4 15.47 15.29 15.33 8600 15.115427
2013-03-26 15.35 15.49 15.35 15.49 4600 15.273187
2013-03-27 15.45 15.59 15.42 15.57 28400 15.352067
2013-03-28 15.49 15.7 15.49 15.69 5400 15.470387
2013-04-01 15.75 15.75 15.59 15.6 22300 15.381648
2013-04-02 15.67 15.75 15.65 15.72 6600 15.499968
2013-04-03 15.63 15.63 15.54 15.55 6600 15.332347
2013-04-04 15.48 15.48 15.34 15.37 6500 15.154867
2013-04-05 15.1 15.26 15.1 15.24 9900 15.026686
2013-04-08 15.16 15.3 15.1 15.3 7200 15.085847
2013-04-09 15.23 15.45 15.23 15.43 61800 15.214027
2013-04-10 15.48 15.6 15.48 15.53 33600 15.312627
2013-04-11 15.54 15.61 15.51 15.58 13000 15.361927
2013-04-12 15.39 15.51 15.35 15.51 51100 15.292907
2013-04-15 15.47 15.47 15.21 15.21 45800 14.997106
2013-04-16 15.37 15.46 15.34 15.39 13000 15.174587
2013-04-17 15.16 15.37 15.16 15.31 19000 15.095707
2013-04-18 15.27 15.35 15.22 15.35 6500 15.135147
2013-04-19 15.49 15.66 15.45 15.56 7800 15.342208
