"Index" "MTS.Open" "MTS.High" "MTS.Low" "MTS.Close" "MTS.Volume" "MTS.Adjusted"
2013-01-02 17.139999 17.209999 16.950001 17.129999 11200 15.438118
2013-01-03 17.16 17.16 17.01 17.040001 3100 15.357008
2013-01-04 17.059999 17.200001 16.950001 17.1 7600 15.411082
2013-01-07 17.1 17.1 16.959999 16.98 9500 15.302933
2013-01-08 16.84 17.110001 16.83 17.08 12900 15.393057
2013-01-09 17.049999 17.17 17.049999 17.120001 7900 15.429107
2013-01-10 17.16 17.370001 16.879999 17.129999 44400 15.438118
2013-01-11 17.18 17.24 17.07 17.16 8800 15.465155
2013-01-14 17.110001 17.219999 17.049999 17.07 6500 15.384044
2013-01-15 17.059999 17.190001 17.059999 17.190001 13700 15.492193
2013-01-16 17.16 17.309999 17.110001 17.200001 19500 15.501206
2013-01-17 17.200001 17.280001 17.120001 17.280001 17900 15.573304
2013-01-18 17.27 17.280001 17.139999 17.17 9000 15.474168
2013-01-22 17.200001 17.200001 17.059999 17.18 6100 15.48318
2013-01-23 17.200001 17.299999 17.120001 17.26 9900 15.555279
2013-01-24 17.209999 17.4 17.200001 17.34 13000 15.627378
2013-01-25 17.33 17.34 17.25 17.34 21300 15.627378
2013-01-28 17.4 17.4 17.129999 17.129999 14300 15.438118
2013-01-29 17.1 17.23 17.049999 17.190001 10100 15.492193
2013-01-30 17.110001 17.33 17.110001 17.110001 20400 15.420094
2013-01-31 17.17 17.219999 17.08 17.1 8000 15.411082
2013-02-01 17.1 17.24 17.1 17.200001 5400 15.501206
2013-02-04 17.219999 17.219999 17.07 17.08 10200 15.393057
2013-02-05 17.120001 17.120001 16.99 17.040001 12100 15.357008
2013-02-06 17.08 17.09 17 17 11300 15.320958
2013-02-07 17.07 17.120001 16.98 17.01 15800 15.329971
2013-02-08 17.030001 17.120001 17.02 17.040001 20800 15.357008
2013-02-11 17.120001 17.370001 17.01 17.030001 17100 15.347996
2013-02-12 17.059999 17.09 17.02 17.059999 12800 15.375032
2013-02-13 17.09 17.129999 17.02 17.02 7100 15.338983
2013-02-14 17.049999 17.08 16.9 17.01 13400 15.329971
2013-02-15 17.030001 17.35 17.030001 17.18 26800 15.48318
2013-02-19 17.23 17.23 17.120001 17.16 21700 15.465155
2013-02-20 17.200001 17.219999 17.030001 17.129999 16600 15.438118
2013-02-21 17.16 17.17 17.030001 17.139999 13600 15.44713
2013-02-22 17.190001 17.190001 17.07 17.08 8700 15.393057
2013-02-25 17.110001 17.200001 17.1 17.16 10500 15.465155
2013-02-26 17.15 17.219999 17.120001 17.219999 10700 15.519229
2013-02-27 17.209999 17.26 17.07 17.190001 19700 15.492193
2013-02-28 17.190001 17.190001 17.02 17.120001 14200 15.429107
2013-03-01 17.15 17.15 17.049999 17.1 5700 15.411082
2013-03-04 17.139999 17.15 17 17.049999 13200 15.366019
2013-03-05 17.02 17.129999 17.02 17.129999 10100 15.438118
2013-03-06 17.17 17.18 17.049999 17.1 9700 15.411082
2013-03-07 17.17 17.18 17.1 17.17 14600 15.474168
2013-03-08 17.23 17.23 17.08 17.120001 7800 15.429107
2013-03-11 17.200001 17.200001 17.08 17.110001 8500 15.420094
2013-03-12 17.18 17.18 17.110001 17.18 19400 15.48318
2013-03-13 17.219999 17.23 17.040001 17.040001 8500 15.357008
2013-03-14 17.120001 17.18 17.08 17.129999 12100 15.438118
2013-03-15 17.17 17.209999 17.01 17.040001 12000 15.357008
2013-03-18 17.1 17.139999 16.950001 17.01 5800 15.329971
2013-03-19 17.049999 17.15 17.02 17.09 5800 15.402069
2013-03-20 17.17 17.209999 17.049999 17.09 14800 15.402069
2013-03-21 17.129999 17.209999 17.1 17.139999 7400 15.44713
2013-03-22 17.209999 17.27 17.15 17.18 13400 15.48318
2013-03-25 17.219999 17.25 17.049999 17.049999 13500 15.366019
2013-03-26 17.07 17.219999 17.07 17.17 16400 15.474168
2013-03-27 17.209999 17.360001 17.16 17.16 21500 15.465155
2013-03-28 17.25 17.26 17.129999 17.26 8600 15.555279
2013-04-01 17.33 17.33 17.129999 17.18 11300 15.48318
2013-04-02 17.23 17.24 17.01 17.040001 46200 15.357008
2013-04-03 17.110001 17.25 17.07 17.200001 13000 15.501206
2013-04-04 17.24 17.24 17.15 17.17 4700 15.474168
2013-04-05 17.23 17.25 17.1 17.1 22800 15.411082
2013-04-08 17.139999 17.23 17.110001 17.120001 6500 15.429107
2013-04-09 17.07 17.1 17.07 17.1 17300 15.411082
2013-04-10 17.18 17.200001 17.120001 17.17 7400 15.474168
2013-04-11 17.129999 17.290001 17.129999 17.139999 12200 15.44713
2013-04-12 17.08 17.23 17.08 17.209999 44100 15.510216
2013-04-15 17.110001 17.17 17.1 17.16 20600 15.465155
2013-04-16 17.110001 17.280001 17.110001 17.280001 42800 15.573304
2013-04-17 17.290001 17.389999 17.25 17.33 47700 15.618365
2013-04-18 17.33 17.469999 17.33 17.440001 21200 15.717501
2013-04-19 17.469999 17.49 17.379999 17.48 13200 15.75355
