"Index" "MWE.Open" "MWE.High" "MWE.Low" "MWE.Close" "MWE.Volume" "MWE.Adjusted"
2013-01-02 51.919998 52.669998 51.77 52.669998 854400 44.516987
2013-01-03 52.669998 53.009998 52.169998 52.599998 569900 44.457823
2013-01-04 52.799999 53.189999 52.619999 52.799999 522200 44.626865
2013-01-07 52.549999 53.799999 52.48 53.689999 699000 45.379097
2013-01-08 53.810001 53.849998 52.790001 53.130001 616800 44.905784
2013-01-09 53.330002 53.41 52.549999 52.689999 641700 44.533892
2013-01-10 52.990002 53.400002 52.900002 53.150002 542400 44.922689
2013-01-11 53.150002 53.27 52.389999 52.84 596200 44.660674
2013-01-14 52.939999 53.209999 52.68 53.16 599100 44.931139
2013-01-15 52.700001 53.060001 52.110001 52.880001 976300 44.694483
2013-01-16 52.82 52.889999 52.400002 52.82 536500 44.643769
2013-01-17 53.029999 53.189999 52.759998 52.82 741400 44.643769
2013-01-18 52.810001 53.5 52.779999 53.349998 404400 45.091727
2013-01-22 53.5 54.720001 53.290001 54.529999 644000 46.08907
2013-01-23 54.639999 54.849998 54.049999 54.220001 551800 45.827059
2013-01-24 54.34 54.630001 53.389999 53.66 514900 45.353742
2013-01-25 53.630001 54.450001 53.189999 53.619999 583100 45.319933
2013-01-28 53.900002 54.200001 53.040001 53.720001 516600 45.404456
2013-01-29 53.740002 53.810001 53.25 53.73 530900 45.412906
2013-01-30 54.009998 55.5 54 54.73 1434800 46.258112
2013-01-31 54.720001 55.299999 54.549999 55.220001 854100 46.672264
2013-02-01 55.099998 55.860001 54.75 55.389999 896700 46.815948
2013-02-04 54.48 55.23 53.919998 54.900002 806900 47.099059
2013-02-05 54.900002 55.59 54.799999 55.310001 492100 47.450801
2013-02-06 55.27 55.549999 54.900002 55.110001 625800 47.279219
2013-02-07 55.150002 55.700001 55.150002 55.509998 473500 47.62238
2013-02-08 55.75 55.98 55.5 55.93 500200 47.982702
2013-02-11 55.900002 56.400002 55.52 56.290001 470900 48.291549
2013-02-12 56.34 56.610001 55.900002 56.5 920200 48.471708
2013-02-13 56.610001 57.759998 56.25 57.450001 867000 49.28672
2013-02-14 57.639999 58.540001 57.32 57.959999 877900 49.724251
2013-02-15 57.970001 58.310001 57.049999 57.23 495400 49.09798
2013-02-19 57.529999 58 57.099998 57.91 598000 49.681356
2013-02-20 57.98 58.75 57.400002 57.41 658000 49.252403
2013-02-21 57.27 57.330002 56.02 56.450001 837700 48.428814
2013-02-22 56.720001 57.639999 56.369999 56.689999 735800 48.634709
2013-02-25 57.040001 57.75 55.889999 56.009998 715300 48.051333
2013-02-26 56.099998 56.369999 55.240002 55.48 1048500 47.596643
2013-02-27 54.650002 56.27 54.599998 55.869999 1152900 47.931226
2013-02-28 56 57.43 55.669998 57.169998 862300 49.046504
2013-03-01 57.029999 57.23 56.349998 57.16 484400 49.037926
2013-03-04 57.09 57.990002 56.91 57.529999 442900 49.355351
2013-03-05 57.790001 57.990002 57.02 57.57 418400 49.389668
2013-03-06 57.639999 57.73 56.900002 57.380001 525200 49.226667
2013-03-07 57.369999 58.349998 57 58.130001 786800 49.870097
2013-03-08 58.25 59.34 58.139999 59.290001 817100 50.865268
2013-03-11 59.290001 59.639999 58.73 59.119999 505500 50.719422
2013-03-12 59.110001 59.560001 58.689999 59.41 521600 50.968216
2013-03-13 59.310001 59.369999 58.639999 58.73 434100 50.384839
2013-03-14 58.779999 59.5 58.299999 59.450001 577400 51.002533
2013-03-15 59.439999 59.75 58.959999 59 2786300 50.616474
2013-03-18 58.32 59.369999 58.060001 59.18 542200 50.770898
2013-03-19 59.169998 59.240002 58.689999 59.119999 769200 50.719422
2013-03-20 59.23 59.880001 59.060001 59.759998 435200 51.268482
2013-03-21 59.75 60.799999 59.549999 60.389999 683000 51.808963
2013-03-22 60.360001 61.369999 60.240002 61.07 644400 52.39234
2013-03-25 61.119999 61.970001 60.93 61.119999 555200 52.435235
2013-03-26 61.139999 61.560001 60.91 61.029999 401000 52.358023
2013-03-27 60.709999 60.900002 60.16 60.450001 420800 51.860439
2013-03-28 60.41 60.970001 60.189999 60.75 749800 52.11781
2013-04-01 60.860001 60.860001 59.130001 59.549999 822000 51.088322
2013-04-02 59.580002 59.849998 57.150002 58.5 1282700 50.187521
2013-04-03 58.419998 58.59 56.900002 57.689999 956400 49.492616
2013-04-04 57.599998 58.66 57.599998 58.169998 549400 49.90441
2013-04-05 58 59.029999 57.610001 58.73 526300 50.384839
2013-04-08 59.040001 61.220001 58.950001 61.080002 1767800 52.400921
2013-04-09 61.450001 61.889999 60.950001 61.400002 568800 52.675451
2013-04-10 61.200001 61.509998 60.400002 60.669998 561300 52.049176
2013-04-11 60.580002 61.029999 60.23 61 415600 52.332287
2013-04-12 60.82 61.23 59.689999 61.220001 401800 52.521027
2013-04-15 60.990002 60.990002 59.209999 60.220001 627900 51.663121
2013-04-16 60.650002 61.139999 60.169998 61.080002 437600 52.400921
2013-04-17 60.970001 61.049999 59.759998 60.57 431900 51.963387
2013-04-18 60.799999 60.799999 59.310001 59.610001 542400 51.139798
2013-04-19 59.799999 61 59.639999 60.68 454500 52.057757
2013-04-22 60.93 61.650002 60.509998 61.509998 352400 52.769818
2013-04-23 61.669998 63.349998 61.119999 63.25 575000 54.262576
2013-04-24 63.25 63.619999 62.66 62.73 446000 53.816464
2013-04-25 62.91 63.970001 62.029999 62.18 477700 53.344617
2013-04-26 62.040001 63.110001 61.169998 61.540001 685500 52.795557
2013-04-29 61.549999 62.220001 61.5 61.98 367100 53.173035
2013-04-30 61.950001 63.32 61.84 63.200001 455300 54.219681
2013-05-01 63.18 63.459999 62.290001 62.68 864100 53.77357
2013-05-02 63.18 63.349998 61.580002 61.75 521100 52.975717
2013-05-03 61.490002 61.849998 60.25 60.700001 727600 52.784406
2013-05-06 60.700001 63.220001 60.700001 63.130001 980600 54.897521
2013-05-07 63.299999 63.540001 62.5 62.650002 504000 54.480116
2013-05-08 62.450001 63.279999 61.779999 63.279999 560200 55.027959
2013-05-09 63.009998 65.959999 63 65.919998 1158700 57.323688
2013-05-10 66.279999 67.510002 65.550003 66.949997 1151300 58.21937
2013-05-13 67.150002 67.610001 66.410004 67.150002 558300 58.393293
2013-05-14 67.150002 67.32 66.730003 66.970001 923300 58.236766
2013-05-15 67.360001 67.360001 66.580002 66.970001 597400 58.236766
2013-05-16 67 67.5 66.110001 66.110001 571900 57.488914
2013-05-17 67.169998 67.690002 66.910004 67.400002 476100 58.610692
2013-05-20 67.709999 68.849998 67.400002 68.839996 496900 59.862904
2013-05-21 68.900002 69.809998 68.75 69.059998 689400 60.054216
2013-05-22 69.120003 71.199997 69.059998 69.400002 903700 60.349881
2013-05-23 67.849998 69.110001 66.32 68.870003 624200 59.888997
2013-05-24 68.800003 69.540001 68.150002 68.32 571600 59.410717
2013-05-28 68.769997 69.25 68.010002 68.089996 791100 59.210708
2013-05-29 68 68.5 66.349998 67.190002 846700 58.428078
2013-05-30 67.269997 67.269997 65.5 66.900002 1005900 58.175894
2013-05-31 66.669998 67.480003 65.839996 65.839996 575900 57.254119
2013-06-03 65.589996 67 65.5 66.75 443800 58.045454
2013-06-04 66.82 67.75 66.139999 66.620003 1406500 57.932409
2013-06-05 66.419998 66.419998 64.660004 64.93 588300 56.462791
2013-06-06 65 67.720001 64.690002 67.330002 897700 58.54982
2013-06-07 67.519997 68.610001 66.599998 68.199997 572400 59.306364
2013-06-10 68.150002 68.190002 67.239998 67.82 321700 58.97592
2013-06-11 67.470001 67.470001 66.370003 66.480003 506400 57.810666
2013-06-12 67.230003 67.230003 65.059998 66.019997 556000 57.410647
2013-06-13 66.230003 66.230003 64.269997 66.080002 406700 57.462827
2013-06-14 65.889999 67.660004 65.339996 66.989998 601000 58.254155
2013-06-17 67.440002 67.760002 66.760002 67.690002 287800 58.862875
2013-06-18 67.699997 68.269997 67.239998 67.849998 424400 59.002007
2013-06-19 67.839996 67.849998 66.010002 66.540001 558200 57.86284
2013-06-20 65.5 65.739998 63.009998 63.59 1249600 55.297534
2013-06-21 64.029999 65.120003 61.91 65.010002 1276500 56.532361
2013-06-24 64.059998 64.470001 61.02 63.48 1431600 55.201878
2013-06-25 63.970001 65.989998 63.700001 65.709999 795300 57.141074
2013-06-26 65.800003 67.220001 65.239998 66.559998 1095300 57.880229
2013-06-27 66.980003 67.949997 66.529999 67.550003 594400 58.741132
2013-06-28 67.529999 68 66.769997 66.849998 427900 58.132412
2013-07-01 66.970001 67.610001 66.730003 67.120003 504900 58.367206
2013-07-02 67.150002 67.339996 65.949997 66.459999 522400 57.79327
2013-07-03 66.230003 66.459999 65.269997 66.269997 310900 57.628045
2013-07-05 66.410004 67.199997 65.550003 66.379997 316800 57.723701
2013-07-08 66.629997 67.120003 65.620003 66.769997 466000 58.062843
2013-07-09 66.949997 67.150002 65.959999 66.739998 501100 58.036756
2013-07-10 66.919998 67.370003 65.290001 66.010002 726500 57.401955
