"Index" "N3L.Open" "N3L.High" "N3L.Low" "N3L.Close" "N3L.Volume" "N3L.Adjusted"
2013-01-01 0.421 0.421 0.421 0.421 0 0.421
2013-01-02 0.426 0.426 0.426 0.426 0 0.426
2013-01-03 0.427 0.427 0.427 0.427 0 0.427
2013-01-04 0.442 0.442 0.442 0.442 0 0.442
2013-01-07 0.42 0.42 0.42 0.42 0 0.42
2013-01-08 0.416 0.416 0.416 0.416 0 0.416
2013-01-09 0.416 0.416 0.416 0.416 0 0.416
2013-01-10 0.416 0.416 0.416 0.416 0 0.416
2013-01-11 0.413 0.413 0.413 0.413 0 0.413
2013-01-14 0.409 0.409 0.409 0.409 0 0.409
2013-01-15 0.402 0.402 0.402 0.402 0 0.402
2013-01-16 0.406 0.406 0.406 0.406 0 0.406
2013-01-17 0.399 0.399 0.399 0.399 0 0.399
2013-01-18 0.407 0.407 0.407 0.407 0 0.407
2013-01-21 0.398 0.398 0.398 0.398 0 0.398
2013-01-22 0.405 0.405 0.405 0.405 0 0.405
2013-01-23 0.406 0.406 0.406 0.406 0 0.406
2013-01-24 0.399 0.399 0.399 0.399 0 0.399
2013-01-25 0.393 0.393 0.393 0.393 0 0.393
2013-01-28 0.388 0.388 0.388 0.388 0 0.388
2013-01-29 0.399 0.399 0.399 0.399 0 0.399
2013-01-30 0.387 0.387 0.387 0.387 0 0.387
2013-01-31 0.387 0.387 0.387 0.387 0 0.387
2013-02-01 0.386 0.386 0.386 0.386 0 0.386
2013-02-04 0.382 0.382 0.382 0.382 0 0.382
2013-02-05 0.387 0.387 0.387 0.387 0 0.387
2013-02-06 0.382 0.382 0.382 0.382 0 0.382
2013-02-07 0.384 0.384 0.384 0.384 0 0.384
2013-02-08 0.389 0.389 0.389 0.389 0 0.389
2013-02-11 0.391 0.391 0.391 0.391 0 0.391
2013-02-12 0.359 0.359 0.359 0.359 0 0.359
2013-02-13 0.352 0.352 0.352 0.352 0 0.352
2013-02-14 0.352 0.352 0.352 0.352 0 0.352
2013-02-15 0.351 0.351 0.351 0.351 0 0.351
2013-02-18 0.351 0.351 0.351 0.351 0 0.351
2013-02-19 0.353 0.353 0.353 0.353 0 0.353
2013-02-20 0.353 0.353 0.353 0.353 0 0.353
2013-02-21 0.349 0.349 0.349 0.349 0 0.349
2013-02-22 0.352 0.352 0.352 0.352 0 0.352
