"Index" "NEN.Open" "NEN.High" "NEN.Low" "NEN.Close" "NEN.Volume" "NEN.Adjusted"
2013-01-02 29.59 29.59 29 29.01 700 27.322625
2013-01-03 29.1 29.549999 29.1 29.530001 1400 27.812379
2013-01-04 29.879999 30 29.82 30 1400 28.255041
2013-01-07 31 31 31 31 300 29.196875
2013-01-08 31.030001 31.030001 30.92 30.969999 800 29.16862
2013-01-09 30.75 31.25 30.75 31.24 500 29.422915
2013-01-10 31.25 31.98 29.799999 30.5 1800 28.725958
2013-01-11 30.98 31 30.5 30.5 1100 28.725958
2013-01-14 30.690001 30.969999 30.690001 30.969999 400 29.16862
2013-01-15 31.67 31.950001 30.66 31 700 29.196875
2013-01-16 31.190001 31.25 31 31.25 700 29.432334
2013-01-17 31.9 31.9 30.65 30.75 2800 28.961417
2013-01-18 30.67 30.98 30.67 30.98 600 29.178038
2013-01-22 30.65 30.940001 30.610001 30.610001 2300 28.82956
2013-01-23 30.16 31.290001 30.129999 30.35 9200 28.584683
2013-01-24 31.25 31.25 30.700001 30.700001 200 28.914326
2013-01-25 31.15 31.15 31.040001 31.040001 300 29.23455
2013-01-28 31 31.690001 31 31.5 1400 29.667793
2013-01-29 31.690001 31.700001 31.25 31.25 1700 29.432334
2013-01-30 31.18 31.799999 31 31.780001 3300 29.931507
2013-01-31 31.309999 31.75 31.280001 31.75 4100 29.903251
2013-02-01 32.23 32.290001 31.68 32.290001 1300 30.411843
2013-02-04 32.43 32.470001 32.43 32.470001 300 30.581373
2013-02-05 32.490002 32.490002 32.439999 32.439999 500 30.553116
2013-02-06 32.490002 34.889999 32.490002 34.889999 1200 32.860612
2013-02-07 33.400002 34 33.400002 33.549999 2100 31.598553
2013-02-08 34 34 34 34 500 32.022379
2013-02-11 34.25 35.810001 33.75 35.529999 2100 33.463385
2013-02-12 34.200001 39.099998 34.200001 38.119999 3400 35.902737
2013-02-13 37.970001 38 37.73 37.73 500 35.535422
2013-02-14 35.52 35.52 35.310001 35.349998 600 33.293855
2013-02-15 38.290001 38.290001 34.75 36.799999 3200 34.659516
2013-02-19 32.68 34.5 32.580002 34.5 3700 32.493297
2013-02-20 35.389999 35.799999 35.389999 35.799999 600 33.717681
2013-02-21 35.259998 35.259998 35.220001 35.220001 400 33.171419
2013-02-22 33.990002 34 33.990002 34 300 32.022379
2013-02-25 33.849998 33.849998 33.799999 33.799999 400 31.834012
2013-02-26 34.25 34.25 34.220001 34.25 700 32.257838
2013-02-27 34.200001 34.580002 34.200001 34.580002 200 32.568645
2013-02-28 34.959999 34.959999 34.209999 34.209999 200 32.220164
2013-03-01 34.209999 34.209999 34.209999 34.209999 0 32.220164
2013-03-04 34.5 34.5 34.380001 34.380001 300 32.380278
2013-03-05 34.52 35 33.560001 33.560001 2300 31.607973
2013-03-06 35 35 35 35 100 32.964214
2013-03-07 34.200001 35 34.200001 34.939999 500 32.907703
2013-03-08 34.939999 34.939999 34.939999 34.939999 0 32.907703
2013-03-11 35.799999 35.799999 34.07 34.110001 300 32.125982
2013-03-12 35.290001 35.459999 35.290001 35.450001 1000 33.38804
2013-03-13 35.450001 35.450001 35.450001 35.450001 0 33.625172
2013-03-14 35.459999 35.5 35.459999 35.5 2800 33.672598
2013-03-15 35.5 35.5 35.5 35.5 0 33.672598
2013-03-18 35.599998 35.599998 35.599998 35.599998 100 33.767449
2013-03-19 35.599998 36.5 35.599998 36.5 400 34.621122
2013-03-20 36.5 36.5 36.5 36.5 0 34.621122
2013-03-21 36.5 36.5 36.5 36.5 0 34.621122
2013-03-22 36.009998 36.25 36.009998 36.25 300 34.383991
2013-03-25 35.599998 35.599998 35.599998 35.599998 100 33.767449
2013-03-26 35.599998 35.599998 35.599998 35.599998 0 33.767449
2013-03-27 38 39 38 39 800 36.992431
2013-03-28 38.75 38.75 38.75 38.75 400 36.7553
2013-04-01 39 39 39 39 200 36.992431
2013-04-02 39 39 39 39 300 36.992431
2013-04-03 39.549999 39.549999 39.02 39.02 400 37.011402
2013-04-04 39.02 39.02 39.02 39.02 0 37.011402
2013-04-05 39.540001 39.84 39.540001 39.84 900 37.789191
2013-04-08 39.84 39.84 39.84 39.84 0 37.789191
2013-04-09 39 40.5 39 40.5 2900 38.415217
2013-04-10 40.25 40.25 40.25 40.25 100 38.178086
2013-04-11 39 39 37.240002 37.799999 2200 35.854202
