"Index" "NG.Open" "NG.High" "NG.Low" "NG.Close" "NG.Volume" "NG.Adjusted"
2013-01-02 4.65 4.84 4.65 4.83 3973000 4.83
2013-01-03 4.82 4.97 4.7 4.73 2683900 4.73
2013-01-04 4.67 4.85 4.64 4.8 2659500 4.8
2013-01-07 4.84 4.93 4.77 4.84 1349200 4.84
2013-01-08 4.87 4.9 4.77 4.85 1897600 4.85
2013-01-09 4.85 4.94 4.82 4.89 1553700 4.89
2013-01-10 4.95 5.03 4.92 4.94 1729500 4.94
2013-01-11 4.96 4.99 4.86 4.9 795700 4.9
2013-01-14 4.93 4.96 4.85 4.85 816200 4.85
2013-01-15 4.89 4.93 4.84 4.85 740100 4.85
2013-01-16 4.86 4.88 4.77 4.8 687600 4.8
2013-01-17 4.8 4.84 4.7 4.7 1091800 4.7
2013-01-18 4.73 4.77 4.65 4.7 1365000 4.7
2013-01-22 4.68 4.76 4.66 4.75 981700 4.75
2013-01-23 4.79 4.87 4.6 4.6 1981000 4.6
2013-01-24 4.59 4.61 4.41 4.43 1477900 4.43
2013-01-25 4.42 4.44 4.25 4.27 2426200 4.27
2013-01-28 4.24 4.27 4.19 4.19 1620700 4.19
2013-01-29 4.21 4.35 4.21 4.25 2076200 4.25
2013-01-30 4.34 4.52 4.31 4.48 2751600 4.48
2013-01-31 4.46 4.5 4.41 4.42 1025000 4.42
2013-02-01 4.48 4.62 4.47 4.55 1915800 4.55
2013-02-04 4.52 4.59 4.48 4.57 1027600 4.57
2013-02-05 4.6 4.6 4.49 4.54 1874200 4.54
2013-02-06 4.54 4.57 4.51 4.54 1999300 4.54
2013-02-07 4.48 4.6 4.44 4.49 946400 4.49
2013-02-08 4.49 4.52 4.42 4.48 822900 4.48
2013-02-11 4.39 4.41 4.33 4.36 1127900 4.36
2013-02-12 4.36 4.45 4.33 4.42 760600 4.42
2013-02-13 4.42 4.45 4.3 4.32 923500 4.32
2013-02-14 4.33 4.41 4.29 4.33 1492800 4.33
2013-02-15 4.26 4.28 4.08 4.17 2555300 4.17
2013-02-19 4.2 4.23 4.11 4.22 2624700 4.22
2013-02-20 4.11 4.14 4 4 2823500 4
2013-02-21 4.03 4.12 3.98 4 2170300 4
2013-02-22 4 4.01 3.92 3.99 1989400 3.99
2013-02-25 4.02 4.06 3.97 4.01 1690300 4.01
2013-02-26 4 4.2 3.98 4.17 2319400 4.17
2013-02-27 4.14 4.15 4.06 4.07 982200 4.07
2013-02-28 4.05 4.06 3.95 3.99 1519400 3.99
2013-03-01 3.96 4.09 3.9 3.91 1935600 3.91
2013-03-04 3.92 4 3.85 3.87 1554900 3.87
2013-03-05 3.91 3.95 3.85 3.9 1473600 3.9
2013-03-06 3.88 3.98 3.85 3.97 2466800 3.97
2013-03-07 3.98 4.01 3.88 3.91 1564800 3.91
2013-03-08 3.9 3.95 3.85 3.9 1812600 3.9
2013-03-11 3.93 3.95 3.89 3.9 957900 3.9
2013-03-12 3.96 4.14 3.91 4.07 2372100 4.07
2013-03-13 4.11 4.12 3.94 3.94 1892000 3.94
2013-03-14 3.96 4.05 3.86 3.95 3426100 3.95
2013-03-15 3.98 4.05 3.96 4 2724000 4
2013-03-18 4.09 4.12 4.01 4.01 1494200 4.01
2013-03-19 4.03 4.04 3.93 3.94 2729400 3.94
2013-03-20 3.96 3.96 3.88 3.9 878500 3.9
2013-03-21 3.98 4.06 3.92 4.05 1241200 4.05
2013-03-22 4.04 4.04 3.95 3.95 1227200 3.95
2013-03-25 3.98 3.98 3.89 3.94 854200 3.94
2013-03-26 3.93 3.94 3.89 3.9 850400 3.9
2013-03-27 3.88 3.93 3.8 3.84 2084300 3.84
2013-03-28 3.8 3.82 3.59 3.63 5572700 3.63
2013-04-01 3.65 3.68 3.59 3.63 1843900 3.63
2013-04-02 3.59 3.65 3.5 3.5 1751900 3.5
2013-04-03 3.52 3.52 3.24 3.24 4358600 3.24
2013-04-04 3.26 3.41 3.17 3.37 4067000 3.37
2013-04-05 3.4 3.46 3.33 3.38 2259300 3.38
2013-04-08 3.34 3.38 3.26 3.26 1887200 3.26
2013-04-09 3.27 3.43 3.25 3.34 3047100 3.34
2013-04-10 3.33 3.43 3.08 3.1 3966500 3.1
2013-04-11 3.11 3.16 3.01 3.01 3324800 3.01
2013-04-12 2.97 3.01 2.56 2.62 9330600 2.62
2013-04-15 2.42 2.65 2.38 2.64 8982800 2.64
2013-04-16 2.84 2.84 2.38 2.47 8466900 2.47
2013-04-17 2.49 2.51 2.27 2.28 6515600 2.28
2013-04-18 2.34 2.38 2.22 2.35 5181300 2.35
2013-04-19 2.44 2.47 2.31 2.37 3565200 2.37
2013-04-22 2.42 2.48 2.32 2.44 4076900 2.44
