"Index" "NI.Open" "NI.High" "NI.Low" "NI.Close" "NI.Volume" "NI.Adjusted"
2013-01-02 25.13 25.32 24.99 25.25 6644700 9.081127
2013-01-03 25.26 25.39 25.160001 25.219999 6984200 9.070337
2013-01-04 25.26 25.420002 25.25 25.4 4133600 9.135074
2013-01-07 25.280002 25.300001 25.040003 25.150001 5818400 9.045162
2013-01-08 25.06 25.100001 24.850002 24.950001 7600600 8.973232
2013-01-09 25.020001 25.200002 24.9 25.190002 6993200 9.059548
2013-01-10 25.270002 25.559999 25.25 25.500001 8371000 9.171039
2013-01-11 25.48 25.790001 25.46 25.76 6397900 9.264547
2013-01-14 25.75 26.000001 25.68 25.880001 10282800 9.307705
2013-01-15 25.810001 25.930001 25.639999 25.9 7601900 9.314898
2013-01-16 25.840002 25.97 25.800001 25.880001 5480900 9.307705
2013-01-17 25.97 26.17 25.9 26.03 5772100 9.361652
2013-01-18 25.97 26.25 25.91 26.24 3596800 9.437179
2013-01-22 26.17 26.549999 26.110002 26.540002 4129500 9.545074
2013-01-23 26.510001 26.549999 26.370001 26.52 2991600 9.53788
2013-01-24 26.570001 26.75 26.479999 26.500001 5576100 9.530688
2013-01-25 26.500001 26.660001 26.270002 26.660001 4960200 9.588231
2013-01-28 26.67 26.88 26.52 26.760002 3072300 9.624196
2013-01-29 26.790001 27.31 26.700002 27.270001 6518000 9.807617
2013-01-30 27.220001 27.290001 27.1 27.1 5751200 9.746476
2013-01-31 26.96 27.049999 26.800001 27.030002 4388900 9.808161
2013-02-01 27.080001 27.190002 27.060001 27.190002 3783400 9.866219
2013-02-04 27.09 27.16 26.870001 26.89 4312000 9.75736
2013-02-05 27.060001 27.17 26.920001 26.920001 3691000 9.768246
2013-02-06 26.850001 26.9 26.680002 26.83 14025000 9.735588
2013-02-07 26.88 27.02 26.770002 26.910002 4629600 9.764618
2013-02-08 26.930001 26.930001 26.700002 26.920001 3235200 9.768246
2013-02-11 26.930001 27.02 26.88 26.940001 2659500 9.775503
2013-02-12 26.910002 27.049999 26.81 27.030002 3268500 9.808161
2013-02-13 27.010001 27.190002 27.010001 27.180002 2344200 9.862591
2013-02-14 27.070001 27.200001 26.870001 26.910002 4715900 9.764618
2013-02-15 26.860001 26.950003 26.709999 26.780001 7999200 9.717445
2013-02-19 26.930001 27.399999 26.81 27.260002 9693900 9.891619
2013-02-20 27.270001 27.370003 26.979999 27.040002 6144600 9.81179
2013-02-21 26.940001 27.070001 26.870001 26.97 3623600 9.786389
2013-02-22 27.000001 27.25 26.950003 27.200001 3376500 9.869848
2013-02-25 27.280001 27.44 26.88 26.9 4764500 9.760988
2013-02-26 27.010001 27.180002 26.83 27.150001 6075700 9.851704
2013-02-27 27.180002 27.469999 27.080001 27.420001 9514000 9.949677
2013-02-28 27.44 27.780001 27.44 27.700001 8687100 10.051278
2013-03-01 27.66 27.96 27.51 27.930001 5158200 10.134737
2013-03-04 27.830002 28.270001 27.830002 28.170002 4550000 10.221824
2013-03-05 28.280001 28.350001 28.200001 28.319999 3766300 10.276252
2013-03-06 28.38 28.450002 28.120001 28.24 3801000 10.247223
2013-03-07 28.250002 28.319999 28.01 28.030002 3508000 10.171023
2013-03-08 28.100002 28.340001 28.040002 28.290003 7429600 10.265368
2013-03-11 28.250002 28.58 28.250002 28.540002 3199100 10.356083
2013-03-12 28.540002 28.540002 28.260001 28.350001 2954000 10.287139
2013-03-13 28.350001 28.440003 28.280001 28.420001 2522100 10.312539
2013-03-14 28.420001 28.500001 28.3 28.350001 3546500 10.287139
2013-03-15 28.389999 28.820002 28.280001 28.280001 8681000 10.261738
2013-03-18 28.09 28.31 27.96 28.100002 7434200 10.196424
2013-03-19 28.210001 28.38 28.140001 28.330001 4416100 10.279882
2013-03-20 28.459999 28.640001 28.410001 28.58 3285800 10.370597
2013-03-21 28.520002 28.710001 28.420001 28.51 3679300 10.345196
2013-03-22 28.530002 28.58 28.049999 28.389999 6411600 10.301653
2013-03-25 28.459999 28.610002 28.260001 28.38 3612900 10.298024
2013-03-26 28.459999 28.710001 28.400002 28.630001 4646700 10.38874
2013-03-27 28.58 28.850001 28.500001 28.770001 5435900 10.439541
2013-03-28 28.640001 29.379999 28.610002 29.340001 9483700 10.646372
2013-04-01 29.21 29.330001 29.050001 29.170002 5021000 10.584686
2013-04-02 29.240002 29.370002 29.120001 29.28 5106000 10.6246
2013-04-03 29.309999 29.410001 29.190001 29.28 6251500 10.6246
2013-04-04 29.3 29.620001 29.28 29.620001 4185000 10.747973
2013-04-05 29.410001 29.910001 29.400001 29.870002 5272200 10.838689
2013-04-08 29.85 30.190001 29.85 30.180001 3748000 10.951176
2013-04-09 30.229999 30.370002 29.99 30.170001 4899900 10.947548
2013-04-10 30.250001 30.660002 30.200003 30.660002 6716300 11.12535
2013-04-11 30.72 30.780002 30.400001 30.540001 5063000 11.081807
2013-04-12 30.5 30.65 30.470001 30.63 2794700 11.114464
2013-04-15 30.470001 30.600001 30.020002 30.020002 5920700 10.893119
2013-04-16 30.15 30.520002 29.820001 30.510002 3566100 11.070921
2013-04-17 30.400001 30.49 30.07 30.450002 5310100 11.049149
2013-04-18 30.530001 30.690001 30.370002 30.670001 4749500 11.128979
2013-04-19 30.799999 31.100001 30.670001 31.090001 3069800 11.281381
2013-04-22 31.090001 31.200003 30.810001 31.040001 1884300 11.263237
2013-04-23 31.13 31.170001 30.77 31.06 5232000 11.270494
2013-04-24 31.14 31.390001 31.030001 31.14 6749100 11.299523
2013-04-25 31.240001 31.370002 31.100001 31.170001 5971300 11.31041
2013-04-26 30.890001 31.21 30.760001 30.820001 5700500 11.270183
2013-04-29 30.860002 31.230002 30.860002 31.149999 3309800 11.390856
2013-04-30 30.850002 30.970001 30.480001 30.729999 7684600 11.237271
2013-05-01 30.760001 30.99 30.520002 30.610001 6064700 11.193391
2013-05-02 30.65 30.77 30.440002 30.57 4023100 11.178763
2013-05-03 30.72 30.850002 30.430002 30.530001 6154100 11.164136
