"Index" "NJ.Open" "NJ.High" "NJ.Low" "NJ.Close" "NJ.Volume" "NJ.Adjusted"
2013-01-02 14.75 14.88 14.66 14.81 62600 7.405
2013-01-03 14.72 14.97 14.66 14.82 249100 7.41
2013-01-04 14.9 14.97 14.85 14.88 111600 7.44
2013-01-07 15.22 15.52 15.22 15.51 176900 7.755
2013-01-08 15.34 15.34 15.01 15.02 48900 7.51
2013-01-09 15.24 15.32 15.23 15.29 35600 7.645
2013-01-10 15.36 15.36 15.27 15.31 25800 7.655
2013-01-11 15.07 15.07 14.95 14.97 30000 7.485
2013-01-14 15.06 15.22 15 15.07 31900 7.535
2013-01-15 15 15.02 14.72 14.77 48100 7.385
2013-01-16 14.67 14.81 14.65 14.78 45700 7.39
2013-01-17 14.73 14.73 14.59 14.69 49600 7.345
2013-01-18 14.83 14.9 14.72 14.84 33600 7.42
2013-01-22 14.81 14.88 14.71 14.84 50500 7.42
2013-01-23 14.89 15.06 14.86 15.04 58800 7.52
2013-01-24 13.72 14.1 13.4 14.06 225800 7.03
2013-01-25 14.31 14.39 14.24 14.37 122000 7.185
2013-01-28 14.1 14.12 13.7 13.71 95100 6.855
2013-01-29 13.87 13.89 13.79 13.86 35300 6.93
2013-01-30 14.21 14.23 14.11 14.15 41200 7.075
2013-01-31 14.39 14.42 14.28 14.28 47100 7.14
2013-02-01 14.14 14.14 14.03 14.1 38300 7.05
2013-02-04 13.87 13.94 13.77 13.85 46100 6.925
2013-02-05 13.91 13.93 13.85 13.88 153000 6.94
2013-02-06 13.66 13.75 13.61 13.65 36500 6.825
2013-02-07 13.99 14.1 13.92 14.06 28700 7.03
2013-02-08 14.04 14.15 14.04 14.08 14700 7.04
2013-02-11 14.18 14.18 14 14.1 79900 7.05
2013-02-12 13.93 14.04 13.91 13.93 21100 6.965
2013-02-13 14.14 14.14 14.02 14.03 31100 7.015
2013-02-14 14.07 14.2 14.07 14.1 24000 7.05
2013-02-15 14.13 14.18 14.1 14.13 21400 7.065
2013-02-19 14.06 14.08 13.96 14.08 26700 7.04
2013-02-20 14.05 14.05 13.93 14 22400 7
2013-02-21 13.95 14.04 13.91 14.04 94600 7.02
2013-02-22 14.93 14.98 14.81 14.92 87500 7.46
2013-02-25 15.07 15.13 14.84 14.98 70600 7.49
2013-02-26 14.89 14.89 14.71 14.78 60900 7.39
2013-02-27 14.53 14.67 14.52 14.67 45400 7.335
2013-02-28 14.64 14.73 14.62 14.68 36700 7.34
2013-03-01 14.68 14.68 14.51 14.51 33300 7.255
2013-03-04 14.5 14.51 14.16 14.51 33100 7.255
2013-03-05 14.55 14.59 14.5 14.59 18500 7.295
2013-03-06 14.55 14.55 14.4 14.46 20500 7.23
2013-03-07 14.43 14.45 14.32 14.32 32000 7.16
2013-03-08 14.1 14.2 14.1 14.16 38100 7.08
2013-03-11 14.61 14.88 14.58 14.88 148900 7.44
2013-03-12 14.98 15.07 14.95 15.07 88300 7.535
2013-03-13 14.9 15.01 14.87 14.94 57400 7.47
2013-03-14 14.52 14.73 14.52 14.72 65600 7.36
2013-03-15 14.72 14.85 14.71 14.85 132500 7.425
2013-03-18 14.63 14.71 14.56 14.6 20700 7.3
2013-03-19 14.64 14.65 14.52 14.61 19000 7.305
2013-03-20 14.67 14.9 14.6 14.79 257100 7.395
2013-03-21 14.83 15.02 14.83 14.89 120300 7.445
2013-03-22 14.77 14.84 14.75 14.8 56700 7.4
2013-03-25 14.86 14.87 14.78 14.83 67700 7.415
2013-03-26 14.78 14.78 14.6 14.61 44000 7.305
2013-03-27 15 15.03 14.9 14.98 27300 7.49
2013-03-28 14.9 15 14.89 15 14100 7.5
2013-04-01 14.65 14.72 14.5 14.58 23800 7.29
2013-04-02 14.39 14.39 14.3 14.35 24100 7.175
2013-04-03 14.49 14.54 14.38 14.42 16600 7.21
2013-04-04 14.73 14.78 14.6 14.73 68600 7.365
2013-04-05 14.04 14.04 13.86 13.95 37600 6.975
2013-04-08 13.59 13.62 13.47 13.56 27800 6.78
2013-04-09 13.42 13.81 13.42 13.79 107500 6.895
2013-04-10 14.62 14.99 14.59 14.99 846800 7.495
2013-04-11 14.93 15.23 14.9 15.23 447000 7.615
