"Index" "NL.Open" "NL.High" "NL.Low" "NL.Close" "NL.Volume" "NL.Adjusted"
2013-01-02 11.7 12.2 11.59 12.16 39500 11.649939
2013-01-03 12.21 12.28 12.06 12.21 41700 11.697842
2013-01-04 12.22 12.35 12.04 12.29 15600 11.774486
2013-01-07 12.1 12.46 12.1 12.38 30900 11.860711
2013-01-08 12.43 12.5 12.28 12.38 34900 11.860711
2013-01-09 12.36 12.7 12.36 12.45 32000 11.927774
2013-01-10 12.48 12.59 12.36 12.53 22200 12.004419
2013-01-11 12.56 12.56 12.45 12.52 5700 11.994839
2013-01-14 12.5 12.65 12.45 12.62 9300 12.090644
2013-01-15 12.63 12.66 12.39 12.42 27000 11.899033
2013-01-16 12.39 12.43 12.29 12.29 16100 11.774486
2013-01-17 12.35 12.48 12.35 12.44 9400 11.918194
2013-01-18 12.42 12.76 12.42 12.73 12200 12.196029
2013-01-22 12.75 13.09 12.75 13.08 12100 12.531349
2013-01-23 13.26 13.36 13.11 13.21 20200 12.655896
2013-01-24 13.19 13.19 12.77 13 14000 12.454704
2013-01-25 13 13.05 12.86 12.9 30000 12.358899
2013-01-28 12.95 13.09 12.91 13.03 32600 12.483446
2013-01-29 13.03 13.16 13.01 13.15 21900 12.598412
2013-01-30 13.1 13.1 12.95 12.99 66600 12.445124
2013-01-31 13.02 13.02 12.82 12.94 10800 12.397221
2013-02-01 12.99 12.99 12.81 12.85 18500 12.310997
2013-02-04 12.81 12.92 12.75 12.79 12000 12.253513
2013-02-05 12.83 12.93 12.78 12.9 8200 12.358899
2013-02-06 12.81 12.9 12.75 12.86 6800 12.320576
2013-02-07 12.81 12.9 12.62 12.83 7000 12.291835
2013-02-08 12.87 13.3 12.87 13.24 7700 12.684637
2013-02-11 13.2 13.36 13.17 13.35 7300 12.790024
2013-02-12 13.39 13.4 13.22 13.34 63300 12.780443
2013-02-13 13.39 13.49 13.36 13.48 11800 12.91457
2013-02-14 13.47 13.49 13.37 13.37 6800 12.809184
2013-02-15 13.42 13.42 13.24 13.3 18700 12.742121
2013-02-19 13.39 13.56 13.35 13.52 6800 12.952893
2013-02-20 13.5 13.59 13.2 13.2 22200 12.646315
2013-02-21 13.28 13.28 13 13.03 11900 12.483446
2013-02-22 13.08 13.39 13.08 13.39 7600 12.828346
2013-02-25 13.42 13.42 12.71 12.73 12600 12.196029
2013-02-26 12.78 13.07 12.72 12.93 4000 12.387641
2013-02-27 12.96 12.96 12.8 12.83 4900 12.291835
2013-02-28 12.83 12.92 12.78 12.8 6400 12.263094
2013-03-01 12.75 12.86 12.74 12.81 7200 12.272675
2013-03-04 12.82 12.86 12.71 12.77 3100 12.234352
2013-03-05 12.8 12.97 12.8 12.88 6100 12.339738
2013-03-06 12.99 12.99 12.81 12.94 8800 12.397221
2013-03-07 12.84 12.93 12.82 12.89 5200 12.469777
2013-03-08 13.01 13.01 12.79 12.83 61200 12.411732
2013-03-11 12.75 12.98 12.69 12.89 9900 12.469777
2013-03-12 12.9 12.95 12.81 12.9 9000 12.47945
2013-03-13 12.9 12.91 12.86 12.91 1400 12.489124
2013-03-14 12.9 12.96 12.83 12.9 9000 12.47945
2013-03-15 12.95 12.95 12.77 12.82 18600 12.402058
2013-03-18 12.75 12.8 12.59 12.71 5400 12.295644
2013-03-19 12.68 12.7 12.32 12.51 21700 12.102165
2013-03-20 12.64 12.77 12.45 12.77 6600 12.353689
2013-03-21 12.62 12.62 12.47 12.58 3800 12.169882
2013-03-22 12.64 12.72 12.51 12.6 5800 12.189231
2013-03-25 12.6 12.68 12.42 12.59 5600 12.179557
2013-03-26 12.62 12.65 12.42 12.59 9000 12.179557
2013-03-27 12.53 12.53 12.32 12.41 3800 12.005424
2013-03-28 12.44 12.54 12.32 12.43 15000 12.024773
2013-04-01 12.44 12.45 12.09 12.16 19700 11.763575
2013-04-02 12.29 12.29 11.77 11.9 26300 11.512051
2013-04-03 11.96 11.96 11.72 11.72 13100 11.337919
2013-04-04 11.76 11.77 11.52 11.52 25500 11.14444
2013-04-05 11.32 11.49 11.22 11.26 17800 10.892916
2013-04-08 11.26 11.37 11.17 11.33 14000 10.960633
2013-04-09 11.31 11.46 11.27 11.32 11100 10.950959
2013-04-10 11.38 12.13 11.38 12.05 17000 11.657161
2013-04-11 12.19 12.75 12.13 12.64 11200 12.227927
2013-04-12 12.64 12.71 12.37 12.51 10700 12.102165
2013-04-15 12.45 12.45 11.12 11.16 28000 10.796175
2013-04-16 11.19 11.62 11.19 11.25 25000 10.883241
2013-04-17 11.18 11.28 11 11.01 24700 10.651066
2013-04-18 11.11 11.15 10.66 10.66 20800 10.312476
2013-04-19 10.67 11.43 10.48 10.48 69400 10.138344
2013-04-22 10.6 10.81 10.24 10.4 68800 10.060952
2013-04-23 10.52 11.01 10.52 10.97 9600 10.61237
2013-04-24 10.94 11.48 10.94 11.42 15100 11.047699
2013-04-25 11.39 11.6 11.36 11.49 7800 11.115417
2013-04-26 11.5 11.55 11.16 11.19 12700 10.825197
2013-04-29 11.18 11.36 11.17 11.27 9400 10.90259
2013-04-30 11.2 11.34 11.05 11.27 12900 10.90259
2013-05-01 11.2 11.21 10.56 10.64 32100 10.293128
2013-05-02 10.7 10.96 10.6 10.82 15700 10.467259
2013-05-03 11.02 11.49 11.01 11.41 18000 11.038025
2013-05-06 11.41 11.61 11.22 11.36 10200 10.989655
2013-05-07 11.32 11.59 11.32 11.57 8100 11.192809
2013-05-08 11.57 11.92 11.57 11.81 12600 11.424985
2013-05-09 11.76 11.78 11.48 11.52 6700 11.14444
2013-05-10 11.55 11.58 11.4 11.54 5300 11.163787
2013-05-13 11.49 11.86 11.48 11.72 15600 11.337919
2013-05-14 11.79 11.88 11.71 11.88 8000 11.492703
2013-05-15 11.82 11.9 11.61 11.88 11300 11.492703
2013-05-16 11.71 11.82 11.68 11.8 16900 11.415311
2013-05-17 11.84 11.91 11.75 11.86 9200 11.473355
2013-05-20 11.8 12.35 11.6 11.83 50200 11.444333
2013-05-21 11.88 11.97 11.73 11.78 5400 11.395963
2013-05-22 11.75 11.9 11.59 11.61 15900 11.231505
2013-05-23 11.49 11.69 11.48 11.65 5800 11.270201
2013-05-24 11.67 11.72 11.53 11.71 4900 11.328245
2013-05-28 11.86 12.03 11.74 11.97 20400 11.579769
2013-05-29 11.98 11.98 11.85 11.86 8500 11.473355
2013-05-30 11.87 11.96 11.72 11.86 7400 11.473355
2013-05-31 11.74 11.9 11.59 11.68 13600 11.299223
2013-06-03 11.86 11.97 11.35 11.85 25100 11.463681
2013-06-04 11.89 11.95 11.66 11.75 15100 11.366941
2013-06-05 11.75 11.76 11.52 11.53 10900 11.154113
2013-06-06 11.44 11.53 11.29 11.37 11200 11.119883
2013-06-07 11.37 11.42 11.29 11.36 7400 11.110103
2013-06-10 11.37 11.45 11.19 11.26 4700 11.012303
2013-06-11 11.05 11.18 11.05 11.18 2600 10.934063
2013-06-12 11.22 11.22 10.98 11.02 7100 10.777583
2013-06-13 11.04 11.26 11.01 11.23 5800 10.982962
2013-06-14 11.25 11.25 10.97 11.08 6100 10.836262
2013-06-17 11.21 11.3 10.96 11.19 9800 10.943842
2013-06-18 11.18 11.42 11.18 11.4 8600 11.149223
2013-06-19 11.33 11.34 11.19 11.25 6400 11.002523
2013-06-20 11.07 11.11 10.73 10.99 36800 10.748242
2013-06-21 11.05 11.13 10.84 11.13 24100 10.885163
2013-06-24 11 11 10.58 10.64 15700 10.405942
2013-06-25 10.85 11.08 10.66 11.05 16200 10.806922
2013-06-26 11.17 11.21 10.75 10.88 12000 10.640662
2013-06-27 10.97 11.5 10.97 11.22 37700 10.973183
2013-06-28 11.19 11.3 10.94 11.3 49200 11.051423
2013-07-01 11.36 11.48 11.29 11.34 20400 11.090543
2013-07-02 11.43 11.43 11.01 11.01 17900 10.767802
2013-07-03 10.95 10.95 10.78 10.82 4300 10.581981
2013-07-05 11.06 11.06 10.87 10.93 6400 10.689562
2013-07-08 10.94 10.95 10.78 10.8 8400 10.562422
2013-07-09 10.93 10.93 10.75 10.8 11100 10.562422
2013-07-10 10.76 10.81 10.69 10.69 11900 10.454841
2013-07-11 10.8 10.8 10.65 10.71 13000 10.474402
2013-07-12 10.67 10.7 10.5 10.61 29100 10.376601
2013-07-15 10.65 10.66 10.54 10.6 16800 10.366822
2013-07-16 10.66 10.66 10.35 10.57 15400 10.337481
2013-07-17 10.66 10.87 10.47 10.87 26300 10.630882
2013-07-18 10.95 10.96 10.73 10.86 11800 10.621102
2013-07-19 10.85 10.99 10.71 10.96 18000 10.718902
2013-07-22 10.91 11.07 10.89 11.07 11000 10.826482
2013-07-23 11.09 11.09 10.92 11.06 11500 10.816703
2013-07-24 11.11 11.11 10.76 10.92 10300 10.679782
2013-07-25 10.82 11.11 10.75 11.1 11800 10.855823
2013-07-26 10.99 11.1 10.81 11.01 14600 10.767802
2013-07-29 10.97 11.5 10.79 11.31 38400 11.061203
2013-07-30 11.41 11.41 10.82 11.13 20200 10.885163
2013-07-31 11.09 11.29 10.89 11.09 16000 10.846042
2013-08-01 11.31 11.42 11.21 11.38 10900 11.129663
2013-08-02 11.39 11.47 11.21 11.36 9900 11.110103
2013-08-05 11.31 11.49 11.01 11.33 8300 11.080763
2013-08-06 11.25 11.49 11.15 11.39 8900 11.139443
2013-08-07 11.41 11.44 11.36 11.37 5100 11.119883
2013-08-08 11.42 11.42 10.95 11.09 16900 10.846042
2013-08-09 11.08 11.1 10.68 10.71 22900 10.474402
2013-08-12 10.71 11.04 10.7 11.04 13000 10.797142
2013-08-13 10.95 11.21 10.93 11.21 7200 10.963403
2013-08-14 11.12 11.12 11.02 11.08 2200 10.836262
2013-08-15 11 11.06 10.76 10.76 15500 10.523302
2013-08-16 10.74 11 10.68 10.91 18500 10.670002
2013-08-19 10.98 11.19 10.92 10.97 8500 10.728682
2013-08-20 10.95 11.39 10.94 11.26 10700 11.012303
2013-08-21 11.19 11.39 11.02 11.23 11200 10.982962
2013-08-22 11.14 11.43 11.14 11.42 3800 11.168783
2013-08-23 11.42 11.46 11.38 11.46 2800 11.207903
2013-08-26 11.44 11.5 11.36 11.43 2300 11.178563
2013-08-27 11.24 11.3 10.97 11 11000 10.758022
2013-08-28 11.01 11.11 11 11.03 8500 10.787362
2013-08-29 11.05 11.2 11.05 11.18 4800 10.934063
2013-08-30 11.2 11.2 10.9 10.93 17500 10.689562
2013-09-03 10.87 10.87 10.52 10.74 9800 10.625256
2013-09-04 10.72 10.92 10.66 10.88 8800 10.763761
2013-09-05 10.83 10.91 10.81 10.89 7400 10.773654
2013-09-06 10.9 10.9 10.73 10.75 8700 10.635149
2013-09-09 10.75 10.93 10.69 10.91 12500 10.79344
2013-09-10 10.95 11.02 10.85 11.02 8000 10.902265
2013-09-11 10.98 11.02 10.74 10.78 9100 10.664829
2013-09-12 10.75 10.78 10.59 10.65 10600 10.536217
2013-09-13 10.73 10.8 10.65 10.8 9200 10.684615
2013-09-16 10.88 10.88 10.73 10.78 12600 10.664829
2013-09-17 10.72 10.77 10.66 10.73 19100 10.615363
2013-09-18 10.77 10.99 10.73 10.83 22000 10.714295
2013-09-19 10.79 11.03 10.79 10.99 11400 10.872585
2013-09-20 11.07 11.42 11 11.42 45100 11.297991
2013-09-23 11.5 11.88 11.41 11.88 23300 11.753077
2013-09-24 11.86 12.27 11.77 11.89 24300 11.76297
2013-09-25 11.95 11.95 11.44 11.52 16900 11.396923
2013-09-26 11.59 11.59 11.28 11.38 8700 11.258419
2013-09-27 11.32 11.32 11.06 11.07 16400 10.95173
2013-09-30 11.17 11.37 11.14 11.35 16800 11.22874
2013-10-01 11.38 11.74 11.38 11.67 15000 11.54532
2013-10-02 11.5 11.56 11.26 11.3 9600 11.179274
2013-10-03 11.18 11.18 10.89 10.95 8000 10.833012
2013-10-04 10.91 11.15 10.91 11.12 7800 11.001196
2013-10-07 10.99 11.2 10.99 11.06 6200 10.941838
2013-10-08 10.97 11.08 10.95 10.96 5700 10.842906
2013-10-09 10.95 10.95 10.77 10.81 16100 10.694509
2013-10-10 10.98 11.21 10.94 11.21 7600 11.090235
2013-10-11 11.17 11.28 10.98 11.27 7400 11.149594
2013-10-14 11.18 11.35 11.09 11.33 3300 11.208953
2013-10-15 11.19 11.23 10.94 11.16 16500 11.040769
2013-10-16 11.23 11.28 11.09 11.16 9400 11.040769
2013-10-17 11.06 11.27 10.96 11.22 10700 11.100128
2013-10-18 11.35 11.55 11.19 11.45 27300 11.327671
2013-10-21 11.43 11.64 11.43 11.54 4600 11.416709
2013-10-22 11.58 11.73 11.41 11.69 20100 11.565106
2013-10-23 11.63 11.7 11.53 11.66 19400 11.535427
2013-10-24 11.65 11.66 11.46 11.54 15700 11.416709
2013-10-25 11.59 11.59 11.14 11.29 14000 11.16938
2013-10-28 11.26 11.67 11.13 11.65 6600 11.525534
2013-10-29 11.7 11.8 11.59 11.74 18500 11.614572
2013-10-30 11.77 11.8 11.65 11.66 11800 11.535427
2013-10-31 11.78 11.8 11.56 11.66 21100 11.535427
2013-11-01 11.63 11.68 11.31 11.4 18700 11.278205
2013-11-04 11.49 11.56 11.11 11.32 14500 11.199059
2013-11-05 11.28 11.32 11 11.32 12100 11.199059
2013-11-06 11.33 11.33 11.15 11.24 6000 11.119914
2013-11-07 11.29 11.31 10.81 10.97 45100 10.852799
2013-11-08 10.96 11.28 10.96 11.23 3500 11.110021
2013-11-11 11.12 11.21 10.88 11.01 29100 10.892372
2013-11-12 10.94 11.11 10.9 11.06 7200 10.941838
2013-11-13 10.94 11.13 10.87 11.12 16100 11.001196
2013-11-14 11.09 11.19 10.96 11.12 7200 11.001196
2013-11-15 11.1 11.43 11 11.39 20500 11.268312
2013-11-18 11.49 11.49 11.31 11.37 6700 11.248525
2013-11-19 11.3 11.39 11.07 11.27 23400 11.149594
2013-11-20 11.37 11.49 11.2 11.25 9100 11.129808
2013-11-21 11.28 11.48 11.24 11.43 18500 11.307885
2013-11-22 11.47 11.55 11.19 11.38 30900 11.258419
2013-11-25 11.47 11.47 11.14 11.16 14900 11.040769
2013-11-26 11.15 11.37 11.06 11.32 25900 11.199059
2013-11-27 11.38 11.52 11.07 11.5 13900 11.377137
2013-11-29 11.55 11.68 11.51 11.67 8900 11.54532
2013-12-02 11.6 11.9 11.54 11.7 36100 11.575
2013-12-03 11.59 11.86 11.2 11.59 25200 11.59
2013-12-04 11.69 11.87 11.35 11.59 16200 11.59
2013-12-05 11.54 11.57 11.26 11.33 8100 11.33
2013-12-06 11.48 11.73 11.39 11.71 15300 11.71
2013-12-09 11.76 11.76 11.49 11.66 14300 11.66
2013-12-10 11.65 11.69 11.06 11.1 28500 11.1
2013-12-11 11.1 11.45 11.1 11.39 22100 11.39
2013-12-12 11.34 11.34 10.42 10.53 1e+05 10.53
2013-12-13 10.53 10.66 10.37 10.47 22100 10.47
2013-12-16 10.48 10.75 10.48 10.66 13900 10.66
2013-12-17 10.34 10.44 9.99 10.17 58400 10.17
2013-12-18 10.21 10.48 10.2 10.36 29400 10.36
2013-12-19 10.37 10.37 10.12 10.16 18200 10.16
2013-12-20 10.17 10.49 10.01 10.2 88100 10.2
2013-12-23 10.21 10.33 9.96 10.18 36900 10.18
2013-12-24 10.11 10.35 10.11 10.31 11100 10.31
2013-12-26 10.35 10.35 10.09 10.22 27800 10.22
2013-12-27 10.32 10.32 10.1 10.1 14500 10.1
2013-12-30 10.38 11.12 10.38 11.02 90800 11.02
2013-12-31 11.08 11.29 10.86 11.18 99500 11.18
2014-01-02 11.18 11.65 11.16 11.64 72500 11.64
2014-01-03 11.62 11.66 11.5 11.64 54600 11.64
2014-01-06 11.78 12.54 11.61 11.76 137700 11.76
2014-01-07 11.76 11.8 11.65 11.73 18000 11.73
2014-01-08 11.66 11.75 11.27 11.5 35200 11.5
2014-01-09 11.57 11.62 11.46 11.56 14200 11.56
2014-01-10 11.59 11.59 11.45 11.46 32300 11.46
2014-01-13 11.46 11.46 11.12 11.22 20500 11.22
2014-01-14 11.2 11.48 11.2 11.38 14200 11.38
2014-01-15 11.35 11.55 11.35 11.46 11700 11.46
2014-01-16 11.39 11.53 11.34 11.43 22100 11.43
2014-01-17 11.42 11.56 11.31 11.46 24400 11.46
2014-01-21 11.48 11.55 11.18 11.3 56000 11.3
2014-01-22 11.25 11.36 11.1 11.29 44800 11.29
2014-01-23 11.3 11.43 10.92 11.28 36000 11.28
2014-01-24 11.15 11.15 10.91 11.05 28700 11.05
2014-01-27 10.99 11.3 10.9 11.16 20600 11.16
2014-01-28 11.21 11.21 10.99 11.09 23800 11.09
2014-01-29 10.95 11.09 10.95 10.99 15700 10.99
2014-01-30 10.97 11.34 10.96 11.15 19200 11.15
2014-01-31 10.97 11.28 10.97 11.04 16000 11.04
2014-02-03 10.95 10.97 10.1 10.19 47200 10.19
2014-02-04 10.2 10.55 10.2 10.24 25300 10.24
2014-02-05 10.23 10.3 10.15 10.26 30700 10.26
2014-02-06 10.26 10.7 10.26 10.65 33300 10.65
2014-02-07 10.63 10.71 10.47 10.52 14200 10.52
2014-02-10 10.53 10.77 10.03 10.71 61800 10.71
2014-02-11 10.67 11.09 10.6 10.98 24100 10.98
2014-02-12 11.06 11.06 10.76 10.9 15300 10.9
2014-02-13 10.84 11.3 10.77 11.07 32500 11.07
2014-02-14 11.08 11.37 11.05 11.32 21300 11.32
2014-02-18 11.37 11.49 11.16 11.39 25100 11.39
2014-02-19 11.36 11.56 11.35 11.41 33900 11.41
2014-02-20 11.29 11.51 11.29 11.39 9700 11.39
2014-02-21 11.45 11.5 11.31 11.35 19300 11.35
