"Index" "NLS.Open" "NLS.High" "NLS.Low" "NLS.Close" "NLS.Volume" "NLS.Adjusted"
2013-01-02 3.65 3.75 3.48 3.73 222500 3.73
2013-01-03 3.69 3.82 3.61 3.77 145600 3.77
2013-01-04 3.8 3.85 3.76 3.85 91600 3.85
2013-01-07 3.86 3.95 3.83 3.91 133700 3.91
2013-01-08 3.95 3.99 3.8 3.82 100700 3.82
2013-01-09 3.87 3.89 3.82 3.85 99700 3.85
2013-01-10 3.84 4.18 3.78 3.93 328700 3.93
2013-01-11 3.98 3.98 3.85 3.92 90800 3.92
2013-01-14 3.94 4.15 3.89 4.1 199700 4.1
2013-01-15 4.1 4.33 4.05 4.2 345700 4.2
2013-01-16 4.2 4.3 4.13 4.2 166400 4.2
2013-01-17 4.65 4.86 4.5 4.61 850800 4.61
2013-01-18 4.65 4.98 4.65 4.95 494000 4.95
2013-01-22 5.02 5.24 5 5.22 706700 5.22
2013-01-23 5.28 5.43 5.16 5.27 493700 5.27
2013-01-24 5.32 5.35 4.76 5.08 676400 5.08
2013-01-25 5.03 5.29 4.86 5.28 542600 5.28
2013-01-28 5.38 5.5 5.28 5.43 705100 5.43
2013-01-29 5.39 5.49 5.29 5.42 360800 5.42
2013-01-30 5.48 5.49 5.3 5.38 405100 5.38
2013-01-31 5.4 5.41 5.25 5.41 237700 5.41
2013-02-01 5.43 5.56 5.3 5.54 403100 5.54
2013-02-04 5.54 5.6 5.33 5.38 384100 5.38
2013-02-05 5.41 5.64 5.25 5.64 678000 5.64
2013-02-06 5.62 5.85 5.45 5.81 470700 5.81
2013-02-07 5.85 6.08 5.76 6.06 683600 6.06
2013-02-08 6.1 6.14 5.9 6 422900 6
2013-02-11 6.03 6.11 5.8 6.11 525600 6.11
2013-02-12 6.12 6.17 5.96 6.02 286400 6.02
2013-02-13 6.01 6.14 6.01 6.05 204100 6.05
2013-02-14 6.06 6.2 5.98 6.09 307100 6.09
2013-02-15 6.09 6.13 5.95 6.06 221400 6.06
2013-02-19 6.01 6.13 5.96 6.12 447200 6.12
2013-02-20 6.12 6.2 6.03 6.06 383200 6.06
2013-02-21 5.91 5.91 5.1 5.82 905000 5.82
2013-02-22 5.88 6.08 5.86 6.02 343600 6.02
2013-02-25 6.08 6.14 6 6.02 314700 6.02
2013-02-26 6.09 6.09 5.55 5.76 531400 5.76
2013-02-27 5.71 5.99 5.7 5.9 313000 5.9
2013-02-28 5.91 5.91 5.72 5.72 255800 5.72
2013-03-01 5.72 5.88 5.7 5.78 370900 5.78
2013-03-04 5.78 6 5.78 5.96 621100 5.96
2013-03-05 5.95 6.92 5.89 6.69 1427600 6.69
2013-03-06 6.71 7.1 6.7 6.9 928700 6.9
2013-03-07 6.88 7.28 6.85 7.08 573300 7.08
2013-03-08 7.19 7.43 7.1 7.24 738400 7.24
2013-03-11 7.26 7.45 7.19 7.37 562700 7.37
2013-03-12 7.39 7.4 6.9 6.99 741900 6.99
2013-03-13 6.69 6.72 6.05 6.43 1051800 6.43
2013-03-14 6.42 6.82 6.41 6.69 464000 6.69
2013-03-15 6.69 6.88 6.46 6.51 623700 6.51
2013-03-18 6.41 6.81 6.39 6.75 408200 6.75
2013-03-19 6.73 6.94 6.63 6.8 478600 6.8
2013-03-20 6.84 7.2 6.8 7.12 641500 7.12
2013-03-21 7.17 7.47 7.1 7.43 695400 7.43
2013-03-22 7.25 7.49 7.14 7.14 648200 7.14
2013-03-25 7.25 7.49 7.21 7.23 608700 7.23
2013-03-26 7.31 7.39 7.23 7.34 410100 7.34
2013-03-27 7.28 7.55 7.22 7.51 584400 7.51
2013-03-28 7.49 7.66 7.16 7.3 626300 7.3
2013-04-01 7.3 7.56 7.17 7.25 643700 7.25
2013-04-02 7.31 7.51 7.27 7.45 537200 7.45
2013-04-03 7.44 7.5 6.94 7.15 640900 7.15
2013-04-04 7.07 7.19 6.82 7.13 624300 7.13
2013-04-05 6.95 7.12 6.83 7.05 298500 7.05
2013-04-08 7.12 7.29 7.06 7.08 310500 7.08
2013-04-09 7.11 7.12 6.9 7.03 240500 7.03
2013-04-10 7.05 7.3 7.05 7.27 376700 7.27
2013-04-11 7.31 7.54 7.24 7.24 417400 7.24
2013-04-12 7.25 7.29 7.06 7.14 213600 7.14
2013-04-15 7.12 7.25 6.61 6.71 406500 6.71
2013-04-16 6.82 6.88 6.68 6.88 384900 6.88
2013-04-17 6.82 6.82 6.41 6.51 346800 6.51
2013-04-18 6.55 6.69 6.34 6.4 259300 6.4
2013-04-19 6.43 6.74 6.35 6.68 248000 6.68
2013-04-22 6.68 6.73 6.45 6.62 253000 6.62
2013-04-23 6.62 6.79 6.55 6.69 248600 6.69
2013-04-24 6.72 6.77 6.61 6.76 164600 6.76
2013-04-25 6.85 7.2 6.81 7.14 404600 7.14
2013-04-26 7.05 7.13 6.95 7.06 122800 7.06
2013-04-29 7.06 7.13 6.87 6.88 346400 6.88
2013-04-30 6.89 7.02 6.8 6.88 360100 6.88
2013-05-01 6.8 6.83 6.56 6.62 405500 6.62
2013-05-02 6.65 6.7 6.4 6.48 2011200 6.48
2013-05-03 6.5 6.74 6.34 6.43 991100 6.43
2013-05-06 6.5 6.8 6.47 6.76 411000 6.76
2013-05-07 7.93 8.15 7.75 8.11 2741700 8.11
2013-05-08 8.2 8.69 8.11 8.53 976600 8.53
2013-05-09 8.48 8.7 7.95 8.19 646100 8.19
2013-05-10 8.23 8.5 8.13 8.41 298000 8.41
