"Index" "NNC.Open" "NNC.High" "NNC.Low" "NNC.Close" "NNC.Volume" "NNC.Adjusted"
2013-01-02 15.03 15.55 15.03 15.52 41600 13.514457
2013-01-03 15.61 15.75 15.46 15.72 25600 13.688612
2013-01-04 15.75 15.76 15.44 15.5 20400 13.497041
2013-01-07 15.48 15.54 15.21 15.31 28900 13.331594
2013-01-08 15.35 15.52 15.3 15.36 35400 13.375132
2013-01-09 15.35 15.54 15.35 15.47 12600 13.470918
2013-01-10 15.45 15.61 15.41 15.52 15400 13.514457
2013-01-11 15.43 15.54 15.43 15.53 16600 13.571258
2013-01-14 15.54 15.54 15.37 15.44 19800 13.49261
2013-01-15 15.38 15.48 15.34 15.37 9200 13.431439
2013-01-16 15.25 15.58 15.25 15.35 36500 13.413962
2013-01-17 15.49 15.59 15.38 15.53 17900 13.571258
2013-01-18 15.38 15.57 15.38 15.55 24200 13.588736
2013-01-22 15.54 15.55 15.33 15.51 29500 13.553781
2013-01-23 15.54 15.54 15.45 15.52 11000 13.56252
2013-01-24 15.53 15.53 15.46 15.46 13100 13.510088
2013-01-25 15.42 15.45 15.42 15.44 6800 13.49261
2013-01-28 15.38 15.42 15.2 15.21 24400 13.291619
2013-01-29 15.28 15.34 15.19 15.19 24700 13.274141
2013-01-30 15.15 15.26 15.1 15.1 53000 13.195493
2013-01-31 15.18 15.25 15.15 15.17 39000 13.256664
2013-02-01 15.32 15.32 15.15 15.22 19900 13.300358
2013-02-04 15.31 15.31 15.04 15.06 59000 13.160538
2013-02-05 15.1 15.15 15.03 15.1 25200 13.195493
2013-02-06 15.16 15.18 15.1 15.13 8600 13.221709
2013-02-07 15.15 15.16 15.04 15.12 20100 13.21297
2013-02-08 15.23 15.23 15.1 15.11 6100 13.204231
2013-02-11 15.11 15.13 15.03 15.1 13600 13.195493
2013-02-12 15.06 15.14 15.01 15.14 13000 13.230448
2013-02-13 15.05 15.08 15.01 15.06 18100 13.208522
2013-02-14 15.06 15.06 14.98 14.99 28000 13.147127
2013-02-15 14.99 15 14.91 14.92 17700 13.085733
2013-02-19 14.91 14.98 14.85 14.92 32800 13.085733
2013-02-20 14.95 14.95 14.9 14.94 12100 13.103274
2013-02-21 14.94 15.05 14.93 15.02 11400 13.17344
2013-02-22 15.04 15.06 14.91 14.97 10100 13.129587
2013-02-25 14.93 15.02 14.93 14.99 11000 13.147127
2013-02-26 15.02 15.02 14.93 14.97 9400 13.129587
2013-02-27 14.96 15 14.85 14.89 30600 13.059422
2013-02-28 14.96 14.98 14.82 14.87 33700 13.04188
