"Index" "NOB.Open" "NOB.High" "NOB.Low" "NOB.Close" "NOB.Volume" "NOB.Adjusted"
2013-01-01 0.03 0.03 0.03 0.03 0 0.03
2013-01-02 0.03 0.035 0.03 0.035 263500 0.035
2013-01-03 0.04 0.045 0.04 0.045 85000 0.045
2013-01-04 0.045 0.045 0.045 0.045 0 0.045
2013-01-07 0.045 0.045 0.045 0.045 0 0.045
2013-01-08 0.035 0.04 0.035 0.035 134100 0.035
2013-01-09 0.035 0.035 0.035 0.035 0 0.035
2013-01-10 0.035 0.035 0.03 0.03 145000 0.03
2013-01-11 0.035 0.035 0.035 0.035 15000 0.035
2013-01-14 0.035 0.035 0.035 0.035 247000 0.035
2013-01-15 0.035 0.035 0.035 0.035 0 0.035
2013-01-16 0.04 0.045 0.03 0.045 441000 0.045
2013-01-17 0.04 0.04 0.035 0.04 166300 0.04
2013-01-18 0.04 0.04 0.035 0.04 69000 0.04
2013-01-21 0.045 0.045 0.045 0.045 20000 0.045
2013-01-22 0.045 0.045 0.045 0.045 170000 0.045
2013-01-23 0.04 0.04 0.04 0.04 1e+05 0.04
2013-01-24 0.04 0.04 0.04 0.04 0 0.04
2013-01-25 0.04 0.04 0.04 0.04 0 0.04
2013-01-28 0.045 0.045 0.045 0.045 7500 0.045
2013-01-29 0.045 0.045 0.045 0.045 105000 0.045
2013-01-30 0.045 0.045 0.045 0.045 111000 0.045
2013-01-31 0.04 0.04 0.04 0.04 31000 0.04
2013-02-01 0.045 0.045 0.045 0.045 2000 0.045
2013-02-04 0.04 0.04 0.04 0.04 103000 0.04
2013-02-05 0.035 0.035 0.035 0.035 14000 0.035
2013-02-06 0.04 0.05 0.04 0.05 335000 0.05
2013-02-07 0.05 0.06 0.05 0.055 392000 0.055
2013-02-08 0.055 0.09 0.055 0.06 120000 0.06
2013-02-11 0.06 0.06 0.06 0.06 0 0.06
2013-02-12 0.06 0.075 0.06 0.07 268200 0.07
2013-02-13 0.075 0.075 0.06 0.06 199600 0.06
2013-02-14 0.055 0.07 0.055 0.06 104000 0.06
2013-02-15 0.06 0.06 0.06 0.06 1600 0.06
2013-02-18 0.06 0.06 0.06 0.06 0 0.06
2013-02-19 0.06 0.06 0.05 0.05 243400 0.05
2013-02-20 0.05 0.05 0.05 0.05 50000 0.05
2013-02-21 0.055 0.055 0.055 0.055 2500 0.055
2013-02-22 0.045 0.055 0.045 0.055 94000 0.055
2013-02-25 0.055 0.06 0.05 0.06 42000 0.06
2013-02-26 0.06 0.06 0.06 0.06 0 0.06
2013-02-27 0.055 0.055 0.045 0.045 21000 0.045
2013-02-28 0.05 0.05 0.045 0.045 70000 0.045
2013-03-01 0.05 0.055 0.035 0.045 1064500 0.045
2013-03-04 0.045 0.045 0.045 0.045 0 0.045
