"Index" "NP.Open" "NP.High" "NP.Low" "NP.Close" "NP.Volume" "NP.Adjusted"
2013-01-02 29.42 30.68 29.33 30.6 162200 28.834587
2013-01-03 30.73 31 30.25 30.59 76100 28.825164
2013-01-04 30.77 31.219999 30.49 31.040001 85800 29.249203
2013-01-07 30.969999 31.02 30.219999 30.4 83300 28.646125
2013-01-08 30.41 30.629999 30.32 30.42 42000 28.664972
2013-01-09 30.67 30.870001 30.34 30.52 48500 28.759203
2013-01-10 30.700001 30.700001 30.07 30.370001 59100 28.617857
2013-01-11 30.459999 30.879999 30.35 30.83 59200 29.051317
2013-01-14 30.83 31.09 30.549999 30.98 59000 29.192663
2013-01-15 30.690001 31 30.51 30.860001 46300 29.079587
2013-01-16 30.68 30.76 30.51 30.59 55700 28.825164
2013-01-17 30.780001 31.18 30.65 30.950001 69400 29.164395
2013-01-18 30.950001 31.969999 30.92 31.57 76000 29.748624
2013-01-22 31.9 32 31.700001 31.77 75100 29.937086
2013-01-23 31.889999 31.889999 31.49 31.51 46200 29.692086
2013-01-24 31.67 32.27 31.559999 32.169998 94200 30.314007
2013-01-25 31.75 32.57 31.57 31.66 167900 29.833432
2013-01-28 31.66 31.66 30.93 31.01 112300 29.220933
2013-01-29 31.01 31.299999 30.85 31.23 60600 29.42824
2013-01-30 31.280001 31.280001 29.91 30.110001 142900 28.372857
2013-01-31 30.200001 31.26 30.120001 30.940001 108100 29.154972
2013-02-01 31.16 31.76 30.950001 31.450001 130400 29.635548
2013-02-04 31.25 31.43 30.709999 30.83 81500 29.051317
2013-02-05 31.049999 31.15 30.32 30.440001 86700 28.683818
2013-02-06 30.290001 30.42 30.09 30.32 55700 28.570741
2013-02-07 30.35 30.450001 29.43 29.530001 72400 27.826319
2013-02-08 29.709999 30.42 29.549999 29.959999 84800 28.23151
2013-02-11 29.99 29.99 29.549999 29.66 74600 27.948818
2013-02-12 29.610001 29.809999 29.52 29.6 53900 27.89228
2013-02-13 29.59 29.65 28.959999 29.35 130400 27.79757
2013-02-14 29.27 29.360001 28.85 29.120001 63100 27.579736
2013-02-15 29.23 29.67 29.129999 29.59 77700 28.024876
2013-02-19 29.58 29.99 29.450001 29.950001 122700 28.365834
2013-02-20 30.02 30.02 29.08 29.129999 103600 27.589206
2013-02-21 29.200001 29.629999 28.389999 28.42 102100 26.916761
2013-02-22 28.700001 28.91 28.559999 28.860001 50300 27.333488
2013-02-25 29.16 29.209999 28.42 28.57 127000 27.058827
2013-02-26 28.68 28.83 27.700001 28.25 125000 26.755753
2013-02-27 28.26 28.68 28.110001 28.42 96000 26.916761
2013-02-28 28.440001 29.360001 28.440001 29.200001 88800 27.655505
2013-03-01 28.9 29.389999 28.4 29.25 97300 27.702859
2013-03-04 29.139999 29.379999 28.889999 29.17 96900 27.627091
2013-03-05 29.459999 29.5 28.959999 29.129999 78500 27.589206
2013-03-06 29.209999 29.379999 29.02 29.26 64600 27.712331
