"Index" "NQ.Open" "NQ.High" "NQ.Low" "NQ.Close" "NQ.Volume" "NQ.Adjusted"
2013-01-02 6.25 6.3 5.92 6.03 245400 6.03
2013-01-03 6.09 6.25 6 6.15 239100 6.15
2013-01-04 6.25 6.38 6.01 6.1 617500 6.1
2013-01-07 6.25 6.31 6.02 6.2 370300 6.2
2013-01-08 6.17 6.22 5.96 5.99 346400 5.99
2013-01-09 6 6.09 5.95 6 145100 6
2013-01-10 6 6.05 5.95 5.97 146200 5.97
2013-01-11 6 6.15 5.99 6.05 248700 6.05
2013-01-14 6.09 6.25 5.99 6.05 324500 6.05
2013-01-15 6.11 6.17 5.92 6.17 307900 6.17
2013-01-16 6.11 6.16 5.98 6.05 190900 6.05
2013-01-17 6.06 6.12 6 6.07 184800 6.07
2013-01-18 6.08 6.25 6.01 6.2 475800 6.2
2013-01-22 6.5 6.57 6.3 6.53 541700 6.53
2013-01-23 6.55 6.6 6.26 6.41 284200 6.41
2013-01-24 6.4 6.6 6.31 6.39 382700 6.39
2013-01-25 6.6 6.6 6.36 6.6 219600 6.6
2013-01-28 6.7 6.88 6.6 6.64 315100 6.64
2013-01-29 6.73 6.77 6.61 6.7 220200 6.7
2013-01-30 6.73 6.85 6.62 6.71 234300 6.71
2013-01-31 6.73 6.8 6.7 6.79 147900 6.79
2013-02-01 6.83 6.87 6.7 6.73 137600 6.73
2013-02-04 6.8 6.8 6.31 6.33 201400 6.33
2013-02-05 6.46 6.6 6.25 6.6 144400 6.6
2013-02-06 6.25 6.78 6.25 6.63 229400 6.63
2013-02-07 6.63 6.71 6.42 6.5 109600 6.5
2013-02-08 6.55 6.58 6.15 6.32 528100 6.32
2013-02-11 6.32 6.47 6.27 6.43 228400 6.43
2013-02-12 6.42 6.95 6.42 6.92 574800 6.92
2013-02-13 6.91 6.95 6.69 6.78 485900 6.78
2013-02-14 6.74 6.79 6.67 6.71 191000 6.71
2013-02-15 6.72 6.77 6.51 6.57 184500 6.57
2013-02-19 6.54 6.78 6.51 6.61 384300 6.61
2013-02-20 6.55 6.63 6.48 6.54 170600 6.54
2013-02-21 6.49 6.49 6.32 6.4 154000 6.4
2013-02-22 6.5 6.59 6.35 6.43 173800 6.43
2013-02-25 6.47 6.63 6.4 6.57 212000 6.57
2013-02-26 6.56 6.88 6.5 6.88 291100 6.88
2013-02-27 6.96 7.32 6.81 6.99 938600 6.99
2013-02-28 7.03 7.05 6.85 6.92 276500 6.92
2013-03-01 6.9 6.9 6.68 6.9 361700 6.9
2013-03-04 7.41 8.36 7.15 8.07 1916300 8.07
2013-03-05 8.05 8.7 8.04 8.5 2606400 8.5
2013-03-06 8.56 8.86 8.31 8.77 1888500 8.77
2013-03-07 10.37 10.68 9.5 10.01 4637100 10.01
2013-03-08 10.07 10.27 9.66 9.86 1313500 9.86
2013-03-11 9.75 10 9.4 9.58 1533900 9.58
2013-03-12 9.73 9.73 9.22 9.54 956200 9.54
2013-03-13 9.53 9.54 9.04 9.25 758400 9.25
2013-03-14 9.25 9.25 8.31 8.33 2446500 8.33
2013-03-15 8.34 8.83 8.13 8.22 1059500 8.22
2013-03-18 8.22 8.78 7.91 8.78 1429300 8.78
2013-03-19 8.87 9.2 8.78 9 1419200 9
2013-03-20 9.19 9.3 8.95 9.18 853800 9.18
2013-03-21 9.18 9.29 9.02 9.22 489700 9.22
2013-03-22 9.12 9.64 9.1 9.59 557600 9.59
2013-03-25 9.7 10.2 9.08 9.2 1044100 9.2
2013-03-26 9.22 9.39 9.05 9.05 382500 9.05
2013-03-27 9.01 9.22 8.69 8.73 736700 8.73
2013-03-28 8.75 9.05 8.58 9.01 499600 9.01
2013-04-01 9.11 9.21 8.77 8.84 469800 8.84
2013-04-02 9.06 9.15 8.61 8.65 512700 8.65
2013-04-03 8.65 8.69 8.11 8.22 692000 8.22
2013-04-04 8.22 8.65 8.18 8.61 521500 8.61
2013-04-05 8.39 8.64 8.34 8.55 656200 8.55
2013-04-08 8.55 8.67 8.3 8.4 473100 8.4
2013-04-09 8.42 8.6 8.35 8.47 475600 8.47
2013-04-10 8.49 8.49 8.22 8.25 989100 8.25
2013-04-11 8.59 8.61 8.2 8.28 687400 8.28
2013-04-12 8.31 8.65 8.12 8.59 658500 8.59
2013-04-15 8.76 8.78 8.17 8.28 579600 8.28
2013-04-16 8.34 8.39 8.1 8.33 870900 8.33
2013-04-17 8.31 8.6 8.16 8.32 705600 8.32
2013-04-18 8.31 8.33 8.02 8.07 661000 8.07
2013-04-19 8.1 8.49 8.07 8.1 912100 8.1
2013-04-22 8.07 8.26 8.02 8.15 396600 8.15
2013-04-23 8.1 8.19 7.9 8.04 963000 8.04
2013-04-24 8.05 8.16 7.8 8 644700 8
2013-04-25 8.02 8.18 7.96 8.04 481600 8.04
2013-04-26 8.01 8.45 7.91 8.45 494800 8.45
2013-04-29 8.52 9 8.4 8.76 1013000 8.76
2013-04-30 8.8 8.96 8.5 8.63 509100 8.63
2013-05-01 8.7 8.72 8.51 8.55 289700 8.55
2013-05-02 8.66 8.98 8.61 8.98 471300 8.98
2013-05-03 9.11 9.38 9.07 9.17 521100 9.17
2013-05-06 9.17 9.22 9.09 9.17 323600 9.17
2013-05-07 9.25 9.45 8.73 8.82 817600 8.82
2013-05-08 8.49 9.1 8.49 9.1 416600 9.1
2013-05-09 9.24 9.59 9.18 9.33 650100 9.33
2013-05-10 9.43 9.67 9.4 9.57 655300 9.57
2013-05-13 9.65 9.9 9.5 9.61 588400 9.61
