"Index" "NRS.Open" "NRS.High" "NRS.Low" "NRS.Close" "NRS.Volume" "NRS.Adjusted"
2013-01-01 0.419 0.419 0.419 0.419 0 0.419
2013-01-02 0.49 0.49 0.49 0.49 0 0.49
2013-01-03 0.448 0.448 0.448 0.448 0 0.448
2013-01-04 0.454 0.454 0.454 0.454 0 0.454
2013-01-07 0.444 0.444 0.444 0.444 0 0.444
2013-01-08 0.439 0.439 0.439 0.439 0 0.439
2013-01-09 0.438 0.438 0.438 0.438 0 0.438
2013-01-10 0.446 0.446 0.446 0.446 0 0.446
2013-01-11 0.432 0.432 0.432 0.432 0 0.432
2013-01-14 0.424 0.424 0.424 0.424 0 0.424
2013-01-15 0.425 0.425 0.425 0.425 0 0.425
2013-01-16 0.445 0.445 0.445 0.445 0 0.445
2013-01-17 0.448 0.448 0.448 0.448 0 0.448
2013-01-18 0.445 0.445 0.445 0.445 0 0.445
2013-01-21 0.441 0.441 0.441 0.441 0 0.441
2013-01-22 0.441 0.441 0.441 0.441 0 0.441
2013-01-23 0.439 0.439 0.439 0.439 0 0.439
2013-01-24 0.456 0.456 0.456 0.456 0 0.456
2013-01-25 0.453 0.453 0.453 0.453 0 0.453
2013-01-28 0.449 0.449 0.449 0.449 0 0.449
2013-01-29 0.448 0.448 0.448 0.448 0 0.448
2013-01-30 0.437 0.437 0.437 0.437 0 0.437
2013-01-31 0.439 0.439 0.439 0.439 0 0.439
2013-02-01 0.433 0.433 0.433 0.433 0 0.433
2013-02-04 0.433 0.433 0.433 0.433 0 0.433
2013-02-05 0.48 0.48 0.48 0.48 0 0.48
2013-02-06 0.518 0.518 0.518 0.518 0 0.518
2013-02-07 0.483 0.483 0.483 0.483 0 0.483
2013-02-08 0.487 0.487 0.487 0.487 0 0.487
2013-02-11 0.445 0.445 0.445 0.445 0 0.445
2013-02-12 0.455 0.455 0.455 0.455 0 0.455
2013-02-13 0.449 0.51 0.449 0.51 0 0.51
2013-02-14 0.461 0.461 0.461 0.461 0 0.461
2013-02-15 0.496 0.496 0.496 0.496 0 0.496
2013-02-18 0.565 0.565 0.565 0.565 0 0.565
2013-02-19 0.548 0.548 0.548 0.548 0 0.548
2013-02-20 0.528 0.528 0.528 0.528 0 0.528
2013-02-21 0.509 0.509 0.509 0.509 0 0.509
2013-02-22 0.502 0.502 0.502 0.502 0 0.502
2013-02-25 0.517 0.517 0.517 0.517 0 0.517
2013-02-26 0.489 0.489 0.489 0.489 0 0.489
2013-02-27 0.497 0.497 0.497 0.497 0 0.497
2013-02-28 0.506 0.506 0.506 0.506 0 0.506
2013-03-01 0.499 0.499 0.499 0.499 0 0.499
2013-03-04 0.476 0.476 0.476 0.476 0 0.476
2013-03-05 0.458 0.458 0.458 0.458 0 0.458
2013-03-06 0.458 0.458 0.458 0.458 0 0.458
2013-03-07 0.463 0.463 0.463 0.463 0 0.463
2013-03-08 0.458 0.458 0.458 0.458 0 0.458
2013-03-11 0.458 0.458 0.458 0.458 0 0.458
2013-03-12 0.453 0.453 0.453 0.453 0 0.453
2013-03-13 0.455 0.455 0.455 0.455 0 0.455
2013-03-14 0.451 0.451 0.451 0.451 0 0.451
2013-03-15 0.464 0.464 0.464 0.464 0 0.464
2013-03-18 0.445 0.445 0.445 0.445 0 0.445
2013-03-19 0.442 0.442 0.442 0.442 0 0.442
2013-03-20 0.427 0.427 0.427 0.427 0 0.427
2013-03-21 0.433 0.433 0.433 0.433 0 0.433
2013-03-22 0.42 0.42 0.42 0.42 0 0.42
2013-03-25 0.432 0.432 0.432 0.432 0 0.432
2013-03-26 0.444 0.444 0.444 0.444 0 0.444
2013-03-27 0.436 0.436 0.436 0.436 0 0.436
2013-03-28 0.431 0.431 0.431 0.431 0 0.431
2013-03-29 0.431 0.431 0.431 0.431 0 0.431
2013-04-01 0.431 0.431 0.431 0.431 0 0.431
2013-04-02 0.46 0.46 0.46 0.46 0 0.46
2013-04-03 0.433 0.433 0.433 0.433 0 0.433
2013-04-04 0.439 0.439 0.439 0.439 0 0.439
2013-04-05 0.463 0.463 0.463 0.463 0 0.463
2013-04-08 0.432 0.432 0.432 0.432 0 0.432
2013-04-09 0.417 0.417 0.417 0.417 0 0.417
2013-04-10 0.428 0.428 0.428 0.428 0 0.428
2013-04-11 0.426 0.426 0.426 0.426 0 0.426
2013-04-12 0.419 0.419 0.419 0.419 0 0.419
2013-04-15 0.423 0.423 0.423 0.423 0 0.423
2013-04-16 0.423 0.423 0.423 0.423 0 0.423
2013-04-17 0.42 0.42 0.42 0.42 0 0.42
2013-04-18 0.412 0.412 0.412 0.412 0 0.412
2013-04-19 0.407 0.407 0.407 0.407 0 0.407
2013-04-22 0.463 0.463 0.463 0.463 0 0.463
2013-04-23 0.457 0.457 0.457 0.457 0 0.457
2013-04-24 0.445 0.445 0.445 0.445 0 0.445
2013-04-25 0.438 0.438 0.438 0.438 0 0.438
2013-04-26 0.434 0.434 0.434 0.434 0 0.434
2013-04-29 0.433 0.433 0.433 0.433 0 0.433
2013-04-30 0.412 0.412 0.412 0.412 0 0.412
2013-05-01 0.412 0.412 0.412 0.412 0 0.412
2013-05-02 0.416 0.416 0.416 0.416 0 0.416
2013-05-03 0.423 0.423 0.423 0.423 0 0.423
2013-05-06 0.421 0.421 0.421 0.421 0 0.421
2013-05-07 0.457 0.457 0.457 0.457 0 0.457
2013-05-08 0.447 0.447 0.447 0.447 0 0.447
2013-05-09 0.444 0.444 0.444 0.444 0 0.444
2013-05-10 0.444 0.444 0.444 0.444 0 0.444
2013-05-13 0.46 0.46 0.46 0.46 0 0.46
2013-05-14 0.457 0.457 0.457 0.457 0 0.457
2013-05-15 0.443 0.443 0.443 0.443 0 0.443
2013-05-16 0.444 0.444 0.444 0.444 0 0.444
2013-05-17 0.475 0.496 0.475 0.496 0 0.496
2013-05-20 0.496 0.496 0.496 0.496 0 0.496
2013-05-21 0.496 0.496 0.496 0.496 0 0.496
2013-05-22 0.464 0.464 0.464 0.464 0 0.464
2013-05-23 0.471 0.471 0.471 0.471 0 0.471
2013-05-24 0.483 0.483 0.483 0.483 0 0.483
2013-05-27 0.506 0.506 0.506 0.506 0 0.506
2013-05-28 0.506 0.506 0.506 0.506 0 0.506
2013-05-29 0.488 0.488 0.488 0.488 0 0.488
2013-05-30 0.495 0.495 0.495 0.495 0 0.495
2013-05-31 0.506 0.506 0.506 0.506 0 0.506
2013-06-03 0.512 0.512 0.512 0.512 0 0.512
2013-06-04 0.504 0.504 0.504 0.504 0 0.504
2013-06-05 0.518 0.518 0.518 0.518 0 0.518
2013-06-06 0.518 0.518 0.518 0.518 0 0.518
2013-06-07 0.518 0.518 0.518 0.518 0 0.518
2013-06-10 0.518 0.518 0.518 0.518 0 0.518
