"Index" "NS.Open" "NS.High" "NS.Low" "NS.Close" "NS.Volume" "NS.Adjusted"
2013-01-02 43.400002 44.709999 43.400002 44.27 445700 34.555801
2013-01-03 44.360001 46.150002 44.299999 46.150002 398300 36.023272
2013-01-04 46.25 46.709999 45.880001 45.880001 318000 35.812518
2013-01-07 45.66 45.98 45.450001 45.540001 279500 35.547125
2013-01-08 45.990002 46.34 45.490002 46.209999 251900 36.070105
2013-01-09 46.220001 47.41 46.02 47.41 462500 37.006788
2013-01-10 47.52 48.5 47.439999 48.380001 444600 37.763941
2013-01-11 48.220001 48.630001 47.900002 48.34 446100 37.732718
2013-01-14 48.59 48.939999 47.41 47.939999 503400 37.420489
2013-01-15 47.799999 48.880001 47.669998 48.880001 430400 38.154226
2013-01-16 48.860001 49.48 48.619999 49.360001 288400 38.528899
2013-01-17 49.5 50.689999 49.400002 50.439999 587800 39.371912
2013-01-18 50.580002 50.799999 50.360001 50.689999 410400 39.567054
2013-01-22 50.849998 51.630001 50.610001 51.57 479300 40.253956
2013-01-23 51.5 51.919998 51.049999 51.310001 395600 40.05101
2013-01-24 51.400002 51.48 49.700001 49.900002 783400 38.950407
2013-01-25 49.950001 50.419998 49.869999 50 469700 39.028463
2013-01-28 50.18 50.389999 49.759998 50.310001 623100 39.27044
2013-01-29 50.509998 50.990002 50.119999 50.41 408900 39.348496
2013-01-30 50.580002 50.990002 50.450001 50.669998 257000 39.551443
2013-01-31 50.400002 51.59 50.400002 51.099998 555400 39.887088
2013-02-01 51.599998 51.599998 50 51.27 477900 40.019786
2013-02-04 51.189999 51.77 50.59 51.07 495200 39.863672
2013-02-05 51.119999 51.5 50.869999 51.16 328000 39.933923
2013-02-06 51.16 51.560001 50.900002 50.970001 275000 39.785616
2013-02-07 50.32 50.32 49.5 49.700001 442300 39.646016
2013-02-08 49.75 50.130001 49.450001 50.080002 315100 39.949145
2013-02-11 50.150002 50.529999 49.509998 49.580002 268300 39.550292
2013-02-12 49.91 50.66 49.75 50.57 501000 40.34002
2013-02-13 50.59 50.91 50.259998 50.759998 259300 40.491583
2013-02-14 50.900002 51.25 50.450001 51.139999 250200 40.794712
2013-02-15 51.099998 51.349998 49.77 50.060001 347900 39.933191
2013-02-19 50 50.709999 49.950001 50.540001 195700 40.316089
2013-02-20 50.619999 51.02 50.490002 50.549999 274000 40.324065
2013-02-21 50.32 50.330002 49.599998 50.060001 307300 39.933191
2013-02-22 50.139999 50.490002 49.799999 50.34 152100 40.156548
2013-02-25 50.5 50.869999 49.740002 49.759998 185000 39.693876
2013-02-26 49.759998 50.389999 49.66 50.139999 187700 39.997006
2013-02-27 50 50.830002 49.740002 50.82 202300 40.539446
2013-02-28 50.82 51.290001 50.650002 51.040001 261800 40.714943
2013-03-01 50.740002 50.990002 50.349998 50.5 465800 40.28418
2013-03-04 49.75 49.75 46.540001 47 1936100 37.492208
2013-03-05 47.150002 48.360001 47 47.209999 1129100 37.659725
2013-03-06 47.200001 48.720001 47.200001 48.279999 1303000 38.513271
2013-03-07 48.110001 49.98 48.02 49.849998 631100 39.76567
2013-03-08 49.849998 50.43 49.650002 50.040001 440300 39.917236
2013-03-11 50.169998 50.389999 49.810001 50.299999 327500 40.124639
