"Index" "NYF.Open" "NYF.High" "NYF.Low" "NYF.Close" "NYF.Volume" "NYF.Adjusted"
2013-01-02 111.410004 111.940002 111.410004 111.669998 27400 103.053235
2013-01-03 111.470001 112 111.389999 111.93 33700 103.293175
2013-01-04 111.900002 111.93 111.589996 111.800003 50700 103.173208
2013-01-07 111.830002 112.080002 111.830002 111.980003 11200 103.339319
2013-01-08 112.199997 112.370003 111.970001 112.370003 12100 103.699225
2013-01-09 112.349998 112.629997 112.349998 112.629997 5900 103.939158
2013-01-10 112.419998 112.75 112.419998 112.709999 9100 104.012986
2013-01-11 112.68 112.82 112.209999 112.779999 11200 104.077585
2013-01-14 112.800003 112.860001 112.620003 112.839996 14500 104.132953
2013-01-15 113 113 112.839996 113 6700 104.28061
2013-01-16 113 113.129997 112.690002 113.059998 9200 104.335978
2013-01-17 113.169998 113.239998 113.139999 113.220001 11100 104.483635
2013-01-18 113.199997 113.290001 112.82 113.279999 5200 104.539003
2013-01-22 113.260002 113.300003 113.029999 113.169998 18200 104.437491
2013-01-23 112.809998 113.889999 112.809998 113.18 5500 104.446721
2013-01-24 112.830002 113.260002 112.830002 113.230003 6200 104.492866
2013-01-25 113.129997 113.129997 112.620003 112.690002 8100 103.994533
2013-01-28 112.43 112.800003 112.410004 112.43 6300 103.754593
2013-01-29 112.690002 112.860001 112.459999 112.459999 2800 103.782277
2013-01-30 112.599998 112.669998 112.209999 112.349998 7300 103.680764
2013-01-31 112.199997 112.519997 112.169998 112.169998 4500 103.514653
2013-02-01 112.199997 112.480003 112.010002 112.419998 7200 103.985464
2013-02-04 112.059998 112.199997 112.059998 112.150002 3500 103.735725
2013-02-05 112.370003 112.389999 112 112.110001 31900 103.698725
2013-02-06 112.410004 112.559998 112.120003 112.360001 29300 103.929968
2013-02-07 112.269997 112.709999 112.260002 112.550003 19700 104.105715
2013-02-08 112.639999 112.639999 112.510002 112.57 4600 104.124212
2013-02-11 112.449997 112.620003 112.220001 112.610001 21600 104.161211
2013-02-12 112.610001 112.629997 112.169998 112.57 9700 104.124212
2013-02-13 112.400002 112.440002 112.309998 112.419998 5200 103.985464
2013-02-14 112.449997 112.449997 112.269997 112.440002 5300 104.003968
2013-02-15 112.300003 112.449997 112.150002 112.449997 7700 104.013212
2013-02-19 112.230003 112.5 112.129997 112.32 2400 103.892968
2013-02-20 112.43 112.43 112.099998 112.18 8600 103.763473
2013-02-21 112.199997 112.239998 112.010002 112.019997 4000 103.615474
2013-02-22 112 112.349998 112 112.32 8300 103.892968
2013-02-25 111.949997 112.290001 111.940002 112.209999 7400 103.791221
2013-02-26 112.389999 112.620003 112.279999 112.279999 4000 103.855969
2013-02-27 112.669998 112.669998 112.330002 112.589996 4200 104.142708
2013-02-28 112.589996 112.669998 112.589996 112.669998 1000 104.216707
2013-03-01 112.699997 112.699997 112.309998 112.309998 10400 104.139743
2013-03-04 112.519997 112.540001 112.349998 112.449997 6600 104.269558
2013-03-05 112.400002 112.440002 112.300003 112.379997 5700 104.20465
2013-03-06 112.309998 112.309998 111.959999 111.959999 5500 103.815206
2013-03-07 111.959999 112.040001 111.900002 112.010002 4100 103.861571
2013-03-08 111.839996 111.839996 111.019997 111.089996 19900 103.008494
2013-03-11 111.089996 111.300003 110.400002 111.110001 7600 103.027043
2013-03-12 111.010002 111.169998 110.610001 111 3800 102.925044
2013-03-13 110.540001 111.230003 110.360001 111.050003 5900 102.97141
2013-03-14 111.120003 111.120003 110.669998 110.669998 9900 102.619049
2013-03-15 110.709999 110.940002 110.669998 110.900002 4300 102.83232
2013-03-18 110.75 111.129997 110.75 110.93 5500 102.860137
