"Index" "OPM.Open" "OPM.High" "OPM.Low" "OPM.Close" "OPM.Volume" "OPM.Adjusted"
2013-01-01 2.5 2.5 2.5 2.5 0 2.0538
2013-01-02 2.5 2.5 2.5 2.5 0 2.0538
2013-01-03 2.5 2.5 2.5 2.5 0 2.0538
2013-01-04 2.55 2.55 2.5 2.5 1700 2.0538
2013-01-07 2.64 2.64 2.64 2.64 600 2.1688
2013-01-08 2.64 2.64 2.64 2.64 0 2.1688
2013-01-09 2.65 2.65 2.6 2.6 600 2.136
2013-01-10 2.65 2.65 2.61 2.65 4100 2.177
2013-01-11 2.65 2.65 2.65 2.65 0 2.177
2013-01-14 2.65 2.65 2.65 2.65 0 2.177
2013-01-15 2.73 2.73 2.73 2.73 100 2.2428
2013-01-16 2.65 2.65 2.64 2.65 14300 2.177
2013-01-17 2.74 2.77 2.74 2.77 2000 2.2756
2013-01-18 2.77 2.77 2.77 2.77 0 2.2756
2013-01-21 2.77 2.77 2.77 2.77 0 2.2756
2013-01-22 2.77 2.77 2.77 2.77 0 2.2756
2013-01-23 2.77 2.77 2.77 2.77 0 2.2756
2013-01-24 2.66 2.66 2.65 2.65 1000 2.177
2013-01-25 2.65 2.65 2.65 2.65 0 2.177
2013-01-28 2.65 2.65 2.65 2.65 0 2.177
2013-01-29 2.65 2.65 2.65 2.65 0 2.177
2013-01-30 2.65 2.65 2.65 2.65 0 2.177
2013-01-31 2.65 2.65 2.65 2.65 0 2.177
2013-02-01 2.65 2.65 2.65 2.65 0 2.177
2013-02-04 2.65 2.65 2.65 2.65 0 2.177
2013-02-05 2.69 2.69 2.69 2.69 200 2.2099
2013-02-06 2.67 2.67 2.67 2.67 1400 2.1935
2013-02-07 2.67 2.67 2.67 2.67 0 2.1935
2013-02-08 2.69 2.69 2.69 2.69 200 2.2099
2013-02-11 2.7 2.7 2.7 2.7 600 2.2181
2013-02-12 2.7 3 2.7 2.95 10500 2.4235
2013-02-13 2.95 2.95 2.95 2.95 100 2.4235
2013-02-14 2.82 2.95 2.82 2.95 2500 2.4235
2013-02-15 2.95 2.95 2.95 2.95 0 2.4235
2013-02-18 2.95 2.95 2.95 2.95 0 2.4235
2013-02-19 2.95 2.95 2.95 2.95 0 2.4235
2013-02-20 2.95 2.95 2.95 2.95 300 2.4235
2013-02-21 2.75 2.95 2.75 2.95 600 2.4235
2013-02-22 2.95 2.95 2.95 2.95 0 2.4235
2013-02-25 2.95 2.95 2.95 2.95 0 2.4235
2013-02-26 2.98 2.99 2.98 2.99 2400 2.4564
2013-02-27 3 3.15 3 3.15 700 2.5878
2013-02-28 3.15 3.15 3.15 3.15 0 2.5878
2013-03-01 3 3.25 3 3.25 500 2.67
2013-03-04 3.25 3.35 3.25 3.35 3100 2.7521
2013-03-05 3.35 3.35 3.35 3.35 1000 2.7521
2013-03-06 3.35 3.35 3.35 3.35 0 2.7521
2013-03-07 3 3 2.95 2.95 2800 2.4235
2013-03-08 2.85 3.15 2.85 3.15 6500 2.5878
2013-03-11 2.97 2.97 2.95 2.95 5900 2.4235
2013-03-12 2.88 3.15 2.88 3.15 1500 2.5878
2013-03-13 3.15 3.15 3.15 3.15 0 2.5878
2013-03-14 3.15 3.15 3.15 3.15 0 2.5878
2013-03-15 3.15 3.15 3.15 3.15 0 2.5878
2013-03-18 3.15 3.15 3.15 3.15 0 2.5878
2013-03-19 3.01 3.15 3 3.15 1600 2.5878
2013-03-20 3.08 3.15 3.08 3.15 1200 2.5878
2013-03-21 3.15 3.33 3.15 3.33 1800 2.7357
2013-03-22 3.29 3.29 3.12 3.12 300 2.5632
2013-03-25 3.12 3.12 3.12 3.12 0 2.5632
2013-03-26 3.12 3.12 3.12 3.12 0 2.5632
2013-03-27 3.29 3.3 3.29 3.3 500 2.711
2013-03-28 3.3 3.3 3.3 3.3 0 2.711
2013-03-29 3.3 3.3 3.3 3.3 0 2.711
2013-04-01 3.3 3.3 3.3 3.3 0 2.711
2013-04-02 3.3 3.3 3.3 3.3 200 2.711
2013-04-03 3.3 3.3 3.3 3.3 0 2.711
2013-04-04 3.3 3.3 3.3 3.3 0 2.711
2013-04-05 3.25 3.32 3 3.32 1800 2.7275
2013-04-08 3.32 3.32 3.32 3.32 0 2.7275
2013-04-09 3.08 3.08 3.08 3.08 300 2.5303
