"Index" "PA.Open" "PA.High" "PA.Low" "PA.Close" "PA.Volume" "PA.Adjusted"
2013-01-01 0.05 0.05 0.05 0.05 0 0.05
2013-01-02 0.05 0.05 0.05 0.05 1e+05 0.05
2013-01-03 0.05 0.05 0.05 0.05 2e+05 0.05
2013-01-04 0.05 0.051 0.05 0.05 5570000 0.05
2013-01-07 0.05 0.052 0.05 0.052 7820000 0.052
2013-01-08 0.052 0.053 0.051 0.052 29500000 0.052
2013-01-09 0.052 0.052 0.051 0.051 5360000 0.051
2013-01-10 0.051 0.051 0.049 0.05 11060000 0.05
2013-01-11 0.049 0.051 0.049 0.051 2600000 0.051
2013-01-14 0.051 0.051 0.051 0.051 0 0.051
2013-01-15 0.049 0.05 0.049 0.049 3810000 0.049
2013-01-16 0.051 0.053 0.051 0.051 12200000 0.051
2013-01-17 0.051 0.053 0.051 0.052 10980000 0.052
2013-01-18 0.052 0.052 0.051 0.051 11700000 0.051
2013-01-21 0.052 0.052 0.05 0.051 10260000 0.051
2013-01-22 0.051 0.051 0.05 0.05 1200000 0.05
2013-01-23 0.05 0.05 0.05 0.05 1e+06 0.05
2013-01-24 0.05 0.051 0.05 0.05 4530000 0.05
2013-01-25 0.051 0.051 0.051 0.051 1010000 0.051
2013-01-28 0.05 0.05 0.05 0.05 4e+05 0.05
2013-01-29 0.05 0.05 0.05 0.05 5e+05 0.05
2013-01-30 0.051 0.051 0.051 0.051 2020000 0.051
2013-01-31 0.052 0.052 0.05 0.05 7e+05 0.05
2013-02-01 0.05 0.051 0.05 0.051 1520000 0.051
2013-02-04 0.05 0.05 0.05 0.05 4300000 0.05
2013-02-05 0.05 0.05 0.05 0.05 1850000 0.05
2013-02-06 0.05 0.055 0.05 0.051 52670000 0.051
2013-02-07 0.051 0.051 0.05 0.05 4130000 0.05
2013-02-08 0.05 0.052 0.05 0.052 8190000 0.052
2013-02-11 0.052 0.052 0.052 0.052 20000 0.052
2013-02-12 0.05 0.051 0.05 0.05 5750000 0.05
2013-02-13 0.05 0.05 0.049 0.049 22310000 0.049
2013-02-14 0.05 0.05 0.049 0.049 6e+06 0.049
2013-02-15 0.05 0.05 0.05 0.05 3e+05 0.05
2013-02-18 0.05 0.05 0.05 0.05 1110000 0.05
2013-02-19 0.051 0.051 0.051 0.051 230000 0.051
2013-02-20 0.051 0.051 0.051 0.051 0 0.051
2013-02-21 0.049 0.05 0.049 0.05 550000 0.05
2013-02-22 0.049 0.049 0.049 0.049 1200000 0.049
2013-02-25 0.049 0.049 0.049 0.049 1900000 0.049
2013-02-26 0.049 0.049 0.049 0.049 0 0.049
2013-02-27 0.05 0.05 0.05 0.05 1e+05 0.05
2013-02-28 0.052 0.052 0.05 0.05 680000 0.05
2013-03-01 0.05 0.05 0.05 0.05 0 0.05
2013-03-04 0.05 0.05 0.05 0.05 0 0.05
2013-03-05 0.049 0.049 0.049 0.049 550000 0.049
2013-03-06 0.049 0.049 0.049 0.049 0 0.049
2013-03-07 0.049 0.05 0.048 0.05 9e+05 0.05
2013-03-08 0.049 0.049 0.048 0.049 1620000 0.049
2013-03-11 0.048 0.051 0.048 0.051 1e+06 0.051
2013-03-12 0.048 0.051 0.048 0.051 6850000 0.051
2013-03-13 0.051 0.051 0.049 0.05 7360000 0.05
2013-03-14 0.048 0.051 0.048 0.049 2060000 0.049
2013-03-15 0.049 0.049 0.049 0.049 1e+06 0.049
2013-03-18 0.046 0.05 0.046 0.05 5e+05 0.05
2013-03-19 0.046 0.049 0.046 0.049 2e+05 0.049
2013-03-20 0.049 0.049 0.049 0.049 0 0.049
2013-03-21 0.05 0.05 0.05 0.05 1e+05 0.05
2013-03-22 0.05 0.05 0.05 0.05 0 0.05
2013-03-25 0.05 0.05 0.05 0.05 0 0.05
2013-03-26 0.05 0.05 0.05 0.05 0 0.05
2013-03-27 0.05 0.05 0.05 0.05 0 0.05
2013-03-28 0.05 0.05 0.05 0.05 0 0.05
2013-03-29 0.05 0.05 0.05 0.05 0 0.05
2013-04-01 0.05 0.05 0.05 0.05 0 0.05
2013-04-02 0.05 0.05 0.05 0.05 0 0.05
2013-04-03 0.05 0.05 0.05 0.05 0 0.05
2013-04-04 0.045 0.05 0.045 0.05 150000 0.05
2013-04-05 0.03 0.05 0.03 0.05 1070000 0.05
2013-04-08 0.05 0.05 0.05 0.05 0 0.05
2013-04-09 0.05 0.05 0.05 0.05 0 0.05
2013-04-10 0.05 0.05 0.05 0.05 0 0.05
2013-04-11 0.045 0.046 0.045 0.045 3040000 0.045
2013-04-12 0.045 0.049 0.045 0.048 8200000 0.048
2013-04-15 0.048 0.048 0.046 0.048 2200000 0.048
2013-04-16 0.048 0.048 0.048 0.048 0 0.048
2013-04-17 0.046 0.048 0.045 0.048 6100000 0.048
2013-04-18 0.046 0.048 0.046 0.048 3100000 0.048
2013-04-19 0.048 0.048 0.048 0.048 0 0.048
2013-04-22 0.048 0.048 0.047 0.048 8e+05 0.048
2013-04-23 0.046 0.047 0.046 0.047 1500000 0.047
2013-04-24 0.047 0.053 0.047 0.049 66500000 0.049
2013-04-25 0.048 0.05 0.048 0.049 2500000 0.049
2013-04-26 0.049 0.049 0.049 0.049 0 0.049
2013-04-29 0.049 0.049 0.049 0.049 2e+05 0.049
2013-04-30 0.049 0.049 0.046 0.046 5700000 0.046
2013-05-01 0.046 0.046 0.046 0.046 0 0.046
2013-05-02 0.046 0.046 0.046 0.046 0 0.046
2013-05-03 0.049 0.049 0.046 0.048 1500000 0.048
2013-05-06 0.047 0.048 0.047 0.048 1100000 0.048
2013-05-07 0.049 0.049 0.046 0.049 1e+06 0.049
2013-05-08 0.047 0.047 0.047 0.047 3e+05 0.047
2013-05-09 0.048 0.048 0.047 0.047 2900000 0.047
2013-05-10 0.047 0.048 0.046 0.048 1100000 0.048
2013-05-13 0.048 0.048 0.048 0.048 0 0.048
2013-05-14 0.047 0.048 0.045 0.048 5600000 0.048
2013-05-15 0.048 0.048 0.048 0.048 0 0.048
2013-05-16 0.048 0.048 0.048 0.048 0 0.048
2013-05-17 0.048 0.048 0.048 0.048 0 0.048
