"Index" "PDM.Open" "PDM.High" "PDM.Low" "PDM.Close" "PDM.Volume" "PDM.Adjusted"
2013-01-02 18.24 18.24 17.940001 18.1 1316600 16.182721
2013-01-03 18.110001 18.139999 17.959999 18.1 651100 16.182721
2013-01-04 18.1 18.25 17.98 18.25 487300 16.316831
2013-01-07 18.200001 18.280001 18.15 18.27 461900 16.334713
2013-01-08 18.209999 18.469999 18.209999 18.42 680500 16.468824
2013-01-09 18.459999 18.51 18.4 18.48 744500 16.522468
2013-01-10 18.51 18.51 18.23 18.299999 752100 16.361534
2013-01-11 18.27 18.41 18.17 18.4 661100 16.450942
2013-01-14 18.360001 18.5 18.34 18.5 414600 16.54035
2013-01-15 18.57 18.700001 18.459999 18.700001 818800 16.719165
2013-01-16 18.74 18.799999 18.5 18.75 1653100 16.763868
2013-01-17 18.73 18.91 18.719999 18.879999 714400 16.880097
2013-01-18 18.85 19.08 18.74 19.030001 704600 17.014209
2013-01-22 19.07 19.26 19.01 19.23 761700 17.193022
2013-01-23 19.139999 19.299999 19.02 19.26 716900 17.219845
2013-01-24 19.299999 19.360001 19.129999 19.299999 853600 17.255607
2013-01-25 19.299999 19.559999 19.27 19.5 1163300 17.434423
2013-01-28 19.459999 19.540001 19.41 19.48 911100 17.416541
2013-01-29 19.450001 19.709999 19.43 19.65 681300 17.568533
2013-01-30 19.51 19.67 19.48 19.57 912600 17.497007
2013-01-31 19.52 19.59 19.27 19.33 3356600 17.28243
2013-02-01 19.41 19.540001 19.26 19.32 2174300 17.273489
2013-02-04 19.190001 19.32 19.129999 19.309999 2707600 17.264548
2013-02-05 19.35 19.35 19.18 19.200001 1159800 17.166201
2013-02-06 19.09 19.35 19.040001 19.309999 1197900 17.264548
2013-02-07 19.299999 19.41 19.200001 19.219999 1646300 17.184081
2013-02-08 19 19.219999 14.62 19.1 1827400 17.076794
2013-02-11 19 19.370001 19 19.09 2592100 17.067853
2013-02-12 18.82 19.219999 18.690001 19.200001 2775400 17.166201
2013-02-13 19.190001 19.4 19.190001 19.360001 898900 17.309253
2013-02-14 19.27 19.51 19.27 19.48 1182800 17.416541
2013-02-15 19.469999 19.530001 19.4 19.5 1123900 17.434423
2013-02-19 19.49 19.620001 19.469999 19.620001 937700 17.541712
2013-02-20 19.59 19.870001 19.59 19.59 1473500 17.514889
2013-02-21 19.6 19.690001 19.469999 19.52 1774500 17.452304
2013-02-22 19.52 20 19.52 19.959999 1620500 17.845695
2013-02-25 19.93 19.98 19.65 19.66 1957800 17.577474
2013-02-26 19.639999 19.879999 19.549999 19.67 1370400 17.586415
2013-02-27 19.6 19.799999 19.530001 19.66 1332900 17.577474
2013-02-28 19.75 19.790001 19.65 19.66 2266500 17.577474
2013-03-01 19.620001 19.76 19.51 19.73 1129300 17.640059
2013-03-04 19.67 19.82 19.629999 19.719999 1138400 17.631118
2013-03-05 19.75 19.99 19.68 19.969999 1129100 17.854636
2013-03-06 19.98 20 19.83 19.969999 835900 17.854636
2013-03-07 19.75 19.9 19.610001 19.629999 1849300 17.728199
2013-03-08 19.75 19.870001 19.65 19.860001 931900 17.935917
2013-03-11 19.83 19.950001 19.77 19.950001 1035100 18.017198
2013-03-12 19.860001 19.9 19.639999 19.700001 1217600 17.791419
2013-03-13 19.709999 19.83 19.549999 19.59 1988700 17.692075
2013-03-14 19.66 19.82 19.57 19.620001 1740600 17.719169
2013-03-15 19.65 19.790001 19.42 19.77 1561200 17.854636
2013-03-18 19.75 19.879999 19.620001 19.809999 990800 17.89076
2013-03-19 19.809999 19.889999 19.58 19.65 1247600 17.746262
2013-03-20 19.68 19.709999 19.450001 19.530001 1927000 17.637888
2013-03-21 19.530001 19.67 19.27 19.280001 2258400 17.412109
2013-03-22 19.360001 19.469999 19.280001 19.360001 1791700 17.484358
2013-03-25 19.360001 19.49 19.129999 19.33 1450600 17.457264
2013-03-26 19.360001 19.559999 19.34 19.549999 921000 17.655949
2013-03-27 19.52 19.52 19.35 19.52 667600 17.628857
2013-03-28 19.549999 19.65 19.459999 19.59 1069200 17.692075
2013-04-01 19.01 19.540001 18.860001 19.530001 1280200 17.637888
2013-04-02 19.51 19.68 19.43 19.469999 907800 17.5837
2013-04-03 19.559999 19.639999 19.4 19.43 1187700 17.547576
2013-04-04 19.440001 19.700001 19.41 19.66 1078800 17.755293
2013-04-05 19.5 19.639999 19.4 19.620001 1102000 17.719169
2013-04-08 19.57 19.84 19.540001 19.84 537200 17.917854
2013-04-09 19.799999 19.93 19.65 19.870001 924700 17.944949
2013-04-10 19.809999 19.950001 19.690001 19.83 672800 17.908823
2013-04-11 19.799999 19.950001 19.799999 19.9 884100 17.972041
2013-04-12 19.85 19.93 19.75 19.93 658700 17.999135
2013-04-15 19.85 19.940001 19.49 19.52 794300 17.628857
2013-04-16 19.030001 19.76 18.780001 19.719999 1284900 17.80948
2013-04-17 19.559999 19.629999 19.4 19.549999 1282200 17.655949
2013-04-18 19.57 19.620001 19.440001 19.6 644500 17.701106
2013-04-19 19.75 19.889999 19.65 19.870001 977300 17.944949
2013-04-22 19.889999 19.9 19.67 19.83 455000 17.908823
2013-04-23 19.83 20.049999 19.82 20.01 924000 18.071385
2013-04-24 20 20.129999 19.98 20.09 621900 18.143634
2013-04-25 20.07 20.24 19.99 20.17 909800 18.215883
2013-04-26 19.969999 20.25 19.969999 20.1 951500 18.152665
2013-04-29 20.110001 20.35 20.07 20.290001 901700 18.324258
2013-04-30 20.25 20.540001 20.25 20.52 1071900 18.531975
2013-05-01 20.389999 20.620001 20.309999 20.41 917100 18.432631
2013-05-02 20.459999 20.67 20.32 20.610001 1382700 18.613255
2013-05-03 20.17 20.719999 19.860001 20.59 1689100 18.595193
2013-05-06 20.549999 20.870001 20.549999 20.809999 1256700 18.793878
2013-05-07 20.799999 20.940001 20.709999 20.870001 888800 18.848066
2013-05-08 20.860001 20.98 20.76 20.93 625600 18.902253
2013-05-09 20.91 20.959999 20.610001 20.65 952600 18.649379
2013-05-10 20.67 20.73 20.52 20.59 972700 18.595193
2013-05-13 20.620001 20.690001 20.51 20.690001 644100 18.685505
2013-05-14 20.700001 20.870001 20.6 20.73 1808000 18.721629
2013-05-15 20.74 20.940001 20.559999 20.940001 729200 18.911284
2013-05-16 20.959999 21.09 20.799999 20.84 1087100 18.820972
2013-05-17 20.870001 20.940001 20.76 20.860001 833900 18.839035
2013-05-20 20.85 20.940001 20.82 20.91 780800 18.88419
2013-05-21 20.98 20.98 20.799999 20.870001 751800 18.848066
2013-05-22 20.84 21 20.27 20.389999 878600 18.414568
2013-05-23 20.200001 20.27 19.93 20.209999 1090300 18.252007
2013-05-24 20.18 20.23 19.940001 20.110001 959000 18.161697
2013-05-28 20.25 20.360001 19.690001 19.91 929000 17.981072
2013-05-29 19.530001 19.66 19.09 19.58 1614300 17.862477
2013-05-30 19.549999 19.68 19.1 19.200001 885900 17.51581
2013-05-31 19.110001 19.290001 18.92 18.99 1428400 17.32423
2013-06-03 18.99 19.23 18.82 19.07 987500 17.397213
