"Index" "PE.Open" "PE.High" "PE.Low" "PE.Close" "PE.Volume" "PE.Adjusted"
2014-05-23 22.299999 22.639999 21.190001 22.200001 22290800 22.200001
2014-05-26 22.200001 22.200001 22.200001 22.200001 0 22.200001
2014-05-27 22.309999 23.42 22.309999 22.68 2196900 22.68
2014-05-28 23.49 23.615999 22.799999 23.33 2236000 23.33
2014-05-29 23.57 24.049999 22.77 23.889999 1708600 23.889999
2014-05-30 24.030001 24.18 23.530001 23.77 687800 23.77
2014-06-02 24 24.35 23.5 24.32 1146800 24.32
2014-06-03 24.299999 25.450001 24 24.73 1236900 24.73
2014-06-04 25.34 25.35 24.530001 24.83 1001900 24.83
2014-06-05 25 25.219999 24.77 25.16 657300 25.16
2014-06-06 25.1 25.407 24.6 25 1425900 25
2014-06-09 25.09 25.1 24.07 24.73 1039500 24.73
2014-06-10 24.93 25 24.610001 24.76 529600 24.76
2014-06-11 24.799999 25.02 24.620001 24.959999 549700 24.959999
2014-06-12 25.02 25.700001 24.799999 24.99 1340600 24.99
2014-06-13 25.15 25.174999 24.5 24.6 686600 24.6
2014-06-16 25.360001 25.360001 23.5 23.620001 1427000 23.620001
2014-06-17 23.959999 24.02 22.299999 22.59 2404400 22.59
2014-06-18 22.799999 23.459999 22.5 23.120001 1597700 23.120001
2014-06-19 23.549999 24.07 22.950001 23.540001 1525200 23.540001
2014-06-20 23.709999 24.01 23.139999 23.23 1426100 23.23
2014-06-23 23.26 23.860001 22.549999 22.690001 1550400 22.690001
2014-06-24 22.799999 23.190001 21.799999 22.110001 1869900 22.110001
2014-06-25 22.129999 23.200001 22.1 23.1 1263500 23.1
2014-06-26 23.08 24 22.91 23.92 1006500 23.92
2014-06-27 24.049999 24.33 23.280001 23.73 5331600 23.73
2014-06-30 23.67 24.15 23.549999 24.07 874700 24.07
2014-07-01 24.030001 24.059999 23.360001 23.389999 1252500 23.389999
2014-07-02 23.42 23.6 22.799999 23.120001 1081200 23.120001
2014-07-03 23.01 23.049999 22.540001 22.620001 464200 22.620001
2014-07-07 22.6 23.155001 22.4 22.950001 2047600 22.950001
2014-07-08 22.77 23.620001 22.389999 23.43 983900 23.43
2014-07-09 23.49 24 23.26 23.780001 1001400 23.780001
2014-07-10 23.15 24 23.07 23.74 761500 23.74
2014-07-11 23.75 23.75 23.139999 23.209999 1040000 23.209999
2014-07-14 23.33 23.48 23.030001 23.190001 391200 23.190001
2014-07-15 23.16 23.190001 22.440001 22.610001 2021400 22.610001
2014-07-16 22.780001 22.91 22.51 22.709999 462500 22.709999
2014-07-17 22.85 23.690001 22.59 23.35 1011400 23.35
2014-07-18 23.290001 23.471001 22.865999 23.290001 895500 23.290001
2014-07-21 23.280001 24.16 23.07 23.85 633700 23.85
2014-07-22 23.99 24.1 23.629999 23.809999 596100 23.809999
2014-07-23 23.799999 24 23.459999 23.950001 445600 23.950001
2014-07-24 23.969999 24.059999 23.5 23.809999 483700 23.809999
2014-07-25 23.549999 23.781 23.02 23.309999 511500 23.309999
2014-07-28 23.440001 23.610001 22.93 23.379999 969600 23.379999
2014-07-29 23.26 24.23 23.1 23.860001 1072600 23.860001
2014-07-30 23.9 24.08 23.25 23.309999 868500 23.309999
2014-07-31 23.16 23.280001 22.52 22.57 978000 22.57
2014-08-01 22.51 22.759001 21.26 21.549999 2206100 21.549999
2014-08-04 21.629999 22.52 21.371 22.209999 766400 22.209999
2014-08-05 22 22.200001 21.642 21.91 596200 21.91
2014-08-06 21.700001 22.35 21.68 21.76 383400 21.76
2014-08-07 21.889999 22.014 21.27 21.42 1029200 21.42
2014-08-08 21.440001 21.73 21.059999 21.15 895600 21.15
2014-08-11 21.43 22.48 21.25 22.219999 1912500 22.219999
