"Index" "PF.Open" "PF.High" "PF.Low" "PF.Close" "PF.Volume" "PF.Adjusted"
2013-03-28 22.26 22.82 22.15 22.209999 24572400 20.642261
2013-04-01 22.389999 23.65 22.360001 23.200001 3243500 21.562381
2013-04-02 24.129999 24.610001 23.280001 23.389999 5010100 21.738969
2013-04-03 23.77 24.280001 23.4 24.219999 1631300 22.510381
2013-04-04 24.059999 24.299999 23.85 24.190001 1232700 22.4825
2013-04-05 23.870001 24.5 23.85 24.48 918100 22.752029
2013-04-08 24.440001 24.799999 24.07 24.280001 1063200 22.566147
2013-04-09 24.299999 24.379999 23.76 24.1 1392300 22.398853
2013-04-10 24.17 24.17 23.1 23.57 2275400 21.906263
2013-04-11 23.85 23.889999 23.110001 23.34 1228800 21.692499
2013-04-12 23.15 23.469999 23.129999 23.450001 555200 21.794735
2013-04-15 23.48 23.84 23.379999 23.799999 1293800 22.120028
2013-04-16 24 24.129999 23.6 23.9 1082000 22.212969
2013-04-17 24.299999 24.299999 23.82 23.98 851300 22.287322
2013-04-18 24.1 24.200001 23.879999 23.99 490100 22.296617
2013-04-19 24 24.120001 23.860001 24.120001 1012000 22.417441
2013-04-22 24.25 24.25 23.799999 24.17 403300 22.463911
2013-04-23 24.190001 24.25 23.709999 23.93 586200 22.240852
2013-04-24 23.950001 24.02 23.85 23.85 476400 22.166499
2013-04-25 23.959999 23.959999 23.6 23.629999 583900 21.962027
2013-04-26 23.6 23.67 23.450001 23.6 635600 21.934146
2013-04-29 23.799999 23.860001 23.57 23.809999 836400 22.129322
2013-04-30 23.9 23.940001 23.719999 23.870001 389400 22.185088
2013-05-01 24.02 24.02 23.459999 23.700001 436400 22.027088
2013-05-02 23.73 23.98 23.52 23.91 633700 22.222264
2013-05-03 23.68 23.85 23.620001 23.74 2052100 22.064263
2013-05-06 23.809999 23.98 23.57 23.93 375600 22.240852
2013-05-07 24 24.66 23.700001 24.49 978900 22.761323
2013-05-08 24.5 24.5 24.219999 24.42 533900 22.696265
2013-05-09 24.66 24.700001 24.200001 24.25 455800 22.538264
2013-05-10 24.35 24.549999 24.16 24.219999 307300 22.510381
2013-05-13 24 24.209999 23.75 23.83 411800 22.147911
2013-05-14 23.780001 24.139999 23.709999 24.040001 634500 22.343088
2013-05-15 24.549999 25.49 24.41 25.24 1536000 23.458383
2013-05-16 25.74 26.48 25.25 25.32 927600 23.532736
2013-05-17 25.5 25.549999 25 25.459999 556500 23.662853
2013-05-20 25.92 26.18 25.389999 25.42 379300 23.625678
2013-05-21 25.57 25.57 25.33 25.370001 304100 23.579208
2013-05-22 25.48 25.48 24.790001 24.85 798300 23.095912
2013-05-23 24.5 24.809999 24 24.700001 659100 22.956501
2013-05-24 24.639999 24.799999 24.5 24.67 212000 22.928618
2013-05-28 24.809999 25.139999 24.76 24.93 239100 23.170265
2013-05-29 24.93 24.99 24.5 24.950001 345800 23.188854
2013-05-30 24.99 25 24.639999 24.77 181200 23.021559
2013-05-31 24.68 24.879999 24.51 24.559999 214300 22.826382
2013-06-03 24.309999 24.57 23.370001 24.52 938100 22.789206
2013-06-04 24.6 24.6 23.700001 23.969999 371600 22.278028
2013-06-05 23.940001 24.07 23.6 23.66 316700 21.989911
2013-06-06 23.66 24.16 23.66 24.16 283800 22.454617
2013-06-07 24.25 24.34 23.98 24.18 258800 22.473206
2013-06-10 24.18 25.049999 24.1 24.99 592300 23.22603
2013-06-11 24.870001 25.09 24.66 25.059999 382300 23.291088
2013-06-12 25.17 25.389999 24.68 25.290001 296400 23.504855
2013-06-13 25.1 25.219999 24.530001 25.120001 241800 23.346854
2013-06-14 25.120001 25.18 24.719999 24.950001 281900 23.188854
2013-06-17 25.17 25.18 24.75 24.799999 398500 23.049441
2013-06-18 24.67 25.18 24.67 25.15 95000 23.545631
2013-06-19 25.200001 25.48 24.940001 25 532800 23.4052
2013-06-20 24.77 25.26 24.57 24.959999 907400 23.367751
