"Index" "PFS.Open" "PFS.High" "PFS.Low" "PFS.Close" "PFS.Volume" "PFS.Adjusted"
2013-01-02 15.22 15.5 15.16 15.44 363600 13.938392
2013-01-03 15.01 15.18 14.96 15.16 285300 13.685623
2013-01-04 15.25 15.36 15.16 15.29 151100 13.80298
2013-01-07 15.18 15.2 15.01 15.11 122400 13.640486
2013-01-08 15.08 15.17 14.9 15.08 213100 13.613404
2013-01-09 15.15 15.37 15.09 15.37 416600 13.8752
2013-01-10 15.46 15.46 15.13 15.2 235800 13.721733
2013-01-11 15.23 15.23 14.93 15.02 190800 13.559239
2013-01-14 14.97 15.11 14.9 15.06 158900 13.595349
2013-01-15 14.98 15.15 14.95 15.07 156200 13.604376
2013-01-16 15.08 15.14 15.04 15.09 148800 13.622431
2013-01-17 15.14 15.18 15.06 15.17 152200 13.694651
2013-01-18 15.12 15.16 15.02 15.08 99200 13.613404
2013-01-22 15.13 15.17 15.06 15.15 157500 13.676596
2013-01-23 15.11 15.11 14.96 15.01 105800 13.550212
2013-01-24 15 15.07 14.95 14.99 200200 13.532156
2013-01-25 15 15 14.7 14.77 252400 13.333553
2013-01-28 14.8 14.91 14.75 14.86 187900 13.414799
2013-01-29 14.86 14.97 14.78 14.9 230100 13.450909
2013-01-30 14.84 14.93 14.69 14.73 160400 13.297442
2013-01-31 14.8 14.9 14.73 14.83 229800 13.387717
2013-02-01 14.92 15.15 14.81 15.08 224900 13.613404
2013-02-04 14.99 15.14 14.78 14.8 264100 13.360635
2013-02-05 14.89 15.03 14.83 15.01 152800 13.550212
2013-02-06 14.93 15.13 14.93 15.11 145800 13.640486
2013-02-07 15.08 15.18 14.99 14.99 249900 13.532156
2013-02-08 15.05 15.14 14.9 14.93 256500 13.477992
2013-02-11 14.95 15.15 14.94 15.1 173400 13.631459
2013-02-12 15.14 15.22 15.08 15.18 130500 13.703679
2013-02-13 15.14 15.17 14.96 15.16 194800 13.803838
2013-02-14 15.1 15.17 15.03 15.11 101500 13.75831
2013-02-15 15.18 15.22 15.07 15.13 151600 13.776521
2013-02-19 15.11 15.25 15.11 15.23 157500 13.867575
2013-02-20 15.21 15.21 14.93 14.94 203000 13.603518
2013-02-21 14.95 15.15 14.85 14.93 134500 13.594413
2013-02-22 15.04 15.13 14.95 15.13 98800 13.776521
2013-02-25 15.22 15.22 14.68 14.68 192500 13.366777
2013-02-26 14.75 14.86 14.65 14.73 130100 13.412304
