"Index" "PGP.Open" "PGP.High" "PGP.Low" "PGP.Close" "PGP.Volume" "PGP.Adjusted"
2013-01-02 18.5 18.860001 18.200001 18.34 121200 13.651012
2013-01-03 18.51 19.01 18.5 18.889999 70200 14.060393
2013-01-04 19.1 19.6 18.889999 19.58 54800 14.573981
2013-01-07 19.6 19.889999 19.5 19.870001 70000 14.789838
2013-01-08 19.870001 20.200001 19.77 20.15 76800 14.998249
2013-01-09 20.200001 20.48 20.15 20.459999 89400 15.228991
2013-01-10 20.35 20.35 20.07 20.23 47400 15.193693
2013-01-11 20.25 20.5 20.15 20.459999 47100 15.366433
2013-01-14 20.549999 20.700001 20.27 20.4 51500 15.321371
2013-01-15 20.48 20.48 20.1 20.18 73100 15.156141
2013-01-16 19.9 20.049999 19.620001 20.01 87400 15.028463
2013-01-17 20.120001 20.200001 20 20.15 35500 15.133609
2013-01-18 20.129999 20.389999 20.1 20.389999 33400 15.31386
2013-01-22 20.389999 20.549999 20.299999 20.49 54000 15.388965
2013-01-23 20.6 20.67 20.43 20.6 28800 15.471581
2013-01-24 20.67 20.9 20.549999 20.780001 56700 15.60677
2013-01-25 20.700001 20.92 20.700001 20.879999 36700 15.681873
2013-01-28 20.879999 20.9 20.690001 20.84 41300 15.651832
2013-01-29 20.870001 21 20.690001 20.799999 53000 15.62179
2013-01-30 20.82 20.950001 20.75 20.75 31800 15.584238
2013-01-31 20.780001 20.99 20.77 20.92 19600 15.711916
2013-02-01 21 21 20.84 20.99 46300 15.764489
2013-02-04 21.110001 21.129999 20.959999 21.07 105600 15.824573
2013-02-05 21.139999 21.17 20.99 21.08 50600 15.832084
2013-02-06 21.1 21.4 20.969999 21.33 76800 16.019845
2013-02-07 21.25 21.25 21.049999 21.1 32500 15.984241
2013-02-08 21.26 21.27 21.15 21.23 34100 16.082722
2013-02-11 21.23 21.299999 21.209999 21.26 28700 16.105449
2013-02-12 21.24 21.389999 21.08 21.389999 31000 16.203929
2013-02-13 21.27 21.379999 21.09 21.129999 36700 16.006967
2013-02-14 21.16 21.25 21.110001 21.25 14400 16.097873
2013-02-15 21.25 21.35 21.1 21.17 20900 16.037269
2013-02-19 21.18 21.299999 21.049999 21.17 51900 16.037269
2013-02-20 21.25 21.370001 21.15 21.35 30100 16.173628
2013-02-21 21.190001 21.190001 20.75 20.85 65500 15.794854
2013-02-22 20.799999 21.34 20.799999 21.299999 34700 16.13575
2013-02-25 21.23 21.35 20.99 21.049999 30400 15.946363
2013-02-26 21.07 21.280001 21.059999 21.17 28900 16.037269
2013-02-27 21.059999 21.290001 21.059999 21.17 18400 16.037269
2013-02-28 21.1 21.32 21.1 21.280001 23500 16.1206
2013-03-01 21.25 21.32 21.120001 21.280001 35700 16.1206
2013-03-04 21.280001 21.639999 21.24 21.58 82300 16.347863
2013-03-05 21.99 22 21.59 21.620001 73300 16.378166
2013-03-06 21.76 21.940001 21.6 21.9 76200 16.590278
2013-03-07 21.9 22 21.719999 21.85 62200 16.69188
2013-03-08 21.780001 22 21.780001 21.83 34100 16.676601
2013-03-11 21.83 21.9 21.299999 21.49 93800 16.416865
2013-03-12 21.59 21.639999 21.32 21.43 38800 16.37103
2013-03-13 21.540001 21.860001 21.459999 21.690001 33500 16.569652
2013-03-14 21.65 21.85 21.58 21.85 41300 16.69188
2013-03-15 21.85 21.870001 21.360001 21.41 88300 16.355751
2013-03-18 21.280001 21.559999 21.25 21.49 44600 16.416865
2013-03-19 21.67 21.709999 21.5 21.65 48600 16.539094
2013-03-20 21.66 21.870001 21.65 21.84 17400 16.684241
2013-03-21 21.83 21.870001 21.6 21.65 34500 16.539094
2013-03-22 21.65 21.870001 21.469999 21.620001 42000 16.516177
2013-03-25 21.709999 21.969999 21.6 21.959999 63200 16.775912
2013-03-26 21.870001 21.959999 21.68 21.950001 27000 16.768274
2013-03-27 21.85 21.950001 21.75 21.950001 26400 16.768274
2013-03-28 21.950001 21.959999 21.83 21.950001 32000 16.768274
2013-04-01 21.870001 21.99 21.799999 21.950001 33700 16.768274
2013-04-02 21.99 22.15 21.92 22.15 60800 16.921059
2013-04-03 22.309999 22.309999 21.98 22 46500 16.80647
2013-04-04 22 22.25 21.9 21.98 30000 16.791191
2013-04-05 22.030001 22.23 21.940001 22.02 34700 16.821749
2013-04-08 22.15 22.299999 22 22.24 48200 16.989813
2013-04-09 22.01 22.25 21.860001 22.01 45200 16.953611
2013-04-10 21.950001 22.200001 21.77 22.200001 48800 17.099963
2013-04-11 22.200001 22.299999 22.09 22.24 19100 17.130773
2013-04-12 22.129999 22.24 21.959999 22.049999 31900 16.984421
2013-04-15 21.950001 22.129999 21.84 21.92 29300 16.884287
2013-04-16 21.950001 22.219999 21.92 22.219999 27000 17.115367
2013-04-17 22.139999 22.25 22.040001 22.059999 38200 16.992124
2013-04-18 22.129999 22.129999 21.780001 21.809999 32600 16.799557
2013-04-19 21.85 22.16 21.780001 22.059999 26700 16.992124
2013-04-22 22.290001 22.34 22.17 22.280001 29800 17.161584
2013-04-23 22.35 22.4 22.120001 22.209999 46000 17.107664
2013-04-24 22.280001 22.35 22.219999 22.34 35700 17.2078
2013-04-25 22.35 22.450001 22.27 22.309999 51700 17.184691
2013-04-26 22.35 22.6 22.35 22.59 28200 17.400367
2013-04-29 22.57 22.6 22.41 22.59 36500 17.400367
2013-04-30 22.57 22.58 22.450001 22.52 31500 17.346448
2013-05-01 22.6 22.91 22.5 22.91 65000 17.646853
2013-05-02 22.9 23.16 22.67 22.9 67400 17.63915
2013-05-03 22.93 23.5 22.93 23.360001 84000 17.993474
2013-05-06 23.450001 23.790001 23.360001 23.709999 68400 18.263067
2013-05-07 23.66 23.690001 23.34 23.65 111800 18.216851
2013-05-08 23.620001 23.889999 23.559999 23.889999 55700 18.401715
2013-05-09 23.67 23.950001 23.620001 23.950001 36800 18.590336
2013-05-10 23.889999 24.110001 23.82 23.860001 32100 18.520477
2013-05-13 23.85 23.85 23.52 23.629999 42500 18.341946
2013-05-14 23.58 23.73 23.549999 23.68 35600 18.380758
2013-05-15 23.75 24 23.620001 24 28400 18.629146
2013-05-16 24 24 23.85 23.98 32400 18.613621
2013-05-17 23.99 24.01 23.889999 23.99 54400 18.621384
2013-05-20 24 24 23.9 23.93 45300 18.574811
2013-05-21 24 24.15 23.860001 24.02 47900 18.644671
2013-05-22 24 24.440001 24 24.190001 45800 18.776627
2013-05-23 23.950001 23.950001 23.51 23.780001 94200 18.458379
2013-05-24 23.549999 23.67 23.51 23.549999 35400 18.279849
2013-05-28 23.85 23.85 21.59 22.030001 252600 17.100004
2013-05-29 21.83 21.84 19.6 20.5 409000 15.912396
2013-05-30 20.51 21.389999 20.059999 21.040001 195200 16.331552
2013-05-31 21.040001 21.76 20.99 21.32 105800 16.548891
2013-06-03 21.6 21.73 20.309999 20.360001 94700 15.803726
2013-06-04 20.360001 21.18 20.360001 20.889999 52800 16.215119
2013-06-05 20.889999 21.27 20.85 21.200001 45500 16.455746
2013-06-06 21.200001 21.950001 21 21.77 88700 16.898188
2013-06-07 21.799999 22.65 21.780001 22.280001 84100 17.294058
2013-06-10 22.48 22.59 22.030001 22.299999 75600 17.309581
2013-06-11 21.719999 21.84 21.32 21.41 75400 16.756258
2013-06-12 21.5 21.5 20.360001 20.43 83200 15.989274
2013-06-13 20.25 20.790001 20.059999 20.780001 102600 16.263197
2013-06-14 20.82 21.219999 20.82 21.030001 49000 16.458857
2013-06-17 21.27 21.450001 21.110001 21.15 41500 16.552772
2013-06-18 21.110001 21.51 21.049999 21.51 20500 16.834522
2013-06-19 21.6 21.610001 21.32 21.389999 31300 16.740605
2013-06-20 21.129999 21.200001 20.42 20.549999 69200 16.08319
2013-06-21 20.379999 20.549999 20 20.309999 106900 15.895357
2013-06-24 20 20.08 18.809999 19.540001 134200 15.292728
2013-06-25 19.6 20.450001 19.540001 20.440001 70100 15.997101
2013-06-26 20.73 21.200001 20.549999 21.15 69500 16.552772
2013-06-27 21.35 21.540001 21.110001 21.379999 41500 16.732778
2013-06-28 21.34 21.74 21.15 21.5 48800 16.826696
2013-07-01 21.709999 21.85 21.370001 21.639999 43600 16.936264
2013-07-02 21.51 21.66 20.870001 21.059999 60600 16.482335
2013-07-03 21.059999 21.34 20.870001 21.190001 17200 16.584078
2013-07-05 21.290001 21.68 20.99 21.389999 91300 16.740605
2013-07-08 21.540001 21.93 21.41 21.93 101300 17.16323
2013-07-09 21.700001 22.07 21.57 21.959999 42100 17.331333
2013-07-10 21.940001 22.1 21.809999 21.82 24300 17.220842
2013-07-11 22.02 22.799999 22.02 22.6 37900 17.836436
2013-07-12 22.280001 22.799999 22.01 22.4 36700 17.678591
2013-07-15 22.450001 22.6 22.08 22.08 24200 17.42604
2013-07-16 22.24 22.389999 21.84 22.200001 35300 17.520748
2013-07-17 22.209999 22.35 21.969999 22.18 21800 17.504963
2013-07-18 22.389999 22.620001 22 22.01 34100 17.370795
2013-07-19 21.99 22.01 21.799999 22 26200 17.362902
2013-07-22 21.860001 22.09 21.77 22.049999 18500 17.402363
2013-07-23 22.049999 22.48 22 22.360001 17000 17.647023
2013-07-24 22.32 22.360001 22.17 22.280001 9200 17.583885
2013-07-25 22.280001 22.469999 22.200001 22.459999 18200 17.725944
2013-07-26 22.469999 22.58 22.299999 22.51 24800 17.765406
2013-07-29 22.51 22.690001 21.92 22.450001 44500 17.718053
2013-07-30 22.5 22.5 22.030001 22.200001 17000 17.520748
2013-07-31 22.120001 22.42 21.9 22.35 27700 17.639131
2013-08-01 22.559999 22.559999 22.1 22.17 32600 17.49707
2013-08-02 22.24 22.9 22.17 22.65 38500 17.875897
2013-08-05 22.76 23.1 22.610001 23.1 34800 18.231048
2013-08-06 22.940001 23.18 22.85 22.969999 47600 18.128448
2013-08-07 23.1 23.139999 22.65 22.870001 32100 18.049527
2013-08-08 22.98 23.01 22.799999 23.01 70900 18.306501
2013-08-09 22.98 22.98 22.790001 22.82 14600 18.155339
2013-08-12 22.57 22.85 22.34 22.75 30100 18.099648
2013-08-13 22.719999 22.76 22.459999 22.700001 27700 18.059869
2013-08-14 22.65 22.65 22.360001 22.57 25500 17.956441
2013-08-15 22.4 22.41 22.1 22.25 45300 17.701853
2013-08-16 22.110001 22.309999 22.030001 22.049999 28400 17.542735
2013-08-19 21.959999 22.040001 21.58 21.58 67900 17.168809
2013-08-20 21.639999 22.4 21.58 22.110001 54500 17.590471
2013-08-21 21.969999 22.15 21.639999 21.83 25600 17.367706
2013-08-22 21.83 22.15 21.75 21.889999 25100 17.415441
2013-08-23 21.950001 22.129999 21.879999 22.07 21000 17.558647
2013-08-26 22.16 22.360001 22.030001 22.07 25400 17.558647
